# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	guaA//phnO//
Ada	uvrC//fabB//napH//aspA//
AdiY	alkB//citG//metE//fabA//
AgaR	gcl//
AidB	dgcN//
AlaS	eda//
AllR	frdB//glmS//mngB//yeaE//alkB//purB//
AllS	aceE//moaA//purA//
AlsR	torC//hcaD//ubiA//
AppY	dmsA//deoB//
AraC	gltB//ydcS//oxc//dadA//yqjH//narG//lpd//lhgO//
ArgP	nfsA//dgcZ//leuB//dgcZ//lpxC//nrfD//gabD//sufS//ahpF//
ArgR	fadM//ung//ulaE//hycG//nrdE//purD//leuB//ruvA//lyxK//fbaA//trpC//cysN//gcvT//mhpC//galE//atoD//folA//glsA//folA//glgP//nagA//guaA//entB//
ArsR	sdhC//leuA//
AscG	sdhA//wecC//
AsnC	ndh//murC//
AtoC	wecB//deoA//allC//
BCCP	phnO//
BaeR	nrdE//pdeH//
BasR	garD//purD//kbaY//
BetI	folA//fadA//sodA//
BirA	paaZ//ttdB//gatY//paaH//fumB//
BluR	
BolA	hmp//umuC//
BtsR	glgC//
CadC	glcB//gadA//sdhA//
CaiF	napH//glpD//pheT//appA//poxB//
Cbl	ascB//lpxD//allD//rsmH//galE//
CdaR	fabA//rimK//nagA//araD//sucD//allB//purC//edd//recF//
CecR	lyxK//
ChbR	citE//carA//glxK//
ComR	
CpxR	ybjG//fadA//umuD//ilvC//sucA//argH//glpA//cysE//phoA//gloA//mdh//entF//trpB//atoD//uvrA//nanM//puuE//wecE//astE//folE//entH//
Cra	entA//glsA//rnpB//pheS//sdhD//yeaG//hycE//garR//polA//prs//gcl//glnA//feaB//murQ//fau//serC//speB//treC//paaA//moaD//ynfH//fdhF//paaF//rimK//ydcS//glgB//rffG//ppsA//rfe//glyA//leuA//ugpQ//ynfH//folE//acnB//cysJ//metE//sgbU//purN//tauD//uxuB//codA//ydcS//fabH//fabB//prpB//gor//rbsK//mdh//bioD//umuC//trpB//purL//ycjG//glk//aceF//argF//uxaB//napG//
CreB	lacA//nrfC//
CsgD	mngB//add//recB//purH//pflB//
CsiR	sgbU//phr//ilvM//eda//
CspA	fbaA//
CueR	xylA//gor//fucO//nrfA//purL//
CusR	ilvM//lldD//relA//argC//
CynR	talA//gltD//yeaG//
CysB	nrfA//lsrK//ubiA//lpd//umuC//rutC//waaH//wzb//pgm//nrdA//rutC//phnP//fadA//trpC//glxR//trpC//metH//
CytR	fucI//ubiX//fadD//aceF//astB//gatD//tauD//ndh//phnN//paaI//
DcuR	rfe//fau//umpH//hycG//
DeoR	nrdD//hemH//phnN//leuC//nemA//trpD//
DhaR	nadA//
DicA	
DinJ-YafQ	gadA//
DnaA	uvrC//glgB//gatY//moaD//atoA//rffG//
DpiA	patD//ahpC//gadB//tnaA//trpB//
DsdC	glnA//patA//
EbgR	
EnvR	hycF//acnB//
EnvY	thrS//glk//
EvgA	epd//fadA//ybjG//pgaC//gnd//ssuD//
ExuR	citX//wzc//hycD//paaE//wecC//rutC//
FabR	glpQ//lhgO//dgkA//
FadR	entF//allC//ulaG//hycF//metH//frdC//uidA//torC//ccp//patD//dmsB//gpmM//metA//bioF//fucI//psd//dmsA//uidA//cysE//
FeaR	katG//dapD//
FhlA	patA//umuD//dapD//ilvG_1//dkgB//malP//katG//kbl//
FlhDC	ubiA//paaB//hmp//sdaA//udp//lpxA//frdD//poxB//sgbH//lpxD//icd//ilvA//metF//rffT//
FliZ	malQ//ychF//purH//tyrB//tdh//
FucR	mltF//paaI//fadE//araA//lpxC//zwf//
Fur	moaE//phoA//ilvH//nfsA//uvrC//accD//prs//sucB//leuD//ilvG_1//paaZ//lpxC//paaA//purD//nanA//citF//puuE//malY//lysC//dkgA//ttdA//fucU//tpiA//sgbU//rutA//pgaC//ogt//adiA//lpxA//murE//ilvC//pncB//rpiB//entB//nrdD//ycjG//rutD//dgkA//hyaA//lpd//ilvM//chbG//pagP//paaZ//dmsB//ybjG//srlD//malS//ilvI//metA//glpA//prs//trpB//argC//allB//citF//hcaD//glgX//wzb//umpH//alkB//sodA//
GadE	dhaK//puuB//kbaZ//cynT//trpE//gatY//glcE//tehB//tdcD//dgcZ//
GadE-RcsB	bioF//paaZ//cysH//slt//galM//
GadW	trpA//malY//fadJ//yfdE//
GadX	paaZ//kbaY//ssuD//fabH//tyrB//alaC//paaI//slt//napB//dgkA//purE//dgcC//dadX//
