# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lysU//ruvA//
Ada	purM//malQ//ilvG_1//bioB//
AdiY	mngB//citX//carA//frc//
AgaR	sgbH//
AidB	prpB//
AlaS	ruvB//
AllR	idnK//ugpQ//rbsD//yqjH//metE//prs//
AllS	chbG//citF//lacA//
AlsR	mhpF//hycD//ssuE//
AppY	gnd//metC//
AraC	metC//nirB//citD//fabH//patA//hyi//accC//carB//
ArgP	ynfE//metC//purB//adhE//ilvC//sdhD//fucU//rutD//ydcS//
ArgR	phnG//cysD//uxaA//argF//dkgA//trpC//torA//glsA//aroA//galE//entC//glpA//purK//patA//carB//nadB//malS//fbaA//paaZ//lyxK//idnK//deoD//pheT//
ArsR	pgaB//hcaD//
AscG	patD//dmsC//
AsnC	glgA//kbl//
AtoC	astB//rhaD//astD//
BCCP	ssuD//
BaeR	glnA//glgB//
BasR	frdA//phnG//nirB//
BetI	idnK//aroF//edd//
BirA	chbG//fbaA//trpE//xapA//gatZ//
BluR	
BolA	ychF//metC//
BtsR	lpxD//
CadC	wecB//narH//puuB//
CaiF	aroH//entA//iscS//ddlB//aroL//
Cbl	atoD//ssuD//gabD//rhaD//aceF//
CdaR	argA//entD//ilvA//waaH//tam//gatZ//wecC//wecB//malS//
CecR	fucO//
ChbR	truB//fadH//tauD//
ComR	
CpxR	garR//pdeR//fabI//rhaA//mpaA//hypB//umuD//glgP//pspE//tam//betA//astD//xylA//gadA//yiaK//malQ//nirD//hyaA//lsrF//hemL//ruvA//
Cra	glcB//cynT//araA//fucO//ilvM//uidA//dapB//rutD//aroG//frdC//moaE//citC//garD//tehB//pdeL//lpxD//putA//yqhD//nfsA//napG//puuD//aroL//gatZ//mraY//umuC//glsA//purC//xylA//argD//hemH//glcB//murQ//nanM//purL//phnJ//speA//atoA//citC//entF//cynS//allE//ndh//hyaC//tam//lsrF//pspE//caiB//ilvC//tdcG//hyaB//gltD//kbaY//murF//gatY//waaY//recD//pgi//psd//mhpA//
CreB	gloA//glpC//
CsgD	treC//nanE//moeA//argD//ilvD//
CsiR	pncB//tdcD//glpX//fadH//
CspA	cdd//
CueR	gabT//gabT//psd//betA//yfdE//
CusR	nrfD//gltB//pgpC//gabD//
CynR	accA//aspA//fucO//
CysB	astB//astC//yeaE//entH//adiA//hemL//pdeH//nadA//glxR//umpH//add//mazG//patA//tnaA//betB//ulaD//nrdE//
CytR	fruK//srlD//pagP//appA//pgpC//purN//cysD//lacZ//mhpA//mnmG//
DcuR	fumB//moeA//gcvH//napH//
DeoR	dmsB//citF//fadA//ldtC//ldtB//hcp//
DhaR	gnd//
DicA	
DinJ-YafQ	trpD//
DnaA	rimK//ldtC//sdhC//tdcD//puuC//aldA//
DpiA	pdeR//nirD//malS//fes//glmU//
DsdC	glpX//yfdE//
EbgR	
EnvR	xapA//folA//
EnvY	mraY//tauD//
EvgA	yedX//glpA//tehB//dkgB//pagP//fabB//
ExuR	puuE//umuD//bioA//glpB//polB//glgP//
FabR	moeA//hycE//paaJ//
FadR	glnA//phnH//xylA//uvrC//pnp//ilvD//purF//murG//xapA//dhaM//dgkA//truB//galM//purE//nrfD//rtcA//sgbE//sbcD//accA//
FeaR	phnL//aceB//
FhlA	psd//ubiC//ppc//sgbU//gor//mazG//ahpC//uidA//
FlhDC	alaS//acnB//asnA//mnmG//fes//nanK//wecE//feaB//ldtB//guaB//ydcS//hcaE//leuB//cueO//
FliZ	garL//purE//katE//gudD//leuD//
FucR	polA//entD//ndh//argD//hypF//gatY//
