# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pflB//sdhB//
Ada	fadM//gdhA//metE//glgA//
AdiY	gor//ldtB//frdC//garK//
AgaR	dinB//
AidB	phnL//
AlaS	entB//
AllR	glcE//uxaA//ftsI//aroL//purK//fabB//
AllS	fabI//tdcE//phnJ//
AlsR	citF//argE//glxR//
AppY	cueO//mpl//
AraC	rffH//hyi//tadA//hcaF//aceB//allE//galE//sodB//
ArgP	fabI//ssuD//entH//hycE//waaY//idnO//atoD//alsE//yqjH//
ArgR	dhaK//aceE//xylA//pgaD//ttdB//hyaC//galT//prpE//gcvH//torA//fucU//rutE//glcF//dsdA//mpaA//hycD//sdhB//napB//argG//paaA//pepD//sbcD//ogt//
ArsR	glgX//caiD//
AscG	nrfD//dhaL//
AsnC	glcF//acnB//
AtoC	paaH//carA//hyaB//
BCCP	sdaA//
BaeR	srkA//murQ//
BasR	rfe//ttdB//dadA//
BetI	tdcD//citE//cdd//
BirA	atoD//rsmH//napA//carA//arsC//
BluR	
BolA	yedX//aceF//
BtsR	hyi//
CadC	ynfE//moeA//pgi//
CaiF	glsA//rnpB//ribA//torC//bacA//
Cbl	murF//ftsI//garR//pheS//rhaA//
CdaR	sbcD//purF//tnaA//leuB//sdaA//fbaB//ppiA//hypB//guaA//
CecR	rnpB//
ChbR	phnG//nanM//allC//
ComR	
CpxR	dhaL//accD//araD//nadA//tdh//hycB//rimK//add//patD//rffG//pyrC//gltD//uxuB//cysD//glyA//glgP//fadB//murE//purM//pgaC//ppc//
Cra	yfdE//phnG//torA//pgaB//galM//ychF//eda//dhaK//bioB//nagB//cysC//rutC//udp//glcB//phnL//phnL//asnA//purF//malP//codA//pgaD//argA//pck//hyaC//rtcB//frc//dapB//deoB//luxS//nrdA//ilvG_1//betB//edd//deoA//purF//tdh//speA//purK//deoD//deoC//frdA//luxS//gabT//malQ//glk//metH//glgB//tdcB//metE//patD//fabZ//ldtC//pykF//ynfH//leuD//gcvH//glpB//gdhA//add//
CreB	glpD//murC//
CsgD	cysG//metC//chbF//bioC//moeA//
CsiR	fadD//fdhF//allC//paaY//
CspA	garD//
CueR	gutQ//caiD//rfe//srlD//ulaE//
CusR	sucC//epd//bioF//garD//
CynR	prpC//ldtC//rffM//
CysB	ilvD//codA//uvrB//dgkA//dinB//glyA//puuA//hycD//uvrB//metE//srlD//sgbU//malY//argF//eda//talA//uvrA//
CytR	araD//accD//frdA//rhaD//waaZ//gudD//gloA//ilvC//patD//pgaD//
DcuR	murD//moeB//leuC//alsE//
DeoR	paaG//truB//fabA//pgm//asnB//moaA//
DhaR	cysE//
DicA	
DinJ-YafQ	pfkA//
DnaA	accD//tktB//citD//murE//cynS//pflB//
DpiA	nirB//amn//aroA//rutE//hcaE//
DsdC	argC//aroA//
EbgR	
EnvR	phoA//lacA//
EnvY	sbcC//accC//
EvgA	torC//ttdA//aroA//gltD//rtcB//tdcB//
ExuR	argB//gdhA//fadB//torA//feaB//pdeH//
FabR	idnK//murD//narH//
FadR	ilvG_1//betA//lsrF//phnH//nrdB//serC//dmsB//hypB//malS//frdD//glmU//lpxD//glpK//fabD//cysI//cyoE//cysI//glk//nrfA//
FeaR	pyrD//gcvH//
FhlA	fes//bioB//sucB//recB//ada//add//purA//idnK//
FlhDC	dgcN//uvrA//glpC//lpxC//gapA//sdhB//frc//cysI//puuA//metE//purA//dkgA//frdA//idnO//
FliZ	yeaG//phnH//bioB//moaC//tadA//
FucR	rutB//galE//fabZ//sbcC//glgX//nrdA//
Fur	malQ//purN//glcE//cysH//sdaA//avtA//deoA//hycC//nanK//entH//glcF//napA//ygeA//chbF//wzc//sdhB//metH//argG//rutC//cysD//ilvD//glpB//cynS//citD//argC//mltF//wrbA//deoA//aroL//ftsI//wecB//cysM//pgaB//lpxC//ilvM//ttdB//dadX//glpD//glcF//accA//hypF//kbl//puuE//hypF//dmsA//aldA//katG//luxS//gpmA//argC//yiaK//pspE//ahpC//yeaE//malQ//patD//leuB//entH//puuB//napA//gnd//garD//
GadE	accC//ilvI//nadA//mtlD//purL//glgX//rtcB//ydcS//frdC//wecE//
GadE-RcsB	nagA//gnd//atoA//murG//pflB//
GadW	purF//treC//kbl//tpiA//
GadX	wzc//pck//kbl//nemA//umpH//garD//glxR//ampC//uidA//ppc//nemA//entD//amn//
GalR	nirB//patA//entF//fadE//mraY//ynfF//
GalS	napB//cysG//murC//entH//uxaB//ftnA//
GatR	mhpD//rffG//trpD//
GcvA	dgcZ//allC//citC//
GlcC	paaG//ppc//feaB//
GlpR	astB//cysD//nfsB//waaH//rtcA//atoB//gutQ//
GlrR	
GntR	rffH//frdD//rffM//rffM//sdaA//cysM//chbG//argG//aldA//
GutM	metC//cysK//cysN//
HU	murG//alaC//mhpA//pheT//ilvG_1//hycB//argD//
HcaR	ddlB//murG//
HdfR	
HigA	ycjG//
HigB-HigA	oxc//
HipAB	tdcE//purL//
HipB	umpH//citX//asnB//
HprR	gltB//nanE//allE//tyrA//
HyfR	ribA//
HypT	slt//gdhA//phnJ//gcl//malS//kbaY//uxuB//
IclR	murC//amn//pdeR//
IdnR	hmp//recD//kbaZ//garR//gloA//fadI//
IlvY	citE//
IscR	gatD//nagB//sodB//ulaE//astA//purN//uvrA//puuE//
KdgR	pyrC//guaB//
KdpE	argC//
LacI	leuD//mazG//rffC//
LeuO	narH//sdhA//alsE//malZ//idnO//prpE//
LexA	mpaA//ahpF//deoB//dkgB//nrfD//ulaF//citE//uvrA//allB//glxR//glgB//gudD//mpl//sgbH//argA//hyaB//citG//ybjG//torC//frc//gatD//bacA//fabD//
LldR	glcD//rutE//
LrhA	
Lrp	napG//purE//glnA//glsA//tdh//phnN//nanA//moeA//uvrA//tynA//gnd//alkA//glxR//kbaY//hemH//mhpD//gadA//phoA//pdeL//paaI//rhaD//murF//alaS//polA//dmsB//dhaK//nadB//pgk//nrdD//pyrC//gcvH//bglB//ynfF//alaS//rtcB//atoD//rutE//purL//narI//waaH//
LsrR	dsdA//hcaB//prpE//ilvC//glgP//
LysR	lhgO//
MalI	serA//fucA//
MalT	gcvT//uxuA//aroL//tpiA//wzc//sdhD//
MarA	cysJ//gabT//gcvT//fadI//ulaE//uxuA//frc//dhaK//moeB//glcE//glgP//atoD//glyA//murG//alaS//cysK//nrdD//leuD//gltB//ulaE//guaB//pykF//ppiA//rffM//
MarR	
MatA	entE//
MazE	sucB//
MazE-MazF	cysE//
McbR	
MelR	uvrA//paaE//
MetJ	leuA//ddlB//bioA//tdcE//mtlD//astE//astC//treC//nrdF//ampC//
MetR	glmU//glcE//garD//nanA//
MhpR	tdcB//fucK//trpB//fadM//mhpE//asnB//
Mlc	ulaE//ilvI//puuB//carA//
MlrA	fbaA//
MngR	mpaA//fabI//
MntR	lpxA//gutQ//
ModE	pdeL//sgbE//acnB//astA//betA//lacA//lldD//cyoE//gadB//ssuE//allA//glcB//amn//wecC//lsrK//sdaA//hycF//
MprA	ynfE//allA//leuB//
MqsA	waaZ//cyoE//
MraZ	relA//caiC//mhpA//ynfG//kbl//hcaE//aceA//gdhA//galM//rffM//
MurR	ung//allD//murF//
Nac	sodA//malQ//fabI//betB//atoB//trpC//allE//pflB//citF//trpE//dadX//
NadR	rutC//acnA//murE//murG//
NagC	kbaY//lysU//bioC//fau//moeA//phnJ//patD//ogt//citC//nrdB//lsrK//dmsB//cysK//dacC//aceF//cysE//ldtB//fadH//galK//
NanR	lldD//fabZ//dhaM//ppc//folA//yqhD//
NarL	nfsB//lsrF//mhpF//accC//tnaA//torC//mngB//prpC//dmsA//glcB//glcD//tynA//putA//tdh//rutD//fucK//purK//hyi//appA//gatY//aspC//ubiA//cadA//glcB//gltD//yiaK//citE//frdA//phnH//cysG//malY//puuE//kbaY//xylA//narG//moaA//torC//hycD//entH//chbF//fucI//
NarP	fadB//fabG//pgaC//cysI//appA//wecE//purL//tauD//pdeH//feaB//astD//yqhD//ynfH//asnB//dapD//
NemR	asnB//alaC//
NhaR	trpB//glpA//lhgO//asnA//fabI//
NikR	dinB//
NimR	mhpE//
NorR	gatY//
NrdR	pgaD//leuB//pdeL//phoA//
NsrR	fabG//zwf//codA//tdcB//lacA//rhaA//tktB//dapB//hycE//ssuD//nrdA//glgP//mnmG//uxaA//idnK//murQ//folA//umuC//glmS//recB//ilvC//purF//alaA//fabI//ldtB//murD//phnH//ynfG//trpA//mhpC//pagP//uvrB//ttdB//ydcS//aceB//hyaB//hcaD//lpxA//nrfC//gcvT//
NtrC	frdC//trpE//aceF//sucA//garR//rfe//rtcA//entE//tdcD//ugpQ//gcvH//frdD//glyA//gcvH//glgA//betA//paaH//guaA//napG//cysN//citC//
OmpR	glgX//allE//aroF//trpC//luxS//lacZ//ilvC//pck//
OxyR	uxuB//aroL//rtcB//phnN//argE//pyrD//prpE//aroG//ahpF//nadB//gpmA//astC//phoA//napA//rfe//ppiA//sdhA//
PaaX	glk//phnP//phnJ//mngB//glpC//garR//argE//nadB//alaC//
PdeL	cysN//
PdhR	ilvI//cysN//truB//sdhB//gcvP//aceB//sgbU//paaG//sbcC//argE//fabB//cysI//aroF//ulaF//argC//iscS//ybjG//uxaB//ubiA//citE//entF//prpE//fucI//astD//accD//
PepA	feaB//add//
PgrR	yeaG//hyi//
PhoB	gpmM//wecB//napB//hycE//fucI//galM//dinB//glpA//lysC//dmsA//mngB//paaE//sdhA//rsmH//purF//garL//pflB//lpd//puuD//glnA//
PhoP	gpmM//mhpC//lldD//tdh//dkgA//bioA//rffH//lpd//nfsB//sdhD//accC//trpA//iscS//ruvA//sdhD//rffH//moaA//ung//entH//fadA//aceE//hyi//dmsA//yqjH//carB//ppiA//tyrB//aceE//bioD//pgaB//wecE//fadJ//
PrpR	wrbA//trpA//glgB//uvrB//
PspF	rhaB//
PurR	ilvA//phnP//aroF//purK//hycC//argF//nagA//entE//metK//cysE//ppiA//glpC//ynfH//asnB//mhpF//ssuE//cysC//ssuE//ynfF//glgP//ruvA//wecC//phnM//murF//glpC//fadM//
PutA	rhaD//entC//
PuuR	slt//ybjG//sufS//ruvA//gntK//uxaA//
QseB	
RbsR	astD//ttdB//fadJ//napB//lldD//gnd//
RcdA	gcvT//
RclR	
RcnR	napB//
RcsAB	uvrA//hemH//gcvT//
RcsB	ilvD//mhpF//glxR//gadA//
RcsB-BglJ	iscS//ycjG//
RelB	metB//
RelB-RelE	bioB//
