# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fruK//sdhD//
Ada	betA//acnB//fumB//aspC//
AdiY	prs//tam//lpxC//mhpB//
AgaR	folA//
AidB	paaJ//
AlaS	mraY//
AllR	hypB//amn//ygeA//nadB//cyoE//xylA//
AllS	glpD//glgC//atoD//
AlsR	talA//moaE//citC//
AppY	ilvG_1//paaK//
AraC	trpD//leuD//atoD//tdcG//kbaZ//wzc//fadA//garL//
ArgP	lhgO//gutQ//metB//pyrD//alaA//aceB//xylB//metF//hyi//
ArgR	glcF//ulaG//glcF//ppiA//ddlB//add//nrdA//gcvP//glgP//hcp//glcF//frdB//gntK//pgaC//glpB//astC//phnH//lsrF//mpaA//hcaD//dapD//treC//garL//
ArsR	pfkA//uvrA//
AscG	ychF//citC//
AsnC	slt//hmp//
AtoC	pgaC//entE//rtcB//
BCCP	cueO//
BaeR	gcvP//fucA//
BasR	alsE//fadA//entB//
BetI	wecC//udp//sucC//
BirA	nagA//lacA//hycG//hypF//betB//
BluR	
BolA	fucU//ilvD//
BtsR	tdcE//
CadC	malP//frdA//xylB//
CaiF	argE//cysM//entF//paaE//tktB//
Cbl	dmsA//ssuE//glgB//hyi//lpd//
CdaR	hemL//tadA//napG//pdeH//melA//pspE//fucK//caiC//rutD//
CecR	betB//
ChbR	truB//grxA//fadI//
ComR	
CpxR	psd//phnJ//fumB//xylB//gadA//trpD//ttdB//trpC//mraY//purD//gcvP//glcF//allA//nadB//purD//yeaE//adiA//pagP//frc//moaD//speB//
Cra	aroF//prpC//gntK//lpxC//malZ//tktB//rutC//cysE//pepD//dapB//ilvD//ruvB//glcF//gdhA//glcF//sufS//rnpB//uvrA//bacA//dadA//nadA//accC//cysE//deoD//murD//ilvA//puuE//dmsA//nadB//rimK//cysG//argI//trpD//hypF//fumC//rffH//mpl//puuD//sucC//narI//fadJ//fucI//gatY//mhpD//wzb//feaB//sbcD//paaZ//feaB//cynS//zwf//lyxK//luxS//nrdF//rfe//metC//argA//aroA//ycjG//
CreB	poxB//argA//
CsgD	eno//sdhB//metF//rffC//phnP//
CsiR	caiB//trpA//pdeL//leuD//
CspA	glpB//
CueR	pheT//alkA//thrS//hemH//ada//
CusR	mhpE//garL//lacZ//sbcD//
CynR	uxuA//bioC//ilvI//
