# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fucO//torC//
Ada	ilvD//moeB//lysC//gor//
AdiY	alaC//gntK//glpA//entH//
AgaR	tdh//
AidB	ydcS//
AlaS	dgcZ//
AllR	umpH//ldtB//gutQ//cysG//tnaA//aroL//
AllS	narG//cysN//purB//
AlsR	deoD//dhaL//pgaB//
AppY	phnG//araD//
AraC	atoA//uxaC//glpB//glgX//sgbH//tyrA//cadA//astD//
ArgP	pdeR//fbaB//argD//mpl//lhgO//kbaY//tehB//frdC//purN//
ArgR	ilvI//dacC//phnL//cadA//adiA//tdcE//ilvA//mazG//alkA//purB//kbl//guaA//glxK//trpA//glgP//tynA//trpC//gatZ//cadA//rutD//malZ//umuC//rsmH//
ArsR	accA//gdhA//
AscG	guaB//mhpA//
AsnC	prpC//fumC//
AtoC	moaD//umuD//ynfH//
BCCP	allB//
BaeR	hyaC//mnmG//
BasR	polA//ychF//rffT//
BetI	malY//umuD//cysN//
BirA	wecB//moaA//nrdD//pyrC//xylB//
BluR	
BolA	puuC//sbcC//
BtsR	trpE//
CadC	narG//moaE//hcaC//
CaiF	nrdA//leuB//hycB//phnO//aroH//
Cbl	tyrB//bioC//sdaA//dacC//argE//
CdaR	dinB//trpD//dkgB//citC//atoB//paaY//paaC//ulaF//hypB//
CecR	ahpF//
ChbR	tnaA//dapB//gudD//
ComR	
CpxR	ascB//lyxK//glpX//purM//hycD//dmsB//nrdA//hmp//fes//aroG//pgaB//deoA//yqhD//frc//phnN//phnO//napG//chbG//astA//ascB//yfdE//
Cra	aroA//murQ//paaZ//rutC//prpE//ychF//kbaY//rnpB//serC//paaB//astD//ynfE//cueO//fucU//nadB//fadH//fabI//gpmA//ung//paaF//allC//ruvA//kbaZ//adiA//lyxK//moeB//cdd//mhpE//frdA//alkB//pspE//prpB//mdh//frdD//ldtD//rutA//fucI//hcp//iscS//astD//allB//citD//trpE//sbcD//sgbH//tktB//glgX//fadD//nfsB//araB//avtA//atoB//nrdD//feaB//wecE//ubiX//fdhF//alkA//mhpE//
CreB	gpmM//cysD//
CsgD	ldtB//phoA//argA//argH//rutD//
CsiR	treC//araA//phnH//fbaA//
CspA	nrdA//
CueR	trpC//fbaA//narH//ndh//murE//
CusR	atoA//lldD//dhaL//sucD//
CynR	bioC//gadA//mhpF//
CysB	bglB//citC//frdA//cyoE//aroA//chbF//purA//paaB//carB//ulaE//argA//paaZ//dkgB//uxaA//dacC//araD//atoD//
CytR	ycjG//aceE//nemA//tdcB//cysI//lsrK//ilvC//umuD//bglB//fadB//
DcuR	lpxC//hyaA//melA//cadA//
DeoR	cysN//mhpF//yiaK//lysA//ftsI//ilvM//
DhaR	prpE//
DicA	
DinJ-YafQ	frdA//
DnaA	lacA//chbF//prs//folE//recD//fabI//
DpiA	puuB//frc//tadA//feaB//sucA//
DsdC	pgpC//gntK//
EbgR	
EnvR	metK//wecE//
EnvY	yeaE//mhpC//
EvgA	rffC//citX//phnM//fbaA//yeaG//astA//
ExuR	murC//gnd//tam//waaH//atoA//phnO//
FabR	betB//astE//galM//
FadR	hcaC//fucA//dapB//hcaB//pyrD//mazG//trpB//hmp//ppsA//argF//umuC//nrdD//hyaA//ascB//araA//hycG//tdcD//hyaB//kbaZ//
FeaR	alsE//lysU//
FhlA	fumB//araA//katG//gabD//fucK//ldtC//argC//rffG//
FlhDC	moeA//accC//hcaC//gloA//allE//nagA//wecB//appA//idnO//fadJ//dmsA//deoA//purB//malY//
FliZ	torA//pepD//alkA//ascB//ynfE//
FucR	recD//ilvH//serA//gor//lacA//fabB//
Fur	paaK//codA//waaZ//cueO//alkA//glmS//purE//lsrF//cysH//fucU//cysI//dadA//rutD//argH//bioF//moaE//ubiX//paaJ//moaE//aceE//rsmH//fabD//sucB//waaH//ilvD//gdhA//lsrF//ppsA//moaC//mdh//serA//ldtC//fruK//ychF//lhgO//sdaA//oxc//dsdA//allD//pyrD//uxaB//betA//citG//adhE//murD//folE//paaC//sufS//phnO//lacA//lsrG//nrdD//glmS//lpxD//nrdB//araA//gdhA//fabB//folE//mngB//alaS//bglB//
GadE	folE//rhaA//frdB//serC//ldtC//ilvH//argG//katG//tpiA//serC//
GadE-RcsB	dmsA//oxc//waaH//ubiA//gloA//
GadW	entE//atoA//astE//glgX//
GadX	ttdB//rbsD//lpxA//ygeA//atoD//fdhF//prpD//cysI//gudD//rutD//rbsK//ynfG//aroF//
GalR	tdcE//galM//frdC//cysJ//talA//moaC//
GalS	dgkA//ilvA//katG//pdeL//adiA//gltB//
GatR	rffM//alaS//ilvH//
GcvA	araB//lsrK//talA//
GlcC	fabD//ulaG//murI//
GlpR	pck//gloA//glxR//tdcG//rffC//ldtC//glmS//
GlrR	
GntR	hycD//ubiA//glxK//tyrA//ugpQ//hycC//ppiA//puuE//wecE//
GutM	ychF//dmsB//recB//
HU	pheT//glcF//cysJ//fadH//galE//gpmA//cysG//
HcaR	murQ//ilvM//
HdfR	
HigA	mpaA//
HigB-HigA	ybjG//
HipAB	mraY//ycjG//
HipB	malQ//phnN//ttdA//
HprR	cadA//paaY//uvrB//umpH//
HyfR	aroF//
HypT	nrfC//glgC//tnaA//katG//gntK//nirD//cyoE//
IclR	puuB//deoC//fdhF//
IdnR	umpH//cysI//atoA//accA//purM//umuD//
IlvY	cysE//
IscR	phnH//ftnA//lpd//rimK//dmsA//rhaD//pgk//mhpF//
KdgR	argE//uvrC//
KdpE	uvrB//
LacI	tam//puuC//nadA//
LeuO	ynfH//nanM//ppc//gadB//lpd//paaF//
LexA	bioC//nanA//puuC//gudD//cdd//aceE//cueO//gutQ//lysU//ybjG//garK//cysG//napG//fadE//dsdA//torC//ilvA//dapD//phnM//citE//purE//mpl//tehB//
LldR	hycG//trpE//
LrhA	
Lrp	glpC//recD//pspE//rhaD//mazG//paaA//rutB//lysC//trpE//glcF//kbaY//argC//metF//puuC//citX//paaZ//dmsA//murG//entC//purH//acnB//astD//phnP//glpQ//lysA//pepD//accA//frdB//galE//leuC//malY//ygeA//fabH//gloA//purM//thrS//polA//hyaB//glmU//sodB//
LsrR	hcaB//bioB//sbcD//glmU//yedX//
LysR	caiD//
MalI	dapD//fabA//
MalT	waaH//caiA//purC//ilvC//leuD//entA//
MarA	iscS//araD//talA//sucC//glk//ydcS//fabG//astA//nagA//aceF//gloA//sgbE//ribA//carA//rutD//nanK//sbcC//gudD//gdhA//purM//rhaA//ulaD//nanA//glpX//
MarR	
MatA	puuA//
MazE	glcD//
MazE-MazF	malY//
McbR	
MelR	sucA//kbl//
MetJ	guaA//pepD//nanE//deoC//gcvH//glpK//purD//grxA//recB//udp//
MetR	glgX//murD//serA//aroF//
MhpR	metB//paaB//puuB//phnI//glsA//garD//
Mlc	phnI//accD//ubiX//ddlB//
MlrA	sucA//
MngR	sodA//leuC//
MntR	tktB//bioA//
ModE	dacC//dmsC//nrdA//ilvE//talA//metK//fes//malS//dadX//garR//phnL//cysI//murE//carA//pspE//glcE//metC//
MprA	citE//fumC//tdcE//
MqsA	cadA//entD//
MraZ	hyaB//accD//paaF//mhpA//melA//folA//sgbU//mhpF//ndh//fadB//
MurR	leuD//glpC//srlD//
Nac	lysC//rffG//polB//glpB//idnD//ddlB//citG//rffG//malY//fumB//ilvD//
NadR	ruvB//ung//puuB//gudD//
NagC	caiB//folA//umuD//puuD//aceB//ilvA//mdh//hyi//aroG//torC//leuA//ynfE//glpQ//lacA//argE//cyoE//paaK//cysH//nadB//
NanR	citG//citX//dinB//betA//alaA//pdeH//
NarL	ulaF//gcvH//trpB//ahpC//guaB//hycG//purD//phnH//folE//polB//mhpA//frdA//xapA//allE//pncB//ilvE//recD//xapA//acnB//ycjG//deoC//nanM//deoB//caiA//purD//hycF//phnP//ynfE//codA//cynT//folA//pgaB//oxc//lhgO//kbaY//pgaD//eda//argE//tdcB//mhpB//puuD//
NarP	aroG//fbaA//phnI//recB//glcF//trpC//fbaB//mhpE//xylB//entF//phnM//astE//ilvC//cysD//galK//
NemR	tnaA//mhpA//
NhaR	hycG//aspC//gabT//yqjH//sbcD//
NikR	yeaE//
NimR	lldD//
NorR	wzb//
NrdR	rutA//frdB//glgA//dmsA//
NsrR	dacC//mpaA//dsdA//trpE//dgcC//nanM//murD//ttdA//purA//paaF//acnA//lacZ//thrS//dmsC//gatD//moaD//tyrA//pyrD//glcF//pdeL//sbcD//paaA//deoD//gdhA//treC//mhpD//tadA//serC//mdh//lpxA//paaC//glcD//hmp//aspC//mhpB//gnd//fumB//phnM//mhpD//purM//
NtrC	glmS//dadX//lyxK//mhpF//sufS//glsA//arsC//garL//fadJ//guaB//nrdE//rpiB//atoD//astE//paaA//puuE//cysG//purM//nfsA//fadA//ulaD//
OmpR	astA//waaY//citC//ruvA//ahpC//sdhB//nirB//paaB//
OxyR	yeaG//fabB//bioD//phnG//moaC//mltF//grxA//appA//yedX//cysH//ribA//hycB//aldA//mhpD//tadA//glgA//gloA//
PaaX	acnA//paaF//hcaD//garL//sodB//ldtC//dadX//trpA//idnK//
PdeL	mtlD//
PdhR	sodA//lpxD//dsdA//speB//betA//nemA//argB//ynfG//glgA//metB//cysD//garD//nfsB//fabD//gltB//purM//sgbE//cysG//rffG//allA//rbsK//bioD//ilvH//torA//hcaC//
PepA	moaC//argI//
PgrR	ubiX//gatY//
PhoB	pyrC//paaE//leuA//gcl//glk//psd//astD//phnI//ubiA//adiA//tdcB//argF//ybjG//sgbE//sodA//prs//fau//icd//wrbA//ribA//
PhoP	pgpC//accA//araB//nanK//gutQ//accA//mhpE//purF//dadX//pspE//tehB//yqjH//ada//ilvD//uvrC//ahpC//cdd//paaK//ung//wrbA//cynT//ftnA//asnA//nemA//srkA//purM//xapA//fadM//malS//gabD//patD//nrfD//
PrpR	rhaA//araD//argB//glmU//
PspF	phnM//
PurR	ubiX//puuE//moeA//allC//treC//alkB//dkgA//ulaF//glgP//torA//hyaC//prpE//murQ//pgi//rbsD//relA//alaS//paaJ//entB//paaG//ahpF//nirB//nadA//paaA//paaC//paaZ//
PutA	malQ//mhpF//
PuuR	pyrD//nemA//hcaD//argG//lpd//nfsB//
QseB	
RbsR	lpxC//katE//wzb//astB//wecE//leuC//
RcdA	entD//
RclR	
RcnR	dgcC//
RcsAB	mhpE//mnmG//puuA//
RcsB	fadA//purB//lhgO//dkgA//
RcsB-BglJ	ldtD//citG//
RelB	argH//
RelB-RelE	fbaB//
RhaR	
RhaS	pyrD//katG//cysN//wecC//
Rob	udp//mhpA//wzb//mazG//sdhD//waaH//fucI//nrdA//cysN//lyxK//citX//hyaB//trpC//glmU//ppc//bioB//katG//accA//katG//
RstA	idnD//sucB//moaA//
RtcR	mhpD//purM//
RutR	speB//phr//rtcA//moaD//katG//mhpD//glpX//glxK//alaA//moaA//hycD//
SdiA	
SgrR	accD//hcaD//glmU//
SlyA	patA//fabA//argH//pheT//ulaD//ydcS//cdd//yfdE//lsrK//
SoxR	nrdD//
SoxS	dadX//paaF//glpX//ppsA//hcp//nanM//murD//mltF//speB//glyA//feaB//yeaE//hcaD//edd//pspE//ilvG_1//phnN//bacA//phnI//aroG//sgbE//dadA//paaB//lysA//carA//leuA//
SrlR	asnB//fabB//patA//
StpA	cysH//waaH//hemL//
SutR	dmsC//fucI//
TdcA	rfe//wzb//nrdB//mhpF//aceE//
TdcR	glgX//lysA//psd//ruvA//fucI//
TorR	ybjG//glxK//glpD//glcE//idnK//
TreR	narH//argH//
