# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ampC//xylB//
Ada	pyrC//fbaB//ilvD//wzb//
AdiY	pncB//argA//glxK//moaE//
AgaR	ftsI//
AidB	moaE//
AlaS	moeB//
AllR	feaB//purA//lacA//ssuE//lacZ//cysI//
AllS	metK//dsdA//araB//
AlsR	dmsA//ssuE//fucA//
AppY	betB//bioD//
AraC	purK//cysM//nanK//aroG//pgpC//ydcS//deoD//alkB//
ArgP	ascB//sufS//cueO//hemH//murD//gatD//srkA//nfsA//fdhF//
ArgR	hcaD//rhaD//gudD//carB//glgB//glmU//uvrA//idnD//ung//sdhA//lsrK//bioB//uvrB//frdB//alaC//aceB//gcvH//nfsB//umuD//murQ//frc//purD//uxaC//
ArsR	hycE//gudD//
AscG	nrdB//galT//
AsnC	citG//galE//
AtoC	nanK//eda//umuD//
BCCP	tdcB//
BaeR	trpB//poxB//
BasR	gapA//wrbA//folA//
BetI	appA//arsC//hyi//
BirA	entH//tyrB//argE//aceA//ulaF//
BluR	
BolA	acnB//dapD//
BtsR	lsrF//
CadC	rhaD//ftnA//truB//
CaiF	allB//fruK//cysK//pgaC//citX//
Cbl	fabB//lysC//dhaM//rhaD//puuE//
CdaR	ilvG_1//sucA//asnB//purF//torA//ttdB//citC//trpA//lacZ//
CecR	alaC//
ChbR	lysA//argF//avtA//
ComR	
CpxR	rimK//paaB//ascB//paaA//phnO//adiA//purK//gatD//cadA//phnG//astD//lsrK//avtA//dgkA//gnd//serA//accC//phnO//guaB//sdhB//phnH//
Cra	ilvA//dapB//allB//gltD//carB//ttdB//malS//lpxC//mdh//paaK//murQ//argF//pgk//hcaE//pfkA//prpD//ulaE//cysC//uidA//pgaC//lacZ//xylA//malS//ftsI//aceA//sdhA//frc//ruvB//gapA//ddlB//prpB//hyaC//phnH//galE//fdhF//cysG//dinB//ribA//glmS//pdeR//allB//paaA//tdcE//rbsK//paaH//nanA//cynS//hcp//relA//dapB//ydcS//fucU//paaZ//metF//gor//waaZ//umuD//rutD//ssuD//
CreB	rffM//moeB//
CsgD	tdcG//glgC//rhaB//prpC//gloA//
CsiR	nanK//bioA//rtcA//yeaG//
CspA	dadX//
CueR	ulaG//metH//bioF//dhaM//hycE//
CusR	hyaC//dacC//cysM//phnL//
CynR	phnG//astE//poxB//
CysB	metH//aspA//araB//ybjG//guaA//relA//gloA//glyA//pheS//paaA//fdhF//asnA//phoA//gcl//lacZ//ygeA//garL//
CytR	dadA//astD//moaC//sucA//gdhA//cysD//speB//speA//dgkA//purC//
DcuR	gntK//dgkA//alaA//fau//
DeoR	cysD//ftnA//fumC//tdcE//garD//asnA//
DhaR	cysI//
DicA	
DinJ-YafQ	glpA//
DnaA	aroF//gor//glpB//ogt//gcl//mnmG//
DpiA	phnI//aroF//mpl//putA//pepD//
DsdC	glmS//tdcE//
EbgR	
EnvR	bglB//ftsI//
EnvY	melA//ulaE//
EvgA	cysD//glmS//atoA//alkA//treC//rhaB//
ExuR	ychF//chbF//purN//fabH//amn//ychF//
FabR	acnA//mazG//fadE//
FadR	hycF//araD//bioB//uvrC//gudD//purL//glcE//moaD//purK//yiaK//acnB//tdcE//tam//aroH//moaA//uvrA//ung//deoA//accC//
FeaR	fabB//fabZ//
FhlA	moaC//metL//rffC//rutE//gcvP//fabB//deoD//caiC//
FlhDC	umpH//gltB//puuE//paaE//cynS//wecC//allE//gutQ//mhpD//tpiA//xapA//rfe//hcaF//purD//
FliZ	uxaA//aceF//nrfD//garR//carB//
FucR	ddlB//carB//pagP//metC//trpA//lldD//
Fur	paaZ//lysA//fucA//napG//wecE//adiA//cynT//uxuB//rhaB//pgaD//prpD//citG//sdaA//cysD//fadE//narG//yfdE//sucD//alaC//aroA//wecE//xapA//garK//glgX//idnO//lysU//garL//oxc//nanA//tdcE//phnM//ruvB//gatZ//fdhF//lhgO//narH//hcp//sdhC//purE//ftsI//gdhA//tyrB//hemL//ilvM//allB//citD//waaY//gltB//entC//citF//aceA//carA//lyxK//rbsD//uvrC//glgA//gudD//wecC//cysN//dkgB//ynfG//purD//
GadE	bglB//luxS//sbcC//metL//lysU//ung//sdhA//pagP//pflB//malQ//
GadE-RcsB	ybjG//rutD//entH//uvrB//mhpD//
GadW	lacA//purH//rhaA//rimK//
GadX	pncB//fabG//fadM//astC//relA//hyi//moaE//nanA//dmsA//accC//entA//purD//argD//
GalR	pflB//hmp//atoA//nfsB//ubiC//deoD//
GalS	glpX//cysJ//glpX//hyi//tam//polA//
GatR	rhaD//lpd//hyaA//
GcvA	gpmM//waaY//ndh//
GlcC	cysD//nrdD//pykF//
GlpR	dhaK//ilvD//ubiA//citD//metH//poxB//ssuE//
GlrR	
GntR	hcaE//ascB//malY//eno//glmS//ydcS//ulaE//cdd//lysU//
GutM	bglB//mhpD//deoB//
HU	accA//pdeH//moaD//treC//fucU//paaI//aceF//
HcaR	ftnA//rhaD//
HdfR	
HigA	ulaF//
HigB-HigA	yqjH//
HipAB	alaC//pheS//
HipB	umpH//puuA//ynfG//
HprR	waaH//trpB//tyrA//prpD//
HyfR	hycC//
HypT	ldtC//xylA//paaK//nrdB//glk//gor//purM//
IclR	dgcN//cysJ//citE//
IdnR	tauD//fadI//gor//nrdE//yfdE//xapA//
IlvY	paaB//
IscR	sucB//citE//napB//umuD//caiB//nagB//xylA//fabB//
KdgR	glxR//fadM//
KdpE	citX//
LacI	cynT//lsrG//umuC//
LeuO	ahpC//pyrD//mpl//hycD//katE//pgk//
LexA	dmsB//entC//trpE//thrS//pncB//mhpF//rhaD//fruK//fadJ//pgpC//waaY//lpxA//yedX//leuB//gltD//trpC//caiD//nanM//lysA//dmsA//pgaB//citX//fadD//
LldR	rffC//pykF//
LrhA	
Lrp	rutD//umuD//tktB//ulaG//fadH//phnI//moaD//purD//hycE//phoA//pyrC//dmsA//bioC//garR//dinB//gadA//entE//nanE//waaH//purL//fabG//malS//gcl//pgaD//araB//dhaM//frdB//aroA//atoA//frdB//frdD//guaB//nanA//sgbE//idnK//lsrK//xylB//nirD//fadJ//fadH//
LsrR	nemA//sufS//fabA//ynfH//fucI//
LysR	citC//
MalI	ubiX//leuC//
MalT	purD//idnO//talA//betA//ugpQ//mnmG//
MarA	ppc//accC//ynfF//napG//patA//tpiA//ppc//feaB//uxuA//metC//bioA//aceE//ynfH//tadA//rutB//hycE//gudD//kbaY//pgaB//purC//tpiA//oxc//hypF//bioF//
MarR	
MatA	allB//
MazE	nrfA//
MazE-MazF	ilvD//
McbR	
MelR	fumC//polA//
MetJ	garL//ruvB//citC//polB//add//fadB//ldtB//moeA//lpxA//folE//
MetR	purM//acnA//ssuD//glgA//
MhpR	murQ//lpd//dgcN//fbaA//gcl//acnB//
Mlc	glmS//bioF//yedX//lysU//
MlrA	tadA//
MngR	trpD//dapD//
MntR	acnA//edd//
ModE	sgbE//metE//prpB//ccp//codA//alaC//metH//metH//luxS//tehB//alaC//citD//aroF//astC//nrfD//atoA//udp//
MprA	cysC//sucC//gadA//
MqsA	pgaD//pspE//
MraZ	purA//dkgB//citX//narI//ftnA//oxc//rffT//purN//ppsA//wrbA//
MurR	leuB//cdd//allB//
Nac	serC//glpQ//waaY//pdeH//ynfH//wecE//poxB//nirB//torC//deoD//glgB//
NadR	rutA//hcaF//argI//aroL//
NagC	caiD//murG//rfe//luxS//deoA//pdeL//luxS//serC//uvrC//paaZ//ilvG_1//fdhF//trpB//rpiB//sodA//ttdA//argG//ubiA//mhpD//
NanR	malS//bioB//alkA//rutC//nanE//frdB//
NarL	waaH//xylA//gnd//hcaE//uvrB//moaE//alaC//glpC//atoA//glgB//srlD//pnp//aroF//phr//ccp//chbG//ftsI//hycC//phnM//alsE//glpX//wecC//kbl//eno//dacC//moeA//glgC//galM//alaC//deoC//napB//alaS//deoC//ilvE//gntK//feaB//betB//lacZ//paaH//eno//patD//
NarP	wzc//sufS//ilvM//caiA//paaF//hycG//purM//frc//rutD//hycD//eda//bacA//purA//serC//fadE//
NemR	hycF//hyaC//
NhaR	yfdE//accD//mraY//purL//entF//
NikR	serA//
NimR	pck//
NorR	fadB//
NrdR	glsA//argD//paaH//glmS//
NsrR	feaB//glxK//fabB//codA//hyi//allB//mdh//accA//ynfF//ppc//ribA//ulaE//argC//leuC//lacA//citC//cysH//ilvH//pgk//dmsA//paaI//paaB//hmp//glcF//paaC//phr//tdcG//fadI//glpA//srkA//dkgA//ascB//ubiX//glcE//lpxA//guaB//putA//astB//pncB//appA//
NtrC	idnD//srkA//frc//dhaK//alaC//garK//cysH//truB//hycC//pnp//alkB//serC//fadD//patA//rhaB//cynS//yqjH//fucK//sodB//gapA//mpaA//
OmpR	srlD//dadA//narH//epd//lpxD//fabH//pfkA//argC//
OxyR	cdd//torC//fucA//allA//pgaD//rnpB//bacA//narI//aroL//allC//ulaD//prpD//hyaC//gcvH//lacA//tynA//asnA//
PaaX	katG//gadA//fbaB//glgX//rtcA//narI//fdhF//nrfA//cysH//
PdeL	tdh//
PdhR	nrdB//cysE//kbl//rfe//udp//fes//ubiC//dacC//paaI//bioA//gabD//katG//hemL//bioC//ilvD//fadD//hcaF//nanA//nemA//edd//cynS//codA//dgkA//prpC//accC//
PepA	citC//gcl//
PgrR	ynfH//uvrC//
PhoB	hyaC//glcE//rhaA//mdh//uxuB//fdhF//lldD//leuA//umuC//tdcD//uxaB//uxaB//torA//ulaE//ftsI//purN//ppiA//appA//fabZ//gloA//
PhoP	sgbH//idnO//nrdF//icd//ppsA//uxaB//paaH//gloA//phnP//hcaD//napA//lacZ//sgbE//dkgA//polB//pgk//rutB//patA//ada//fumC//acnA//argG//allC//leuC//dacC//fadI//citE//aspA//sgbU//rutA//murG//patA//
PrpR	caiB//glcF//entB//rffG//
PspF	hycE//
PurR	ldtB//lysU//uxuA//ddlB//hycF//metA//pdeH//glgB//hyaB//asnB//cysH//ftnA//acnA//trpE//ung//argF//ubiA//entB//galT//lsrG//ilvD//patA//sucD//tyrB//hypB//ftnA//
PutA	purM//hyaA//
PuuR	pgaB//fumB//pgi//ttdA//speA//rutE//
QseB	
RbsR	polA//epd//tdh//ppc//pheS//hycD//
RcdA	edd//
RclR	
RcnR	pck//
RcsAB	sucA//tadA//fadJ//
RcsB	fabH//argG//tyrB//pgi//
RcsB-BglJ	prpE//ubiA//
RelB	nrdE//
RelB-RelE	mhpB//
RhaR	
RhaS	hycC//hmp//yfdE//nirB//
Rob	argA//sdaA//ung//xylA//garK//mpaA//phoA//leuC//lysA//pnp//aldA//glgC//fadM//fucK//fruK//murD//nemA//citC//ppc//
RstA	sgbH//ygeA//yqhD//
RtcR	ugpQ//sdhB//
RutR	nadA//uvrC//rffC//phnL//sodA//purL//tnaA//paaI//wzb//fau//poxB//
SdiA	
SgrR	fadD//xylB//nrfD//
SlyA	fabA//rffM//leuC//rffT//rimK//dhaL//fruK//glcF//fabI//
SoxR	lldD//
SoxS	moeB//ugpQ//ruvB//gatZ//lysA//rffH//rffT//malP//katE//cysD//cysH//ybjG//speA//entB//icd//murI//dapD//oxc//mnmG//gatZ//rtcA//dgcC//murI//alaS//napB//idnK//
SrlR	uxaC//hycE//pncB//
StpA	nrdB//yqhD//uvrC//
SutR	cynT//puuC//
TdcA	ribA//pykF//ampC//purF//aceE//
TdcR	chbG//argG//puuA//icd//mhpD//
TorR	sdhC//fabA//ldtC//gutQ//tpiA//
TreR	dhaM//cysJ//
TrpR	rhaB//pagP//ahpC//nemA//glmU//argC//glcE//recF//lsrF//
TtdR	polB//slt//
TyrR	idnK//ychF//umuD//gntK//uxuA//prpC//mhpC//argH//purK//
UhpA	entH//
UidR	ahpF//astA//
UlaR	hycD//entC//ilvH//ilvI//cysG//
UvrY	adiA//dacC//
UxuR	ahpC//nagA//leuC//relA//rhaA//
XapR	fadB//hyaC//
XylR	metE//grxA//ubiA//
YdeO	moeA//gpmA//metF//
YefM	gpmA//
YefM-YoeB	sdhC//
YeiL	
YhaJ	
YiaJ	asnA//ilvG_1//wzc//waaY//trpD//yqhD//
YjjQ	poxB//fabB//
YpdB	
YqhC	gor//ilvI//
YqjI	paaB//
ZntR	trpB//
ZraR	
Zur	ulaD//
