# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metC//puuA//
Ada	sodA//fadB//mltF//rhaD//
AdiY	fucA//rbsD//glpX//paaH//
AgaR	glpQ//
AidB	tnaA//
AlaS	sbcC//
AllR	aroH//sucA//amn//gnd//glgA//slt//
AllS	allC//umuC//aroA//
AlsR	tehB//katE//fadE//
AppY	fucO//moaD//
AraC	gcl//murD//feaB//ccp//frdC//puuB//ubiA//argH//
ArgP	tyrB//hcaB//astE//nrdD//ascB//fbaA//ulaE//moaA//paaG//
ArgR	paaA//paaB//paaB//ugpQ//ccp//uvrB//lsrF//metA//ung//rffG//hcaB//ulaE//cadA//paaE//uvrC//rhaD//aspC//leuA//psd//truB//fadH//codA//mltF//
ArsR	purA//melA//
AscG	deoC//murF//
AsnC	bioC//ilvH//
AtoC	mhpA//pnp//puuB//
BCCP	caiA//
BaeR	aroF//garL//
BasR	ybjG//narG//hemH//
BetI	fabI//wecE//malY//
BirA	patD//nadA//ynfE//oxc//glxK//
BluR	
BolA	ogt//sbcC//
BtsR	xylB//
CadC	hemL//lysA//hyaA//
CaiF	galE//recD//fadM//dgcC//napG//
Cbl	deoD//aldA//rffH//gdhA//gpmA//
CdaR	ndh//talA//napG//dgcC//purL//fucI//paaI//puuA//speA//
CecR	sdaA//
ChbR	truB//pyrD//purM//
ComR	
CpxR	aroH//fadH//yqhD//mraY//deoC//mpl//allA//murC//citC//ugpQ//rnpB//wecE//trpC//idnO//ygeA//umpH//nrdA//glgX//tauD//purE//melA//
Cra	phr//galT//cynT//rpiB//malZ//mraY//yedX//recB//ilvH//ldtD//murC//rutE//glsA//tdcE//pyrD//kbaZ//glcB//glnA//dmsC//nirD//cysC//trpA//cysM//pepD//dmsA//nrfA//purF//yedX//moeB//pyrD//glpX//paaB//glpC//hycC//napB//deoB//gabD//argF//lldD//pagP//yqjH//pagP//argD//fbaB//mhpA//cdd//sodB//bioD//hcaF//accA//purL//polB//bioA//ribA//garL//tehB//pykF//bioD//phnI//
CreB	guaA//aroF//
CsgD	xylB//cynS//hyaC//ynfH//dadA//
CsiR	yiaK//moaD//nanE//arsC//
CspA	dmsC//
CueR	ppsA//recB//oxc//torC//oxc//
CusR	ldtB//dacC//ugpQ//cdd//
CynR	hycE//argF//accC//
CysB	murD//argC//citE//ccp//mngB//alkA//lpxD//puuE//uxaC//ygeA//purL//entH//pheT//yeaE//ftsI//ampC//ynfH//
CytR	ubiC//deoD//ilvH//ynfE//lhgO//relA//fucU//mhpD//polB//katE//
DcuR	gatY//pgpC//mhpA//paaB//
DeoR	pyrC//fadJ//cysJ//cysK//ddlB//rtcB//
DhaR	bglB//
DicA	
DinJ-YafQ	fumB//
DnaA	argB//xapA//iscS//hcaF//ung//mtlD//
DpiA	pagP//alkB//lpxD//lldD//frdA//
DsdC	glsA//fadB//
EbgR	
EnvR	serC//phnJ//
EnvY	dinB//bioC//
EvgA	rffH//paaY//leuD//cysC//pdeH//rfe//
ExuR	oxc//tyrB//icd//leuA//eda//moeA//
FabR	paaE//waaY//mhpB//
FadR	ilvC//glpK//deoD//ccp//prs//rffT//yqhD//bioD//cysN//malY//epd//cdd//mdh//murE//phoA//yiaK//trpA//lyxK//lsrG//
FeaR	tdcG//kbl//
FhlA	dhaK//astB//atoA//ldtB//araD//narH//sucD//betB//
FlhDC	phnP//lpd//glgB//rutD//murI//oxc//caiD//tktB//speB//citC//gpmM//deoA//aspC//uxaC//
FliZ	wecB//ssuD//moaE//appA//yiaK//
FucR	phr//dadA//argD//dmsB//appA//ldtC//
Fur	tpiA//malP//nfsB//katG//pgk//dmsB//fabH//frdD//garR//argF//waaZ//nanM//pdeL//nfsA//dapD//cysJ//ynfE//citX//entA//pspE//fumB//murD//betB//mhpE//dsdA//leuA//ubiX//glyA//metC//dkgB//poxB//argC//sdhA//uvrA//dgcC//yeaE//rffG//uxuB//fes//mpl//ilvE//tdh//fumC//allD//lysU//hcaE//tyrB//mazG//folE//bioD//rffC//uxaA//mraY//glcB//rnpB//citG//gadB//atoA//caiD//lsrG//argI//waaZ//
GadE	ppc//purN//accA//tnaA//yqjH//rutC//glxR//glpD//purK//dapB//
GadE-RcsB	eda//citD//hypF//pdeH//rutB//
GadW	bacA//sufS//fabI//moaD//
GadX	gcl//atoA//rffM//paaY//aspC//paaC//truB//ttdB//purN//puuD//araA//glgX//speA//
GalR	tdcD//mdh//dmsA//pgk//glxR//aspA//
GalS	amn//astC//nirB//phnH//frc//mhpB//
GatR	murE//betA//chbG//
GcvA	entB//aspC//glcF//
GlcC	yeaE//dapD//tdh//
GlpR	ribA//nrdF//sucC//paaA//glpQ//srkA//rffC//
GlrR	
GntR	allE//hycC//ruvB//alaC//cdd//alaC//glpX//sdhA//ribA//
GutM	waaY//luxS//uxaA//
HU	ygeA//trpB//speA//tyrB//nadA//tadA//glpB//
HcaR	trpE//tadA//
HdfR	
HigA	cueO//
HigB-HigA	lacZ//
HipAB	pfkA//kbl//
HipB	ssuD//tdcD//moaC//
HprR	dmsC//glcF//cysI//acnB//
HyfR	dmsA//
HypT	appA//waaY//pgaB//fucU//bglB//uvrC//ddlB//
IclR	speB//astA//leuA//
IdnR	malS//gltB//bioB//moaD//xylB//mnmG//
IlvY	ruvB//
IscR	tdcD//glgC//alaC//chbF//leuB//astE//speA//dgcC//
KdgR	phnO//fucK//
KdpE	lldD//
LacI	paaG//nrfA//aroL//
LeuO	speB//guaB//ynfF//nrdE//aceF//malS//
LexA	chbF//ugpQ//feaB//sdhC//moeB//tadA//ldtC//alkA//glgA//nrfD//sucB//sucA//galT//dgcC//guaB//paaB//metA//napA//lsrG//paaH//iscS//melA//dhaM//
LldR	cysH//glnA//
LrhA	
