# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fadJ//deoB//
Ada	frdB//yedX//ftnA//fumB//
AdiY	fbaB//gcvT//eno//treC//
AgaR	hyaA//
AidB	uvrB//
AlaS	puuA//
AllR	ccp//entE//yedX//pagP//chbG//glcF//
AllS	fadI//udp//ulaD//
AlsR	adhE//fadA//fadB//
AppY	puuD//murF//
AraC	ruvA//moaD//pyrC//araB//betB//argC//thrS//pck//
ArgP	ynfH//puuD//xylA//napG//pgaB//astC//dmsB//murI//nanE//
ArgR	trpB//sbcC//phnP//metK//tdcD//wecB//rffC//glpK//accA//aroH//cysH//ilvH//nfsA//moaA//moeB//luxS//cysG//yeaG//moeB//cysD//lacZ//gatY//rutD//
ArsR	lsrK//gltD//
AscG	add//nirD//
AsnC	pdeR//nadA//
AtoC	paaB//ydcS//bioD//
BCCP	glgC//
BaeR	pncB//gutQ//
BasR	paaF//metA//pyrC//
BetI	dacC//bacA//alaC//
BirA	nrfD//garK//pgk//gntK//hmp//
BluR	
BolA	guaB//fucA//
BtsR	ilvG_1//
CadC	galT//fdhF//pgaB//
CaiF	galK//pheT//tyrB//argF//glnA//
Cbl	pgk//fadE//cyoE//nemA//tdcD//
CdaR	paaB//purN//aceE//nirB//fadH//argA//hycG//bioF//putA//
CecR	glgB//
ChbR	glpB//ftsI//phnJ//
ComR	
CpxR	fbaA//gltD//rffM//yqjH//argI//srlD//paaE//waaZ//entH//nanA//dgcN//astD//cdd//ttdA//wzc//sdaA//sbcC//rffM//pheS//phnH//phnL//
Cra	fucU//speB//ulaG//fes//icd//rffC//argI//yiaK//truB//frdC//dadX//purL//alsE//rffM//fbaA//tpiA//mngB//chbG//rffT//mngB//yfdE//nrfC//mpaA//astE//pgaD//ung//glpK//serC//waaH//tynA//gabT//gnd//ulaE//aspC//guaA//dmsA//prpD//uidA//ilvD//argD//gloA//ccp//melA//ppsA//hycB//mhpD//wecB//argE//dgcZ//rimK//rutA//srlD//umuC//pheS//fdhF//glgB//patA//adiA//ruvA//
CreB	narH//dadA//
CsgD	ftsI//fumC//nfsB//puuC//leuA//
CsiR	rbsK//fucU//nrdF//yedX//
CspA	dmsA//
CueR	hycG//tynA//araB//dapD//ndh//
CusR	trpC//pck//argH//rimK//
CynR	betB//alkA//putA//
CysB	ilvI//srkA//tdcE//umpH//metC//putA//torC//grxA//puuE//uxaB//tyrA//rutD//amn//phnN//phnN//fucU//adhE//
CytR	nrdB//hyaB//rffT//ilvC//yeaG//tynA//nrdD//aspA//torA//rutE//
DcuR	dhaM//rimK//gltB//argI//
DeoR	putA//cueO//garR//lacA//mhpF//frc//
DhaR	aspA//
DicA	
DinJ-YafQ	puuD//
DnaA	ilvM//purE//fabD//guaA//umuC//mhpA//
DpiA	mhpF//sdhD//lpxC//rtcA//ldtB//
DsdC	glnA//ddlB//
EbgR	
EnvR	puuB//citG//
EnvY	nrfC//trpC//
EvgA	deoD//purD//entA//fabH//sodA//rhaA//
ExuR	bioD//hcaC//sgbH//bacA//aceB//prpB//
FabR	rimK//alkA//glgC//
