# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ychF//pnp//
Ada	trpA//fucK//murC//pgk//
AdiY	glyA//murE//nirD//paaG//
AgaR	glpK//
AidB	purA//
AlaS	aspC//
AllR	rutD//mazG//kbaY//bioA//ubiC//gltD//
AllS	ugpQ//hcaE//glpA//
AlsR	yedX//tdcD//rffM//
AppY	appA//cysK//
AraC	tadA//ilvM//torA//polB//folA//sodA//fabA//glmU//
ArgP	malY//metC//ttdB//cynS//alsE//hycC//rtcB//dacC//fbaB//
ArgR	nrdA//ftnA//nadB//paaZ//fes//cysI//speB//mraY//hcaB//ynfF//psd//chbG//hyaA//avtA//rtcA//fadJ//pfkA//gatD//uvrB//caiA//cysG//ilvA//rffG//
ArsR	rutA//aroH//
AscG	lpxD//umpH//
AsnC	trpD//mdh//
AtoC	entH//ahpF//atoD//
BCCP	fabB//
BaeR	ahpC//uxaB//
BasR	udp//xapA//fucA//
BetI	gatZ//pgaD//murE//
BirA	fadA//argH//puuA//pspE//prpC//
BluR	
BolA	pgpC//guaB//
BtsR	deoD//
CadC	hycB//rutE//lysC//
CaiF	ulaD//pyrD//aldA//glk//prpB//
Cbl	glsA//oxc//yfdE//tdh//metC//
CdaR	tpiA//rutD//pncB//araA//ycjG//gabT//entB//ydcS//leuC//
CecR	nadB//
ChbR	phr//ygeA//aroH//
ComR	
CpxR	allB//cysH//araB//gltB//glpQ//sucD//nemA//entB//hyaA//ftsI//ilvC//gltB//ldtB//tdh//lsrK//nanK//cysN//nirB//dhaK//ung//tdh//
Cra	mhpC//pdeR//malZ//tdcD//gcl//ulaD//gloA//feaB//edd//serA//argD//pck//sdhA//umpH//puuD//tdcB//allB//paaZ//malQ//umpH//sdhB//dinB//nanM//gnd//melA//fabI//epd//murF//rffT//wecC//pgaB//pnp//citC//fbaB//fabD//nadA//metF//pdeL//idnO//leuC//cysE//gcvT//aroH//hcaF//mazG//nfsA//purE//fumB//rutE//moaE//glgB//ilvD//adiA//glgX//mnmG//nrdB//ydcS//argD//ychF//
CreB	garL//citG//
CsgD	mltF//allD//moaD//nanE//moaD//
CsiR	cysG//pgaB//xapA//lpxC//
CspA	rfe//
CueR	katE//lysC//lsrG//dhaK//mpl//
CusR	napH//speA//pgi//gatZ//
CynR	aceB//mhpE//metH//
CysB	fadE//entE//gcvT//nanK//argI//tnaA//yiaK//recB//slt//alaA//murI//ftnA//rutD//entF//gapA//cueO//glxK//
CytR	caiA//trpD//garL//atoA//polA//betB//mhpC//ppc//narI//trpC//
DcuR	rhaA//ruvA//cueO//aspC//
DeoR	atoA//puuB//ahpC//sdhC//sdaA//cueO//
DhaR	uxuA//
DicA	
DinJ-YafQ	rutB//
DnaA	nirB//glmS//nadB//uvrB//sdhD//ilvE//
DpiA	gltD//lpd//glpX//nanE//napG//
DsdC	pdeH//glpC//
EbgR	
EnvR	purH//recB//
EnvY	gpmA//malS//
EvgA	ybjG//gabT//citX//ppc//pgaD//uvrC//
ExuR	gor//ugpQ//betA//phoA//aroL//gloA//
FabR	glgB//tdcD//ruvA//
FadR	rtcB//fadB//nrdB//ddlB//rfe//ynfE//speB//rbsD//murI//ldtD//sdhD//cysJ//hyaA//bioD//allC//aceE//aroH//hemH//gcvP//
FeaR	wzb//poxB//
FhlA	narG//tpiA//lacZ//fau//allA//gatY//fruK//lpd//
FlhDC	glgC//paaB//glpA//puuD//mhpB//atoB//trpB//ftsI//galM//pepD//purD//avtA//glpX//deoD//
FliZ	tpiA//polA//hypF//rsmH//torC//
FucR	glpD//sdhD//slt//folE//citG//hcaE//
Fur	nrdF//lysU//ygeA//phnL//cdd//sbcD//mhpC//paaF//speB//grxA//tdcE//nanK//murC//entC//ilvG_1//entF//mpaA//rffH//glpK//cynT//tdcG//rffT//guaA//napG//metL//tnaA//entH//tktB//cysC//chbG//nanM//metF//ttdB//hcaB//rsmH//gcvH//fau//ynfH//mngB//murG//ilvM//pyrD//dsdA//puuD//paaA//dhaK//deoA//pfkA//gabD//nadA//paaE//cyoE//yqhD//murG//ynfF//malY//deoD//entE//malY//relA//pdeR//nanE//
GadE	puuA//dacC//ung//katE//wecE//citX//paaI//mhpB//fucA//glpA//
GadE-RcsB	xapA//rutC//yqhD//pheT//pagP//
GadW	phnL//ilvI//srlD//codA//
GadX	gor//cysE//sucC//ulaG//pheT//dmsC//iscS//metL//dhaK//pgaC//paaC//mraY//frdD//
GalR	fabB//malZ//bioC//tdcD//mnmG//entA//
GalS	melA//patA//deoC//atoA//relA//aroF//
GatR	talA//yqjH//relA//
GcvA	serA//paaA//paaK//
GlcC	torC//dgcN//treC//
