# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	yqhD//frdA//
Ada	icd//metF//rffT//leuA//
AdiY	alkB//lpxD//garD//nrfD//
AgaR	folE//
AidB	lyxK//
AlaS	pagP//
AllR	paaZ//moaD//appA//argD//truB//carB//
AllS	pheS//prs//hycB//
AlsR	paaE//treC//aceA//
AppY	rtcA//sgbE//
AraC	katE//fabI//yfdE//ldtB//tdh//rsmH//nanA//gpmA//
ArgP	pncB//lysC//gutQ//galT//glgA//cysG//ppc//hcaD//recD//
ArgR	ilvI//uvrA//moaA//ubiA//thrS//narI//metE//truB//glcB//prpC//paaF//dacC//eda//allE//metC//ruvB//glsA//murD//bacA//atoB//ulaG//recD//dapD//
ArsR	nrdA//adhE//
AscG	prpB//sgbH//
AsnC	mtlD//eno//
AtoC	allE//paaA//prpE//
BCCP	psd//
BaeR	phnP//fucA//
BasR	paaE//torC//aroG//
BetI	iscS//mhpE//aceE//
BirA	dmsC//trpE//wzb//idnD//lpxC//
BluR	
BolA	uvrC//ahpF//
BtsR	fadD//
CadC	ldtC//mazG//gltD//
CaiF	paaZ//hyaC//ldtD//glnA//gadB//
Cbl	astD//dhaL//allD//pncB//fabB//
CdaR	paaF//fadM//pnp//puuC//mtlD//puuE//nrdA//trpA//dgcZ//
CecR	gntK//
ChbR	rutC//garD//rtcB//
ComR	
CpxR	lacA//frc//yqjH//yiaK//dapD//murQ//rsmH//katE//aceE//asnB//argB//rutA//deoD//ftsI//tadA//phnM//ttdB//citD//wrbA//purK//lysA//
Cra	cysJ//bioF//uxaB//aroG//trpA//rutC//psd//gpmA//phnG//allB//leuA//ilvC//ilvG_1//dadA//mraY//hyaA//trpC//dhaK//udp//aroG//argG//ilvE//mhpB//cysM//mtlD//wecB//hycC//nagA//ribA//gapA//hcp//dgcC//ccp//gpmA//cysC//murE//puuD//phr//entA//fabA//dapB//malS//allD//fumB//citX//hyaC//leuD//glk//wzc//rtcA//trpD//tktB//entH//pgaC//sgbU//idnK//asnB//ulaD//hycG//
CreB	glpD//ulaG//
CsgD	acnA//lysU//gltD//pfkA//ycjG//
CsiR	sgbE//metH//tyrA//cysH//
CspA	deoC//
CueR	glk//glgA//argG//glgP//xylB//
CusR	ubiC//malZ//dapD//fadE//
CynR	cdd//lpd//wzb//
CysB	hcaE//hycF//dkgA//prpD//umuC//hyaA//ynfF//ogt//dapB//ulaD//fes//gatD//feaB//sucC//araB//cueO//glpK//
CytR	mhpB//dhaM//idnD//cyoE//gadA//mdh//gadB//nrdB//aldA//hycD//
DcuR	fdhF//ubiX//lyxK//hemH//
DeoR	glgB//prpB//pagP//gabT//lyxK//ahpF//
DhaR	rutB//
DicA	
DinJ-YafQ	tdcD//
DnaA	frdD//gatY//adhE//leuC//tynA//glmU//
DpiA	fabH//prpB//entH//fadD//betB//
DsdC	idnO//prpD//
EbgR	
EnvR	umuC//ddlB//
EnvY	frdC//ilvH//
EvgA	eda//ruvB//murF//nrdE//ubiC//accC//
ExuR	moaA//entB//rhaA//gcvH//pheT//mpaA//
FabR	phnL//fucO//pgm//
FadR	deoC//wecB//pdeL//ribA//puuC//rutC//hypB//ppc//purH//napG//aspA//cysM//gloA//uidA//nanE//adiA//dgcN//argI//gcvP//
FeaR	ssuE//recF//
FhlA	recB//nagA//moaC//nrfC//fucA//mpl//hycG//tdcB//
FlhDC	deoD//gatY//glgC//sgbH//prpB//murE//trpE//paaE//ulaF//ssuD//galE//mhpD//araB//dkgB//
FliZ	metA//glpD//moeB//recB//frc//
FucR	phnO//allC//gpmA//pspE//rhaB//ftnA//
Fur	ubiA//rbsD//pyrC//sodB//metB//dkgB//fabZ//aspA//tdcB//lhgO//acnA//garR//nrdB//fucO//leuB//paaA//sdhC//ilvA//carA//lsrG//hmp//aldA//gltB//cueO//allB//hycG//purC//ilvH//wecB//cysG//argF//gntK//ilvE//cynT//entA//tdh//galE//codA//ppc//patA//fadI//mhpA//speB//codA//argB//asnA//glpA//dmsB//astE//cynT//citX//murF//nrfD//lacA//nrdD//glcD//argC//phr//rutA//pflB//cysK//argE//
GadE	fau//ahpC//phr//mhpE//ubiX//wrbA//pgi//fadI//argH//phoA//
GadE-RcsB	kbaZ//ynfG//moaA//napH//purA//
GadW	tdh//ddlB//ahpF//mhpF//
GadX	hcp//aceE//malS//lpxA//ubiC//glxK//aceE//umpH//uidA//chbF//ygeA//prs//lacZ//
GalR	paaI//malQ//pheS//prpD//rffC//pncB//
GalS	mltF//mtlD//wzb//rutD//fadM//lsrG//
GatR	kbaY//cynS//gadB//
GcvA	aceA//lpxC//hcp//
GlcC	nrdE//lpxA//moaA//
GlpR	dgcC//dadA//yfdE//udp//cueO//hypB//astA//
GlrR	
GntR	betA//sufS//glmU//aspC//ulaE//nrfD//dgcN//psd//sufS//
GutM	tnaA//malQ//chbG//
HU	paaJ//purN//nrfC//ulaG//wecE//purK//tdcD//
HcaR	glcB//hycD//
HdfR	
HigA	pyrD//
HigB-HigA	puuB//
HipAB	glcF//mhpC//
HipB	dgcN//avtA//cysE//
HprR	puuC//astD//sucC//allE//
HyfR	ilvI//
HypT	polA//ilvD//malS//nagA//trpC//gltD//atoB//
IclR	gadA//hemL//alaS//
IdnR	dadA//dkgA//metA//accA//glsA//rffG//
IlvY	entC//
IscR	ydcS//allB//rffT//bioA//cysC//napB//phnN//avtA//
KdgR	fabH//gcvH//
KdpE	metA//
LacI	aroG//sdhD//wzb//
LeuO	fruK//dapB//ftnA//lacA//sufS//gcvP//
