# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	entD//nirB//
Ada	hyaC//yfdE//moaC//ilvA//
AdiY	ldtB//lpxC//nirB//phnL//
AgaR	murF//
AidB	pheT//
AlaS	fabI//
AllR	cyoE//araD//purH//nemA//nanK//glcE//
AllS	sufS//caiA//puuC//
AlsR	glk//uvrC//srlD//
AppY	pheT//pepD//
AraC	dmsA//nfsB//argH//alkB//poxB//dgcC//glnA//galT//
ArgP	gadA//waaH//dkgB//paaF//phr//speA//allA//lsrG//ulaE//
ArgR	icd//guaA//phnL//glyA//trpD//glmU//pnp//lpxA//mhpC//fadH//uidA//napB//astA//gcvH//sdhC//ampC//entB//uxuA//purD//glyA//uxaC//mtlD//hypB//
ArsR	gntK//araD//
AscG	dadA//tktB//
AsnC	putA//waaZ//
AtoC	pncB//rutE//pgaD//
BCCP	nagB//
BaeR	prpD//lsrK//
BasR	purK//epd//ddlB//
BetI	cysM//fabD//fabI//
BirA	sodA//mraY//amn//galK//lpxA//
BluR	
BolA	aldA//leuC//
BtsR	entH//
CadC	codA//ldtB//cysN//
CaiF	argA//argE//idnD//ruvB//pgpC//
Cbl	garL//argD//glk//ruvA//acnB//
CdaR	fucA//wecB//mhpD//aceF//paaG//napG//glpX//frc//sucA//
CecR	sdhA//
ChbR	sufS//cdd//fau//
ComR	
CpxR	carA//moaE//fumC//tdh//phnI//dhaL//betB//ubiX//hcaC//lysC//entB//paaK//hycC//kbl//ftnA//sodA//bioF//metE//mnmG//prpC//gabT//
Cra	ddlB//gor//gcvP//edd//astC//gltB//dgcN//rbsD//fes//cyoE//nrdB//gcvH//lpd//purM//uvrC//appA//waaY//carA//paaE//paaZ//hycG//gadA//paaC//argD//ydcS//cynT//trpD//lysC//fucU//rffC//bioF//pykF//hyaB//gabT//alaA//fumC//aceB//lpxD//glsA//moaE//alaC//hypB//puuB//dmsB//sbcC//glnA//hycB//hcp//luxS//fruK//folA//glpB//aroG//yiaK//rsmH//moaC//mtlD//nrfD//rbsK//
CreB	ilvD//rsmH//
CsgD	umuD//rutB//dgcN//moeB//nirD//
CsiR	alkB//dkgB//gudD//pgaD//
CspA	patA//
CueR	ilvE//cysJ//appA//paaJ//sucA//
CusR	cysI//uxaA//sucA//asnA//
CynR	moaE//dgkA//paaH//
CysB	nirD//thrS//gltB//glcE//tadA//hyi//folE//idnK//nrfC//paaA//yfdE//cysG//cadA//tam//edd//gor//pgi//
CytR	murC//uvrC//glgB//ulaE//ilvC//grxA//cynT//dapD//rffG//gpmM//
DcuR	caiD//sodB//glpB//phnP//
DeoR	yiaK//astD//fucI//ndh//glcF//nanE//
DhaR	nrdE//
DicA	
DinJ-YafQ	sdhA//
DnaA	polB//nrdB//fabG//fucA//garL//wecE//
DpiA	glpD//ygeA//dmsB//edd//xylB//
DsdC	gutQ//rbsD//
EbgR	
EnvR	lacZ//zwf//
EnvY	nirD//aroL//
EvgA	tktB//rutC//folE//udp//nirD//allD//
ExuR	tadA//relA//wecE//astC//pgk//lsrG//
FabR	napG//speA//bioF//
FadR	rffH//nadA//acnB//paaI//rffC//purL//tdcE//fucI//kbaY//gadA//waaZ//ampC//citD//ung//frdD//bioC//moaE//lysA//zwf//
FeaR	patA//nanM//
FhlA	mdh//purH//pgk//gadB//leuA//dmsC//prpB//dhaM//
FlhDC	pgaB//leuD//frdC//uxaC//dkgB//dgcC//lsrK//murG//sdhA//poxB//glcD//rbsD//fau//tdcD//
FliZ	astB//mpaA//glpK//phnH//rtcA//
FucR	galM//glgC//rffT//tauD//tyrA//folA//
Fur	gatY//malQ//lacA//pnp//rffM//bioA//malS//narI//entE//gcvP//nfsA//phnP//prpE//paaC//nrdA//acnA//lldD//dgkA//uxaC//ribA//bacA//ttdA//torC//fadD//rbsK//chbF//truB//rffH//argB//uxuB//hcaD//nfsB//phr//torA//srlD//ycjG//sucD//deoC//fadI//araD//glpX//moeB//hyi//fbaA//murI//sodA//ygeA//tyrB//mpl//ahpC//sucC//wecB//galM//asnA//rffC//idnD//appA//ynfG//mhpF//glgC//prs//tdh//
GadE	astB//gcvH//katE//paaA//uvrB//rsmH//ogt//eno//grxA//nrdA//
GadE-RcsB	tyrA//dadA//mnmG//puuB//mngB//
GadW	wzc//alkB//ubiC//bioD//
GadX	uxuA//asnB//argE//ampC//gatD//serC//argF//waaH//mazG//fabD//dmsC//dgkA//entE//
GalR	bglB//glcD//aroF//rhaB//tam//ynfH//
GalS	cysE//hyaB//rfe//ppiA//tynA//pepD//
GatR	umuD//srkA//asnB//
GcvA	nfsA//ynfH//sodB//
GlcC	ldtC//glcF//kbaZ//
GlpR	purD//pnp//tynA//prpD//ssuE//citD//glpX//
GlrR	
GntR	nanK//guaB//ppiA//metK//fucA//fucO//tauD//phnM//polB//
GutM	metL//ascB//deoB//
HU	tdcE//ruvB//dhaK//lysU//rffG//dsdA//argC//
HcaR	fau//uxaC//
HdfR	
HigA	glcB//
HigB-HigA	srkA//
HipAB	pgm//fadD//
HipB	trpB//nanK//ubiX//
HprR	phnH//malY//malZ//dadX//
HyfR	phnJ//
HypT	fabH//caiD//tdcD//mhpA//ppiA//bioA//gcvP//
IclR	glnA//fbaB//acnA//
IdnR	dhaK//kbaY//rffH//narG//malZ//folE//
IlvY	gadB//
IscR	katG//prpE//paaA//gadB//narI//ahpF//glpD//mazG//
KdgR	glcB//moaA//
KdpE	melA//
LacI	sbcD//lpxD//hcaF//
LeuO	idnK//allE//paaH//tyrA//puuA//rffH//
LexA	hycF//fau//puuB//ftsI//lhgO//argE//tyrB//fabD//allB//lacZ//nrdE//uidA//napG//rffC//argE//idnO//sucB//purL//araA//carA//allA//ppc//gor//
LldR	mltF//trpC//
LrhA	
