# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgk//ndh//
Ada	purN//aroF//mhpD//phnH//
AdiY	lacA//cysK//fadD//ilvE//
AgaR	thrS//
AidB	hycG//
AlaS	fadM//
AllR	gatY//recB//tyrB//cadA//pykF//hyaA//
AllS	ynfH//lsrK//codA//
AlsR	purN//glk//fabZ//
AppY	allA//ttdA//
AraC	ubiX//hyaB//yeaG//rpiB//gatY//cueO//ddlB//ygeA//
ArgP	astD//malS//aldA//leuA//speA//gnd//folA//speA//nagA//
ArgR	gabD//aroG//entD//ldtC//hycF//frdB//hycF//glxK//citC//rhaB//idnD//rbsK//hyaC//ybjG//sgbU//speA//hemH//galE//narH//epd//aldA//tam//rhaD//
ArsR	serC//nrdE//
AscG	wecE//ycjG//
AsnC	betB//ynfF//
AtoC	ilvA//phoA//fadJ//
BCCP	dgcZ//
BaeR	citG//recD//
BasR	cysI//sdhB//rutB//
BetI	ttdB//arsC//cysG//
BirA	entF//gntK//astC//argI//rhaD//
BluR	
BolA	glyA//deoA//
BtsR	phnI//
CadC	gor//dadX//sgbU//
CaiF	ychF//wzc//lacZ//paaA//hypB//
Cbl	fbaA//purC//tauD//nrdA//alkA//
CdaR	paaC//ldtC//accC//pfkA//alaA//bioA//allE//pck//katG//
CecR	alkB//
ChbR	srkA//dgcN//wecE//
ComR	
CpxR	moaD//phnP//rutC//dsdA//ogt//bioD//serA//astB//codA//nanM//alkA//galT//torA//allD//gabT//tehB//rtcB//ulaF//tadA//ldtC//dapB//
Cra	torC//uxuB//hmp//katG//torC//narH//uvrB//malQ//phnM//udp//hyi//rffT//pdeR//glgC//rimK//mtlD//hcaC//glk//deoC//dacC//fabI//fadI//gatZ//yqhD//aspA//aspA//kbl//astA//poxB//purA//deoB//ppc//guaA//tdcD//recD//murE//cysD//pfkA//lacA//paaJ//mhpB//ldtD//glpX//hyaA//astC//glcE//paaB//pgk//murC//garL//ndh//alaS//caiA//feaB//puuE//ilvA//nrdF//paaC//astB//
CreB	dgcC//uxuA//
CsgD	metE//argD//prpD//moaD//alaC//
CsiR	rnpB//citC//leuD//ycjG//
CspA	waaZ//
CueR	lpxD//allB//ddlB//rhaB//accC//
CusR	rutA//argE//dacC//tktB//
CynR	atoD//argB//hyaA//
CysB	nrdB//lyxK//ybjG//lyxK//glxK//fau//rsmH//nrfC//glsA//pgaB//ynfE//gcvH//dmsB//prpD//ampC//argB//gadB//
