# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gcvT//hycB//
Ada	alkB//pyrC//hemH//ulaF//
AdiY	cysE//astE//lysC//recD//
AgaR	iscS//
AidB	pgaC//
AlaS	frdC//
AllR	tdcE//phnL//carB//rbsD//malY//ndh//
AllS	yqjH//lpxD//dadA//
AlsR	ccp//nfsA//putA//
AppY	putA//grxA//
AraC	nrdB//phnH//gloA//yedX//gdhA//katG//ilvG_1//alaC//
ArgP	serA//astA//ftnA//rffG//nirD//uxuB//mraY//gadA//fabH//
ArgR	fucK//speB//adhE//paaC//ddlB//dgkA//pgk//yfdE//feaB//gapA//pspE//frdB//hyaA//pheS//speA//malQ//rutD//garD//glmU//dkgA//treC//galK//amn//
ArsR	betA//dapB//
AscG	mhpF//hypF//
AsnC	malP//lpxC//
AtoC	paaY//bioA//glk//
BCCP	aspA//
BaeR	pdeR//nrdE//
BasR	rtcB//citE//hemL//
BetI	lsrF//hyaA//asnA//
BirA	rutA//caiC//pyrC//purF//phnP//
BluR	
BolA	glnA//aroL//
BtsR	aroA//
CadC	moeB//rhaD//garK//
CaiF	pheT//ccp//nanA//aceF//yeaE//
Cbl	bioF//pgk//tdcB//katE//ugpQ//
CdaR	murI//epd//nagA//dadX//uxuA//gltB//dhaK//sdhC//fadA//
CecR	sdhB//
ChbR	mhpB//entF//treC//
ComR	
CpxR	torC//rbsK//paaZ//ybjG//cysE//ldtD//mpaA//wzc//ycjG//dacC//nrdF//hcaE//hyaB//poxB//nanK//cyoE//ttdB//gatY//narG//cyoE//fau//
Cra	nrfC//sdhB//paaF//uxaC//ada//cynS//cyoE//entF//fadE//glk//serA//argD//aceB//citD//ilvD//sdaA//pdeR//wecB//murG//bglB//sdhA//treC//dkgA//tauD//glpC//rsmH//argC//hycE//pgaB//ilvM//hcaC//mhpA//moaA//nanA//glxK//lldD//nadA//nemA//sgbE//argE//avtA//sucD//tehB//dadX//sdhA//mhpC//ynfE//sbcC//glpC//leuD//citX//acnA//pgm//citG//trpC//araD//umpH//puuB//pnp//
CreB	narG//ilvE//
CsgD	paaI//atoD//mngB//mltF//phnP//
CsiR	hcaF//tyrA//dapD//tnaA//
CspA	nrdE//
CueR	dmsA//fbaB//ahpC//hcaF//phoA//
CusR	tynA//puuA//argG//garD//
CynR	mhpD//glgA//lpd//
CysB	adiA//serC//napG//nrdA//paaJ//glpA//sdhC//fadD//lsrF//gor//dgcN//cysD//rffM//argA//pheS//pgaD//wzb//
CytR	paaY//yeaG//uxaB//entA//nadA//glgC//rffH//mhpC//xylA//fadM//
DcuR	lpxC//phnG//carA//gapA//
DeoR	rbsK//entD//fes//argI//allA//bacA//
DhaR	trpB//
DicA	
DinJ-YafQ	ychF//
DnaA	rffM//udp//lpxC//gadB//ybjG//relA//
DpiA	uvrA//rhaA//folA//phnN//appA//
DsdC	glmS//ppc//
EbgR	
EnvR	fadM//glgB//
EnvY	gnd//citD//
EvgA	gltB//gpmA//frdA//garR//cysE//alkA//
ExuR	sgbU//amn//hypB//caiD//ynfF//ruvA//
FabR	ynfF//ampC//purK//
FadR	pdeL//ampC//acnB//ada//ulaG//fbaA//cyoE//fruK//uxuB//dapB//galT//rhaA//serC//gor//yfdE//leuA//hyaB//sdhC//allA//
FeaR	glsA//nrdF//
FhlA	trpD//rhaA//udp//rimK//accC//alkA//uidA//hcaD//
FlhDC	lyxK//pgm//paaJ//narG//glcE//rimK//yqhD//carA//garR//paaK//dsdA//pyrD//ruvB//fumB//
FliZ	moaC//tdcD//mtlD//aceF//gatZ//
FucR	sodA//paaJ//ldtC//dgcZ//gpmA//napG//
Fur	hcaE//sufS//tdcD//astE//purC//nfsA//dsdA//ldtB//deoD//glxK//adhE//paaH//torA//sgbU//uvrB//entC//alkA//yeaE//argA//deoC//bacA//galM//cysM//deoD//ybjG//glpX//puuA//glpA//rhaA//phoA//uxaB//appA//hycE//murI//ldtD//pgaC//idnD//frdA//mltF//nirB//tadA//garK//tyrB//entF//gcvH//prpE//purF//rutC//umuD//entB//tam//paaG//katE//cysE//ada//caiB//deoA//arsC//aspC//guaB//pgi//aroL//
GadE	iscS//astD//folE//tehB//rffT//rtcA//pgaD//ilvH//pyrD//metC//
GadE-RcsB	speB//gcl//aroL//rhaA//ldtD//
GadW	metB//trpB//trpC//adhE//
GadX	putA//hemH//fucU//ribA//gcvP//pfkA//trpD//fes//metC//sgbH//entD//ychF//trpB//
GalR	allB//trpE//sucB//srkA//hcaE//sodB//
GalS	ubiC//sucB//ilvE//astD//pyrC//glpD//
GatR	nrfC//ung//asnB//
GcvA	fucK//allA//atoD//
GlcC	rhaB//cueO//gor//
GlpR	araB//phnP//alaA//rutE//pgaB//purA//pgaC//
GlrR	
GntR	citF//paaB//yqhD//murI//hyaA//metL//ada//ynfE//pgk//
GutM	fabB//tdcE//sgbE//
HU	srkA//sbcC//mpl//garD//grxA//lpxD//entA//
HcaR	glyA//nrdE//
HdfR	
HigA	guaA//
HigB-HigA	yeaE//
HipAB	wecE//sodB//
HipB	glgC//glgA//alkB//
HprR	frc//moaC//aroG//pdeL//
HyfR	tdcB//
HypT	dgkA//glpX//dgkA//dhaM//bioC//alkB//phr//
IclR	ugpQ//frdA//trpC//
IdnR	lacZ//rsmH//napB//malP//fumC//epd//
IlvY	nrfD//
IscR	fucA//leuC//hemH//gcvT//rnpB//glpA//araD//iscS//
KdgR	tpiA//sucC//
KdpE	fdhF//
LacI	rtcA//ilvC//ascB//
LeuO	leuB//pykF//sgbE//yqjH//uxuB//mhpF//
LexA	appA//ascB//purK//paaF//astB//ubiX//edd//srlD//araB//nagA//gpmA//nrdE//entA//nrdA//citD//lsrG//nfsA//bioD//pfkA//recD//pgaB//glpD//phnI//
LldR	astB//lacA//
LrhA	
Lrp	hyaB//frdD//paaB//metF//xylB//xapA//mhpF//patA//lpxD//prpC//cysH//pepD//aspA//aceA//dgcN//hmp//narH//dapD//sdhA//narG//metA//ftnA//argH//sucC//ydcS//pncB//lysU//ribA//gpmA//carB//nanE//alkB//dmsB//ilvI//tktB//fadB//fucK//pagP//accA//cysJ//
LsrR	truB//pgpC//sdhA//mhpD//ubiC//
LysR	nrfA//
MalI	hcaB//ada//
MalT	nadA//fabB//glxK//guaA//mngB//phnP//
MarA	fadH//aspC//paaJ//entE//ilvM//bglB//puuA//gnd//idnD//aroH//ychF//folA//lsrK//gabD//rsmH//accD//prs//pdeR//dmsB//mhpD//ubiC//serC//pgaC//adiA//
MarR	
MatA	umpH//
MazE	alaS//
MazE-MazF	ulaG//
McbR	
MelR	ttdA//cueO//
MetJ	puuB//ilvH//hcaF//wzb//nrdE//ahpF//pdeR//phnH//glcE//lsrK//
MetR	glnA//ttdA//glxK//hemH//
MhpR	lpxA//ulaD//ydcS//mazG//fabH//glgP//
Mlc	murI//cysK//purM//fadE//
MlrA	ccp//
MngR	eno//hyaB//
MntR	bioC//glpK//
ModE	ruvA//ssuE//rffH//gcvT//glcE//pdeH//gpmA//dhaM//fabH//rnpB//patD//galT//pyrD//codA//fadE//speB//appA//
MprA	fumC//frdA//malP//
MqsA	bglB//glgX//
MraZ	fadE//gapA//garR//metK//leuB//sucD//ygeA//ynfE//fadA//lysC//
MurR	mraY//hypB//phnN//
Nac	glpX//ldtB//eda//phnO//napA//fucI//ruvA//dhaM//waaY//aceF//hycG//
NadR	napG//tynA//hcaD//torC//
NagC	nanA//moaD//glcE//malP//galE//srlD//grxA//waaZ//moaD//hemH//purF//dmsB//mhpA//pheT//metF//ynfH//purB//pyrD//ogt//
NanR	cysJ//dgcZ//cysG//nirD//talA//uvrC//
NarL	dhaK//argB//pncB//sodA//leuD//ynfG//alaS//dadX//rutC//arsC//sdhA//tehB//pfkA//puuC//ilvD//ppsA//feaB//accD//umuC//glpC//recB//puuA//lpxD//caiB//nagA//lpxA//sdhC//guaA//paaY//araD//malY//entH//puuC//ilvE//phnI//rffC//entB//idnD//fumB//cynT//cysD//
NarP	uxuB//gcvT//paaH//glcD//bioA//cysN//entD//hypB//dmsB//srlD//rtcA//paaC//paaB//lpxC//wrbA//
NemR	argD//mhpF//
NhaR	rutC//tadA//lsrG//ldtD//mdh//
NikR	mdh//
NimR	gntK//
NorR	fruK//
NrdR	ppc//fadJ//moaA//arsC//
NsrR	gloA//guaA//gcvP//glcE//galK//prpE//malS//treC//tpiA//phnO//entC//tyrB//avtA//pdeR//fes//astA//uvrC//hyi//tyrB//glgB//malY//asnB//ilvC//dapB//fucI//citC//ynfF//trpC//nrdD//argH//entF//nadA//sdaA//glsA//polA//mhpA//dmsB//caiB//pgaB//sucD//
NtrC	fadA//glmS//allC//lpxC//prs//fadH//paaB//rffH//fadH//patA//feaB//lpd//dmsB//ugpQ//lysA//glcE//bioF//ribA//paaA//caiC//thrS//
OmpR	idnO//glxK//malY//rsmH//sgbU//murD//lsrG//hypB//
OxyR	malS//iscS//pspE//murG//gdhA//nanM//waaY//serA//ydcS//mhpE//fabB//cdd//lpxC//katE//nanK//phoA//glyA//
PaaX	purF//putA//entH//dhaM//lysC//dinB//puuD//pnp//aroH//
PdeL	fadI//
PdhR	hypB//mazG//torC//glxK//fabH//gutQ//ftsI//kbaZ//gadA//carA//garL//ung//cysN//sufS//ruvB//paaI//rffM//pgk//ycjG//dgcC//accD//lacA//nrdB//pheT//glpB//
PepA	dmsA//tdcG//
PgrR	polA//mpl//
