# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	purK//rffT//
Ada	ydcS//fucU//fabH//slt//
AdiY	mtlD//lysA//gntK//tehB//
AgaR	serC//
AidB	aspA//
AlaS	narG//
AllR	paaZ//phnP//glgP//prpD//citF//betB//
AllS	avtA//slt//purL//
AlsR	sdaA//thrS//hypB//
AppY	nanM//torC//
AraC	purE//glcD//phr//mdh//paaG//ldtD//galK//argG//
ArgP	paaJ//glcB//glgB//rtcB//argC//ulaG//glgP//ftnA//yfdE//
ArgR	kbaZ//paaK//nfsB//ruvA//pfkA//rfe//gabT//yedX//icd//glmS//purA//mhpF//ychF//metE//fucA//dmsC//fruK//galT//deoC//ubiX//napH//sucC//napB//
ArsR	dacC//sbcD//
AscG	rffC//serC//
AsnC	cysD//lysU//
AtoC	waaZ//murF//yqhD//
BCCP	entH//
BaeR	talA//murI//
BasR	gdhA//iscS//hemL//
BetI	deoC//kbl//moeB//
BirA	murD//fadE//malQ//leuB//ilvH//
BluR	
BolA	gabD//murI//
BtsR	acnA//
CadC	entH//nrdF//malP//
CaiF	murD//paaG//sbcC//rsmH//srlD//
Cbl	fabA//arsC//glpX//rtcA//acnA//
CdaR	ilvI//gdhA//ahpC//sucD//gltB//entF//dhaM//uxaC//katG//
CecR	xylA//
ChbR	xapA//argB//ascB//
ComR	
CpxR	phnP//kbaY//dgcC//yfdE//nanM//aroA//mtlD//pheS//xylB//ldtD//gltD//hemH//moeA//garR//rhaD//lysC//arsC//uxaA//phnM//purD//dsdA//
Cra	entC//moaA//alsE//mhpC//puuD//ddlB//nfsA//moeB//tehB//dadA//dhaM//tdcE//iscS//rimK//ftsI//ahpC//glnA//fadM//sbcC//araA//pfkA//uxaC//sgbU//cysM//treC//cdd//ribA//deoB//aroH//fruK//melA//aroA//ruvA//galK//hcaB//thrS//citF//glpQ//fau//hyaA//glpB//hmp//garD//carA//paaI//paaI//glpX//napH//betB//gatD//guaA//bioA//nrfD//ribA//dgcN//pgaB//argE//alaS//entD//
CreB	hypF//uvrB//
CsgD	glpK//phnP//prpC//rtcA//sucB//
CsiR	gpmM//cysC//mngB//gapA//
CspA	frc//
CueR	pdeR//cysD//aroH//fadH//sgbE//
CusR	gatZ//bglB//leuB//xylB//
CynR	glsA//fadH//phr//
CysB	ada//napH//gabD//malY//gudD//ahpC//gltB//metA//glcB//rutA//iscS//grxA//entB//amn//amn//nanE//uvrB//
CytR	fbaB//frc//epd//torA//hyi//fadM//hcaF//entC//ulaG//xapA//
DcuR	ppsA//garD//guaB//sdaA//
