# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	allD//srlD//
Ada	lysC//phnN//codA//add//
AdiY	glgB//frc//garK//aceF//
AgaR	narI//
AidB	purC//
AlaS	pfkA//
AllR	add//lacA//araB//mnmG//frdC//nrdD//
AllS	nagB//ubiX//trpD//
AlsR	nrdF//glyA//sucD//
AppY	acnB//glgC//
AraC	tynA//sufS//dmsB//mpaA//patA//paaF//tktB//fabZ//
ArgP	gadA//cysE//sgbE//ppc//lsrF//alkB//ampC//garD//ndh//
ArgR	bioB//allC//ppsA//nrdF//ilvM//glgP//phr//rhaB//citF//ribA//sucC//acnA//dapD//alaA//paaZ//uxaC//dhaM//atoB//lysC//grxA//ruvB//yeaE//aceA//
ArsR	nrdD//pgk//
AscG	ulaD//lysU//
AsnC	leuD//lpxD//
AtoC	rtcB//sbcC//hcp//
BCCP	nfsA//
BaeR	prpC//nrdB//
BasR	citG//pflB//hcaB//
BetI	atoD//nrdF//tyrB//
BirA	waaZ//yeaE//metB//prpB//purB//
BluR	
BolA	uxaB//puuD//
BtsR	metK//
CadC	cueO//bacA//nirB//
CaiF	metF//ilvD//atoD//moaD//puuE//
Cbl	argC//rffT//hyaA//gabT//entF//
CdaR	napA//fes//rhaA//ppsA//carB//astA//gnd//accD//sbcD//
CecR	uvrB//
ChbR	sdhD//wecC//nfsA//
ComR	
CpxR	epd//ftnA//araB//puuA//chbF//kbaY//mhpD//sdhD//sucC//gabT//paaH//paaA//leuD//tadA//ilvD//metL//alkA//ynfH//lacA//speA//grxA//
Cra	tyrB//adhE//cadA//cysH//zwf//gatZ//betB//ynfH//hypB//rfe//truB//sucD//cynT//pgm//cynS//moaD//cysC//glpA//entH//edd//ulaG//rffC//slt//garR//fabB//mdh//purA//sodA//phnL//pgpC//ldtD//kbaZ//ilvA//sucA//glmS//hemL//chbG//ahpC//hmp//gloA//moaE//cdd//sdhC//nirD//nagA//uxuA//prs//glpQ//paaE//argB//bioC//tauD//cysN//wzb//rtcB//metB//pdeL//pagP//frdD//
CreB	lsrF//nanE//
CsgD	glmU//pck//cadA//aceE//sodA//
CsiR	nrfD//sucD//glmU//argE//
CspA	purF//
CueR	bioB//xylB//edd//pspE//pagP//
CusR	ulaD//gcl//lpd//trpC//
CynR	argA//glpQ//phnI//
CysB	fucO//allA//sdhB//trpA//uvrC//alaA//ynfG//gcvT//lysA//hyaC//purB//phr//argE//ilvC//rutD//dmsA//phnP//
CytR	glcF//fucU//uidA//rutD//codA//hcp//glnA//trpA//malS//nirD//
DcuR	prs//ppsA//ttdB//trpA//
DeoR	sbcC//aroG//umuC//glpB//dgcN//srlD//
DhaR	narI//
DicA	
DinJ-YafQ	pck//
DnaA	serA//argF//sdaA//dapD//prpC//pgpC//
DpiA	nadB//wecB//dhaL//prpB//ampC//
DsdC	fabH//umuD//
EbgR	
EnvR	hypF//dmsB//
EnvY	pflB//purK//
EvgA	pgaD//hyaB//murC//entE//paaG//ulaD//
ExuR	uvrC//mpl//gadA//trpB//cysD//katE//
FabR	sucB//gatZ//gltB//
FadR	narG//argC//ycjG//waaZ//recF//hypF//rffG//malZ//alaS//metL//dkgA//acnB//astD//astB//puuC//nfsB//hcaE//nrdF//gcvH//
FeaR	fabG//thrS//
FhlA	garL//asnB//pgpC//betB//lsrG//gutQ//recD//wzb//
FlhDC	ogt//torA//umpH//hycG//cadA//ubiC//dgcC//lacA//gadA//cueO//fucI//recF//argI//murF//
FliZ	patD//kbaZ//ssuD//ssuE//polB//
FucR	aroA//wzc//malZ//citD//recB//aldA//
Fur	dgcC//nanE//fumB//ascB//gatZ//polA//moaA//uxuA//allB//phr//pdeH//ttdB//purF//metH//glmS//phnG//fadM//avtA//alkA//citG//add//yqhD//phnO//argG//metE//narI//moeA//nanE//frdD//hypB//cysK//melA//bacA//yeaE//paaC//hcp//glk//alaA//carA//paaA//murF//waaY//fbaB//fbaA//oxc//mhpE//atoB//ubiA//fucK//glpK//murF//guaB//glmU//mngB//caiA//dacC//sucB//hcaC//tadA//rfe//narH//pheS//
GadE	phnG//torC//nadA//cysC//mpaA//argB//wrbA//icd//mhpC//aroF//
GadE-RcsB	luxS//yeaG//sucD//ychF//fadJ//
GadW	nfsB//pyrC//tam//glpQ//
GadX	nrdA//torC//paaK//ruvA//purA//gpmA//serA//sodA//aroA//xapA//pgk//atoD//rhaA//
GalR	zwf//ubiA//gabT//fabZ//ilvH//paaG//
GalS	ung//speB//purL//argB//wecE//nadB//
GatR	glcE//caiB//cynS//
GcvA	dadA//entF//alaC//
GlcC	alaS//mnmG//bioF//
GlpR	garD//phnH//sdaA//sucC//astB//mltF//ulaD//
GlrR	
GntR	yqjH//pyrC//puuB//ssuE//dacC//prpC//nrdF//fruK//gabD//
GutM	recD//glxR//glpB//
HU	asnB//ndh//ascB//uxaC//purF//gntK//entE//
HcaR	glxK//prpE//
HdfR	
HigA	puuB//
HigB-HigA	paaB//
HipAB	sdhA//ahpC//
HipB	hyaB//ilvG_1//allD//
HprR	glgA//rffC//yqjH//gutQ//
HyfR	rimK//
HypT	gatD//trpA//ddlB//ubiA//ychF//phnH//chbG//
IclR	rhaD//paaB//ulaD//
IdnR	hcaD//ulaE//cysD//prpB//mhpB//aspA//
IlvY	cysJ//
IscR	fabB//uxaA//nrfA//nanE//ddlB//katE//prpC//dkgB//
KdgR	fabD//codA//
KdpE	uvrA//
LacI	gcvH//cynS//yeaE//
LeuO	chbG//nadB//kbaZ//frdD//fadH//carA//
LexA	garL//moaC//garR//gltD//gcl//chbF//frdD//fabB//metA//glnA//dmsA//serC//nanK//napG//glxR//pykF//purC//ppsA//hyaC//malQ//cadA//nanA//uvrA//
LldR	argC//phnM//
LrhA	
Lrp	patA//codA//hycC//frdB//cysE//idnD//wecB//purK//phnH//galE//tyrB//paaC//fucI//yedX//pagP//gnd//lacZ//nagA//cueO//tktB//ascB//appA//nrdD//recD//waaZ//sbcD//pgaB//pnp//sucA//frdC//lldD//hycE//deoD//uidA//ldtC//paaI//cysH//allE//cdd//kbaY//
LsrR	atoD//oxc//bioA//iscS//treC//
LysR	oxc//
MalI	napB//hcaF//
MalT	lacA//glgB//aroG//aceF//udp//pflB//
MarA	puuD//nrdE//dgcN//eno//paaE//purM//glyA//ppc//citD//astD//hyi//adiA//sucB//argD//grxA//dgcN//gudD//kbaZ//lpxD//galT//prpC//puuB//glnA//pheS//
MarR	
MatA	phoA//
MazE	hycG//
MazE-MazF	argG//
McbR	
MelR	ogt//astD//
MetJ	udp//metK//dhaK//rhaB//recD//tktB//pepD//galK//paaF//truB//
MetR	ilvH//sucB//ygeA//moaE//
MhpR	guaB//rffT//ascB//metL//paaE//dhaL//
Mlc	prpE//hcaC//mnmG//ldtC//
MlrA	rtcA//
MngR	yfdE//zwf//
MntR	ycjG//kbaZ//
ModE	nemA//glyA//acnA//tdcD//phnH//pagP//alkB//napB//gadB//poxB//sucD//narI//puuD//moaA//phnL//frdC//kbaZ//
MprA	nrdA//pgpC//hyaC//
MqsA	entC//sucC//
MraZ	umpH//dhaL//ilvD//pdeR//lacA//serA//metF//oxc//trpA//fucO//
MurR	waaY//entA//uxuB//
Nac	glpD//hycC//phnJ//nanK//metB//tauD//cysJ//prpD//fabZ//sdhC//napG//
NadR	torC//recF//trpE//trpC//
NagC	ychF//metF//hypB//nfsA//frdA//nanA//pncB//puuE//rimK//sucC//puuD//kbaZ//ftnA//glnA//dgcZ//rimK//deoC//deoA//araA//
NanR	allA//phnO//ribA//moaE//argH//accD//
NarL	ynfF//argD//frdD//cysM//rutD//puuE//caiC//ubiX//hcaE//rhaA//glpC//hemH//uidA//mhpA//puuC//cysM//cynT//glsA//ahpF//sbcD//hycF//argC//gadB//ilvE//relA//cueO//araA//hyaA//purA//truB//fruK//aroL//xapA//dmsC//gcvH//dadX//hcaE//cysI//pgk//bioD//leuC//
NarP	ygeA//ubiX//dadA//cysH//puuC//fbaB//trpA//yfdE//deoC//uvrC//galT//aroH//tnaA//murF//allD//
NemR	tnaA//tnaA//
NhaR	argA//allC//chbF//glpB//uidA//
NikR	ugpQ//
NimR	dgcC//
NorR	gutQ//
NrdR	caiC//recB//deoA//sdhB//
NsrR	waaH//ahpC//yqhD//bioB//garR//atoA//fadJ//paaI//paaI//rutC//ccp//argD//hemH//lysA//glgP//ttdA//pepD//ulaG//pgi//patD//glpX//argI//dmsA//lpxC//udp//nanK//cysC//rffG//yiaK//fadM//caiD//sodB//amn//guaB//hycE//nanM//alaA//yfdE//xylA//arsC//
NtrC	alaC//gloA//cyoE//phnH//pheT//allC//gatZ//narH//metF//wzb//rutB//glpD//astD//paaF//fucI//lsrK//acnB//recD//aspA//aceE//aroA//
OmpR	yeaG//hcaB//epd//pyrD//nagB//fabI//tam//murF//
OxyR	paaI//yfdE//moaE//ccp//ftsI//aceE//sbcC//lpxD//speA//metA//hmp//feaB//mpaA//oxc//dgkA//putA//nadB//
PaaX	murE//yeaG//mpaA//slt//dkgB//sdaA//gabT//xylB//bioB//
PdeL	pgk//
PdhR	psd//puuB//idnK//uxuA//glpD//treC//ilvM//ahpF//alaS//rffH//allE//recD//fadJ//allB//nrdA//dgcC//hycD//caiB//lysA//hemL//torC//aroL//epd//glk//gatY//
PepA	ilvH//gadA//
PgrR	alaC//speB//
PhoB	citF//pgm//pgm//ogt//citC//ahpC//lsrK//dmsC//cysC//sucA//purC//glcE//gatD//hcaF//hcaB//lpd//metL//alkA//nemA//glcB//
PhoP	lldD//ubiA//ulaE//lhgO//phnM//hypF//gcvP//accD//paaI//gabT//aroH//glgA//aroG//wecB//ilvG_1//metK//lysA//allD//allC//alaA//rhaA//xylA//umuD//ddlB//epd//ulaD//tdcB//fabI//prpC//trpE//rbsK//gdhA//
PrpR	yfdE//ttdB//moeA//ampC//
PspF	moaD//
PurR	ynfF//hyi//aroH//malQ//kbl//argF//idnD//phnL//kbaZ//recB//waaZ//dhaL//malQ//torC//malP//mhpB//glxK//gltB//hcaD//ilvA//ilvC//trpD//cysH//entH//nrdF//gutQ//
PutA	nanA//ldtC//
PuuR	fadE//fucA//ada//tynA//adiA//nadB//
QseB	
RbsR	rbsD//moeB//pykF//luxS//mtlD//ilvD//
RcdA	nrdA//
RclR	
RcnR	fabB//
RcsAB	nrdD//ahpC//glnA//
RcsB	mhpD//icd//murE//ilvE//
RcsB-BglJ	moeA//tdcE//
RelB	ahpC//
RelB-RelE	trpB//
RhaR	
RhaS	ilvA//rbsD//lsrG//ynfE//
Rob	araD//tehB//malP//avtA//kbaY//paaZ//sdhD//purD//fdhF//cysC//mhpE//tehB//nrfC//tynA//waaY//moaE//lacZ//ynfH//xapA//
RstA	accD//mngB//rutB//
RtcR	fumB//yedX//
RutR	metC//alaS//glxR//puuA//tdcE//mpl//glpX//moaC//glgA//glxK//lyxK//
SdiA	
SgrR	pyrD//uvrA//gutQ//
SlyA	lysA//uxaB//codA//mtlD//ahpC//entF//waaH//speA//dacC//
SoxR	nanM//
