# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	kbaZ//leuC//
Ada	pheT//argB//sufS//pfkA//
AdiY	citF//yedX//glpK//eno//
AgaR	mhpA//
AidB	hyi//
AlaS	nrdA//
AllR	edd//glpX//umpH//ddlB//metF//fes//
AllS	rhaB//astD//tdcG//
AlsR	glpK//acnB//murF//
AppY	yfdE//pdeR//
AraC	ulaD//sucA//bioB//gdhA//gdhA//iscS//allC//ynfF//
ArgP	lyxK//narI//yfdE//entF//dgcC//argC//atoD//dgcN//sdhB//
ArgR	malY//sucB//nrdA//dadX//melA//rpiB//cyoE//asnB//hemH//ppiA//kbaZ//murF//kbl//sgbE//nadB//fucK//hmp//galM//rffC//alaS//ldtD//ppiA//tyrB//
ArsR	glgP//kbaZ//
AscG	fucK//edd//
AsnC	rsmH//lysC//
AtoC	wrbA//rffG//dapD//
BCCP	glxR//
BaeR	murE//ulaD//
BasR	phnO//nrfD//hycE//
BetI	fadB//talA//lysA//
BirA	dmsA//nrdF//uidA//cysE//purK//
BluR	
BolA	appA//ndh//
BtsR	waaH//
CadC	glxR//pfkA//rtcB//
CaiF	ulaE//waaY//tpiA//paaZ//hcaD//
Cbl	paaJ//fabH//argE//napH//caiB//
CdaR	allE//ftsI//hycD//gpmA//fumC//rpiB//murQ//hyaB//trpD//
CecR	melA//
ChbR	feaB//tehB//fabA//
ComR	
CpxR	malY//paaE//purA//dhaM//citE//gadA//gatD//talA//glcE//entH//poxB//narH//cysK//frdA//betB//narI//phnI//mhpE//wecE//glcB//glcD//
Cra	nadB//tdcG//mtlD//garR//uxaA//phnM//icd//caiC//hyi//nagB//entC//gabD//garK//prs//aspA//aceF//guaB//malQ//prpD//aspC//aceB//caiB//lacA//ldtD//galE//pspE//mpaA//glsA//ybjG//glgC//purN//glpQ//glpQ//pyrC//frdD//fabD//moaA//ilvI//ydcS//argE//yiaK//nagA//poxB//nemA//fabH//polB//ilvA//uxuB//codA//purA//caiD//pfkA//arsC//zwf//fabH//uxaC//sdhD//aroA//arsC//
CreB	caiA//waaH//
CsgD	fucO//alaA//ftnA//serC//nrdF//
CsiR	appA//ftsI//mpaA//fadE//
CspA	murQ//
CueR	pgpC//uvrC//fbaB//ssuE//galE//
CusR	ddlB//rutC//ynfF//mpaA//
CynR	ybjG//rbsK//idnD//
CysB	ruvB//araD//aroH//fadE//hyi//uxaB//hyaC//purF//fabG//alsE//chbG//puuD//wecC//ycjG//argE//tauD//citC//
CytR	gcvP//citF//atoA//fumB//gcvT//prpD//lysC//deoC//murG//moaC//
DcuR	xylA//purC//gudD//fumB//
DeoR	moaE//fucA//rimK//puuB//rffT//pdeR//
DhaR	hcaC//
DicA	
DinJ-YafQ	phnJ//
DnaA	leuA//chbF//phr//torC//cysG//alaS//
DpiA	betB//allB//purE//phnP//nrdF//
DsdC	idnK//glmS//
EbgR	
EnvR	mpaA//leuB//
EnvY	fabH//oxc//
EvgA	nanK//allB//pyrC//gatD//mngB//dsdA//
ExuR	thrS//xylA//aroH//ubiC//hcaB//phnM//
FabR	lldD//mpaA//chbG//
FadR	rffT//alaS//glxR//hemL//gatZ//rpiB//galM//lysU//glgX//pykF//melA//citF//yiaK//guaB//lhgO//leuC//rhaB//pgk//sucB//
FeaR	rutD//murE//
FhlA	paaE//glk//glnA//yeaE//glgA//dgcC//folE//paaE//
FlhDC	pgaB//kbaY//avtA//alaA//betB//psd//moaC//phnL//dapD//entA//dmsB//nadA//gatD//psd//
FliZ	fucO//ftsI//torC//pck//fadJ//
FucR	ilvM//kbl//paaI//glpB//gatD//pgi//
Fur	hycG//oxc//glpB//lsrK//sbcC//cdd//hcaF//deoA//bacA//hcp//murC//yfdE//cysN//glgB//waaY//dhaL//prpD//tyrA//sgbH//gatY//cynT//rffG//fucI//nirD//pgi//nemA//glcF//tyrA//glnA//fumB//phnL//wrbA//gapA//allD//pheS//pykF//ada//glmS//speA//treC//ulaE//araD//paaZ//argG//guaA//tyrA//argG//glxR//ilvC//ftnA//citG//ygeA//hycF//add//epd//metB//fau//sucC//entC//appA//mazG//mhpA//
GadE	hmp//yedX//murI//uidA//waaY//cysH//mhpA//ynfE//nrfA//ynfG//
GadE-RcsB	moaE//xapA//ung//malY//codA//
GadW	narH//citD//gcvH//narG//
GadX	fadE//ilvM//fabA//sufS//ulaF//moaD//ftsI//tynA//fadB//accC//entB//garD//ulaF//
GalR	nanE//aroH//yedX//ddlB//prpC//rtcB//
GalS	rhaD//kbaZ//ftnA//entC//cysE//argI//
GatR	ulaE//pheS//metC//
GcvA	sgbH//metB//cysK//
GlcC	paaE//psd//narH//
GlpR	cysN//ftsI//ddlB//entC//murF//betB//fabZ//
GlrR	
GntR	ampC//ftsI//prpE//hcaE//truB//gcvP//leuB//mpl//glgB//
GutM	tam//atoA//fruK//
HU	asnA//mhpF//puuD//sdhA//ulaF//atoD//sufS//
HcaR	polB//ung//
HdfR	
HigA	fabD//
HigB-HigA	puuB//
