# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanM//treC//
Ada	fes//glmS//pyrD//glcF//
AdiY	dkgA//gatD//cynS//murI//
AgaR	rffG//
AidB	gatD//
AlaS	nagA//
AllR	citE//fabI//metC//icd//tdcD//yfdE//
AllS	eda//dhaM//phnL//
AlsR	ada//entH//entE//
AppY	lsrG//yfdE//
AraC	dkgA//phnP//ugpQ//sgbU//ulaE//nadB//glgC//nrdD//
ArgP	tdcE//ilvE//pheS//ubiC//leuB//bioD//bioD//glmS//phnG//
ArgR	citE//adiA//phnJ//aroH//narG//citX//fucI//yqjH//caiB//nanM//citD//cueO//phoA//ppsA//pgpC//gntK//hycE//tnaA//ldtB//cadA//fabZ//dapB//rtcA//
ArsR	narI//aceF//
AscG	ubiC//ycjG//
AsnC	mraY//trpD//
AtoC	phr//ilvI//fucU//
BCCP	yqjH//
BaeR	ndh//rbsK//
BasR	sdhD//fadB//accD//
BetI	rffC//metF//adhE//
BirA	xylA//dkgB//hypF//eno//murD//
BluR	
BolA	aldA//gadA//
BtsR	talA//
CadC	pykF//cysK//ilvC//
CaiF	rffM//alkB//rimK//pagP//putA//
Cbl	waaZ//ldtC//codA//leuB//aroA//
CdaR	ssuE//cyoE//metL//napA//ddlB//aldA//ung//purD//rhaA//
CecR	astE//
ChbR	cynS//fadJ//alaS//
ComR	
CpxR	mnmG//yqjH//adhE//cynS//leuD//astD//mltF//srkA//astA//cysC//caiA//hycG//paaG//katE//speA//allD//idnO//eno//fruK//leuD//fucO//
Cra	ldtC//deoA//prpE//purF//fruK//feaB//pgaB//ilvI//mazG//gudD//nrfD//phnL//dmsB//gatD//ugpQ//prs//nanA//nrdE//glgA//phnP//dgkA//pgaD//aspA//dgkA//murI//sucC//hemH//murC//cysD//fadD//ogt//glgX//cysE//eda//tnaA//murI//paaG//astB//rffM//sucA//nrfD//nrdA//entE//rtcA//ddlB//aroL//argD//yeaG//polB//waaH//paaI//cynS//frdA//ttdB//appA//astA//narH//ampC//puuE//
CreB	tadA//pagP//
CsgD	mltF//uxaC//fucK//yeaG//murQ//
CsiR	narH//waaH//rutA//moaD//
CspA	fumC//
CueR	ribA//rhaD//paaK//pnp//hcaC//
CusR	nadA//folA//pfkA//sdhA//
CynR	xapA//ilvH//murC//
CysB	chbG//phnG//allE//kbl//galT//paaK//ttdB//garR//trpE//deoC//ldtC//hyaA//pnp//nrdB//dgcC//uxuB//carB//
CytR	pgi//leuA//metA//pflB//umuD//nrfA//glsA//gatZ//gntK//ilvC//
DcuR	fadI//gltB//paaY//ilvM//
DeoR	phr//tadA//murE//adhE//carB//tpiA//
DhaR	pagP//
DicA	
DinJ-YafQ	arsC//
DnaA	fucI//cysI//leuD//gatY//gcvH//glnA//
DpiA	sgbH//glyA//aroG//uidA//ilvD//
DsdC	fucO//frdC//
EbgR	
EnvR	truB//fbaA//
EnvY	idnD//araD//
EvgA	appA//bglB//recF//pgm//puuA//mhpD//
ExuR	purL//nanE//fabZ//phnO//ldtD//pykF//
FabR	serA//rsmH//glk//
FadR	cadA//frdD//nfsB//mtlD//bioD//cysE//prpB//purK//rffG//frdB//dsdA//ilvM//lysC//bioF//phnH//mhpF//cysE//frdB//fabI//
FeaR	prpB//citC//
FhlA	lpxC//kbl//phnI//glsA//prpD//ahpC//fadE//uxuB//
FlhDC	hcaD//frc//puuE//fabH//astC//glcD//ppiA//hyaA//fbaA//fadJ//dmsA//nrdD//slt//metA//
FliZ	galK//lysU//sdaA//nrdF//nirB//
FucR	lacA//deoC//astD//entH//moeA//aroL//
Fur	cysK//yqjH//tadA//glgP//nrfD//yqhD//pgpC//dapD//yeaG//glpD//deoB//fabG//dkgA//prpB//purM//fbaA//aceF//fumB//galM//tdh//tpiA//pheS//tnaA//gnd//argI//pfkA//entD//murG//rutA//astC//tktB//rfe//purE//gpmA//cysC//entB//atoB//prpC//lsrK//ilvG_1//argC//lsrF//gapA//paaZ//argE//trpC//ribA//moaE//sufS//acnA//aspA//hypF//gadB//napB//fabA//phnI//aroG//wzb//gatY//eda//fruK//entB//
GadE	uxuA//pflB//ynfE//serC//recB//mhpE//uidA//purD//ruvA//hmp//
GadE-RcsB	fadE//cysG//hcp//rnpB//fucO//
GadW	lldD//mngB//pyrC//tktB//
