# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pyrD//appA//
Ada	murG//glgP//trpE//rimK//
AdiY	fabD//cysC//glpC//yqhD//
AgaR	cynS//
AidB	uidA//
AlaS	hycD//
AllR	polB//hycG//glk//bioC//rhaB//nemA//
AllS	folE//kbaY//moeB//
AlsR	folE//paaK//add//
AppY	purC//hypF//
AraC	aroA//iscS//caiA//ruvA//argC//pdeL//nfsA//xylA//
ArgP	mhpF//srlD//rutB//aceF//gor//nrfD//pgaD//pgk//ssuD//
ArgR	murD//idnO//rffM//mhpB//gapA//fabA//guaA//murE//lhgO//fadI//paaY//ugpQ//leuB//torC//torC//oxc//rtcB//ynfF//ppsA//ynfH//fes//moaC//gatD//
ArsR	argE//zwf//
AscG	caiB//sdaA//
AsnC	asnA//pheT//
AtoC	purK//gloA//gadA//
BCCP	ppc//
BaeR	garD//ychF//
BasR	cysI//entE//ynfH//
BetI	tdcE//fadE//gadB//
BirA	entH//fucO//gutQ//mhpB//murQ//
BluR	
BolA	citF//uxaC//
BtsR	purC//
CadC	arsC//citD//allB//
CaiF	entD//dsdA//pyrC//sodB//ppc//
Cbl	edd//hypB//prpC//rffT//gabT//
CdaR	dgcZ//mhpE//folE//chbG//aceA//moaE//aroA//aceE//malY//
CecR	metC//
ChbR	rutC//bioA//truB//
ComR	
CpxR	phnO//bioD//edd//tdcB//nanA//sodA//alaS//glgA//ycjG//gcvP//mdh//nrdD//ydcS//sgbE//ftsI//pgaB//paaK//rtcB//rffM//fadA//rffG//
Cra	eda//pfkA//gnd//dadX//truB//xapA//ppsA//nanA//trpC//rsmH//umuD//ribA//glcF//paaK//ilvM//sdhD//dgcC//yqjH//nemA//bioF//fabD//phnH//add//puuC//pykF//feaB//tam//ruvA//frdA//glgX//nanE//malY//acnA//gatD//argI//metC//yqjH//fucO//garK//malY//deoC//glxR//paaG//ilvM//recF//tam//hypB//fabA//napA//nirB//sufS//dhaK//murF//cysK//ubiA//moeB//uvrC//alkB//wzc//
CreB	cysG//pyrD//
CsgD	frdA//fadH//ilvA//moaD//lysC//
CsiR	gadA//citF//accA//tpiA//
CspA	dsdA//
CueR	purN//xylB//astB//talA//entE//
CusR	purC//wrbA//napH//glpQ//
CynR	cysI//ppiA//ilvH//
CysB	fucU//add//fadI//feaB//fucK//trpD//mpl//murQ//mhpE//lpxA//argD//gadA//lysC//ppiA//ynfE//idnO//glsA//
CytR	phnM//glgX//sdaA//rutA//gnd//moeA//cysE//tadA//cadA//entB//
DcuR	rffM//recB//ilvI//trpD//
DeoR	torC//deoC//adhE//frdA//leuA//caiD//
DhaR	fadI//
DicA	
DinJ-YafQ	cadA//
DnaA	glk//glxK//glpQ//gntK//uxaA//ybjG//
DpiA	ttdA//bioD//aceF//kbaY//rffH//
DsdC	tehB//nanK//
EbgR	
EnvR	acnB//gatZ//
EnvY	fau//grxA//
EvgA	gltB//rpiB//ldtD//feaB//fumC//kbaZ//
ExuR	gloA//dmsB//sbcC//hycF//umpH//uxaC//
FabR	nagB//treC//puuC//
FadR	dmsB//guaB//paaC//serA//astA//fucU//aceB//dgkA//purL//gltD//sucD//tehB//ulaF//prpE//tynA//galK//gatZ//srkA//pyrD//
FeaR	rutE//epd//
FhlA	nrdE//feaB//glpB//cyoE//ubiX//araD//moaC//entH//
FlhDC	sdhA//ilvE//hycB//hemL//lacZ//ilvA//sdhC//mdh//gudD//citF//glpD//ilvE//phnO//bioF//
FliZ	kbaZ//leuA//citC//glcD//uxuA//
FucR	ttdB//cysG//guaA//pdeL//bioB//araB//
Fur	ruvB//fabZ//hycD//ycjG//bioB//rbsD//uxaB//fadH//mhpF//malQ//fadI//gutQ//recD//glnA//paaB//nrdB//prpB//ppc//yiaK//yqhD//pspE//paaE//mpl//araB//glmS//napG//aceE//ychF//murQ//hyaB//bioA//dacC//sgbH//aspA//fabD//dadX//ldtC//glpX//allD//patD//rffC//ascB//betA//sdaA//argH//wzb//phnM//murI//argB//metF//ulaD//argA//tdcG//fadA//rimK//leuA//guaB//cadA//purA//dacC//glxR//prpB//
GadE	bioC//psd//rutA//kbaZ//deoD//uxuA//fbaB//aspC//mnmG//paaB//
GadE-RcsB	nrdB//kbl//metK//hcaF//trpE//
GadW	gcvP//tdcD//ribA//glcB//
GadX	entA//ydcS//fumB//dmsA//nemA//aspC//ydcS//tnaA//bioA//tdcE//ynfF//slt//glxR//
GalR	hcp//lysC//dkgB//pheT//sucB//fbaA//
GalS	malZ//lpxD//rutC//nanA//umuC//pyrD//
GatR	ascB//kbaY//gudD//
GcvA	gltB//aldA//glmS//
GlcC	ogt//melA//pdeL//
GlpR	citX//fau//oxc//phnP//caiA//nanK//tktB//
GlrR	
GntR	ssuE//pfkA//ygeA//paaI//aceB//napA//kbl//leuC//umuC//
GutM	mazG//mltF//argA//
HU	nrdE//alaS//cysN//cyoE//metE//hcp//hyaA//
HcaR	leuA//dgcC//
HdfR	
HigA	galT//
HigB-HigA	gltB//
HipAB	galE//lyxK//
HipB	ahpC//gltB//phnP//
HprR	rtcA//cysK//pncB//entH//
HyfR	rutB//
HypT	entH//glpC//argD//narH//ygeA//adhE//paaI//
IclR	hcaD//cysE//sdhC//
IdnR	lpd//trpB//accA//atoB//ulaG//rbsD//
IlvY	glmU//
IscR	ugpQ//katE//pncB//acnB//hycF//metA//ubiX//gatY//
KdgR	pgaD//garD//
KdpE	araB//
LacI	ilvM//aroH//ilvH//
LeuO	gltD//metA//ilvI//chbG//fruK//citX//
LexA	fucK//trpC//nfsA//cysG//argB//fadM//ilvH//purD//mpl//galE//lysA//ada//chbF//ftnA//rimK//hyaA//dapB//treC//moeA//glpX//lacZ//entH//cdd//
LldR	acnA//fucK//
LrhA	
Lrp	entF//fadI//paaZ//murQ//sdhD//hycB//nanK//wzb//metH//cynT//hyaB//sucC//glpD//folE//ada//ndh//aroF//phnN//tdcE//dmsC//fucO//allA//aceE//ruvA//puuA//sodA//paaH//cdd//caiD//aspA//glk//cdd//ilvH//malP//bioD//adiA//purM//hyaB//gcl//narH//
LsrR	dadA//rhaA//leuD//gcvP//uidA//
LysR	fau//
MalI	fau//argA//
MalT	phnP//ugpQ//gadB//nagA//serA//murG//
