# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	paaZ//lysA//
Ada	moaD//rimK//lhgO//paaZ//
AdiY	paaB//hycE//nrdB//xapA//
AgaR	glcF//
AidB	paaC//
AlaS	arsC//
AllR	pheT//bioA//fadI//galK//lpxD//puuB//
AllS	dgcN//grxA//atoA//
AlsR	garL//aspC//astB//
AppY	ddlB//pdeL//
AraC	mhpE//mpl//metA//gnd//atoA//bioD//dhaK//pnp//
ArgP	acnA//pflB//entE//puuE//deoD//entD//cysK//guaB//dsdA//
ArgR	metH//sbcC//pgi//cysN//argI//purH//carA//citC//rhaB//astB//gnd//yqhD//prpB//citX//ulaE//adiA//umpH//folE//napA//araB//fadJ//purD//deoA//
ArsR	paaK//ilvI//
AscG	atoA//gatD//
AsnC	cysN//prs//
AtoC	rutC//atoB//ppc//
BCCP	rhaD//
BaeR	acnB//hmp//
BasR	dkgB//allB//aroF//
BetI	katG//ahpC//caiC//
BirA	ilvE//hycF//dmsB//malZ//rnpB//
BluR	
BolA	glpB//moeA//
BtsR	rsmH//
CadC	glxR//idnO//sucD//
CaiF	adhE//cynT//mngB//sgbE//prpC//
Cbl	paaJ//fadH//bioD//sdhA//purB//
CdaR	paaB//carB//rutC//moeB//nfsA//glcF//gpmA//alkB//argB//
CecR	ftsI//
ChbR	hycF//pgi//deoC//
ComR	
CpxR	tpiA//caiB//murD//glpD//ftsI//puuD//napA//cynS//wzb//napG//lysA//patD//fabI//astB//entA//nemA//fumB//fumC//ybjG//malY//phnO//
Cra	astA//waaZ//mhpB//ppc//citE//hcaC//glpB//uxuB//hcaD//speA//patD//putA//rimK//appA//eno//ung//leuB//mhpB//sgbE//talA//alaS//yqhD//cysC//arsC//serC//phr//umuD//kbaZ//truB//idnD//puuA//entB//sgbU//paaE//nrfD//fumB//hcaE//gadA//puuB//hycD//yeaE//nagA//astD//phnP//ppiA//mltF//gabD//ssuD//phnJ//nrdF//pdeR//pgpC//tyrA//mtlD//lpd//fadE//entE//purB//oxc//
CreB	narI//lyxK//
CsgD	gltB//lhgO//ulaD//glgA//ung//
CsiR	citD//mtlD//rhaD//cysI//
CspA	fadB//
CueR	allC//glpK//mazG//glpQ//adhE//
CusR	cysE//aceA//speB//garK//
CynR	sbcD//fabZ//phnM//
CysB	ilvG_1//rffG//glcE//napG//cysK//prpB//sodB//sdhB//ssuD//ynfF//uvrB//ynfH//fabH//sucA//mhpD//cysM//gcvH//
CytR	gcl//truB//dacC//cynS//ilvE//garL//lpd//metE//entE//relA//
DcuR	yedX//glgC//rffG//aroA//
DeoR	cysH//ubiA//sucC//polB//adhE//ribA//
DhaR	cueO//
DicA	
DinJ-YafQ	allA//
DnaA	glgX//purN//ruvB//trpA//srkA//hemL//
