# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanK//phnJ//
Ada	glpB//ilvD//glcB//mhpF//
AdiY	nrdB//murC//codA//deoC//
AgaR	pheS//
AidB	ftsI//
AlaS	nagA//
AllR	prpE//bacA//mraY//rutA//rutD//rbsK//
AllS	paaA//ilvD//carA//
AlsR	folE//sdhC//leuA//
AppY	speB//purL//
AraC	sucB//gatD//uxuA//asnA//garK//ahpF//paaI//atoA//
ArgP	glcD//ilvH//acnA//argH//tyrA//fucU//ssuE//carB//uvrB//
ArgR	udp//ilvA//metH//astE//trpC//purH//umpH//yqjH//fucO//purL//metC//udp//hycB//aceE//rtcA//ulaD//gabD//mhpE//deoD//trpA//yeaE//asnB//purD//
ArsR	alkB//nrfD//
AscG	alkB//fadI//
AsnC	codA//deoA//
AtoC	fadE//rutE//pdeH//
BCCP	idnO//
BaeR	tauD//metH//
BasR	nanM//uxuB//folA//
BetI	chbF//glgC//dinB//
BirA	dadA//glyA//fucO//pgm//rtcB//
BluR	
BolA	paaA//kbaY//
BtsR	entH//
CadC	acnA//acnA//ogt//
CaiF	pykF//frdA//tauD//hcaE//glmS//
Cbl	tdcB//pgaD//fabH//rutB//murC//
CdaR	iscS//sgbE//purL//glcD//glpD//codA//pdeH//phnN//torC//
CecR	leuA//
ChbR	phoA//cysJ//citE//
ComR	
CpxR	alaA//lsrK//yiaK//dgcC//glmS//deoD//ilvA//napG//rffC//ddlB//cysG//purF//patA//moaC//uxaC//arsC//citC//moaE//frdC//bioF//frc//
Cra	kbaZ//glpA//nanE//phnH//pyrC//uvrC//metC//nanM//gatD//fabH//astA//mpaA//mltF//lyxK//trpD//metE//dgcN//ulaF//aldA//fabB//alkB//citX//kbaZ//hycB//fabG//dhaK//frdB//paaK//paaC//nrdF//glgX//napH//pgaB//bioA//galT//paaJ//allA//hcaF//sucA//dhaM//ilvI//argF//rtcB//torC//speA//astB//aspA//hcaD//gnd//puuC//wecC//hcaD//murG//ruvA//hcp//appA//mhpF//dadX//phnO//
CreB	sdaA//gpmA//
CsgD	atoB//gapA//rutA//gcvP//puuE//
CsiR	lysA//narG//rnpB//astD//
CspA	lpxD//
CueR	dgcZ//puuE//appA//alkA//ccp//
CusR	fes//dgcZ//metK//deoD//
CynR	glmS//gcl//metC//
CysB	narI//mnmG//gdhA//ulaG//glpB//hcaD//citE//cysD//sdaA//glgB//cyoE//nrdF//ulaD//dhaL//ilvM//ruvA//paaI//
CytR	luxS//fadB//uvrB//purC//astC//xapA//prpD//pncB//tdcG//amn//
DcuR	dmsC//mhpF//hycG//paaB//
DeoR	ogt//cysE//tam//nrdF//gatD//udp//
DhaR	speB//
DicA	
DinJ-YafQ	tdh//
DnaA	purA//icd//pgaC//leuC//kbaY//entC//
DpiA	dacC//ynfG//fadH//glgB//entD//
DsdC	araD//nrdA//
EbgR	
EnvR	fucK//ppiA//
EnvY	uvrC//deoC//
EvgA	hycB//paaZ//carB//katG//dapB//gpmA//
ExuR	udp//yqhD//wecB//ascB//purB//ydcS//
FabR	nirD//murI//gabT//
FadR	feaB//tdcD//tdcE//citF//yedX//grxA//sdhC//lhgO//accA//pnp//ubiC//wzb//glcB//hycD//acnA//uxaA//malQ//phnP//citF//
FeaR	glmU//galE//
FhlA	leuB//gcvT//puuD//glxK//fabB//gapA//puuE//citC//
FlhDC	paaY//hypF//nrdE//mtlD//mdh//rpiB//pgpC//carA//rbsK//ilvM//fbaA//rbsD//wecC//xapA//
FliZ	yqjH//ppiA//pncB//nfsB//waaH//
FucR	tynA//nrdF//nrdB//tyrA//grxA//fbaA//
Fur	asnA//mazG//allB//lysC//rffC//epd//recF//pfkA//glpD//metL//metK//purC//citF//sdhA//fadA//treC//rpiB//galM//uxaB//umuC//aspA//eno//hemL//glpX//uxaA//tdcD//pspE//glmU//malP//narG//rsmH//yedX//dhaK//speA//cadA//frdB//glxR//pnp//gcvH//ulaG//alkB//fabZ//glpK//citX//mdh//argI//frdA//edd//pheS//ynfG//wzc//ilvC//dgkA//patD//ynfF//alaC//glk//tadA//lpxD//polA//waaZ//astA//
GadE	fruK//hyaB//araA//rhaD//ftsI//mtlD//moeB//ubiC//purA//pyrC//
GadE-RcsB	alaC//gapA//dkgB//tynA//glpK//
GadW	glxK//pheT//moeB//puuC//
GadX	caiB//purA//nrdE//aspC//glcD//ppsA//fabB//eda//murG//ybjG//hyi//slt//sucB//
GalR	argE//ruvA//fadJ//ssuE//dadA//xapA//
GalS	fucU//glpQ//pykF//pyrC//moaE//add//
GatR	nanE//ynfE//pgm//
GcvA	ruvA//rutA//argI//
GlcC	gltB//entA//hemH//
GlpR	moaA//citX//ynfF//allE//alkB//gpmA//nrfA//
GlrR	
GntR	tdcD//cysJ//paaY//yedX//murC//cysH//galT//dhaL//trpD//
GutM	entF//purA//frdB//
HU	caiA//betB//chbF//idnK//glmU//fumC//putA//
HcaR	argG//katE//
HdfR	
HigA	ilvE//
HigB-HigA	galM//
HipAB	lpxA//alaA//
HipB	deoB//aroL//hcaE//
HprR	entC//argB//gcvH//metK//
HyfR	recF//
HypT	ilvI//allA//rutE//aroH//fabB//hypB//glpB//
IclR	mhpE//arsC//glpD//
IdnR	gutQ//mltF//chbG//nrdA//gcvT//kbl//
IlvY	rutD//
IscR	tdcG//gcvH//phr//lysC//ilvC//argF//fdhF//fucA//
KdgR	astB//alaS//
KdpE	aspA//
LacI	nrfC//nanK//fruK//
LeuO	glcE//rutE//cysM//poxB//purE//aldA//
LexA	prpE//hemL//rhaB//sodA//sucC//fes//cysN//glgA//cysN//fbaA//ulaE//nirD//paaZ//aroF//lhgO//accA//fumB//gatD//uxaC//glxK//sgbH//paaC//feaB//
LldR	cysG//fau//
LrhA	
Lrp	yedX//bioC//fdhF//entD//garR//nrdA//fadB//citC//moeB//citX//dgcZ//leuA//glpX//eda//amn//ftnA//sdhD//rffT//alkB//alaA//gcvT//rbsD//dhaK//astE//acnB//nanE//hcaB//nrdA//polB//ruvB//mngB//wecE//mtlD//citF//cyoE//nrdE//alaA//fucO//fes//tynA//
LsrR	ldtC//caiA//dkgA//xapA//dmsC//
LysR	napG//
MalI	tdcG//ddlB//
MalT	fadH//fabD//glcE//fruK//prpC//eno//
MarA	deoA//wecC//eda//araA//bioA//glpQ//fabA//dsdA//tynA//moaA//rhaB//waaZ//cysH//aceE//deoD//mpaA//fbaB//ppiA//ynfF//napG//wecE//sodB//deoB//aspA//
MarR	
MatA	cysI//
MazE	yqjH//
MazE-MazF	ilvI//
McbR	
MelR	garR//ppc//
MetJ	hycG//cadA//rhaA//frdD//lysU//rutA//fabD//metF//moeA//fbaA//
MetR	entC//rffG//hycC//entF//
MhpR	paaB//wecE//fadH//katG//malY//slt//
Mlc	zwf//dadA//tdh//asnA//
MlrA	lysC//
MngR	nadA//nadA//
MntR	kbaY//glgA//
ModE	pck//purB//feaB//napB//rhaB//mltF//ndh//dhaK//idnO//carA//sodA//murC//ruvA//frdD//putA//gcvH//hyaB//
MprA	yfdE//pyrD//ilvD//
MqsA	torA//pgpC//
MraZ	pdeL//pgaC//ilvG_1//paaB//serA//cueO//rimK//narG//gnd//pyrD//
MurR	ilvH//murF//lysU//
Nac	rbsK//pgm//idnD//glgX//speB//uxaB//ubiA//pgk//purK//cueO//glpK//
NadR	rhaB//hyi//mdh//paaA//
NagC	lsrF//glgB//dmsB//gatD//fucK//rhaD//rnpB//sgbE//citG//grxA//caiA//ynfF//purB//ubiX//cysM//paaB//glk//astC//purE//
NanR	xylA//wzb//glk//purC//alsE//mhpA//
