# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metL//gpmA//
Ada	cysD//ldtC//lysA//glpQ//
AdiY	wecE//puuE//ruvA//talA//
AgaR	moeA//
AidB	wzc//
AlaS	trpA//
AllR	ppc//argD//glmS//trpE//astE//bioC//
AllS	nanE//alaS//trpA//
AlsR	aceA//glgP//sgbH//
AppY	cynS//purB//
AraC	nanK//gpmA//recF//bioB//dsdA//pdeL//pncB//garL//
ArgP	glpD//argH//rbsD//hyi//entF//nirD//carA//ulaF//paaF//
ArgR	tdcG//prpE//ldtB//aroL//hypB//araD//cdd//betA//accD//aldA//purL//tdcG//ygeA//pgi//pck//nrfC//kbl//dhaL//appA//argD//rimK//glgA//gadB//
ArsR	ilvM//atoD//
AscG	ttdA//nagA//
AsnC	fbaA//araA//
AtoC	bioA//amn//sucC//
BCCP	mpaA//
BaeR	xapA//fabB//
BasR	fadB//nrdB//pheS//
BetI	uxaA//bioD//grxA//
BirA	dsdA//uxuB//phnN//alkA//tdcG//
BluR	
BolA	rnpB//gatZ//
BtsR	gltD//
CadC	pgaC//pgpC//pgm//
CaiF	astE//pgaD//paaA//nrdB//avtA//
Cbl	folA//fes//waaZ//caiB//tdcB//
CdaR	aceE//trpC//fadI//bioA//lysC//thrS//lacZ//ulaF//hyaB//
CecR	polA//
ChbR	aspC//mazG//ubiX//
ComR	
CpxR	hcaE//murQ//pheT//speA//alkB//nanE//sgbH//glnA//astE//tktB//amn//frc//hypF//wecE//malQ//phnI//puuA//nanA//purL//metL//galM//
Cra	frdB//aroA//ydcS//metK//ttdB//aroG//napH//ubiC//ldtC//lacA//ruvA//pyrD//metK//sdhB//truB//napH//purA//folA//ynfF//purK//paaZ//asnB//uxuA//mazG//waaZ//lysC//gudD//kbl//srlD//alaS//glpK//sdaA//frdB//atoB//ilvE//uxaA//glcD//mhpD//hycD//wzc//pgi//cdd//wecC//cysE//rhaD//ahpC//icd//citF//xylB//pgaC//mhpA//nadB//dhaK//alaS//glcF//cynS//galE//hcaD//dkgA//
CreB	purK//galE//
CsgD	rutC//yeaG//araD//uxuB//arsC//
CsiR	ftsI//uvrC//cdd//ldtB//
CspA	hcaB//
CueR	tdcB//araD//fabH//alaA//cysJ//
CusR	fadI//lpd//ulaD//ilvA//
CynR	malZ//ampC//gltD//
CysB	argG//grxA//trpB//fadB//ppiA//phnL//sdhC//dgcZ//betB//fumB//ybjG//murI//purL//allA//bioC//murD//argB//
CytR	uidA//fumB//mhpD//trpE//psd//accC//moeB//tpiA//hcaC//purM//
DcuR	rutC//trpB//metE//entA//
DeoR	ychF//phnP//pgm//talA//sodB//frdB//
DhaR	sdhB//
DicA	
DinJ-YafQ	polA//
DnaA	rutB//fadH//metE//pgpC//pfkA//prpE//
DpiA	rffH//gapA//pgpC//pnp//putA//
DsdC	zwf//dgcC//
EbgR	
EnvR	gntK//citC//
EnvY	phr//paaC//
EvgA	trpD//phnN//aspC//wzc//nagA//mraY//
ExuR	rpiB//paaB//fdhF//uidA//alaC//metH//
FabR	napB//uidA//dinB//
FadR	kbl//uvrA//cysC//narI//mhpC//pagP//caiB//mpaA//purM//hmp//sdhC//murI//astB//srkA//purH//dmsA//lysA//uxaA//cysC//
FeaR	sucD//gabD//
FhlA	folA//caiC//ycjG//pdeR//fumB//glcF//ftsI//yqjH//
FlhDC	ddlB//aroG//serA//aldA//prpB//tadA//ulaF//sgbE//rpiB//glgX//hcp//sgbE//ychF//lysA//
FliZ	tdh//ilvH//moaD//astA//pncB//
FucR	katE//fadM//hypB//hycF//relA//fucI//
