# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metA//recF//
Ada	argE//sdaA//tyrA//paaA//
AdiY	serA//paaY//mazG//fucU//
AgaR	add//
AidB	rffH//
AlaS	purN//
AllR	glpD//ldtD//sodB//gabT//ascB//glnA//
AllS	patD//pyrC//waaY//
AlsR	purD//yeaG//phnP//
AppY	pgm//uvrC//
AraC	prpB//tauD//rutA//trpC//udp//pdeH//fumB//murQ//
ArgP	metL//wecE//cysH//gadA//hycC//moaA//torA//yeaG//deoD//
ArgR	tyrB//fbaA//tehB//mraY//alsE//phoA//ppiA//hypF//glgC//phoA//ynfG//aroL//hcp//metL//prpB//ttdA//fruK//atoA//ynfG//narG//relA//ygeA//ruvA//
ArsR	fadD//rnpB//
AscG	fdhF//nirD//
AsnC	cysJ//argG//
AtoC	prpD//patA//mpl//
BCCP	fucI//
BaeR	appA//serC//
BasR	malS//rffM//idnD//
BetI	recB//kbl//asnB//
BirA	recF//dkgB//rimK//lpd//leuC//
BluR	
BolA	treC//nrdB//
BtsR	ahpF//
CadC	hycD//leuC//torC//
CaiF	paaC//kbaY//aceB//fau//amn//
Cbl	rsmH//metC//atoA//glpK//ybjG//
CdaR	gcvP//purA//murI//pheS//fucO//mltF//yfdE//cysI//wecC//
CecR	ampC//
ChbR	pck//argF//phr//
ComR	
CpxR	glpQ//ldtD//glgX//nrdB//carB//hcaE//ribA//allA//chbF//glpD//metL//paaE//bioB//dsdA//frc//uvrC//argG//sufS//fruK//caiD//zwf//
Cra	bioA//amn//frdB//hypB//aroH//leuC//pdeH//sdhA//astB//yqhD//alaS//aspA//glgB//ynfH//argA//malP//entH//murC//leuD//pepD//pagP//murE//alsE//lpxD//fbaB//ampC//fdhF//sdhD//fabH//sgbU//rtcA//garK//fucI//pflB//glpC//moeB//wrbA//mhpD//rnpB//mhpD//ilvM//lsrK//moaD//moaE//umuD//mhpF//xapA//narH//luxS//kbaY//cysI//sodB//pflB//arsC//carB//puuA//amn//rimK//pncB//
CreB	phnM//purD//
CsgD	idnD//fucO//ilvH//ppsA//chbF//
CsiR	ycjG//glyA//fbaB//metL//
CspA	gor//
CueR	caiD//nirB//garL//lsrG//ssuE//
CusR	rhaA//arsC//tehB//ilvH//
CynR	pykF//wzc//rpiB//
CysB	aroL//tam//dgcN//aspC//dgcC//cdd//poxB//hycG//narH//purK//trpA//sbcD//bglB//patA//argI//mhpA//betB//
CytR	araD//gcvH//ada//paaK//napG//malZ//ilvE//aceE//gadA//paaE//
DcuR	bioF//katG//hycF//hycB//
DeoR	murF//aroA//sdhA//patD//grxA//fabI//
DhaR	mpaA//
DicA	
DinJ-YafQ	kbaY//
DnaA	mpaA//metK//tdcE//dhaK//ttdB//nanA//
DpiA	glmU//phnP//fadH//rffT//cadA//
DsdC	torC//dadX//
EbgR	
EnvR	kbl//lysC//
EnvY	phnM//hemL//
EvgA	fabG//glxR//rhaA//fdhF//ilvM//murC//
ExuR	leuD//wecE//citF//bioB//gutQ//ampC//
FabR	fabG//gcvT//citD//
FadR	accA//lsrK//caiD//lacZ//lysC//malQ//nagB//phnJ//hypF//purN//glsA//patD//dmsB//ybjG//glgP//acnB//wzc//argA//pnp//
FeaR	cyoE//umuD//
FhlA	fabG//paaC//pyrC//hyaC//mazG//murQ//glcB//napB//
FlhDC	ssuE//cysN//idnO//dgcZ//moeB//prpD//dsdA//ychF//glxR//gatY//sucC//hycB//fadB//nrdB//
FliZ	idnO//hycE//grxA//bioB//pdeL//
FucR	mhpA//lpxC//hcaE//waaY//ygeA//torA//
