# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	murC//rffC//
Ada	pgaC//astA//rtcB//araA//
AdiY	cdd//purD//pgaC//ruvB//
AgaR	ldtC//
AidB	hycG//
AlaS	entH//
AllR	umpH//argC//adhE//murE//alkB//dkgB//
AllS	phnH//dapB//mltF//
AlsR	entB//gatZ//lpxA//
AppY	nadB//aroG//
AraC	aceB//garK//accA//fbaB//astC//hycD//uxaB//tynA//
ArgP	rbsD//glgX//tpiA//relA//dmsC//waaY//hycB//gor//glmU//
ArgR	melA//aroA//paaC//allC//nanK//fadB//uxaA//aspA//galE//ycjG//ppiA//hycC//lpxC//fadH//ilvH//codA//uvrC//idnO//cadA//ynfG//asnA//arsC//argE//
ArsR	iscS//lsrG//
AscG	ybjG//sgbH//
AsnC	ycjG//fadD//
AtoC	glgA//deoC//hemH//
BCCP	glxK//
BaeR	glpK//puuC//
BasR	tdcD//srkA//paaH//
BetI	melA//ynfF//pgm//
BirA	gor//pgi//murI//folE//gcvH//
BluR	
BolA	fabG//mltF//
BtsR	rbsD//
CadC	asnB//uxaC//entE//
CaiF	leuB//caiA//rsmH//srlD//ldtC//
Cbl	edd//lsrF//napB//fadJ//wecC//
CdaR	phnP//dmsA//kbl//ada//fabG//hypF//metL//umuC//ulaD//
CecR	aspC//
ChbR	prpB//gpmM//pck//
ComR	
CpxR	glsA//thrS//pflB//lacA//mhpD//argC//cysJ//puuB//metH//narG//paaI//citX//rutC//ybjG//argE//phnN//galE//prpC//aceF//nrdB//ynfG//
Cra	kbaZ//ubiC//citX//glpA//mhpE//betA//prs//gltD//entD//paaB//yedX//mdh//cysJ//yiaK//ascB//prpB//fabH//acnA//adiA//fadB//ppsA//puuE//caiD//psd//moeA//murF//patD//malY//ychF//kbl//galE//entB//lpxD//malZ//sucB//metE//ycjG//ilvI//polA//rutA//malZ//patD//galT//lacZ//yfdE//gcvP//glmS//cysH//icd//frdB//sucC//puuC//allB//sgbE//hycG//ttdA//argH//malP//lpxA//
CreB	rffM//glsA//
CsgD	puuD//argA//gudD//pykF//serC//
CsiR	purE//paaZ//astA//rpiB//
CspA	mltF//
CueR	napB//glxK//aroG//pyrD//poxB//
CusR	yeaG//entD//glpD//pheS//
CynR	malQ//sgbE//lysA//
CysB	adhE//pagP//alsE//trpD//fadA//glpQ//ahpC//metA//purL//pnp//fdhF//yqjH//argI//wzc//paaC//trpB//pfkA//
CytR	caiA//lacA//fucI//dgcZ//allC//puuE//purE//prpB//pheS//allD//
DcuR	tnaA//gcvH//rsmH//yeaE//
DeoR	rhaB//ubiC//araA//ugpQ//dhaL//araD//
DhaR	gor//
DicA	
DinJ-YafQ	relA//
DnaA	acnA//cysG//cysI//fucA//rbsD//gloA//
DpiA	wecC//garL//dgcZ//glsA//ygeA//
DsdC	araD//napB//
EbgR	
EnvR	paaH//paaY//
EnvY	frc//murG//
EvgA	nrdF//garD//ung//tdh//yeaE//ilvH//
ExuR	betB//aroA//phnM//dmsA//cysJ//feaB//
FabR	phnH//galM//guaA//
FadR	ubiC//gltB//trpD//malY//murE//hyaC//fadH//pheS//carA//dadX//moeB//cysE//fucU//phr//metB//talA//rutA//cysK//alsE//
FeaR	napG//malP//
FhlA	caiD//deoB//purL//fumC//dsdA//rhaD//purD//ulaE//
FlhDC	ynfG//nemA//nadA//glnA//add//glpQ//entH//aroL//udp//metK//mltF//napB//carB//cysG//
FliZ	adiA//rhaB//hycE//zwf//cdd//
FucR	yqjH//dgcZ//rtcA//betB//malQ//glpB//
Fur	accC//pagP//yeaG//metL//malP//fbaA//allD//srlD//bioA//pnp//gltD//relA//cysI//mnmG//rffT//paaC//tdcG//napA//phr//wecB//entE//paaH//narH//ruvA//mdh//trpB//bacA//leuD//chbF//nadB//atoA//alkB//ubiC//pdeH//hyaB//hcaC//pgk//fumB//hyi//sucC//citX//lpxD//murQ//ldtB//galK//hyaA//uxuA//ung//hycC//hyaB//treC//deoB//aroL//paaZ//glpD//yiaK//moaE//deoD//acnA//cysG//ribA//asnA//
GadE	rpiB//ulaE//araD//argG//prs//eno//sdhB//waaH//sodB//nrfA//
GadE-RcsB	purN//paaE//uxaB//truB//phnG//
GadW	pyrD//paaI//argI//napB//
GadX	caiC//prs//glpQ//nrdB//tnaA//glcE//wzc//alkA//aroF//nirB//allC//nirB//dkgA//
GalR	phnG//aspC//dsdA//hycD//aspA//ilvI//
GalS	fbaA//ampC//hypB//nrdD//pyrD//dgcZ//
GatR	sodA//pgm//fadD//
GcvA	lacZ//entC//purA//
GlcC	accA//guaA//hcaC//
GlpR	appA//pagP//dadX//rtcB//dapD//glpC//ygeA//
GlrR	
GntR	ubiC//aceA//yiaK//argD//tdcG//frdD//pgaD//patA//metB//
GutM	ada//uxaA//deoB//
HU	glk//sgbE//cysH//kbaY//gcvH//aroA//pgm//
HcaR	dgcC//glgA//
HdfR	
HigA	gadA//
HigB-HigA	uvrC//
HipAB	frdD//fumC//
HipB	uvrA//gcvH//citE//
HprR	ahpC//rbsD//tdcG//alsE//
HyfR	hyaB//
HypT	paaH//fadD//atoA//phnL//gloA//uxuB//ilvH//
IclR	deoD//glpD//rutB//
IdnR	glpA//mhpA//ynfG//alaC//ilvH//gpmM//
IlvY	ilvD//
IscR	tauD//nrfD//astD//phnL//prpB//lyxK//waaY//trpA//
KdgR	ndh//astE//
KdpE	nrdA//
LacI	galK//ynfE//ilvM//
LeuO	fadD//aldA//cysJ//hyi//mazG//puuB//
LexA	pykF//aceF//srlD//sucD//uxuB//prs//serC//fruK//relA//icd//patA//phnI//dgcZ//icd//purK//cysH//ulaE//guaB//glcF//caiC//dhaL//rbsD//ftsI//
LldR	rfe//sucD//
LrhA	
Lrp	wzc//hycE//tyrA//glpC//uxaB//oxc//prpD//ahpC//ppsA//rutD//dinB//ynfE//murD//phnI//hycG//prpC//nrdF//entC//glxR//hypF//cysJ//lsrF//nrdF//fabZ//frdD//mpaA//rbsK//araA//feaB//ynfG//thrS//cynT//pnp//srkA//paaE//wrbA//astC//dacC//phnP//udp//
LsrR	fucO//ada//dadA//fabI//cueO//
LysR	idnK//
MalI	tynA//waaH//
MalT	rtcB//glpX//gor//carA//kbaY//glpX//
MarA	nanA//ilvC//lacA//ppiA//gltB//mhpC//lsrG//gapA//glmS//nagA//umuC//narI//garR//pheT//allD//wecB//cysJ//katE//lpxA//rffH//nagA//gadA//mpaA//ynfE//
MarR	
MatA	asnA//
MazE	edd//
MazE-MazF	argD//
McbR	
MelR	sgbH//fau//
MetJ	dgcC//dacC//iscS//prpE//paaG//ttdB//hypB//nfsB//aceE//rsmH//
MetR	nirD//sdaA//phnL//adhE//
MhpR	murD//phnL//allD//lpxA//caiA//rpiB//
Mlc	yedX//atoB//argF//malS//
MlrA	glmU//
MngR	glgA//sufS//
MntR	hycD//dkgA//
ModE	metK//kbaZ//ruvA//aceF//pgk//ynfG//moeB//entC//paaF//sucA//phnO//lyxK//tdcD//dgcZ//adhE//ilvI//chbG//
MprA	prpD//patD//fadM//
MqsA	lsrG//eno//
MraZ	cysG//glpB//argE//hycE//ttdB//rtcB//sbcC//dmsA//uxuA//cysG//
MurR	gnd//sdaA//argC//
Nac	aceF//mraY//gapA//napB//mraY//ahpC//dadX//alaS//galM//nanA//yfdE//
NadR	patA//mdh//pdeH//fbaB//
NagC	atoB//pdeL//rffG//astC//phnP//garK//hcp//nadB//ldtC//rffT//galT//xapA//ybjG//mhpB//hemL//hycE//entE//tynA//rhaD//
NanR	ybjG//pgaB//fadB//poxB//acnB//dhaL//
