# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	adiA//gdhA//
Ada	idnK//waaH//chbG//icd//
AdiY	moaD//gatY//katG//malS//
AgaR	rhaB//
AidB	yfdE//
AlaS	caiC//
AllR	murI//mraY//rfe//pdeR//moaA//narI//
AllS	eda//glxK//folE//
AlsR	rsmH//icd//nemA//
AppY	caiC//tdcE//
AraC	waaZ//pgm//hcaF//eda//sdhD//ahpC//rhaD//lysA//
ArgP	fabA//gltD//slt//malS//moaC//glgC//ilvI//gabD//purM//
ArgR	gapA//pykF//cysC//aroL//cysE//yeaG//glgC//dapB//fadE//frdC//paaZ//glxR//narI//astC//lpxC//ascB//ynfE//uxaC//entD//lysA//argG//uvrC//nrfD//
ArsR	prs//truB//
AscG	fes//cysJ//
AsnC	deoD//ccp//
AtoC	rutE//ldtB//cynS//
BCCP	gltD//
BaeR	alaA//araD//
BasR	dkgB//gudD//pgm//
BetI	frdD//ftnA//fadI//
BirA	nfsA//napG//dadX//folA//napG//
BluR	
BolA	tnaA//gatZ//
BtsR	pgm//
CadC	puuB//wecE//rimK//
CaiF	aceF//phnJ//glcD//gor//bacA//
Cbl	entA//nadA//dapB//sufS//glmU//
CdaR	folE//recF//glnA//appA//dgcZ//polB//mtlD//paaI//lsrF//
CecR	fruK//
ChbR	fumB//lsrK//leuC//
ComR	
CpxR	poxB//pnp//accD//fucK//fucA//uidA//tdcG//metH//fucI//galE//glcD//eno//paaA//bioD//bglB//ftsI//galT//edd//nrdE//metA//melA//
Cra	ydcS//araD//argE//gnd//glpB//allE//gabT//glk//ribA//uvrA//sdhC//ribA//ygeA//rffM//sgbH//thrS//ruvA//hycD//fucU//zwf//hycE//deoA//dmsB//sgbH//cysN//lpxC//yiaK//metK//glcD//pspE//phnO//deoD//glcE//iscS//glyA//alaA//argI//fabZ//deoC//murC//lsrK//glgC//ruvB//chbF//hypF//ychF//hyi//fabH//alaS//lysC//yqhD//ybjG//paaG//glxR//sucC//lsrF//murD//mngB//pdeR//
CreB	prpC//hcaE//
CsgD	sufS//purF//ttdA//purD//nrdE//
CsiR	fucA//malZ//argA//paaI//
CspA	mngB//
CueR	paaJ//phnP//alkB//prpD//prs//
CusR	eno//treC//glcD//speA//
CynR	rutD//hycB//tyrB//
CysB	glpC//hemH//mpl//ccp//lldD//uidA//gatD//ilvH//ilvA//rffH//rfe//ynfE//ilvC//phnI//ldtC//prpC//nagA//
CytR	bglB//ftsI//cysC//malZ//hcaB//yeaG//ppiA//mraY//alaS//purD//
DcuR	entC//purK//pgpC//sdhC//
DeoR	nfsB//serC//rutA//entB//dadA//trpD//
DhaR	paaE//
DicA	
DinJ-YafQ	entB//
DnaA	ssuD//putA//iscS//pheT//arsC//metB//
DpiA	ftsI//ppsA//hemH//dmsB//speA//
DsdC	hcaF//lpd//
EbgR	
EnvR	speB//argC//
EnvY	nrdF//hyaB//
EvgA	allC//tehB//nemA//allD//caiC//entA//
ExuR	fucK//yfdE//frdC//alaC//lysA//mngB//
FabR	cysG//purB//garL//
FadR	folA//sbcC//rutB//katG//nrfD//dacC//hemH//speB//rffH//arsC//entC//ftsI//yedX//lpxD//truB//mdh//gadA//phnG//entH//
FeaR	rpiB//lsrK//
FhlA	puuA//glk//glcE//hmp//argA//wzb//gdhA//nrfC//
FlhDC	dadA//frdB//edd//ycjG//accA//phnN//hycB//sucB//pck//napB//pgaD//argE//gnd//adhE//
FliZ	dadA//psd//nadB//ribA//frdC//
FucR	ftnA//phnI//wecC//gadB//aceE//yedX//
