# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gatY//araB//
Ada	fucA//purD//dhaK//citD//
AdiY	garK//entF//hypF//mpaA//
AgaR	ftnA//
AidB	sdhA//
AlaS	garL//
AllR	hyaA//kbaZ//ruvB//tyrA//allB//mraY//
AllS	truB//mhpF//uxuA//
AlsR	aspC//argE//ldtB//
AppY	talA//umuC//
AraC	purN//patA//lpxC//argD//cysC//metK//cadA//narG//
ArgP	recD//aroL//metC//sdhC//umuD//murI//napG//atoA//ttdB//
ArgR	pdeH//cysD//mdh//pdeR//mhpD//glcE//purE//umpH//cdd//uvrC//sbcC//glpD//tdcD//hycB//lsrK//puuA//pgk//glgX//ddlB//luxS//fabD//trpB//cadA//
ArsR	purC//ung//
AscG	araA//hycD//
AsnC	puuB//eno//
AtoC	nemA//sgbH//murC//
BCCP	slt//
BaeR	polB//wecE//
BasR	deoC//cysC//psd//
BetI	ilvE//srkA//hycG//
BirA	phnP//pdeL//mhpE//aceB//sdhD//
BluR	
BolA	ppc//purH//
BtsR	ycjG//
CadC	glxR//umpH//torC//
CaiF	frdD//purA//aceF//pgm//fumC//
Cbl	ilvG_1//leuC//gatY//glpB//putA//
CdaR	tnaA//narH//fadH//slt//icd//entH//metH//bioD//aceE//
CecR	argB//
ChbR	nrfC//astC//malP//
ComR	
CpxR	frc//chbG//cysM//aroH//nirB//phnO//sdhB//leuD//rutD//yqjH//gor//bioC//pgaB//glpA//rffH//polA//purA//gatY//cysE//epd//ndh//
Cra	gcl//accD//gabT//nrdB//ssuD//dhaL//sdhA//napA//pdeL//mhpA//sdhC//lyxK//nrfC//wecE//rhaA//deoD//prpE//bioD//ung//mnmG//fbaA//nirD//cysK//dhaM//treC//tam//murF//fabH//hcaE//garK//rffT//gntK//ulaE//malS//nrfD//hycE//pgi//narH//hyaB//ogt//paaG//yeaG//lsrK//hcaF//slt//ybjG//kbaY//glnA//xapA//ccp//moaC//hcaC//tdcD//icd//hycD//aspC//argF//purE//entH//
CreB	nrdD//melA//
CsgD	dhaK//folE//garL//cynS//phnG//
CsiR	yfdE//deoC//hypF//serC//
CspA	carA//
CueR	lpxC//gntK//bioB//dadA//phnI//
CusR	rfe//garK//folA//mazG//
CynR	ycjG//recF//ung//
CysB	aroH//pyrC//dhaL//fabD//waaH//sufS//ppc//purN//sucA//glgA//aceF//aceB//deoB//adiA//umuD//nrdE//uxuB//
CytR	caiA//cdd//glsA//napA//gcl//phnL//astA//rhaB//ssuD//dmsB//
DcuR	ribA//lsrF//entH//caiC//
DeoR	rffT//ynfH//purK//argC//metE//fabA//
DhaR	bioD//
DicA	
DinJ-YafQ	paaE//
DnaA	hcaC//rutD//tyrA//entC//araB//gltB//
DpiA	hemH//fadD//nadB//galK//ahpF//
DsdC	rimK//treC//
EbgR	
EnvR	chbF//allC//
EnvY	sucA//umuC//
EvgA	tehB//lysU//nadA//citE//gudD//dhaM//
ExuR	dhaK//lpxD//moaA//gntK//nanE//dapD//
FabR	cysN//ycjG//chbG//
FadR	uxaC//hcp//gatY//udp//edd//prs//gadA//pdeR//folE//glmU//dsdA//rsmH//pflB//aceA//fadH//xylB//mhpC//nadA//serC//
FeaR	purK//feaB//
FhlA	gapA//iscS//allD//aroL//dapD//rffM//serA//purK//
FlhDC	bioF//glpX//tktB//atoA//hcaC//gloA//ynfF//paaZ//gatY//ynfG//cynS//ybjG//rutB//gnd//
FliZ	sucA//moaA//uvrB//pykF//cyoE//
FucR	dgkA//dapB//trpC//entF//mngB//fucK//
