# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	malZ//leuD//
Ada	rffH//narG//xapA//glxK//
AdiY	pgi//rhaB//deoC//glgP//
AgaR	metB//
AidB	rffC//
AlaS	dinB//
AllR	mraY//purM//bioF//leuB//aceA//gloA//
AllS	chbF//uvrB//mtlD//
AlsR	idnK//fumC//moaC//
AppY	leuA//bglB//
AraC	nanE//hycB//citE//prpB//nrdE//kbaZ//nagB//ddlB//
ArgP	ahpF//pgpC//paaY//ygeA//uvrA//entB//gcl//phnN//mazG//
ArgR	sdhB//yiaK//nfsB//glcD//uxaC//glpX//cysG//murG//argI//entA//feaB//pgaD//hcaC//glnA//uidA//phnI//fruK//uxaC//ycjG//mhpE//ulaF//garD//caiD//
ArsR	trpB//murF//
AscG	paaZ//paaZ//
AsnC	alaC//dadA//
AtoC	cynS//gutQ//paaE//
BCCP	glpB//
BaeR	waaZ//lsrK//
BasR	pncB//ynfE//sbcC//
BetI	relA//ilvM//rffM//
BirA	eno//yfdE//pykF//rpiB//dhaM//
BluR	
BolA	nrfD//garR//
BtsR	aroG//
CadC	argA//fabZ//caiD//
CaiF	pflB//ubiA//nanM//tehB//astE//
Cbl	acnA//puuA//dapD//phnM//asnB//
CdaR	garD//hycC//dacC//wzb//aroL//nrfD//uvrC//lysU//narH//
CecR	cyoE//
ChbR	speB//hyaC//moeB//
ComR	
CpxR	slt//melA//ilvC//bacA//wzc//pheT//gadA//galE//hcp//rffC//pdeL//xylB//araA//feaB//murI//mltF//ssuE//mhpC//idnK//rtcA//ftsI//
Cra	pheS//pgm//putA//gatZ//paaK//mdh//purA//purF//puuA//ahpF//malZ//galT//ynfF//ynfE//serC//tehB//paaC//edd//aceB//gpmM//appA//aceE//galK//codA//fadA//argD//paaJ//ddlB//chbF//rffH//gltD//nrdD//gloA//guaA//fucO//speA//bglB//ychF//hycF//cyoE//pgpC//garD//pnp//fes//ynfH//ubiC//glpD//ygeA//hyi//garK//purA//chbF//metK//mhpE//hyaA//iscS//galK//cysE//asnB//
CreB	aspA//rutE//
CsgD	mhpC//metC//purH//ruvB//frdC//
CsiR	lldD//rimK//glpD//ilvI//
CspA	iscS//
CueR	caiB//gatD//paaG//rutB//dkgA//
CusR	fucK//napA//glgX//ilvM//
CynR	fdhF//bioB//melA//
CysB	malS//cynS//bglB//hycD//phnG//alaS//glcD//sodB//gcvH//murI//glpD//nagB//hycC//fabG//cynT//gcvP//aceF//
CytR	tnaA//nrfD//caiB//aroH//uvrC//katE//hmp//paaJ//metK//malZ//
DcuR	napA//sbcD//dhaK//accA//
DeoR	atoB//glnA//hyaA//nanM//tpiA//argA//
DhaR	asnA//
DicA	
DinJ-YafQ	ddlB//
DnaA	mhpF//yfdE//bioB//gatZ//fucK//lacZ//
DpiA	gatZ//glcB//sgbE//cysC//ruvB//
DsdC	treC//betB//
EbgR	
EnvR	galK//glgP//
EnvY	alaS//gatZ//
EvgA	lhgO//adiA//thrS//fadI//hyaB//trpD//
ExuR	glpC//patA//araD//atoB//waaY//bioF//
FabR	gudD//sdhB//puuD//
FadR	ddlB//napA//hcaF//lacA//hcaB//uxaA//aceB//puuE//dmsA//hycG//aroG//purF//araB//rtcB//caiB//hycG//lsrK//mhpA//fucK//
FeaR	gdhA//ilvI//
FhlA	entD//wzc//hcaB//hyaC//ccp//purH//malQ//rhaD//
FlhDC	lpxC//gloA//dhaK//bioC//paaB//chbG//astB//accA//bglB//nfsA//bioA//hycG//folE//truB//
FliZ	pgi//gloA//hyaB//sufS//rutC//
FucR	bglB//trpC//phr//cysM//deoA//waaY//
