# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ynfG//truB//
Ada	mpaA//napA//ampC//chbF//
AdiY	rffH//gcvT//waaH//tnaA//
AgaR	yeaE//
AidB	entC//
AlaS	gatD//
AllR	wecB//fabI//hcaF//aroL//tadA//nagB//
AllS	fucA//adiA//puuE//
AlsR	fucK//patA//arsC//
AppY	metB//tam//
AraC	gcvH//ilvE//hcaD//waaY//entC//entF//prpB//puuC//
ArgP	fdhF//recB//trpD//tdcE//glgA//allE//aroH//nrdE//yqhD//
ArgR	mhpA//rffH//rpiB//gltB//psd//wzb//ssuE//lldD//betA//paaJ//caiD//mpaA//argG//lysU//tehB//fucI//gadB//sdhA//fdhF//murQ//betA//argH//speB//
ArsR	argG//atoB//
AscG	cysJ//yedX//
AsnC	ynfF//serC//
AtoC	pfkA//accD//lacA//
BCCP	cysE//
BaeR	paaE//frc//
BasR	edd//sbcD//frc//
BetI	entH//glgB//sdhD//
BirA	ddlB//glcF//paaF//nrdD//ilvG_1//
BluR	
BolA	sbcD//caiC//
BtsR	nanE//
CadC	tdcB//ndh//carA//
CaiF	cysC//ahpF//entC//hcaB//astB//
Cbl	tdcD//hycF//dkgB//pflB//patD//
CdaR	gor//dkgB//leuC//ldtD//nrdA//fumB//sgbU//yfdE//paaH//
CecR	murF//
ChbR	metB//dhaK//napH//
ComR	
CpxR	cadA//paaI//chbF//psd//srkA//cysD//purB//nirD//lpd//citG//glcD//chbG//nfsA//bglB//iscS//lpd//phnO//pdeL//dhaM//fucO//bioD//
Cra	ychF//pagP//glpD//purE//moeB//uvrA//paaI//cysN//argD//tktB//glxR//fumC//cysG//tdh//gntK//rhaB//add//nrfC//pdeL//fadA//yiaK//patA//puuB//talA//fadA//sucC//gadB//sufS//sdhC//rbsK//ugpQ//bglB//accC//paaB//mraY//argD//nfsB//malQ//phnM//citF//phnO//nrdF//fadA//glpB//dgcN//entF//wecC//fadM//bioA//citC//moaD//cysG//astD//truB//oxc//malQ//ppsA//polA//bioF//
CreB	guaA//fadH//
CsgD	glsA//ssuD//purA//fumB//polA//
CsiR	aceE//mpl//hcaB//metK//
CspA	purD//
CueR	sdhB//glpX//cysH//paaJ//ilvG_1//
CusR	xapA//epd//fadB//wecE//
CynR	ulaD//alkB//phnJ//
CysB	gatZ//murE//gcvH//chbF//entA//leuC//hyaC//amn//entD//citE//glgP//hcaD//narG//trpD//hcp//gnd//srkA//
CytR	wecC//iscS//srkA//rutD//nrdE//leuD//asnB//ychF//napH//zwf//
DcuR	mhpE//paaC//hyi//guaB//
DeoR	sdhC//hycB//feaB//glmS//ttdA//pdeL//
DhaR	frc//
DicA	
DinJ-YafQ	gatZ//
DnaA	ulaF//dadA//deoA//icd//glcF//ruvA//
DpiA	mtlD//glgX//glcD//metC//pyrC//
DsdC	sbcC//malQ//
EbgR	
EnvR	galM//icd//
EnvY	mhpA//chbG//
EvgA	dhaL//fau//rsmH//prpD//cysH//rhaD//
ExuR	argG//lyxK//moaD//ddlB//ldtB//fabA//
FabR	ribA//murF//tpiA//
FadR	thrS//cdd//rtcA//trpD//serC//nirD//metB//ahpC//uvrB//mazG//lysC//gatD//nanA//puuE//hcp//ttdB//prpB//rffM//nagA//
FeaR	mtlD//nadB//
FhlA	gatZ//bioD//gpmA//atoA//hcaD//argI//mhpD//treC//
FlhDC	speB//ribA//rimK//lsrG//hycE//wzb//phnJ//yqjH//psd//galK//pflB//rutC//ugpQ//pgaB//
FliZ	glgC//fadA//rsmH//bioF//nirD//
FucR	sgbU//mhpB//aroF//cysN//caiC//moaA//
Fur	bioF//ilvH//nirB//cysH//purB//pspE//rffT//gcvT//dhaL//purM//ilvM//entA//caiD//hyaA//prpD//aldA//deoD//gntK//umpH//dmsC//fadD//kbaZ//rhaD//nrfA//nadB//folA//ftnA//glgB//udp//araD//trpC//hcaC//asnB//mhpE//citD//thrS//dacC//metF//phnP//uxaA//carB//carA//sbcC//frdA//accA//glgC//aspA//fau//glxK//metH//argG//pagP//phoA//hcp//ychF//fadH//hycD//cysJ//nrdE//sucA//rtcB//phr//
GadE	ulaD//dapD//folE//cysC//yfdE//glpC//pgpC//paaB//rutE//chbF//
GadE-RcsB	eno//patA//glpD//citC//recF//
GadW	paaG//dgkA//arsC//uxuA//
GadX	fruK//pheT//sdaA//aspA//eno//lacA//caiB//iscS//aldA//idnK//cysG//murG//bglB//
GalR	aroG//rtcA//fadB//relA//slt//purK//
GalS	entA//asnB//gdhA//tadA//pck//tadA//
GatR	phnG//moeA//nrdE//
GcvA	betA//rbsD//rpiB//
GlcC	paaG//carA//puuA//
GlpR	carA//nagA//sucD//cysI//sbcC//carA//glpX//
GlrR	
GntR	mhpE//purM//astE//puuA//argE//cysG//gor//gadA//fadH//
GutM	moeB//glnA//leuA//
HU	ftnA//umuD//cysH//ynfG//asnB//srlD//aceF//
HcaR	cysM//pgk//
HdfR	
HigA	truB//
HigB-HigA	eda//
HipAB	nrdB//rffG//
HipB	rffC//lsrF//rffH//
HprR	nagA//fes//sdaA//udp//
HyfR	dadA//
HypT	pgm//sbcC//hemH//dkgB//fabD//cysG//accA//
IclR	glxR//gloA//hcaD//
IdnR	aroA//rutD//pyrD//trpD//gapA//sodA//
IlvY	glgC//
IscR	gltB//kbaZ//gltB//lacA//mhpE//nagB//pagP//rutE//
KdgR	garL//cysC//
KdpE	hycE//
LacI	aroG//astA//glpQ//
LeuO	fucI//bioD//argD//sdhD//ppc//eda//
LexA	adhE//ogt//ftnA//yedX//paaY//accC//lldD//ldtD//moaC//prpD//rtcB//entE//gcvT//rbsK//dhaL//hmp//dapD//rhaB//ttdB//xapA//gor//poxB//wecB//
LldR	waaZ//hyaB//
LrhA	
Lrp	rbsK//mngB//hycG//ldtD//alsE//ycjG//asnA//trpA//fadJ//atoB//argC//murD//dhaM//ascB//citX//napG//trpE//glgA//prs//ahpC//argG//phr//cueO//ycjG//dgcN//recD//idnK//zwf//dkgA//ybjG//caiD//fumB//fabH//codA//tehB//paaY//sbcD//guaA//ygeA//nagA//
LsrR	hmp//sucD//glcB//lsrK//phnI//
LysR	fadB//
MalI	glpK//recD//
MalT	metL//acnB//rhaA//rnpB//phnN//gapA//
MarA	patD//argF//gabD//citG//phnH//lsrK//moeB//nfsA//garL//galE//nrfC//rbsK//rtcB//bioD//caiD//bioF//ychF//gabT//alaA//fucO//gpmM//rbsD//narG//glpD//
MarR	
MatA	dmsC//
MazE	metA//
MazE-MazF	ilvM//
McbR	
MelR	carA//idnO//
MetJ	nagB//speA//gabT//dhaL//kbaY//fau//ldtB//puuE//paaZ//tktB//
MetR	fau//ynfE//phnO//nrdA//
MhpR	carA//garD//chbG//truB//malQ//truB//
Mlc	oxc//rsmH//hemL//icd//
MlrA	cysD//
MngR	fabG//nanK//
MntR	tehB//glyA//
ModE	mdh//lysA//hmp//gabT//uxaB//gloA//rffT//entE//metE//ssuE//malS//wzb//prpC//pyrD//hcaE//eda//cyoE//
MprA	aroL//relA//rffG//
MqsA	cysK//pgk//
MraZ	metL//nirB//accA//glcB//nrfC//aroH//entF//fumB//caiC//purH//
MurR	ascB//chbG//pnp//
Nac	gcvT//mltF//fabD//sucA//add//pyrC//pgk//wecE//cysC//tdcE//aroF//
NadR	gcvH//malY//entD//hcaC//
NagC	metC//astA//lhgO//dadA//tauD//wecE//fruK//pdeL//fabD//cysN//lsrG//lsrK//paaK//speB//fadH//tadA//allB//paaC//chbF//
NanR	sgbU//paaJ//paaY//ybjG//poxB//hemL//
NarL	argF//lsrF//argC//pagP//mhpB//dapB//yeaE//glyA//gabT//gapA//sucD//purH//adiA//phoA//glpA//talA//atoB//hyaA//deoB//moaD//eda//cysE//bioD//pgi//pgaC//uidA//garK//kbaY//edd//fdhF//malY//mltF//glxR//nadA//paaH//aroG//serA//sbcC//metA//trpA//pflB//
NarP	uvrB//uvrC//fumB//leuC//metB//ilvG_1//puuA//polB//trpA//ttdB//entH//paaC//idnD//cysI//ilvD//
NemR	melA//phnG//
NhaR	hcp//lacA//astB//fadB//alaS//
NikR	accC//
NimR	garR//
NorR	malZ//
NrdR	carA//rffG//katG//tam//
NsrR	gadA//ahpC//pykF//rbsD//dmsC//slt//mltF//rnpB//fes//hycE//argD//ascB//atoB//sbcD//fabH//asnB//cysK//yeaE//cyoE//yedX//fadE//tynA//srlD//malZ//lpxC//tyrB//rffG//glmU//ldtB//citF//uxaA//ilvH//fadB//purK//sgbE//puuD//trpE//melA//citF//trpB//
NtrC	leuB//araA//ndh//dgkA//hcaC//alaA//mraY//nrfA//hycC//psd//puuA//frdC//cysH//fruK//speA//prpD//fadJ//alsE//argF//tdcB//moaD//
OmpR	ynfF//aroH//sucC//hycD//yiaK//rsmH//gcvT//malQ//
OxyR	glxR//ygeA//araA//frdA//fabG//caiA//nadA//allA//yeaE//cadA//guaA//katE//araA//dkgB//kbaY//ftnA//lysU//
PaaX	yqhD//ilvM//epd//prpC//uxaB//speA//dgcN//uxuA//nfsA//
PdeL	trpD//
PdhR	aceA//pdeR//argH//moaD//malP//adhE//slt//moaA//aroH//aroL//cueO//accC//alaC//hyaC//purK//ilvA//glsA//zwf//glgP//sucC//accD//glgB//gcl//ppsA//iscS//
PepA	entB//ynfE//
PgrR	hmp//frdA//
PhoB	citX//fumB//ppsA//ubiX//hycD//alaA//truB//rbsK//rutA//ruvA//gudD//dmsC//dadA//rffH//argA//wecE//dhaM//hycF//napA//leuB//
PhoP	edd//metC//sbcC//ilvD//ynfF//guaB//ssuD//betB//lpxD//glpX//citF//nadA//purK//citG//moaC//pgaC//paaZ//recD//yiaK//pgm//purE//hycF//citF//hmp//lpxA//hcaB//ilvH//serA//fadD//gadB//tauD//gor//
PrpR	atoD//narG//psd//wecC//
PspF	idnK//
PurR	prs//cysI//ulaG//cueO//tdcB//aroH//ruvA//metH//frc//betB//frdC//metL//nrdB//ilvG_1//asnB//fau//talA//glpD//metK//sucA//cysE//prpE//entC//kbl//tehB//puuB//
PutA	allD//ung//
PuuR	mtlD//pgpC//prpD//hcaF//ilvH//cysD//
QseB	
RbsR	astA//rutB//xapA//glxR//moaD//purM//
RcdA	nanE//
RclR	
RcnR	acnA//
RcsAB	paaG//purC//yeaE//
RcsB	aroA//rsmH//dadA//folE//
RcsB-BglJ	amn//purH//
RelB	rutD//
RelB-RelE	gcvH//
RhaR	
RhaS	cysD//rnpB//ahpF//deoC//
Rob	arsC//fadA//tehB//glyA//fucI//patD//malZ//sucC//phnP//fbaB//dmsC//mhpB//edd//astD//glk//mnmG//fabI//guaA//aceE//
RstA	nrdF//dhaM//nagB//
RtcR	paaY//fadD//
RutR	garR//fabD//pgk//metL//pgi//alaS//pdeR//ulaE//pepD//glpB//nrfD//
SdiA	
SgrR	dhaM//glgA//eno//
SlyA	nrdD//eda//fbaB//ttdB//glcD//puuC//glmU//melA//prpE//
SoxR	pdeH//
SoxS	bioA//fabA//leuA//betB//glcE//sodA//napB//grxA//polA//putA//yqhD//leuA//frdD//mltF//mnmG//glgX//ulaG//malY//wecC//ampC//purA//sucB//fdhF//uxuA//gor//moeB//
SrlR	ruvB//astC//polB//
StpA	frdA//accD//leuB//
SutR	truB//nanA//
TdcA	ccp//purD//ascB//mngB//ubiC//
TdcR	gudD//pspE//sucA//dsdA//napB//
TorR	recB//phnJ//nagA//adhE//nadA//
TreR	fes//gatY//
TrpR	nrdA//rhaA//argB//ilvM//cysH//glpX//glyA//gcvP//chbG//
TtdR	rhaB//cysE//
TyrR	malP//udp//gnd//ybjG//arsC//katG//carA//fabI//alkA//
UhpA	uidA//
UidR	astC//purF//
UlaR	nirB//ynfE//gcvT//cynT//mpaA//
UvrY	ddlB//phnN//
UxuR	serA//glmU//fes//deoA//paaE//
XapR	sucC//kbl//
XylR	phnG//tdcG//frc//
YdeO	xylB//phnJ//tdcE//
YefM	mtlD//
YefM-YoeB	lsrG//
YeiL	
YhaJ	
YiaJ	xylA//dhaM//fadH//lpxA//rfe//purL//
YjjQ	dadX//asnA//
YpdB	
YqhC	galT//hmp//
YqjI	gpmM//
ZntR	nanM//
ZraR	
Zur	yeaE//
