# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gcvH//polA//
Ada	lyxK//srlD//sodB//dgcN//
AdiY	ttdB//glgX//rutC//tdcB//
AgaR	poxB//
AidB	recB//
AlaS	allD//
AllR	mltF//dkgB//yiaK//mhpF//gcl//srlD//
AllS	atoD//carA//tam//
AlsR	alsE//nfsA//udp//
AppY	fabB//tyrA//
AraC	yeaE//alaS//carB//ybjG//yiaK//dmsC//pagP//malY//
ArgP	ydcS//glgP//cysC//malQ//gadB//polB//pflB//cysH//moaC//
ArgR	kbaY//waaZ//murG//caiA//purA//edd//grxA//pgm//pspE//katE//purB//sufS//fabI//trpB//lpxD//galM//caiC//xylB//acnB//malY//fabA//ahpF//rtcA//
ArsR	carB//mhpA//
AscG	rutB//aspA//
AsnC	ldtD//sbcD//
AtoC	idnO//sdhC//glpA//
BCCP	rffM//
BaeR	paaZ//iscS//
BasR	uxaA//mazG//ung//
BetI	ugpQ//gcvP//adiA//
BirA	phnJ//allB//ruvA//cynT//ssuE//
BluR	
BolA	purD//aspC//
BtsR	napG//
CadC	purM//phnG//idnD//
CaiF	ulaD//alaA//dapD//argI//lyxK//
Cbl	murC//glgA//gapA//gutQ//fadJ//
CdaR	yqhD//alkA//add//gapA//gnd//nagA//trpB//phnH//rffH//
CecR	purB//
ChbR	wecE//pgaD//rsmH//
ComR	
CpxR	hcaE//accD//betB//wzc//gabT//tyrB//asnB//fdhF//ycjG//gcvH//fbaB//hypF//sgbE//mhpE//glxR//glsA//ilvD//kbl//entH//mhpD//araD//
Cra	metF//ribA//gudD//asnB//entB//rutE//polB//alsE//ccp//trpD//lhgO//garL//sdhB//purC//nagB//dhaK//ubiC//avtA//add//leuA//ung//ygeA//bioC//waaZ//phnJ//betA//hycE//sgbH//aspC//allD//ubiA//putA//fdhF//rhaD//gatD//tnaA//deoA//eda//paaI//pflB//gpmM//hyi//pdeR//napB//ruvB//cysE//cdd//pagP//ilvI//paaG//katE//gloA//glpC//narI//deoB//gcvP//ynfF//fadB//relA//
CreB	glgP//pfkA//
