# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	glcE//iscS//
Ada	lacZ//purK//aroA//nirD//
AdiY	eda//lldD//murE//leuB//
AgaR	aroA//
AidB	aspC//
AlaS	dgcN//
AllR	folE//dhaM//fucO//sucC//glxK//glxK//
AllS	leuC//tehB//hycE//
AlsR	gadB//rffG//hemL//
AppY	pdeR//srkA//
AraC	rutB//ilvG_1//glxK//acnA//uvrB//dgcZ//rtcB//uvrC//
ArgP	eno//acnB//uxaA//sgbH//mpaA//leuC//nirB//sucA//malS//
ArgR	melA//fabD//mpl//fabA//puuB//dmsC//eno//atoD//sufS//mhpA//tadA//grxA//idnO//lpxA//argF//add//phnG//murG//recD//murE//hypB//patD//nrfC//
ArsR	nagB//sucC//
AscG	aceB//lysA//
AsnC	fbaB//speB//
AtoC	uvrA//zwf//rffC//
BCCP	sdhD//
BaeR	ygeA//napG//
BasR	acnB//aceB//sucC//
BetI	pck//pgi//phnL//
BirA	pspE//sucC//ampC//ycjG//sucC//
BluR	
BolA	xylB//yiaK//
BtsR	aldA//
CadC	sodA//ycjG//cysG//
CaiF	atoB//puuD//hypB//citF//cysG//
Cbl	prs//metC//galM//sodA//fabG//
CdaR	hyaC//rhaD//idnK//uxaA//entA//recB//wzb//gatZ//wzc//
CecR	metH//
ChbR	hyaC//accA//leuB//
ComR	
CpxR	entD//bglB//entF//pncB//murG//aldA//phnN//murD//frc//napB//umuD//frdC//ulaF//slt//trpC//lldD//ilvH//dapD//napA//rnpB//yiaK//
Cra	entH//acnA//nirD//purE//nadA//recB//yqhD//fumC//dmsC//hycB//dgcC//thrS//hycB//alaS//purL//lpd//ulaE//thrS//gutQ//ruvB//alaA//glgX//phoA//mraY//gabD//pheT//ldtC//cyoE//malP//cynS//pheS//sdaA//pdeH//kbaY//yfdE//mhpC//rimK//atoD//recF//ychF//cysK//hcaC//caiC//hyaA//edd//caiA//cysD//moaE//nadA//prpE//pagP//fumC//tdcE//wecE//treC//hyi//phnM//rpiB//sdhA//
CreB	phnI//cynS//
CsgD	tam//lacA//dadA//araD//ulaD//
CsiR	lpxA//gapA//allC//hycD//
CspA	nagA//
CueR	fbaA//sufS//entA//puuD//pdeL//
CusR	paaG//hyaB//grxA//xylA//
CynR	aroL//purD//xapA//
CysB	trpA//pgpC//prpB//rimK//murC//tadA//tehB//eda//fbaA//kbaZ//cysD//nemA//gcvH//bioA//gadB//betB//torA//
CytR	zwf//citE//bglB//bacA//ampC//aceB//murD//mhpC//sdhC//fumB//
DcuR	dadA//tadA//patA//sdhC//
DeoR	mltF//sgbU//aspC//treC//paaH//moaA//
DhaR	waaH//
DicA	
DinJ-YafQ	edd//
DnaA	murG//rtcA//idnO//paaI//murC//fadH//
DpiA	mraY//ybjG//nrdF//gcvH//phnG//
DsdC	sgbE//uvrC//
