# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	carB//lsrG//
Ada	rffT//argA//fadD//glcE//
AdiY	puuE//entA//xylA//nadA//
AgaR	metE//
AidB	astE//
AlaS	tehB//
AllR	lpxD//phnH//gcvT//fucU//alaC//ogt//
AllS	bioA//mhpA//fucK//
AlsR	frdB//ynfH//ubiA//
AppY	deoD//sbcD//
AraC	dacC//pyrC//puuE//yeaE//slt//cueO//gpmA//frdA//
ArgP	ychF//nirB//phoA//gcvP//eda//hypB//pncB//entF//yqjH//
ArgR	mdh//allD//wrbA//alkA//kbaY//ccp//uxaC//leuA//purC//rtcB//chbG//nrdF//entA//citG//prpE//ygeA//glpB//ndh//sgbH//aroL//moaC//lpxA//dapD//
ArsR	dinB//galT//
AscG	lpxD//gntK//
AsnC	rutE//napG//
AtoC	ftsI//alaA//astA//
BCCP	lysU//
BaeR	bioF//yqhD//
BasR	aspA//murC//idnD//
BetI	paaC//sdhA//entF//
BirA	ahpF//phnN//gnd//glgB//speA//
BluR	
BolA	arsC//purM//
BtsR	hycB//
CadC	phnO//purE//pdeL//
CaiF	citD//mhpF//phnH//fabG//bioB//
Cbl	fabZ//napG//nemA//gabT//puuA//
CdaR	aroF//argE//fau//paaB//oxc//rutD//lpd//rpiB//fucA//
CecR	recD//
ChbR	pdeH//tktB//arsC//
ComR	
CpxR	gntK//sucB//deoC//recF//gutQ//nrfA//frdD//ppc//wzb//ybjG//dgcZ//pdeL//dgkA//glgC//ubiA//galM//umuC//aroH//ldtB//dmsB//narH//
Cra	aceB//nrfC//cysC//ynfH//hycD//dgcC//cdd//frdC//idnO//melA//tdcG//pdeH//glgX//betA//phnG//tdcG//ascB//argA//lsrG//icd//tdcB//ascB//sufS//glsA//fadH//pdeL//mhpE//metL//sodB//srkA//napH//nagB//idnD//fabA//tyrA//citX//acnA//rhaB//allA//purL//wzc//adiA//glgP//gadA//paaG//napB//tyrB//wzc//gapA//mtlD//lysU//citG//dapD//ppsA//leuB//icd//waaZ//ulaE//uvrA//
CreB	glyA//pdeH//
CsgD	alkA//sucB//gadA//prs//astA//
CsiR	astA//purH//lacZ//cueO//
CspA	umuC//
CueR	cysH//trpD//ulaF//ftsI//purL//
CusR	xylA//deoD//ldtC//tnaA//
CynR	hycB//phnL//ribA//
