# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	patA//metB//
Ada	truB//uvrA//phnN//wecB//
AdiY	dadX//gadA//thrS//gatY//
AgaR	gcvP//
AidB	adiA//
AlaS	udp//
AllR	cynT//napH//uxaC//idnK//alaS//atoD//
AllS	fucO//astC//malS//
AlsR	murQ//dkgA//idnD//
AppY	paaA//argD//
AraC	fumC//srkA//ulaG//aceF//glcF//tdh//glyA//nrfA//
ArgP	lhgO//ynfF//folE//fruK//uxuA//murG//mazG//sgbH//cdd//
ArgR	nanM//gpmA//umuD//iscS//murQ//dgcZ//allB//paaB//torA//codA//hcp//tdcB//cysC//ttdA//alkB//glpX//glpA//prpB//paaK//rfe//fadD//ilvD//hcp//
ArsR	aroA//sgbH//
AscG	katG//malZ//
AsnC	ada//entC//
AtoC	pnp//alaC//bioD//
BCCP	ynfG//
BaeR	pheT//glgA//
BasR	murQ//dmsB//sbcC//
BetI	citC//moaD//napG//
BirA	mltF//alaC//pspE//gcl//lysA//
BluR	
BolA	gcvT//trpA//
BtsR	chbG//
CadC	ruvB//phr//gcvH//
CaiF	rffM//nanE//yeaG//lysU//fabI//
Cbl	hmp//yiaK//ogt//nfsB//ilvI//
CdaR	frdB//astC//sdhC//metC//sbcD//glcE//gutQ//gcvT//entF//
CecR	gcvH//
ChbR	glxR//wecE//ynfH//
ComR	
CpxR	fadH//malY//dkgB//mtlD//gcl//frdB//rtcB//sbcD//gutQ//xylB//edd//gpmM//uxuA//cadA//bioF//metE//epd//prpB//ssuE//epd//glpX//
Cra	bioF//entC//caiA//uxaB//sbcD//ulaE//icd//tauD//torA//rbsK//phnO//purD//paaB//alkA//ilvC//glpC//katG//paaI//umpH//zwf//ccp//trpD//pck//gabT//mtlD//alkB//adiA//ilvA//phr//ftsI//fumB//speA//wecC//glnA//pspE//araD//waaZ//ulaF//galM//hycD//pdeH//lldD//nrdB//paaA//sbcD//trpB//uxaC//pheT//atoD//pgaC//bacA//arsC//trpD//purB//fadA//mdh//ddlB//paaH//fadD//
CreB	udp//gltD//
CsgD	ppiA//ulaE//rpiB//pflB//murG//
CsiR	lsrG//phnL//ychF//metB//
CspA	entA//
CueR	fadM//murC//metL//mhpB//rbsK//
CusR	trpB//trpC//ubiC//folE//
CynR	paaK//fadD//putA//
CysB	sdhD//rutB//hyaA//dapB//polB//cyoE//gadA//nrdA//phoA//dgkA//wzc//ddlB//uidA//uxaC//fau//metA//uidA//
CytR	argB//entE//fabD//moaC//fadH//cysM//fabB//gcvH//rffT//hycF//
DcuR	ynfE//narI//ilvD//dadX//
DeoR	galT//nagA//serA//glpC//phnN//ilvD//
DhaR	puuC//
DicA	
DinJ-YafQ	wecB//
DnaA	iscS//pgk//glcE//entH//dhaM//nagA//
DpiA	srlD//kbaY//yeaE//icd//purL//
DsdC	gltB//atoD//
EbgR	
EnvR	lldD//folE//
EnvY	argA//aldA//
EvgA	fadA//sdhD//purM//purN//sucB//rtcA//
ExuR	pdeH//leuC//nirD//gpmM//fadB//nanA//
FabR	add//idnD//dkgB//
FadR	frdC//entD//iscS//xapA//srlD//ilvI//nrdF//entC//fdhF//glxK//phnJ//cysK//moaE//cysD//fbaB//nrdF//fucU//appA//dhaL//
FeaR	pgk//frdD//
FhlA	tpiA//lacA//lysA//amn//gcvT//pgaB//trpD//tauD//
FlhDC	argB//chbG//thrS//xapA//aceE//astC//luxS//grxA//ppc//waaH//mpaA//pgm//fabB//sucD//
FliZ	umuC//umuC//paaH//nrdF//ttdB//
FucR	alkA//sucD//malY//umuC//fbaB//garL//
