# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	uxuA//dgcC//
Ada	dsdA//gdhA//hycB//grxA//
AdiY	nanM//srkA//gutQ//murQ//
AgaR	dinB//
AidB	feaB//
AlaS	gatZ//
AllR	add//pgi//malZ//katE//murQ//galE//
AllS	pncB//acnB//purF//
AlsR	fabB//ilvA//tadA//
AppY	nemA//pgaC//
AraC	narH//relA//ubiA//gor//leuA//malZ//mhpB//srkA//
ArgP	ynfF//ilvI//cysH//aroG//rfe//rsmH//mhpA//hcaB//ccp//
ArgR	sdaA//fes//pspE//glgX//ygeA//rffT//narG//lldD//fbaB//umuC//murG//pgpC//murD//avtA//avtA//cysN//fadE//hyi//phnN//waaZ//slt//talA//moeA//
ArsR	fucO//gadB//
AscG	hycG//caiD//
AsnC	gadB//tdcE//
AtoC	xylA//allD//allC//
BCCP	puuA//
BaeR	recB//aspC//
BasR	caiB//hyaB//mhpD//
BetI	entE//polB//uvrB//
BirA	puuC//asnB//rffM//ugpQ//cysG//
BluR	
BolA	idnK//argC//
BtsR	hypF//
CadC	relA//treC//deoD//
CaiF	speA//waaZ//nirB//serC//arsC//
Cbl	phnN//hycF//mazG//wecB//moaE//
CdaR	pgm//alkA//ppc//mhpD//ampC//malS//pdeL//cueO//caiC//
CecR	bioC//
ChbR	pgaB//lsrF//uxaB//
ComR	
CpxR	acnA//guaB//napG//argI//deoA//gatD//umpH//entC//cueO//gor//sgbU//ilvM//pgaD//asnB//moeB//argA//codA//nagA//gdhA//dadA//adiA//
Cra	asnB//argB//gor//malQ//deoA//cysH//napG//murD//fbaB//pepD//ahpF//pgi//prpC//putA//nrdE//gcl//nrdF//deoC//melA//folA//fumB//gltD//ung//gutQ//glpA//cysI//fabZ//narH//yedX//entD//moeB//moaE//lldD//ynfG//ogt//waaY//cysG//astC//yedX//nirB//uidA//adiA//gor//dapB//allE//glcB//mtlD//cyoE//ldtB//fucO//rfe//glmU//glgP//metC//nrdA//sgbE//ilvH//umuD//hyaC//
CreB	hcaC//talA//
CsgD	rhaA//pdeR//prpE//patA//guaA//
CsiR	mhpE//dsdA//cysK//wecE//
CspA	glk//
CueR	ppc//slt//galK//gatZ//rbsD//
CusR	xylB//astE//folE//tadA//
CynR	pflB//pspE//ilvM//
CysB	phnL//pdeR//dapD//mazG//lyxK//idnK//pnp//cueO//waaH//phnI//lsrK//tdh//ubiA//rhaB//icd//garK//yeaE//
CytR	napG//lacA//fabH//gntK//pflB//glgX//cadA//uxaC//rffC//sufS//
DcuR	fruK//avtA//garR//add//
DeoR	argC//deoD//dacC//rpiB//cysD//metE//
DhaR	rutA//
DicA	
DinJ-YafQ	tdcD//
DnaA	purA//ilvD//frdC//sucD//recF//ung//
DpiA	rutC//tnaA//ilvM//serA//fadE//
DsdC	purD//ulaD//
EbgR	
EnvR	bioD//pgaD//
EnvY	wecC//tdcB//
EvgA	dhaL//rpiB//ugpQ//frdA//argI//phr//
ExuR	guaB//garL//glk//yedX//fadB//pgm//
FabR	fumB//fucO//fadI//
FadR	cdd//lldD//aroL//glyA//tyrB//nirD//argD//ilvD//rsmH//phnI//entE//pheS//uvrC//purN//nanA//ulaD//chbG//truB//trpB//
FeaR	nrdB//metB//
FhlA	tyrB//relA//alaC//rhaB//iscS//nrdA//garD//lsrF//
FlhDC	yqhD//gor//hcaF//paaH//ybjG//paaJ//iscS//pyrC//tdcB//ppsA//puuA//dgcZ//pdeH//polA//
FliZ	phnL//alsE//rffC//allB//napB//
FucR	tdcG//nemA//pnp//codA//alkA//araA//
Fur	pyrD//eno//tam//tynA//lyxK//dgcC//glpX//metK//cdd//moeA//aroL//purB//ahpC//tauD//metH//malS//fadH//astC//astC//sucA//ahpC//melA//mdh//tam//hypB//mhpB//pnp//gatZ//tnaA//aspC//add//sdaA//carB//uidA//aroL//mhpB//purA//purN//hcaB//rimK//cueO//lacZ//lpxD//lpd//phnJ//frc//ppc//narG//glsA//mnmG//ccp//ttdA//aroH//truB//argD//hcp//fucA//ppc//wecE//putA//moaC//waaZ//
GadE	rtcA//napH//nrfD//atoD//rutC//nfsB//gdhA//tdcB//uxuA//malQ//
GadE-RcsB	ilvI//ldtB//hcaF//citE//dmsA//
GadW	torC//gcl//mhpF//cyoE//
GadX	metE//glgA//caiC//murC//gltB//nrfA//nrdE//fes//allE//frdA//wecC//leuC//purK//
GalR	hyaC//fabB//rsmH//citD//murE//tdcB//
GalS	dhaM//lsrF//frdA//ppsA//tktB//gcvH//
GatR	pgpC//psd//nrdB//
GcvA	lyxK//katE//aceF//
GlcC	allE//uidA//waaY//
GlpR	nfsB//phnH//allE//phnM//accD//dinB//dsdA//
GlrR	
GntR	astD//hycC//glgP//nrfC//add//gdhA//fucO//tehB//sdaA//
GutM	ung//tynA//entD//
HU	wecB//polA//lpxA//ulaE//tdcE//fadB//glcB//
HcaR	gnd//dgcC//
HdfR	
HigA	gudD//
HigB-HigA	glpD//
HipAB	epd//pgaD//
HipB	avtA//galM//sufS//
HprR	fadD//pepD//ilvI//gapA//
HyfR	gatY//
HypT	mnmG//uvrA//epd//rsmH//lpd//rutA//glgX//
IclR	ogt//hyaA//ubiA//
IdnR	gloA//frdD//wecC//murQ//glpB//accA//
IlvY	gloA//
IscR	murG//phnP//paaI//phnJ//cysN//wzb//lpd//amn//
KdgR	rbsK//ilvC//
KdpE	lpxC//
LacI	tnaA//alkA//gcvH//
LeuO	ldtB//rffG//torA//recB//cysC//wzb//
LexA	uvrC//glgP//ulaE//sdhD//yiaK//prpD//murF//alkB//gapA//codA//nadA//lacZ//eda//napG//narG//relA//waaH//entH//sgbU//ulaE//lldD//deoC//alaS//
LldR	ilvA//sufS//
LrhA	
Lrp	pagP//cysN//frdA//pck//sodB//tehB//ugpQ//fabG//argF//paaY//metK//sdhA//xylA//mhpD//deoB//ppc//gadA//alkB//ppc//ahpF//alaC//betB//mhpA//carA//trpD//idnD//betA//napA//prs//ynfH//tdcE//adiA//tam//dhaL//pykF//metL//frdD//gapA//cdd//ruvB//
LsrR	aroF//sodB//cysH//glyA//ynfF//
LysR	pnp//
MalI	pgm//atoA//
MalT	bioA//murQ//lacA//hcaE//rffM//alaS//
MarA	paaG//sucD//aldA//paaF//malY//ydcS//glpX//napB//citF//fabZ//rffG//rnpB//glxK//ldtB//dsdA//entC//truB//lldD//lpxD//hcaD//nadB//allE//paaI//napB//
MarR	
MatA	torC//
MazE	psd//
MazE-MazF	aceE//
McbR	
MelR	tdcB//patA//
MetJ	paaI//appA//dacC//aspA//murC//phnJ//glk//aceA//ldtB//fabA//
MetR	dgcC//leuB//rffM//cysK//
MhpR	sgbE//poxB//puuE//torC//fbaA//ssuD//
Mlc	citX//sdhC//dapD//rhaA//
MlrA	purE//
MngR	nanK//ssuE//
MntR	rutC//hcaE//
ModE	murQ//tyrB//uvrB//hcaB//glpA//fabI//lsrK//leuC//nrdF//mhpA//nirB//hyaC//uvrA//polA//adhE//appA//lpd//
MprA	rbsD//ssuD//wecC//
MqsA	paaJ//araA//
MraZ	entH//appA//rtcB//alaS//moaC//fadH//thrS//kbaZ//entE//sodA//
MurR	nfsA//rffH//glnA//
Nac	hyaA//fadI//mhpE//allA//leuB//add//uxuA//dsdA//carB//katE//gabD//
NadR	ung//betB//uidA//aroG//
NagC	galK//caiB//napH//rutC//trpC//fucI//frdC//glxR//entA//bioA//accA//argE//rhaA//aroA//glcE//glcE//rffC//ynfF//glxR//
NanR	sodB//serA//paaK//rhaA//lpxC//glpD//
NarL	rbsK//hypB//wzc//alaS//rhaD//nirB//fabA//rutA//rffG//folA//waaZ//gadA//prpD//purE//lpd//fadE//guaB//lacA//rimK//entB//cysN//polA//napB//paaY//accC//poxB//deoA//phnO//pheT//purN//gnd//fbaA//deoB//frc//argG//poxB//yqhD//rhaD//rpiB//glpD//galM//
NarP	phnI//gabD//srlD//srlD//puuD//tdcB//dmsB//rffH//citF//gcvP//ynfG//fabH//narG//puuC//hcaE//
NemR	tktB//bioD//
NhaR	gabT//mdh//moaA//ynfE//hmp//
NikR	trpC//
NimR	fabH//
NorR	tynA//
NrdR	metC//ybjG//pheS//gabD//
NsrR	hcaE//mhpE//pagP//cysJ//murD//ilvA//folA//dhaM//fabZ//guaB//glcB//alsE//katE//kbaY//nirB//nrfC//argI//sdhB//ppc//entC//araD//gabT//yiaK//patD//ulaF//pnp//pgaD//pheT//wzc//wecE//icd//wzc//metE//sdhB//gpmA//allB//ynfE//alsE//hemL//argD//
NtrC	fabI//fadM//fadM//ubiA//fabB//glgA//yqjH//pepD//eda//murD//narG//nagA//nirD//pgaB//uxuB//araD//sucA//nanE//hcaE//tdh//ybjG//
OmpR	pncB//glpB//puuC//umpH//pdeH//rutC//uvrB//idnK//
OxyR	sdhD//prpD//mhpD//argC//dmsB//yeaG//trpC//guaB//garR//acnA//purA//garD//fadE//hycE//hyaA//wzb//phnO//
PaaX	metB//cysK//garR//argD//entA//paaK//truB//citE//dgcZ//
PdeL	sdhB//
PdhR	nirB//argG//citE//rffG//pspE//nanE//entC//ilvE//gcl//rffC//napH//rsmH//nrfD//lhgO//astE//aceA//phnP//glgA//aspA//wzc//hycG//ahpC//glsA//garL//astE//
PepA	accD//ulaF//
PgrR	tam//aroA//
PhoB	sucC//gpmM//dinB//moeA//lysA//rutB//lysU//mdh//glgA//glcF//psd//glpC//atoA//acnB//lldD//prpC//gcvP//hycB//pdeR//fabH//
PhoP	sucD//prpC//cysN//ttdB//pncB//cysJ//pgm//rffG//atoD//gltD//torC//nagA//ttdA//yeaE//recB//purF//malP//rffT//dsdA//fabI//pyrC//ilvG_1//purN//gcvT//moaE//tdcG//glcE//aroG//relA//dhaL//puuB//sucA//
PrpR	astE//cysE//ilvC//thrS//
PspF	astA//
PurR	tadA//rbsD//tehB//nrdA//gcvT//bioD//ssuE//lsrF//alkA//hycD//recD//citE//leuD//leuC//udp//folA//dapD//gor//paaC//ndh//pnp//gnd//deoB//umpH//oxc//allB//
PutA	rutB//bglB//
PuuR	sgbE//lsrG//metB//cysH//purD//rutD//
QseB	
RbsR	deoA//leuB//asnA//gloA//cysM//aroH//
RcdA	tauD//
RclR	
RcnR	metE//
RcsAB	frdC//glpC//pgi//
RcsB	feaB//ulaE//glpA//pheS//
RcsB-BglJ	argF//luxS//
RelB	cysN//
RelB-RelE	cysN//
RhaR	
RhaS	metH//putA//phnM//ilvM//
Rob	appA//cysN//sucA//dapB//hycB//fruK//dinB//dmsA//deoB//uxaC//fumB//idnK//gltB//hyaB//prpE//caiD//iscS//hemH//araA//
RstA	idnK//fadM//glyA//
RtcR	ruvB//lysC//
RutR	fruK//sgbU//mhpC//folA//aspC//nadA//tauD//citG//hcaD//nemA//metF//
SdiA	
SgrR	rbsK//dinB//araB//
SlyA	hypF//nrdB//uxaA//astA//xapA//hcaD//trpA//epd//ybjG//
SoxR	entC//
SoxS	fbaA//argG//gabT//pdeH//fadB//mltF//galK//astB//katG//bioB//dkgB//puuA//yiaK//argI//tynA//kbl//metH//lpxD//purA//mhpD//fabB//metK//pdeH//rutD//nanA//allD//
SrlR	cadA//mhpC//lpxA//
StpA	sucB//tdcD//phnN//
SutR	gloA//nanM//
TdcA	fabI//aroH//paaK//talA//rimK//
TdcR	udp//ung//phnJ//glk//phnL//
TorR	pgi//ulaD//mnmG//moaE//bioD//
TreR	kbaY//phnO//
TrpR	gor//allC//aroL//pnp//metH//phnP//uxaA//astA//sgbH//
TtdR	moaE//pflB//
TyrR	mhpB//phr//polB//nrfD//alkA//tnaA//mltF//pfkA//aceE//
UhpA	ndh//
UidR	galK//ldtB//
UlaR	ssuE//rbsD//uxuB//wecC//citF//
UvrY	recD//pgk//
UxuR	betA//ynfF//murD//galE//phnN//
XapR	nrfD//glcD//
XylR	nanK//sbcC//citX//
YdeO	fucI//caiC//uxaB//
YefM	napB//
YefM-YoeB	fadM//
YeiL	
YhaJ	
YiaJ	nanE//sdhC//pck//rbsD//ulaF//pnp//
YjjQ	sucB//mhpE//
YpdB	
YqhC	gapA//araB//
YqjI	entC//
ZntR	fucO//
ZraR	
Zur	deoC//
