# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	paaC//moaA//
Ada	adiA//ubiX//srkA//fucO//
AdiY	pgk//prpE//gatD//paaY//
AgaR	purB//
AidB	leuB//
AlaS	bioF//
AllR	prpB//citE//galK//hycG//nrdD//sgbH//
AllS	alaC//mraY//putA//
AlsR	ahpC//dgcC//codA//
AppY	ftsI//ampC//
AraC	murE//idnK//pgaD//murE//mhpA//nemA//moaE//purN//
ArgP	polB//adhE//ftsI//glnA//gadB//lacZ//sbcC//sdhB//dhaL//
ArgR	pgi//astC//fumC//gntK//argI//dsdA//rnpB//ccp//rfe//cysG//narI//argD//hyi//appA//rffG//caiA//argC//lacA//katE//idnD//tpiA//glcB//rpiB//
ArsR	pagP//tktB//
AscG	paaZ//tdcB//
AsnC	narI//umpH//
AtoC	paaZ//avtA//hycE//
BCCP	fadB//
BaeR	rhaD//glgX//
BasR	pgi//ynfH//murG//
BetI	fabA//ascB//wecE//
BirA	rnpB//ynfF//avtA//pspE//mngB//
BluR	
BolA	paaZ//mpl//
BtsR	hcp//
CadC	sucB//alkA//nanE//
CaiF	ftsI//rffH//glpD//napH//nanM//
Cbl	aspC//ahpF//pgpC//wecE//yqjH//
CdaR	gdhA//ilvM//relA//sdhD//aroF//folE//aroH//paaG//ascB//
CecR	gcvT//
ChbR	kbl//ppc//fabB//
ComR	
CpxR	purL//gpmA//glmU//recB//torC//mhpE//entH//fucI//sgbE//purN//polA//xapA//ascB//mhpA//rffC//serC//deoA//caiD//moeA//ccp//chbF//
Cra	astB//mdh//tktB//ampC//aroL//phnG//dgcZ//ubiX//dmsB//nrfA//ppsA//nemA//glgC//cysJ//aroL//paaY//serA//lsrK//nagA//pheS//srkA//cysM//speB//eno//hypB//tadA//sodB//garL//cysC//hycD//ldtC//betB//gltD//mtlD//icd//gdhA//mdh//hemH//recF//nrdA//napA//rffM//lsrG//rffG//epd//talA//frc//galM//prpB//murF//rffM//adiA//ugpQ//dmsA//dmsB//ugpQ//pgk//serA//napH//
CreB	astA//wzc//
CsgD	leuC//icd//ycjG//prpD//kbaZ//
CsiR	prpC//entD//fadM//iscS//
CspA	malQ//
CueR	allD//fadH//glgC//atoA//aldA//
CusR	ulaF//murE//yfdE//metE//
CynR	rbsK//glxR//hemL//
CysB	phnM//torC//argG//ycjG//ahpC//caiA//hycE//bioC//mhpD//hycG//yqhD//caiD//uvrB//poxB//narH//murI//sdhD//
CytR	astD//fadB//deoA//lysA//yeaE//citD//leuD//ilvE//araD//pyrC//
DcuR	purM//uxuA//appA//glmS//
DeoR	folA//prpD//cysD//dgkA//gdhA//wzc//
DhaR	deoC//
DicA	
DinJ-YafQ	puuE//
DnaA	aceF//pgaC//allC//talA//fucA//paaF//
DpiA	ulaD//lysA//caiD//phr//napA//
DsdC	glgA//pspE//
EbgR	
EnvR	rhaA//dhaM//
EnvY	atoB//lldD//
EvgA	pgm//ubiA//avtA//phnI//moaD//pgk//
ExuR	sdhC//poxB//ynfE//cysE//cysD//tdcE//
FabR	kbl//avtA//aroL//
FadR	nrdD//gcvT//deoA//malQ//dgkA//epd//glpX//mltF//mazG//glnA//fabA//frdD//prpC//cysN//mnmG//fabA//bioC//ilvD//garL//
FeaR	uxuB//hcaB//
FhlA	araD//moeA//nrdD//wecB//bglB//betA//phnL//dmsC//
FlhDC	purE//accD//malS//udp//sufS//glmS//ilvD//yqhD//hycG//umuC//paaZ//glcD//ubiX//pgaC//
FliZ	ldtC//ynfH//gcvP//dgcC//purE//
FucR	malQ//zwf//aroA//prpB//melA//hcaE//
Fur	glcF//nanE//rhaB//ilvC//paaG//prpE//alkB//pyrD//ttdA//eno//paaC//pdeR//kbaY//phnM//nanK//slt//dmsC//accA//astA//astA//aldA//bioD//lhgO//galK//lpd//pagP//mtlD//phnI//ascB//add//ldtC//gpmA//torA//caiC//murF//aspA//purH//deoB//lysC//ampC//dinB//pgk//ynfH//pgaB//glpC//tdcG//epd//allB//cadA//pgm//ahpC//trpD//frdD//alkB//lpd//sbcD//mnmG//lhgO//ynfH//dhaM//wrbA//uidA//
GadE	phnM//ilvD//gcvP//prpB//purC//lysA//nanE//ndh//malZ//pflB//
GadE-RcsB	dhaK//purC//alsE//pyrD//purA//
GadW	udp//tam//sdaA//allB//
GadX	rffG//ung//purC//sucD//dadX//dhaL//rutC//citX//argF//rffH//trpC//atoD//uxaA//
GalR	fucO//ssuD//cysC//purF//trpC//deoB//
GalS	fdhF//gcvP//purF//nadA//yfdE//avtA//
GatR	fadD//prpD//hycF//
GcvA	feaB//ahpF//glgB//
GlcC	chbF//hmp//ung//
GlpR	glnA//add//cdd//sodA//ttdA//sdhD//fau//
GlrR	
GntR	pgaD//phnJ//dmsA//garR//entE//lpxC//pflB//fucO//tpiA//
GutM	wzb//dhaM//metE//
HU	cysJ//allA//citF//ttdB//puuA//phnJ//malQ//
HcaR	tdcB//entE//
HdfR	
HigA	glcE//
HigB-HigA	napG//
HipAB	nrdA//rhaB//
HipB	yqhD//napG//entA//
HprR	purA//rhaB//sufS//ruvB//
HyfR	add//
HypT	yqjH//caiB//araD//puuC//tyrA//relA//mpl//
IclR	phoA//rutC//ugpQ//
IdnR	yfdE//kbaY//glgX//pgi//ubiA//allB//
IlvY	betA//
IscR	nagA//prpB//xylA//mngB//bioB//astC//gatY//cdd//
KdgR	ldtB//aceE//
KdpE	paaB//
LacI	ppsA//purA//aceB//
LeuO	ychF//phr//fadD//caiD//lhgO//pdeH//
LexA	mtlD//folA//argD//tauD//hemL//waaZ//adiA//glxR//glcF//rutB//dsdA//nfsA//allE//asnB//sucB//dapD//tyrB//pspE//hemL//tpiA//frdD//ydcS//dhaL//
LldR	glcB//gudD//
LrhA	
Lrp	entA//galE//pheT//purK//galE//phnH//nanE//trpD//glxR//ydcS//garK//mpl//glpB//entA//ynfG//trpD//alkA//poxB//aroG//aceA//cysD//glyA//pdeL//citF//ulaG//gpmA//uxaC//murQ//betA//lyxK//phnP//glgC//mpaA//sgbU//glk//nadB//putA//garR//fucU//ilvH//
