# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	speA//pheT//
Ada	rhaB//ldtC//astE//fruK//
AdiY	ascB//mhpA//mpaA//lsrK//
AgaR	tauD//
AidB	ulaG//
AlaS	ubiC//
AllR	nrdA//moeB//lyxK//ilvE//napB//frdA//
AllS	gapA//cysD//glpB//
AlsR	phnO//melA//talA//
AppY	oxc//bioB//
AraC	argE//hyi//purM//glcD//frdD//leuD//aroL//ppc//
ArgP	paaB//alkB//lpxD//cynT//hycG//sdhC//rhaA//fabD//lpxA//
ArgR	atoB//deoD//phnI//cysN//sgbE//dhaM//sdhB//purB//moeB//moaE//metH//hyaC//fucK//mhpF//nrdE//bioA//rffM//atoA//add//gadA//nrdE//yeaG//rffC//
ArsR	bioC//cysM//
AscG	aceF//mdh//
AsnC	mhpC//ilvM//
AtoC	tdcB//ynfG//fumB//
BCCP	gltD//
BaeR	eda//waaH//
BasR	moeB//fabZ//dmsA//
BetI	moaD//rbsD//ascB//
BirA	ung//psd//mhpD//adiA//ydcS//
BluR	
BolA	ubiA//tdcB//
BtsR	rtcA//
CadC	folA//metK//ydcS//
CaiF	prpD//kbaY//ubiX//murF//moaD//
Cbl	tyrB//allE//ldtB//moeA//lpxC//
CdaR	cysM//serC//ulaF//sodA//gcvT//hycD//citE//phr//napA//
CecR	polA//
ChbR	citG//fau//rffC//
ComR	
CpxR	aroG//caiB//ulaE//entF//truB//tyrA//polA//ppiA//paaC//pdeH//pdeH//astE//paaY//phnH//narH//sucA//cueO//nrfD//srkA//gutQ//nrdF//
Cra	epd//aroG//gapA//cdd//entB//ulaD//truB//rffH//glyA//hcp//garK//sdhC//nirD//fucI//moeB//acnA//cdd//ubiC//uxaC//allE//pflB//pgm//hypB//atoB//mtlD//tdcD//mhpB//malZ//paaG//acnB//purF//hyaA//fadB//caiA//pepD//fabI//nrfA//bioD//fabD//cdd//fau//hcaF//nrfA//avtA//glyA//hycC//cueO//ruvB//ybjG//hemH//glcF//citG//metL//entF//metB//pfkA//gutQ//speB//phnJ//
CreB	betB//fadI//
CsgD	tehB//pck//atoD//aroG//uvrC//
CsiR	wecC//rffM//argE//pdeH//
CspA	allE//
CueR	glpD//entE//garR//paaA//tynA//
CusR	gltB//iscS//mltF//prs//
CynR	glk//allC//sucD//
CysB	narG//garK//metB//ubiA//tdh//rffG//purK//gcvT//phnM//fabA//hypB//phnJ//ssuD//fadE//nrdE//mtlD//sdhB//
CytR	guaA//allA//bglB//citF//phr//ycjG//appA//ddlB//ychF//aceA//
DcuR	fadB//wrbA//rhaB//rffH//
DeoR	glgC//serC//ccp//xapA//rpiB//treC//
DhaR	lpxA//
DicA	
DinJ-YafQ	umuC//
DnaA	uxaA//malY//oxc//sdaA//phnM//accC//
DpiA	psd//napH//moeB//rutD//bioF//
DsdC	epd//mhpC//
EbgR	
EnvR	hemL//moaA//
EnvY	murG//uvrA//
EvgA	hyaC//ssuD//umuD//idnO//aldA//mltF//
ExuR	nrdF//narG//alaC//idnD//wecE//paaK//
FabR	recF//yiaK//recD//
FadR	hycC//hyaA//wzb//purB//sgbE//melA//sdhB//malS//pck//argE//glgB//ilvH//tyrB//tdcD//nadB//dkgA//fau//ascB//kbl//
FeaR	paaK//ppiA//
FhlA	arsC//pgaC//atoB//dmsA//hyaA//srkA//waaZ//dgcC//
FlhDC	puuD//dadA//xylB//waaY//pdeH//nfsA//bioF//paaG//pgaB//rbsD//gpmA//glpA//allD//phnN//
FliZ	rutC//trpE//aroH//dgcN//hcaE//
FucR	ftnA//argB//gcvH//purL//sdhC//serA//
Fur	dgcC//fucI//speB//purL//deoC//sdaA//phnJ//eda//prs//tktB//deoA//truB//ubiX//murC//ndh//avtA//ftnA//lyxK//frdA//uvrC//fadA//argI//pgaB//prpB//tdcG//cysN//cysK//argG//rffG//gpmM//bioB//lyxK//rffG//sucD//hycC//cysH//hcaC//ftsI//fabB//entC//frdB//rffH//metK//gcvP//ulaE//kbaY//nrfD//ogt//glk//metE//aspA//uxuA//paaJ//nrdE//leuB//accC//murG//dapB//bglB//gnd//cynT//dgcN//
GadE	glgP//uxaA//metK//mraY//glsA//aldA//puuD//relA//tauD//entH//
GadE-RcsB	phnP//nrdF//lysU//paaY//tadA//
GadW	acnB//feaB//phr//puuD//
GadX	ynfG//pdeL//pgaC//purC//rffG//mhpB//gcvH//ilvE//codA//nanA//sodA//cysG//puuD//
GalR	pgpC//psd//napA//frdA//frc//alkA//
GalS	pfkA//fumC//katG//lyxK//nemA//argH//
GatR	ilvA//rffC//uvrC//
GcvA	metF//atoD//paaZ//
GlcC	glgC//ahpC//cysG//
GlpR	lldD//paaJ//kbaZ//cysH//bacA//metF//ydcS//
GlrR	
GntR	entC//ppsA//frc//ynfG//gnd//fdhF//ilvD//pyrC//psd//
GutM	murF//waaZ//paaI//
HU	sodB//tynA//lysC//metB//ftnA//sdhC//thrS//
HcaR	fadI//nadA//
HdfR	
HigA	araD//
HigB-HigA	ygeA//
HipAB	pfkA//cysN//
HipB	tam//cueO//metH//
HprR	glpX//pnp//entB//prpB//
HyfR	xylB//
HypT	trpB//fbaA//rbsD//pgaB//fucI//rffG//ascB//
IclR	hcaD//add//nfsA//
IdnR	galT//iscS//ttdB//pgaB//napH//accA//
IlvY	argH//
IscR	ribA//avtA//hemL//gcvH//ubiA//uidA//prpB//carA//
KdgR	glgC//frdC//
KdpE	ppiA//
LacI	tdcG//hemH//ruvA//
LeuO	trpC//add//truB//fadJ//sucD//caiC//
LexA	hypB//metE//cysD//glgB//caiC//truB//hycE//purK//ulaF//yeaG//hemH//rbsD//sbcD//nrdF//lysC//dapD//murQ//paaI//phnH//pyrC//mpaA//gatD//xylA//
LldR	puuA//tnaA//
LrhA	
Lrp	lacZ//glgX//gatY//ung//ilvC//glmS//hycG//paaE//paaF//phoA//mhpE//galM//nanM//fadH//gabD//argD//ung//araA//hcaB//cysK//zwf//hyaA//feaB//pgi//putA//hmp//phnJ//entD//sodB//frdB//glpQ//polA//gltB//gnd//purC//puuE//glxK//rtcB//hcaD//uvrC//
LsrR	dapD//murQ//puuD//eno//pgk//
LysR	nanK//
MalI	paaF//pheS//
MalT	murF//paaE//psd//nirB//caiC//glpA//
MarA	pgaB//phnI//feaB//glmU//purC//prpB//bioD//ubiX//malZ//mngB//pgm//cdd//pgaB//argH//hycD//glxR//frdD//asnA//umuD//ahpC//fabB//aspC//phnG//tnaA//
MarR	
MatA	sdhB//
MazE	gdhA//
MazE-MazF	ssuE//
McbR	
MelR	torC//waaZ//
MetJ	hycE//fbaB//glgB//nagA//ybjG//dgkA//pdeL//ilvD//speB//malS//
MetR	atoD//bioF//atoB//umuD//
MhpR	sodA//recD//phnL//dsdA//glpX//purM//
Mlc	treC//allA//wecE//fadH//
MlrA	ung//
MngR	purM//citC//
MntR	speA//glpB//
ModE	hyaA//cysD//cysD//tyrB//ilvH//iscS//sodB//tdcD//glcE//phnJ//murI//deoA//dgcC//cdd//leuB//wecC//ssuD//
MprA	ung//rimK//trpD//
MqsA	serA//ahpF//
MraZ	dadX//tyrA//puuE//citX//tnaA//fabD//acnA//ttdA//caiD//mhpF//
MurR	lsrF//araB//malP//
Nac	fucA//metH//paaH//entA//ybjG//glmS//ampC//glgC//dapD//phnJ//fau//
NadR	phnP//metH//moaD//gcvH//
NagC	mpaA//glgP//entD//glpB//leuA//uidA//nfsA//ppc//argF//torC//mpaA//malZ//tdcD//hycB//aspA//glpQ//nadA//poxB//yiaK//
NanR	dmsC//argC//mhpD//katE//garL//rutE//
NarL	codA//pflB//purF//metK//ugpQ//nrfC//gcvT//fucA//recF//fadD//aldA//ybjG//gutQ//ubiC//mhpE//aspA//tadA//gatD//phnG//cysE//guaB//ruvA//argH//rfe//wecE//ubiX//hcaC//fucU//eda//mtlD//uvrB//rutB//trpE//gpmA//cueO//nrfA//argB//ynfG//sdhD//hcaC//zwf//
NarP	asnA//mazG//lpxA//hcaE//leuA//glpD//cueO//moaE//fes//cyoE//hycC//trpB//tdcD//ilvE//puuA//
NemR	nrdD//murC//
NhaR	narG//fucK//nrdE//mhpE//fes//
NikR	xapA//
NimR	fadB//
NorR	eno//
NrdR	purB//narI//pdeR//metH//
NsrR	lpd//glcD//hcaE//mdh//fadA//gltB//cdd//rnpB//dgcN//aroL//entH//purL//wecC//glgX//waaZ//idnO//mtlD//fumC//yedX//pck//argD//ldtD//ndh//puuC//ppsA//puuD//garK//hycD//alaS//idnD//trpA//pck//leuA//idnD//lacZ//ftnA//nfsA//glgP//garR//lacA//
NtrC	dadX//metA//metK//purH//pfkA//uxuB//sodA//fucK//gatY//gatD//mtlD//entB//metE//gapA//ulaE//moaE//acnA//nagB//glgA//glmS//paaI//
OmpR	hycE//allA//pspE//hcaC//aroG//frc//rbsD//polB//
OxyR	paaC//fabD//uxaA//glcF//aspC//leuB//mhpD//gltB//glpX//nfsA//mhpE//dapB//kbaZ//sucB//glpK//sodB//fumB//
PaaX	hcp//astE//ynfF//hyaA//rfe//accD//moaE//dapD//purB//
PdeL	yfdE//
PdhR	frdB//xapA//sdhB//malP//cysM//gadA//aroL//gpmM//pgpC//nrdA//glcE//ulaG//araB//paaE//ada//paaE//dapD//glpC//bioB//uxaB//entE//leuA//glpB//ahpC//carB//
PepA	appA//allA//
PgrR	fabG//srkA//
PhoB	sdaA//zwf//sdhC//mdh//napH//nanA//folE//ubiX//tdcB//citG//paaZ//nadB//trpD//fucI//hcaD//trpE//psd//putA//speB//allE//
PhoP	carB//gcvT//moeA//gpmM//yedX//fumC//aceF//ubiC//ahpC//carB//bioA//mhpF//glpX//pck//dsdA//uxaC//malS//pdeH//bglB//cysK//metE//pgaD//gutQ//gatY//atoB//fumC//mhpA//frdC//purM//bacA//metA//hycB//
PrpR	nanK//argD//gpmA//idnK//
PspF	glcF//
PurR	rpiB//mnmG//allC//ppsA//fdhF//ftsI//caiD//allA//asnB//moaE//glmU//lacA//glyA//aceE//puuB//araB//nanM//dgcZ//rffG//asnA//gcvP//mpaA//paaZ//atoA//wecE//garD//
PutA	waaH//srkA//
