# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fau//edd//
Ada	fucO//uxaB//glpD//purF//
AdiY	uvrB//dsdA//purE//wecB//
AgaR	sdhC//
AidB	ychF//
AlaS	moeB//
AllR	adiA//carA//pdeR//trpA//yqjH//napH//
AllS	ssuD//glsA//rhaA//
AlsR	puuD//mraY//fadH//
AppY	nfsB//frdD//
AraC	phr//arsC//allA//xylB//glpC//cynS//rhaB//tpiA//
ArgP	ppiA//fadJ//rhaD//patD//edd//nanM//luxS//xylB//pheT//
ArgR	paaG//fadJ//napA//bglB//asnA//umuD//deoC//dkgA//dmsA//ogt//codA//entA//uvrB//glpQ//pck//rffG//hypF//ubiX//patA//glmS//betB//sucC//prs//
ArsR	rbsK//murC//
AscG	betB//puuB//
AsnC	pyrC//katG//
AtoC	eno//ruvB//lyxK//
BCCP	ydcS//
BaeR	dgkA//dadX//
BasR	asnA//araD//paaF//
BetI	gabD//trpD//adhE//
BirA	nanA//cynT//gapA//pepD//metC//
BluR	
BolA	gdhA//lpd//
BtsR	waaY//
CadC	ldtC//gadA//ssuD//
CaiF	fabH//rnpB//mhpE//aroG//sgbH//
Cbl	ilvH//mnmG//hycD//zwf//astE//
CdaR	zwf//rhaD//gloA//nrdF//aroL//glyA//tehB//purK//umuC//
CecR	hyi//
ChbR	garD//glpD//gabT//
ComR	
CpxR	pfkA//metH//tdh//yeaE//gabD//ccp//paaZ//entE//glsA//dsdA//cysM//torC//rhaD//glnA//leuC//tehB//ulaG//putA//acnB//hypB//dmsC//
Cra	glcF//nrfA//glgC//accC//hycC//araA//oxc//mnmG//prpE//ybjG//pspE//aceB//rutD//nirB//entF//glcE//argD//fadE//argD//talA//psd//guaB//gdhA//glpA//sbcD//mhpA//tehB//fucI//carA//rutC//malP//rfe//dapD//glmS//fbaB//fumB//uxaC//folA//moaD//glpB//pgm//rffH//mhpC//fucA//rtcB//argB//napH//hycC//udp//lsrG//amn//psd//glxR//idnO//nemA//argI//glcB//accC//metF//
CreB	bioA//rbsD//
CsgD	psd//garD//bioD//yeaG//ppiA//
CsiR	slt//alkB//paaG//fabZ//
CspA	hcaB//
CueR	pncB//aroA//ldtC//gcvT//prpB//
CusR	fucK//ldtB//hcaF//rhaB//
CynR	hcaC//folA//argF//
CysB	leuD//tynA//lpxD//nfsB//cysH//alaA//glyA//hyaC//atoB//idnD//hcp//moaD//glcE//mazG//sbcC//hcp//garR//
CytR	gloA//gltD//hcaE//idnD//fabH//tdcB//phnG//aceF//cadA//uxuA//
DcuR	frdD//allC//murE//fucU//
DeoR	gatZ//truB//pgaB//malP//gutQ//hycE//
DhaR	asnA//
DicA	
DinJ-YafQ	fabZ//
DnaA	mpaA//pdeR//lsrK//tadA//paaA//fadE//
DpiA	gntK//sucB//rutC//gabT//lacZ//
DsdC	pykF//hyaC//
EbgR	
EnvR	bacA//ilvM//
EnvY	lpxA//phnI//
EvgA	ddlB//tyrA//fadH//ilvC//ilvA//idnD//
ExuR	mpaA//pgaB//wecE//astB//glgA//ygeA//
FabR	ssuD//puuE//mhpE//
FadR	entF//cysN//polA//ilvA//betB//citD//appA//narI//purN//gatZ//puuA//ung//gcvP//betB//add//glpB//slt//argB//fruK//
FeaR	alkB//purC//
FhlA	uxaB//frc//phnP//kbaZ//tadA//frdA//alaC//gloA//
FlhDC	phnL//ribA//aroA//katE//deoD//dhaL//hemL//ulaD//hycE//pdeH//ynfE//nrfC//glgP//fbaA//
FliZ	yeaE//ydcS//entA//ugpQ//ilvD//
FucR	pdeH//fdhF//prpD//ahpC//tnaA//ilvH//
Fur	argA//phr//umpH//prpB//glcB//murG//paaH//puuB//speA//mhpC//accA//paaZ//hcaD//wecC//astB//uxuB//gcvT//astB//alkB//paaC//gatY//pdeL//prpE//sdaA//hcaD//dadA//recF//gltD//moaC//srkA//rutD//argE//frdC//ndh//cysD//mtlD//rffC//hypB//dmsB//cysH//atoA//asnA//mhpF//lpxA//acnA//cysG//metK//hemH//hyaC//aroG//entB//gltD//caiD//nagB//uxaC//torA//argC//ynfE//speB//udp//astD//lsrG//
GadE	accD//truB//fbaA//pgaB//carA//ldtD//wecC//nadA//avtA//entA//
GadE-RcsB	ldtD//wzc//dmsC//ldtC//dapB//
GadW	yqhD//wecE//fucO//dmsC//
GadX	nanK//add//torA//wzc//folA//alaA//phnP//alkA//gadB//ychF//argB//fabZ//bioA//
GalR	fabI//glpQ//adiA//pagP//trpE//purC//
GalS	fabD//nadB//chbG//fadH//bioD//cynS//
GatR	ilvI//glsA//katG//
GcvA	waaZ//mazG//ygeA//
GlcC	sucD//rutC//purF//
GlpR	sgbH//murQ//uxaC//tdcE//patD//ygeA//paaJ//
GlrR	
GntR	alaS//araA//dsdA//metB//fabD//sdhB//fbaB//fucI//mtlD//
GutM	dmsB//ldtC//paaZ//
HU	sdhC//bioD//betA//glgC//mhpE//srkA//caiD//
HcaR	cysI//ogt//
HdfR	
HigA	dgcZ//
HigB-HigA	gloA//
HipAB	ppiA//nadB//
HipB	gnd//metE//rhaA//
HprR	murI//mazG//tyrB//gutQ//
HyfR	acnA//
HypT	patD//recB//fbaA//phnN//tdcE//dhaM//moaA//
IclR	pncB//entC//rffM//
IdnR	ssuE//gpmA//deoD//caiC//puuB//nfsB//
IlvY	polB//
IscR	araA//rsmH//moaE//purE//mhpF//gadB//wecC//purK//
KdgR	allE//caiB//
KdpE	serA//
LacI	metH//narI//lldD//
LeuO	puuD//rbsK//aceE//ribA//kbaZ//tadA//
LexA	cysM//glk//murF//gcvT//yfdE//hcp//kbaY//mhpB//avtA//feaB//ydcS//yeaE//serC//waaZ//wecE//phnP//ttdA//napB//glxR//nrfA//sdaA//prs//paaZ//
LldR	entD//ilvI//
LrhA	
Lrp	tauD//uxuA//kbaY//ttdA//frdB//fadH//hycG//mhpC//ulaF//slt//bioC//udp//hemL//cynS//rsmH//epd//alaA//aroL//pflB//metK//ilvH//pgm//alkB//frdB//xapA//ubiA//aroG//metL//fabG//sdhA//aspA//argF//ppc//phnJ//rnpB//entB//lpxC//purC//putA//nfsB//
LsrR	sdhD//dmsC//pgaD//ulaG//paaB//
LysR	fabB//
MalI	mpaA//deoD//
MalT	nanE//fabH//argG//wrbA//glmU//cysN//
MarA	tdcD//malY//rffT//prpE//ddlB//entH//kbaY//nagB//ybjG//gcvH//pgaC//mhpC//aroL//murD//ung//hemH//pykF//patD//sbcD//lpxD//lpd//recF//lacA//tdcB//
MarR	
MatA	fabI//
MazE	dgcZ//
MazE-MazF	murI//
McbR	
MelR	yeaE//galT//
MetJ	argE//sdhC//metK//add//rfe//gadA//entH//nagB//argA//wecB//
MetR	ilvD//argE//fes//waaH//
MhpR	prpE//gpmA//lysA//araD//wrbA//puuE//
Mlc	murD//cysG//ybjG//pyrD//
MlrA	fau//
MngR	argB//glcF//
MntR	gpmM//gcvH//
ModE	galM//hyaB//argC//alkB//nfsA//glcB//fau//araB//ilvE//paaC//dacC//ynfE//paaC//dadX//rtcB//malY//tam//
MprA	trpB//yfdE//acnA//
MqsA	lpxC//leuD//
MraZ	rutD//argD//entF//tyrB//gdhA//sgbU//glcE//nagA//tdcB//dadA//
MurR	putA//dmsB//fbaA//
Nac	glpB//tyrB//fadB//rhaB//dmsA//fadA//gcvP//umpH//hcaE//ttdA//phnO//
NadR	moaC//fadB//fadM//phr//
NagC	murQ//murE//lsrK//aroA//umuC//lpd//glk//metA//paaK//metF//paaF//glgA//tam//fucU//glpQ//phnG//aceE//moeB//frdB//
NanR	murQ//narG//moaC//epd//aceB//rutE//
NarL	recF//uxuA//galT//rbsD//ndh//chbG//frc//uxuB//murF//uxaA//citG//folA//nrdD//gor//glnA//iscS//moaA//oxc//mpl//astC//fucU//puuB//nfsB//gudD//hemL//pgaB//gatZ//rffG//prpC//ulaF//hmp//glxR//fabH//yqjH//fadD//glgP//pgk//paaJ//alsE//fadI//leuB//
NarP	fucU//nrfA//citC//putA//rtcA//argB//bioB//guaA//umuC//citX//fucI//hycD//frdC//aspC//glpB//
NemR	purD//trpC//
NhaR	gpmM//aspC//metE//gdhA//slt//
NikR	lsrF//
NimR	aceB//
NorR	dgkA//
NrdR	tadA//ruvB//rsmH//carA//
NsrR	glmS//glxR//glpQ//ilvD//paaJ//gabT//rhaD//entC//tdh//idnD//lhgO//ychF//lsrG//waaY//nrfA//bioF//astE//caiC//atoD//ycjG//amn//hyaC//glmS//aceB//fabB//torC//wecB//dinB//argI//dkgB//napG//moaE//ychF//ahpF//paaK//moaA//gabD//cysJ//guaB//metK//
NtrC	purA//malY//glxK//caiC//fucO//dapB//tdcD//sdhC//hycB//hycB//pyrC//astC//lpxD//sbcC//nrdB//allC//pepD//pck//mhpF//speA//aceB//
OmpR	gdhA//lsrG//srkA//icd//malQ//xylA//glpQ//glgX//
OxyR	purN//ahpF//galK//deoB//hcaF//kbaZ//treC//ruvB//ugpQ//tdcD//caiC//gcvT//frc//nrdF//rhaA//ilvI//argH//
PaaX	srkA//phnM//hypF//fucU//rbsD//cysJ//psd//ynfF//glpA//
PdeL	tadA//
PdhR	rutB//purB//lpxA//dadA//prpE//rtcA//moaA//mtlD//slt//ybjG//ttdB//sbcD//iscS//trpC//glpA//aroL//prpC//nanE//malY//ndh//glpA//accC//lsrG//waaY//caiD//
PepA	dapB//sdhC//
PgrR	narG//fadE//
PhoB	bioD//uxaB//glcF//paaY//sufS//paaE//fucK//xylB//sdhD//phoA//bioC//avtA//idnK//aroG//gcvH//adhE//tktB//gudD//astB//dhaK//
PhoP	pheS//aroH//rutD//ubiA//caiD//bioB//murD//ulaG//lacZ//tdcG//dapD//poxB//fabA//phnM//folE//hyaC//gntK//nirB//chbF//dgcN//treC//paaI//srkA//trpD//nadB//nfsA//bioA//phnN//metB//paaG//pck//moaA//
PrpR	mltF//ynfF//astD//lyxK//
PspF	bioB//
PurR	ada//glgB//hypF//carA//tktB//tdcB//frdC//paaH//moaC//nadB//eno//sucD//garR//murC//fabZ//aroG//ilvD//chbF//eda//pdeL//srlD//icd//pepD//ilvH//accC//gatZ//
PutA	ldtC//gcvP//
PuuR	treC//malP//uxaA//malQ//allA//nadB//
QseB	
RbsR	pdeH//edd//cadA//nagA//trpD//sbcC//
RcdA	guaB//
RclR	
RcnR	malY//
RcsAB	patD//malS//astC//
RcsB	metH//deoC//leuC//cueO//
RcsB-BglJ	ogt//rutC//
RelB	ulaE//
RelB-RelE	luxS//
RhaR	
RhaS	glyA//ttdA//glgX//ychF//
Rob	yedX//nagA//uidA//hycD//frdB//dadA//gloA//thrS//melA//moaC//gatY//poxB//phnN//avtA//murE//gabD//hycE//dgcZ//patD//
RstA	moeB//galE//napA//
RtcR	bacA//rbsK//
RutR	entC//hemL//nemA//pgaB//pspE//pgk//ddlB//nagB//moaE//gudD//nanM//
SdiA	
SgrR	moaA//allA//yeaG//
SlyA	cadA//alaS//mhpF//dgcZ//dhaK//nagB//nrfA//ilvI//rutC//
SoxR	argG//
SoxS	glyA//ilvI//fabB//wrbA//umpH//moaA//gloA//wzc//fabZ//nanE//tdh//rutE//gcvT//glpQ//aceA//glpA//xylA//pheS//ssuE//bioC//hmp//rhaD//mpaA//phnL//pyrD//sbcC//
SrlR	nrfA//nanA//nfsB//
StpA	fdhF//pgaB//serC//
SutR	hypF//moaA//
TdcA	metE//uvrA//narH//aldA//rutA//
TdcR	ahpF//sdaA//nirD//aroF//hyaB//
TorR	gutQ//entD//ynfF//glgP//ppsA//
TreR	metA//trpE//
TrpR	edd//argD//umpH//gcl//metH//torA//tehB//dmsA//torC//
TtdR	oxc//murQ//
TyrR	prpC//caiC//ssuE//lpxC//metE//ppc//glpD//ilvM//paaB//
UhpA	dapB//
UidR	phoA//waaZ//
UlaR	dhaL//sdaA//citX//lpxD//argG//
UvrY	fadM//gnd//
UxuR	rutB//ppc//murD//sgbE//mhpC//
XapR	acnA//lldD//
XylR	dinB//hcp//cdd//
YdeO	galK//rffM//lsrF//
YefM	fucU//
YefM-YoeB	gutQ//
YeiL	
YhaJ	
YiaJ	rffH//fadA//lacA//prpE//sdhC//lysA//
YjjQ	aroG//fau//
YpdB	
YqhC	ygeA//entD//
YqjI	lacZ//
ZntR	araA//
