# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ampC//rutB//
Ada	purM//paaK//ychF//fadI//
AdiY	mhpF//kbaZ//puuB//allC//
AgaR	ychF//
AidB	gltB//
AlaS	srlD//
AllR	bioB//uxuB//oxc//xylB//cysK//wzb//
AllS	uvrB//glmU//argE//
AlsR	sdhA//dgcZ//xylB//
AppY	tnaA//sucC//
AraC	cynT//phnN//murI//moeA//cysM//mraY//paaZ//nagB//
ArgP	nfsA//murC//caiD//ruvB//prpD//argH//nanA//edd//metK//
ArgR	rsmH//ada//asnA//hcaF//edd//sbcD//ssuE//wecC//mhpB//hcp//lysA//metC//puuE//ynfG//wecB//guaA//garK//asnA//kbaZ//hyi//glpA//aspC//pgk//
ArsR	ycjG//gcvP//
AscG	citE//rffG//
AsnC	ldtC//puuD//
AtoC	ldtB//dgcC//uidA//
BCCP	umuC//
BaeR	trpC//paaA//
BasR	entH//nirD//waaZ//
BetI	hycE//xapA//cdd//
BirA	napB//argA//glgA//uvrC//bacA//
BluR	
BolA	relA//rhaB//
BtsR	dhaL//
CadC	fabA//metE//glnA//
CaiF	ilvD//purE//phnO//moaE//ttdB//
Cbl	phnH//fadI//tam//trpD//carA//
CdaR	lldD//speB//cynT//fucA//ssuD//pyrC//luxS//cysN//lsrG//
CecR	caiB//
ChbR	glcB//waaH//talA//
ComR	
CpxR	fadJ//wecE//deoA//hcaE//araB//glcF//rpiB//ogt//pheS//uidA//garR//gcl//pdeH//yeaG//wrbA//ccp//rutD//sdhB//hemH//uvrC//speA//
Cra	nanK//speB//murF//nadA//cysN//fabG//bioB//gadB//pgpC//fadA//gcvT//glmS//murI//glmU//fabZ//garK//tehB//pck//eno//hemL//icd//alkA//fadJ//sucC//mnmG//yeaE//ubiA//uxaB//rpiB//hycG//dmsB//umuD//citD//glpA//lpxD//atoB//ubiC//fabZ//murI//cueO//nrdB//atoB//ascB//ycjG//nagB//sdhD//ubiX//dapD//aroG//fes//rutD//pgpC//tnaA//mazG//hycB//accC//gcvP//fucK//puuB//
CreB	paaC//phnN//
CsgD	gpmM//wrbA//cysI//nagA//psd//
CsiR	nanM//fbaA//puuB//trpB//
CspA	gdhA//
CueR	nanE//xapA//pheT//nanK//metH//
CusR	hycB//pgpC//pgaD//sdaA//
CynR	arsC//paaH//putA//
CysB	dhaK//astB//pdeR//aspC//fabH//purN//ubiA//uxaB//argA//sucC//tynA//ilvD//speB//entB//sufS//dadA//glgP//
CytR	carA//yiaK//astB//sdhD//dmsB//glcD//folE//entF//tdh//sgbU//
DcuR	serA//mdh//ppc//deoD//
DeoR	waaY//tdcB//cysE//xapA//mnmG//codA//
DhaR	hyaB//
DicA	
DinJ-YafQ	metK//
DnaA	eno//pgk//frdA//zwf//allA//gcvT//
DpiA	cynT//ruvA//purK//entC//phnN//
DsdC	argE//gadA//
EbgR	
EnvR	alkA//tyrB//
EnvY	fumB//bioD//
EvgA	yedX//nfsB//puuE//dkgB//purM//waaY//
ExuR	narG//cdd//wzc//serC//fabH//pyrD//
FabR	glpX//gcl//tnaA//
FadR	galE//sdhC//purL//wzb//hyi//feaB//purD//lpxD//cysM//napB//ulaG//hcp//gadA//ulaE//aceF//alkB//lpd//hypB//glsA//
FeaR	citG//hcaE//
FhlA	glmU//umuD//ulaE//pgpC//rimK//ulaE//polB//umuD//
FlhDC	lldD//glpA//polA//glpD//galK//uvrC//aspC//cynS//pepD//phnJ//lpd//recB//mnmG//wecE//
FliZ	entD//fucK//purF//astC//argI//
FucR	purN//fau//truB//gadB//waaZ//napH//
Fur	adiA//yeaE//dadX//srkA//nanK//purH//garR//citG//rbsK//polA//alkA//acnA//aroF//entE//eno//slt//cysN//ydcS//aspC//paaI//lsrF//lysC//nrdD//uxaA//frdD//glsA//hyi//nrdF//lpxC//rffC//phnM//iscS//gabT//pagP//yqjH//wecE//glnA//bioB//chbF//trpA//ygeA//caiA//guaB//ubiX//fumC//phr//glcF//pagP//hcp//fabG//purL//citX//icd//iscS//ilvM//phnJ//lpxD//paaI//rutB//uidA//fadM//uxaC//
GadE	recB//uxaB//aroF//fabA//galE//pgaD//waaZ//pagP//fabB//malQ//
GadE-RcsB	glmS//nagB//ulaG//cysJ//cysJ//
GadW	fucA//truB//lsrG//moaA//
GadX	pepD//rhaA//tadA//ndh//argH//dgcC//entA//leuA//entD//dadX//ppc//deoB//appA//
GalR	glgP//fumB//gatD//trpD//fabA//cysH//
GalS	grxA//thrS//bioF//glcD//dkgA//fadD//
GatR	zwf//hypB//cysK//
GcvA	frdD//dadX//paaH//
GlcC	glgX//hycG//sdaA//
GlpR	waaH//narI//waaH//moaC//paaB//slt//treC//
GlrR	
GntR	trpB//garK//hycE//murI//nrdA//glgA//fruK//acnA//tdcB//
GutM	betA//ulaG//uxaB//
HU	mazG//garD//hcaF//nagA//glcD//lpxC//fbaB//
HcaR	nadA//cysJ//
HdfR	
HigA	gabD//
HigB-HigA	rffC//
HipAB	chbF//lsrF//
HipB	lhgO//rsmH//lldD//
HprR	pck//recF//nrdA//ygeA//
HyfR	ldtB//
HypT	cysD//argB//chbG//fadH//atoA//fucK//arsC//
IclR	tnaA//lsrK//purM//
IdnR	gcvH//sbcC//recF//glnA//nadB//garD//
IlvY	nrdF//
IscR	accA//uvrA//umpH//gatD//lysA//gntK//napG//entD//
KdgR	folA//prpC//
KdpE	glpA//
LacI	mhpD//dgcC//argA//
LeuO	garK//argH//ampC//sucA//entA//sodA//
LexA	accD//gcl//ppc//cynT//hemH//dmsA//glgP//accD//dkgB//ilvE//tdcD//hycC//aroG//ahpF//cysG//gnd//srkA//ppiA//guaB//rhaB//uxuA//moaE//puuE//
LldR	astE//lhgO//
LrhA	
Lrp	hycE//nrfC//sodA//napG//adhE//frc//kbaZ//dinB//dgcN//tpiA//pgpC//hyaC//purK//glmU//tam//cysK//nrfA//cysE//malQ//nagB//mhpE//galT//putA//gpmA//nfsB//waaH//ilvC//hycF//nrdA//hycG//fruK//tdcB//waaZ//eno//bioD//purE//deoC//gabT//acnB//paaI//
LsrR	rutC//kbaY//citD//hemL//sbcC//
LysR	folA//
MalI	edd//tdcD//
MalT	patD//aspA//entD//hyaA//murQ//narH//
MarA	talA//gpmM//gltD//purB//gloA//rhaB//sucB//hyi//napH//caiA//arsC//torA//ruvB//dapD//ribA//entB//nadB//sbcD//prpB//hemL//sgbH//ilvC//nfsB//xylA//
MarR	
MatA	mdh//
MazE	hcaD//
MazE-MazF	allC//
McbR	
MelR	prpC//gcvH//
MetJ	aspA//ada//rnpB//bglB//paaI//uvrB//glgC//mazG//cueO//wzc//
MetR	grxA//udp//ttdB//torC//
MhpR	caiD//nrdD//luxS//prpE//serA//acnA//
Mlc	nrdD//moeB//entC//ilvC//
MlrA	fadB//
MngR	sucD//purD//
MntR	phnJ//citX//
ModE	lsrG//ubiA//leuA//metC//glpQ//thrS//trpD//frdB//metC//pflB//dacC//bioC//glk//uxaC//nanK//rhaA//glgA//
MprA	leuA//purL//carA//
MqsA	fes//glgP//
MraZ	ulaF//mazG//tpiA//ldtB//glgA//nrfC//prpE//psd//truB//leuC//
MurR	citD//napG//gatD//
Nac	tdcE//bacA//sufS//aroF//frdC//paaB//ppsA//uvrC//dapB//phnH//nanA//
NadR	nanK//dapB//sdhD//purE//
NagC	astC//mnmG//dinB//eno//nrdA//puuC//frdD//kbl//moaC//garK//nrfC//gltB//slt//garK//purK//feaB//fabH//bioF//entF//
NanR	garK//argC//ulaD//ynfF//rffM//ssuE//
NarL	deoB//astD//bioC//bioF//relA//phnM//astA//aceB//yqjH//hycC//gltB//rfe//caiC//lpxD//citX//dapD//hyaC//yeaG//malY//gadA//hycG//napH//yfdE//dmsC//glxR//galT//appA//napA//fadM//gpmM//nrdE//malZ//paaK//idnK//ilvC//aldA//ogt//rbsD//nrdA//mnmG//uxuA//
NarP	paaG//ilvG_1//pgaB//gadA//purA//slt//nanK//deoC//rnpB//gltD//hyaB//feaB//aldA//asnB//cysD//
NemR	argI//ugpQ//
NhaR	glgX//frc//folE//ruvA//wzc//
NikR	glpK//
NimR	caiC//
NorR	pflB//
NrdR	cysD//fbaA//nrdA//tnaA//
NsrR	cynT//aroL//rutE//tktB//ldtC//umpH//garR//hcaE//luxS//pdeL//argA//cysC//dgcN//ahpC//lpxD//lyxK//poxB//nagA//entH//araB//gltD//zwf//ung//rbsK//galM//araB//moaA//pgaB//lysU//rbsD//paaC//relA//lysU//allE//prs//rtcA//napB//glpB//yqjH//polB//
