# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gadB//amn//
Ada	cysM//chbG//ubiC//araD//
AdiY	ubiC//pdeH//nadB//murI//
AgaR	malS//
AidB	waaH//
AlaS	puuB//
AllR	frdA//gcvP//uidA//paaZ//glmU//ilvE//
AllS	pnp//narH//bacA//
AlsR	rffH//mazG//grxA//
AppY	glpC//purN//
AraC	rfe//accC//yqjH//gabD//gcvH//purA//allA//ppsA//
ArgP	mhpB//rffM//mpaA//sbcD//dgcN//deoA//argG//yiaK//sbcD//
ArgR	galT//cysN//dmsA//fadJ//fruK//citX//hyaB//phnI//idnK//sbcC//feaB//murC//pdeH//paaF//ilvA//murD//deoA//aceB//edd//nrdF//mngB//deoA//gabT//
ArsR	yiaK//arsC//
AscG	glpB//tdcB//
AsnC	gabT//srlD//
AtoC	aroG//atoA//tktB//
BCCP	ugpQ//
BaeR	ilvG_1//moaA//
BasR	poxB//paaA//prpB//
BetI	pdeR//ampC//aceA//
BirA	garR//nrdD//nirD//glk//nirB//
BluR	
BolA	lysC//wzc//
BtsR	purN//
CadC	murC//citX//ycjG//
CaiF	accA//putA//murD//hycE//yedX//
Cbl	paaF//paaJ//carB//fau//psd//
CdaR	garK//entA//gatZ//leuC//astA//ilvH//argG//zwf//tyrA//
CecR	tdcD//
ChbR	nrdA//purM//torA//
ComR	
CpxR	nadB//puuA//glgP//alsE//rffM//garK//argA//trpC//tyrB//napG//fruK//serC//cysE//uxaB//gadA//ndh//fruK//sbcC//purE//luxS//wecC//
Cra	hcaD//purB//malP//mltF//citF//galM//betB//glpA//polB//moeB//fdhF//ycjG//moaA//guaB//rhaD//argA//murC//xylA//astB//malS//fadI//pflB//glpC//glpB//prpE//edd//tadA//cysH//torC//metB//serA//alkA//sodA//srlD//purC//gdhA//arsC//rffM//atoA//hycC//xylA//recF//sucA//lysC//appA//recB//atoA//rutC//dgkA//ilvE//garL//alaS//argH//uidA//napA//gcvH//talA//idnK//lyxK//
CreB	ddlB//argG//
CsgD	puuA//ampC//dmsA//dadX//paaY//
CsiR	napH//cueO//glgX//ybjG//
CspA	malY//
CueR	dsdA//sodA//phnG//nfsB//argF//
CusR	tdcG//glcB//lsrF//rnpB//
CynR	aceB//kbl//hycF//
CysB	truB//ppsA//serC//luxS//citC//trpB//galT//ada//ubiA//frdA//sgbU//aldA//glcF//rutD//ubiC//appA//dacC//
CytR	argA//yeaE//uidA//accD//ribA//astB//lsrK//purF//ybjG//napG//
DcuR	nrdE//paaZ//xylB//lpxA//
DeoR	nadA//srkA//glpK//glcD//prpE//gatY//
DhaR	hycD//
DicA	
DinJ-YafQ	garD//
DnaA	entE//metK//metL//sgbH//dhaL//nagA//
DpiA	ascB//rffH//hyaA//pnp//rtcB//
DsdC	dkgA//fadB//
EbgR	
EnvR	psd//hycE//
EnvY	dgcZ//cysI//
EvgA	puuA//astA//glsA//ubiA//ilvC//accC//
ExuR	hycE//dkgB//ldtB//paaE//frdA//accC//
FabR	cysI//alaA//gadA//
FadR	pgaD//speA//cueO//nadB//gcl//pykF//waaH//hycB//asnA//guaA//alkA//murD//edd//tdcG//alkA//paaB//sbcD//speA//glmU//
FeaR	ldtD//glmU//
FhlA	sucB//paaE//napG//argE//aldA//purL//putA//nfsB//
FlhDC	yiaK//appA//zwf//sdhD//hycF//aspA//mhpB//grxA//pgi//waaY//cynS//accD//fucO//torC//
FliZ	ttdA//hypF//chbG//uxaB//speB//
FucR	ftsI//dacC//ogt//pgaC//narI//yqjH//
Fur	aroF//nrdA//talA//adiA//phnP//entC//sodA//lhgO//aceB//phnG//ulaF//glpA//tdcB//nanE//ulaE//ulaE//sgbE//cueO//tdcD//wecE//pgk//entC//nagA//frdA//bioC//murI//garL//gdhA//glcF//fucU//puuA//nrdE//betB//cysK//entC//nirB//gltB//serC//serC//gadB//phnH//puuA//nadB//mhpB//narG//dhaL//thrS//relA//gadA//entD//moaE//mhpE//sbcC//cadA//citD//waaH//puuE//murF//glmU//fucI//folE//hcaD//
GadE	gor//moaD//oxc//phnP//avtA//fadD//yeaE//dgkA//murQ//frdA//
GadE-RcsB	phoA//ynfF//nadA//ilvA//rutC//
GadW	folA//rutD//aroL//aldA//
GadX	codA//fes//prpC//idnK//umuD//tdh//xylB//galM//adiA//tam//malP//pgi//pfkA//
GalR	astE//narG//idnO//hcp//cysN//hcp//
GalS	paaZ//malQ//fdhF//fucK//pspE//gapA//
GatR	psd//glgC//lysA//
GcvA	glcB//betA//eno//
GlcC	waaZ//gutQ//mdh//
GlpR	ppc//pgaD//glsA//gcvP//araD//fau//prpD//
GlrR	
GntR	mhpA//gatZ//yqjH//ftnA//murF//nrdB//entD//allE//aceF//
GutM	dadA//deoD//deoA//
HU	luxS//rffM//prpB//cysG//ulaG//pgm//rutB//
HcaR	fadE//pgi//
HdfR	
HigA	waaZ//
HigB-HigA	entF//
HipAB	nadB//cysM//
HipB	fucO//truB//citC//
HprR	hemH//mngB//cysG//allE//
HyfR	aroF//
HypT	argB//purH//entF//fucO//gcvP//udp//lacA//
IclR	ssuD//recD//hycG//
IdnR	sdhA//ssuD//serA//nirD//metL//nrdD//
IlvY	lysC//
IscR	kbaZ//ppsA//glmU//fadE//cyoE//tam//mtlD//ilvD//
KdgR	nrdA//hyaB//
KdpE	nanM//
LacI	betA//hyaC//allB//
LeuO	yedX//dgcZ//fadM//asnB//rffM//nadB//
LexA	ilvI//ppsA//fruK//bioA//serA//dgcC//uvrB//ppsA//paaB//ssuD//phnM//rffM//leuA//paaE//polB//moaD//mraY//galE//glpQ//astC//dadX//gcvT//phnN//
LldR	moeA//glpA//
LrhA	
Lrp	ynfG//nrfC//wzc//acnB//gltB//deoA//paaG//rsmH//ycjG//cynT//lsrG//glgB//napG//glpB//phnP//ldtB//ubiC//aceE//glcE//ttdA//nfsB//purB//fucU//fadB//trpA//ldtD//entC//asnB//nadA//atoB//dacC//ruvB//mhpA//tpiA//fabA//hycF//hcaB//glsA//waaY//ubiC//
LsrR	gatY//rbsD//wzb//argE//dmsA//
LysR	cysC//
MalI	tktB//gcvH//
MalT	mltF//araB//leuB//rutB//avtA//glxK//
MarA	umuD//yeaE//puuA//nagA//rhaD//napH//fumC//dgcN//dapB//phoA//aspA//atoB//dmsC//gutQ//narG//uxaC//glpB//yfdE//narH//eno//mhpB//galM//paaK//dkgB//
MarR	
MatA	pheT//
MazE	recF//
MazE-MazF	yedX//
McbR	
MelR	ulaD//cysN//
MetJ	dinB//lpd//hypB//sufS//purD//entC//purC//araD//ilvG_1//paaG//
MetR	bioF//edd//glpK//cysM//
MhpR	ulaE//glgX//rutE//citC//entA//kbaY//
Mlc	dapB//bioF//phoA//tyrB//
MlrA	hycB//
MngR	argG//lpxC//
MntR	cysK//serC//
ModE	fabA//cdd//ddlB//cysE//galK//ilvM//puuA//tehB//purL//trpB//entB//ulaF//cynT//bioF//allB//lysA//argH//
MprA	pgaD//glgX//gatZ//
MqsA	dgcZ//cysG//
MraZ	deoC//hemH//tnaA//mhpB//ldtD//pnp//puuE//fabH//paaY//fadD//
MurR	lysC//adiA//frdC//
Nac	dmsC//glsA//kbl//glcE//napA//tyrB//sucD//entB//fadM//aldA//cynS//
NadR	fabB//pdeR//pdeL//ung//
NagC	leuB//sdhA//thrS//pnp//tam//trpD//glpX//nrdA//glcD//frc//cysE//leuA//tadA//alaA//alaA//pheS//sodA//sgbE//cyoE//
NanR	sdhB//citD//nrfC//lacZ//ftnA//tdcD//
NarL	nadA//tpiA//mazG//speB//purA//fau//gloA//prpB//ssuE//phnP//yqjH//murD//ahpC//phr//ttdB//purA//cdd//tktB//lpxC//nirB//lpd//ynfG//ilvD//garR//hemL//nirD//aspC//tktB//hycF//nirD//ndh//hycD//pgi//citD//waaZ//paaH//kbaY//putA//ubiA//deoC//citG//
NarP	nrfC//malS//cadA//pgaC//carB//cadA//araB//nrfC//yqhD//accA//mraY//argI//nadB//frdA//dapD//
NemR	moeA//yqjH//
NhaR	uxuA//cysJ//ilvG_1//rffC//tnaA//
NikR	uvrA//
NimR	rffH//
NorR	entA//
NrdR	pfkA//entD//ynfG//alaS//
