# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	avtA//ftnA//
Ada	dacC//pheS//acnA//rffM//
AdiY	purB//pdeR//paaK//gpmM//
AgaR	thrS//
AidB	purE//
AlaS	wrbA//
AllR	ubiA//hycC//gadA//prpC//paaH//murF//
AllS	allA//uxuA//sbcC//
AlsR	atoB//hmp//glyA//
AppY	glpB//nirB//
AraC	hemH//prs//ynfE//entB//pgaC//lsrG//bioD//carB//
ArgP	mhpE//recD//metL//patD//aceE//dhaK//metH//wrbA//aspC//
ArgR	argI//recB//phr//pck//yeaE//puuD//ulaE//ccp//nagA//frdA//nrdD//malP//mhpF//ftnA//hypB//nfsA//folE//dhaL//alaS//metL//paaJ//ppsA//hyi//
ArsR	uxuA//dmsB//
AscG	fabZ//dacC//
AsnC	gpmA//lacA//
AtoC	mhpA//nrdB//fau//
BCCP	cysN//
BaeR	yiaK//mazG//
BasR	citC//putA//citE//
BetI	tauD//allE//allA//
BirA	puuA//sucD//ugpQ//hcaC//sucB//
BluR	
BolA	sgbH//talA//
BtsR	ttdA//
CadC	ldtD//nagB//ftsI//
CaiF	yedX//aceA//hycF//rffC//nanA//
Cbl	glnA//malP//metK//ugpQ//pdeR//
CdaR	purA//metF//nanA//ascB//rffT//bioF//dhaK//napB//trpE//
CecR	hycE//
ChbR	glnA//entD//fabG//
ComR	
CpxR	fucU//rutE//rffT//leuD//pfkA//nirD//astA//fabD//iscS//sucC//hycG//araD//nemA//malZ//fadE//napB//sdaA//paaH//aspC//cysG//chbF//
Cra	ppc//speB//fadA//atoA//frdB//ung//talA//fabH//metF//metF//deoC//ppiA//gabD//glpX//uxaB//entA//ssuE//hycF//ndh//nagA//hcaE//ddlB//dgcZ//yfdE//yedX//arsC//mhpB//fbaB//feaB//ccp//sdhB//mhpD//glxR//eno//lsrG//ssuD//accC//hyi//paaE//trpC//paaK//ldtB//sgbH//hycE//uvrB//pgm//umuC//rbsD//phnN//dadX//fruK//rhaD//aldA//gudD//tynA//pheS//mhpC//sgbH//ahpF//
CreB	tktB//guaB//
CsgD	deoB//ssuD//glpX//waaZ//glxR//
CsiR	ynfF//rffM//sodA//entH//
CspA	glpA//
CueR	glcB//mtlD//ilvA//folA//mhpA//
CusR	ygeA//allD//sgbH//yeaG//
CynR	oxc//ubiA//ppc//
CysB	kbl//bglB//lysU//fabG//leuA//gabD//dgcN//ddlB//gltD//rimK//betA//paaJ//waaY//sucD//aceA//sodB//metK//
CytR	accD//sucB//asnB//rtcA//cysC//rpiB//astE//pdeL//dapD//alaS//
