# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ribA//nrfD//
Ada	ilvA//dgcC//garL//hcaE//
AdiY	hyi//serA//melA//phnN//
AgaR	gatZ//
AidB	mltF//
AlaS	kbl//
AllR	deoC//citG//dgcN//pgaD//gor//gatY//
AllS	gapA//pspE//wecE//
AlsR	cueO//glk//rffM//
AppY	entD//rhaB//
AraC	metB//sucC//tdcD//wecE//allD//galK//pheS//dmsA//
ArgP	ychF//rimK//hyaA//lsrF//ftsI//lacA//nrfD//alkA//mdh//
ArgR	nrfD//glpX//ssuE//codA//nagA//yiaK//puuC//murQ//tauD//glxR//ulaG//torC//aroH//gapA//betB//aroG//cysG//dgcZ//rffM//mhpC//xylB//pgaC//sgbU//
ArsR	glpK//sodB//
AscG	fucK//fabH//
AsnC	hycE//allA//
AtoC	nrdD//guaA//moaD//
BCCP	purL//
BaeR	fbaA//argA//
BasR	uxaA//lacA//gatD//
BetI	cysM//mhpA//paaY//
BirA	edd//gltD//cysJ//murI//ppsA//
BluR	
BolA	nemA//purA//
BtsR	yeaG//
CadC	pagP//dapD//hycF//
CaiF	kbaZ//rffC//ubiC//gntK//bglB//
Cbl	entH//ynfH//yfdE//amn//tktB//
CdaR	gutQ//phr//trpD//nrdB//rfe//eda//napB//sdhC//pgaD//
CecR	astB//
ChbR	tpiA//carB//sucA//
ComR	
CpxR	entA//recF//aspA//paaB//fau//ybjG//ogt//ybjG//ulaD//hycF//malY//yeaG//araB//nemA//carB//leuD//idnK//bioD//wecC//dhaK//rffH//
Cra	gpmA//dinB//ilvG_1//epd//rutE//gcvP//murQ//caiC//dapB//ilvD//argF//hyi//sucB//fadM//fbaB//paaF//murG//hypF//dapD//ynfG//glpB//pyrD//srkA//fucU//gdhA//adiA//lyxK//mraY//glpC//fumB//glcB//prpB//dgcZ//nagA//paaK//sdaA//hycC//fruK//aspA//serA//araD//adhE//rffM//gpmA//citE//ulaE//leuA//phnH//malQ//uvrA//ubiX//ascB//prpE//dapB//ftsI//glnA//dhaM//allB//paaY//
CreB	nrdA//pnp//
CsgD	rbsK//glyA//add//aceA//ftnA//
CsiR	galE//entC//aroH//nrfA//
CspA	cynS//
CueR	oxc//mhpE//deoC//wecC//mngB//
CusR	ssuD//ppc//hcaB//ampC//
CynR	phr//pepD//tdh//
CysB	icd//speA//gabT//fucK//rffG//prpC//napB//patA//gor//hycC//ycjG//sgbH//entF//prpE//uxaA//cysH//dadX//
CytR	gpmA//acnB//ulaF//fabA//thrS//fau//gcvH//nemA//rtcA//fabA//
DcuR	tdcD//bacA//deoD//citG//
DeoR	rutC//ybjG//talA//argC//glgC//aspA//
DhaR	paaA//
DicA	
DinJ-YafQ	ynfG//
DnaA	rffH//aroF//galK//astB//lpxD//ubiC//
DpiA	purA//uidA//wzc//lsrK//entB//
DsdC	pfkA//lyxK//
EbgR	
EnvR	fadJ//accD//
EnvY	mtlD//entE//
EvgA	polB//citE//wecE//hcaD//ttdB//bglB//
ExuR	tktB//rffM//phnP//garK//mhpC//entD//
FabR	sucC//dhaL//hyaB//
FadR	tpiA//ldtC//ilvD//ilvE//rutA//purE//amn//gabD//wecE//umuD//ndh//dgkA//moeB//paaH//recB//gadA//bglB//hyi//guaA//
FeaR	uidA//lyxK//
FhlA	hemL//lldD//deoB//purE//aroG//dgcZ//rfe//glgB//
FlhDC	nagB//ubiC//pgm//nrfC//cadA//malP//recB//malS//treC//waaH//nrdF//metB//purB//prpD//
FliZ	nrfD//caiC//mpaA//nirB//hcaC//
FucR	sbcC//pflB//glpQ//kbl//mdh//purA//
Fur	entH//araA//citF//gor//gabT//srkA//puuE//hyaC//aceA//sbcD//umuD//nrdB//pflB//ndh//kbaZ//zwf//cysK//sdhC//sucB//uxuA//astB//recF//nrdD//purF//hemH//citE//gpmA//malP//tpiA//bioD//recF//nirB//nanA//pheT//ynfH//moaA//patA//paaG//pagP//mhpE//mhpF//araA//prpD//yfdE//nanE//gatD//lpxD//hmp//ulaE//pagP//cysE//cysG//ilvH//uvrC//fes//argD//thrS//yqjH//ung//rutB//hycG//chbG//
GadE	sgbE//rutD//epd//cysD//hcaB//argI//astE//bioD//guaB//rbsD//
GadE-RcsB	argD//ybjG//glpQ//lsrG//alaA//
GadW	fumB//ilvM//gutQ//lacZ//
GadX	purK//dmsC//murQ//phnL//puuB//purB//lldD//phnG//yedX//hycD//dapB//mnmG//metA//
GalR	nrdA//appA//allE//prs//metF//malS//
GalS	glcB//leuB//rsmH//allB//gcl//rutC//
GatR	adhE//narI//fumC//
GcvA	gcvT//ssuE//sucD//
GlcC	dinB//dmsC//puuC//
GlpR	garR//aroF//sgbU//pgaB//nrdA//codA//torA//
GlrR	
GntR	murD//fabZ//pfkA//paaB//cynT//nrdE//prs//murQ//hemH//
GutM	accC//nadB//sgbH//
HU	ulaG//pgpC//prpD//phoA//deoD//sdhC//torC//
HcaR	fumB//lysC//
HdfR	
HigA	alkA//
HigB-HigA	frdC//
HipAB	ilvA//hycC//
HipB	trpA//ahpF//dadA//
HprR	ynfG//ndh//glpA//waaY//
HyfR	cueO//
HypT	dapD//pck//ilvE//amn//wecC//entC//glpB//
IclR	polA//tdh//aceE//
IdnR	gcvP//ulaD//fadB//dhaM//sucA//caiD//
IlvY	astE//
IscR	hycE//argI//murI//mltF//glpK//dapD//sucA//murG//
KdgR	allE//katG//
KdpE	yqhD//
LacI	ssuD//caiD//dgcC//
LeuO	purD//sucD//metA//ruvA//phnM//napH//
LexA	pheS//fbaA//nanE//gatZ//moaE//yfdE//cysK//melA//uxuB//tdcD//ynfH//paaA//sgbU//ppiA//ddlB//mnmG//paaE//fucI//fabZ//ruvB//astA//fabB//sdhA//
LldR	deoD//oxc//
LrhA	
Lrp	mpl//moeB//narH//trpB//add//rtcA//fadJ//prpB//dinB//metB//aceB//astD//ulaF//cysJ//nadA//glpD//gdhA//treC//gnd//fumC//gadA//astA//fau//gcl//sucD//alkA//moaD//betB//garK//trpB//argF//malQ//nrfC//pflB//cysE//uxaC//astA//ogt//citC//rfe//
LsrR	truB//gabT//recB//lyxK//alaA//
LysR	udp//
MalI	ilvI//add//
MalT	atoB//lpxC//citC//malP//polB//napH//
MarA	rutE//glyA//aroL//glmU//fucA//pyrD//napH//ftnA//metA//glpC//sgbU//rbsD//pepD//nrdF//add//malZ//rhaA//bioB//speA//nadB//ppc//astE//dgcN//gabT//
MarR	
MatA	malQ//
MazE	hycB//
MazE-MazF	citX//
McbR	
MelR	aroG//gatY//
MetJ	malS//dapB//ubiC//glgB//mtlD//fabA//entA//hypF//purC//dkgA//
MetR	lpxC//dmsB//ahpF//pgk//
MhpR	purD//xylB//zwf//entD//sdhC//murC//
Mlc	rfe//malP//pnp//ugpQ//
MlrA	trpB//
MngR	sbcC//paaB//
MntR	entA//cysE//
ModE	wecB//wrbA//speA//fadA//sgbH//prs//paaE//metA//fumC//gor//aroG//cysE//phr//pdeL//nfsB//phnG//citX//
MprA	pgaD//hcaB//ygeA//
MqsA	nemA//glgP//
MraZ	srkA//xylA//sbcC//mhpF//grxA//tktB//aceE//gor//alaA//rbsK//
MurR	fabA//dsdA//dgcC//
Nac	acnA//hycE//purM//dgcZ//pspE//wrbA//mhpD//glxK//sgbE//entF//leuA//
NadR	gabT//ilvG_1//bacA//lysU//
NagC	murE//sucB//fdhF//sbcC//fadJ//tyrA//ycjG//cysM//pncB//alaS//yedX//add//argD//rutB//astD//kbl//tyrA//allE//fadI//
NanR	purF//mhpE//frdC//narI//allB//rimK//
NarL	fdhF//pdeH//rutD//bioC//moaA//ilvC//napB//narG//ychF//tdcE//deoC//glpD//murF//polA//yfdE//ynfF//grxA//phnM//hypF//phnI//rutE//sdhB//malY//fbaA//murF//ilvI//glcE//waaY//araB//tdcD//mhpC//speB//carB//codA//rutB//umuC//phnH//sucC//ldtD//dgkA//fadI//
NarP	malZ//mhpB//ynfF//pheT//dinB//cysH//glgC//lacZ//aldA//kbaZ//adiA//torA//nanM//fau//nemA//
NemR	ruvB//murF//
NhaR	cdd//argG//xapA//sufS//mpaA//
NikR	ttdA//
NimR	tpiA//
NorR	citG//
NrdR	entD//umpH//tehB//idnO//
NsrR	hcaC//dsdA//uvrC//nrdE//nrdA//metB//phr//aroH//nanM//nemA//gloA//prpD//rfe//nirD//gabD//uxaA//yedX//rnpB//paaC//psd//frdC//moeA//aroH//ddlB//fabZ//metB//dgcZ//ascB//tyrA//phnO//entF//ynfH//glpQ//garK//ulaF//dgkA//glcB//malY//entC//yeaE//
NtrC	torC//nirD//glsA//uxaB//gdhA//ppiA//idnK//glpK//alaS//bacA//katE//ilvC//putA//mdh//ddlB//glpD//paaZ//pgaD//speB//chbF//ilvM//
OmpR	uidA//cysD//ldtD//wecE//argE//moaE//srlD//hemH//
OxyR	leuB//glcB//fadA//hcaC//kbaZ//aceE//ribA//cysH//purE//glpD//fadE//idnD//xylA//hycF//dgcZ//deoC//avtA//
PaaX	narG//torA//mpaA//fucI//gadB//murE//sucB//nanE//metL//
PdeL	dmsA//
PdhR	ychF//paaB//ppsA//trpC//nemA//ugpQ//gcvH//aroL//purH//glnA//deoD//ppc//bioD//trpC//torC//eda//hcaE//araD//mltF//pncB//rfe//sgbU//tadA//hyaC//astB//
PepA	acnB//argH//
PgrR	uxuB//sodA//
PhoB	phnN//mdh//puuC//ndh//citE//gutQ//leuB//speA//luxS//frc//pfkA//cdd//tdh//pyrD//gltD//fes//accC//uxaB//acnB//cdd//
PhoP	ydcS//guaA//mraY//gabT//eda//purN//gcvT//ruvA//phnG//pykF//nrfC//mraY//malS//nrdB//bioA//speB//paaG//sucA//argB//frdA//frdD//entE//ubiA//codA//nadA//glgB//aroL//deoA//katE//ascB//purN//yfdE//
PrpR	mpaA//tdcG//tktB//tdcD//
PspF	sufS//
PurR	iscS//moeB//phnO//pyrD//sucC//serC//malS//xylB//araB//chbG//fadB//wzc//glnA//chbF//dhaK//glgP//tam//leuB//frc//mraY//pgi//glcE//leuA//ychF//atoA//aspA//
PutA	puuC//glpQ//
PuuR	umuD//ulaF//ldtC//yfdE//chbG//gabD//
QseB	
RbsR	wecC//ilvM//pgaD//accC//ygeA//trpB//
RcdA	gntK//
RclR	
RcnR	asnB//
RcsAB	argE//paaI//paaB//
RcsB	dapB//astE//fabZ//pgaB//
RcsB-BglJ	gatD//aldA//
RelB	metA//
RelB-RelE	sgbH//
RhaR	
RhaS	pgaB//wzc//ilvC//gcvH//
Rob	entH//ampC//rffH//xapA//yeaG//gadA//carB//sgbU//fabB//dacC//acnA//rbsD//rnpB//rutC//sdhD//tktB//glpQ//sdhB//mhpD//
RstA	chbG//leuA//sbcC//
RtcR	napA//dmsC//
RutR	murQ//allA//nadA//nadA//moaC//glxR//xylA//uvrC//fdhF//pdeH//fes//
SdiA	
SgrR	thrS//cdd//pheS//
SlyA	fucO//purA//astD//sdhB//serA//uvrB//galE//metC//phnI//
SoxR	galE//
SoxS	pnp//allB//tktB//cyoE//nfsB//cueO//pdeH//phr//aceB//alsE//mpl//astB//paaC//amn//pncB//chbG//pdeH//tadA//hcaD//dadA//lpxD//nrdF//dinB//tdcD//rpiB//aceF//
SrlR	moeB//umpH//atoD//
StpA	trpD//ribA//phnG//
SutR	rutA//galE//
TdcA	nrfC//purK//rutC//zwf//edd//
TdcR	fes//avtA//cysI//rhaA//sodA//
TorR	murC//xapA//alsE//polA//fadB//
TreR	appA//pgk//
TrpR	uvrB//eda//malY//kbaY//fbaA//metA//hycB//sdhC//fadM//
TtdR	tpiA//fucK//
TyrR	accC//ruvB//lpd//idnK//waaY//paaG//ttdB//cysC//dadA//
UhpA	atoA//
UidR	napG//ydcS//
UlaR	nrdA//lsrF//sucA//ybjG//pheT//
UvrY	trpC//atoD//
UxuR	recD//murF//fadI//feaB//ynfE//
XapR	pfkA//dmsC//
XylR	hemH//chbG//tdcB//
YdeO	iscS//putA//frdA//
YefM	pspE//
YefM-YoeB	recB//
YeiL	
YhaJ	
YiaJ	pnp//pgi//cysK//garL//cysH//phoA//
YjjQ	cyoE//asnA//
YpdB	
YqhC	nadA//fbaB//
YqjI	atoB//
ZntR	ribA//
ZraR	
Zur	fbaA//
