# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	kbaY//kbaZ//
Ada	wecE//aroL//ndh//ung//
AdiY	alaA//alsE//citC//hyaC//
AgaR	ruvB//
AidB	puuE//
AlaS	purM//
AllR	paaK//aspA//gatZ//sodA//argD//glmS//
AllS	uxaA//ilvH//lpd//
AlsR	glgA//wecE//sucB//
AppY	rffH//dacC//
AraC	lyxK//nrdB//rfe//kbaZ//trpA//moaC//fucI//narG//
ArgP	trpC//metK//mhpE//sdhA//dhaL//nfsA//ilvD//gutQ//nadB//
ArgR	dgcZ//acnA//gltD//lysC//epd//cadA//atoA//ldtB//alkB//yedX//caiB//murD//dmsA//entF//prpE//idnK//grxA//umuD//glgA//srlD//accA//gatY//ubiC//
ArsR	fau//fadM//
AscG	sdaA//glk//
AsnC	idnO//malZ//
AtoC	xylA//metH//metA//
BCCP	sbcD//
BaeR	fadJ//astB//
BasR	moaA//sdhC//tktB//
BetI	ogt//phnH//bioC//
BirA	paaJ//hycG//tam//ynfG//ubiX//
BluR	
BolA	glgB//entH//
BtsR	sgbH//
CadC	luxS//ppsA//ydcS//
CaiF	poxB//entF//iscS//gltD//malS//
Cbl	glpK//sucB//ascB//argH//citE//
CdaR	gnd//glpC//tdcD//fucO//ilvG_1//glmU//hcp//yfdE//murI//
CecR	fadA//
ChbR	trpB//eno//caiB//
ComR	
CpxR	gutQ//garL//uxaC//trpC//metA//ynfG//rutD//ilvC//deoD//cysM//hyi//dhaK//argB//alsE//aroL//ulaE//rbsD//fabZ//glpQ//rffC//aceB//
Cra	lysC//astE//paaE//dsdA//umuC//pdeL//pgaD//cysD//tauD//kbaZ//aroF//glcD//gpmM//amn//sdhC//cysN//rutB//sbcD//katE//truB//hmp//argB//ilvG_1//metA//dinB//argD//ynfH//phnH//glcD//ilvH//gcvH//fadE//araA//fabA//galE//narH//argD//paaC//caiC//bioF//mpl//ruvA//garK//leuB//puuE//dgkA//hycD//fadJ//paaY//sbcC//trpB//deoB//galK//malY//metK//mhpB//bioC//srkA//phnP//
CreB	gatZ//aspA//
CsgD	katE//cysH//aroG//cueO//sucA//
CsiR	udp//tyrB//dhaK//metB//
CspA	entE//
CueR	pck//gltB//galM//lpxA//torA//
CusR	katE//hyi//cysE//murC//
CynR	accA//lpd//talA//
