# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gatD//lyxK//
Ada	ampC//amn//ppsA//ada//
AdiY	pagP//uxuA//aroA//aceB//
AgaR	ttdB//
AidB	astA//
AlaS	yeaE//
AllR	gudD//glyA//adhE//alkA//mpl//glsA//
AllS	speA//sufS//glcF//
AlsR	hcaE//murE//phnI//
AppY	fabH//lhgO//
AraC	aceE//dgkA//frc//gcl//pncB//hycF//xylB//acnA//
ArgP	phnP//ilvI//entF//gnd//gcl//pspE//fucO//ccp//rbsK//
ArgR	paaG//leuB//dinB//katG//gapA//hycB//ulaE//kbl//purD//rffM//speA//puuB//phnH//serA//hyaA//tdcD//edd//sdhA//cynS//mhpF//citF//ilvM//gcvH//
ArsR	ynfF//phnG//
AscG	ulaG//sdhC//
AsnC	hypF//bioC//
AtoC	allD//citF//phr//
BCCP	leuC//
BaeR	ppc//rutB//
BasR	pyrD//rhaD//pepD//
BetI	appA//frdB//dinB//
BirA	gadB//ilvA//melA//entB//serC//
BluR	
BolA	ddlB//aroG//
BtsR	rutB//
CadC	uvrC//phoA//phnM//
CaiF	prpD//mhpC//rutC//cueO//add//
Cbl	gltB//sdhD//treC//dgcN//gpmA//
CdaR	aceB//pagP//pheT//fabG//pgpC//napH//bioC//xylA//mazG//
CecR	idnK//
ChbR	hcaC//fabG//trpE//
ComR	
CpxR	gor//kbaY//fabZ//idnO//hcaE//fadH//dsdA//sucD//fabA//aldA//rffM//paaE//nfsB//cyoE//rfe//purN//gapA//dapB//mdh//glcE//malZ//
Cra	ubiX//phnL//ugpQ//gdhA//nanM//tnaA//lpxA//gnd//citX//phnL//lldD//recF//ruvA//wecB//cysE//pncB//carA//cysI//guaB//lhgO//glcB//ybjG//ilvG_1//araD//treC//hcaB//hypF//lpxD//glpK//sdhD//nanM//fruK//patA//ulaE//moeB//edd//allA//fucO//cysK//ttdB//citE//truB//entE//thrS//moeA//pykF//pdeR//mhpA//mhpB//argG//ynfG//edd//glnA//kbaZ//fabG//rutA//pgaC//aceE//araD//
CreB	glgP//serA//
CsgD	fadH//fadB//recD//tadA//nagB//
CsiR	gapA//ulaG//lpxA//yedX//
CspA	mhpC//
CueR	fumB//fbaB//mpaA//glmS//ppsA//
CusR	rffT//frc//glyA//phnG//
CynR	wecC//nemA//nrdD//
CysB	hemH//yqjH//tktB//tyrB//entC//ribA//cueO//purE//tktB//aspA//nrfC//glpD//eda//metA//asnA//ruvA//argI//
CytR	epd//puuB//alaA//lhgO//ddlB//moaE//deoA//tyrB//rutE//pdeH//
DcuR	gpmA//entB//speB//argC//
DeoR	hycC//gpmM//fadM//ttdB//ttdB//ycjG//
DhaR	poxB//
DicA	
DinJ-YafQ	dapD//
DnaA	dkgA//argE//tam//bioA//mazG//phnJ//
DpiA	tam//sucC//dapB//ubiA//nagB//
DsdC	entF//ascB//
EbgR	
EnvR	entB//nanE//
EnvY	gatZ//aroA//
EvgA	aroL//gltD//gcvH//alkB//ldtB//gnd//
ExuR	glpB//hcaD//aceA//tdcG//bacA//nfsB//
FabR	entD//ugpQ//yfdE//
FadR	ilvM//thrS//hycC//glpQ//astB//sodB//ulaE//nrdF//gloA//tehB//ycjG//fucA//ndh//citX//atoD//hyaC//dgkA//chbG//deoB//
FeaR	fadH//dhaM//
FhlA	fucO//mpaA//ttdA//glgB//recF//alsE//mraY//dmsA//
FlhDC	slt//nrfA//folA//trpC//aroH//allC//cdd//gltB//paaJ//argE//ldtD//atoB//trpC//glsA//
FliZ	yeaG//kbaZ//alaA//hcaC//ogt//
FucR	cysK//phnM//betB//nrdD//dapB//katG//
Fur	tyrB//sgbH//ruvA//sgbH//betA//ulaE//nrfC//rffG//astB//melA//gadB//dhaM//umpH//codA//umpH//argA//ybjG//fabI//ybjG//ruvB//grxA//frdA//dgkA//udp//ynfF//leuA//rnpB//glgP//purE//nirB//ttdA//rbsD//glcB//cysH//lyxK//purA//purA//paaY//allA//asnA//uvrC//nrdD//murE//argH//pgaC//uxaA//alaS//phoA//napA//paaF//glpX//fumB//murE//fes//moaD//polA//rutD//glgA//uxaC//ttdB//tam//argI//
GadE	accC//galT//murI//gntK//entH//thrS//metB//gcvT//cueO//sucA//
GadE-RcsB	lhgO//mhpD//pyrD//gcl//hyaC//
GadW	argH//uvrC//betB//udp//
GadX	glk//glsA//pgm//astC//paaK//ulaG//metK//astC//purN//glmU//hemH//moeB//trpA//
GalR	glmU//rffM//argF//trpE//murF//paaZ//
GalS	murE//caiC//mdh//fabG//pncB//ruvA//
GatR	rffH//tehB//wzc//
GcvA	sgbH//glcF//wrbA//
GlcC	waaY//ilvE//ndh//
GlpR	fadI//rutE//lsrF//gltB//icd//narG//alaA//
GlrR	
GntR	ampC//aceA//argI//caiA//phnP//tdcD//pdeL//hycF//glcE//
GutM	sucB//deoC//rfe//
HU	rhaB//gpmM//hycB//tdcE//atoB//patA//bioC//
HcaR	mhpB//metF//
HdfR	
HigA	glgC//
HigB-HigA	glk//
HipAB	murC//lacZ//
HipB	xylB//frc//truB//
HprR	aceB//frdB//caiC//paaF//
HyfR	tam//
HypT	glpX//glpC//wecE//gutQ//ychF//murE//gcl//
IclR	ampC//tdcG//ulaE//
IdnR	puuD//ribA//uvrA//astC//dkgA//prpC//
IlvY	ldtB//
IscR	paaZ//iscS//torC//yedX//glcE//guaA//rhaA//caiB//
KdgR	metH//argF//
KdpE	gltB//
LacI	purF//cysG//ahpC//
LeuO	hemH//narH//prpB//nrdF//carB//ttdA//
LexA	glcE//hycF//cysI//dgcZ//uvrA//purB//nadA//hcaB//alaS//frdB//phr//ilvC//wrbA//puuD//dadA//nanK//dgcC//lsrG//accA//ppc//hyi//lacA//yfdE//
LldR	metF//dgkA//
LrhA	
Lrp	frdB//glsA//phoA//hyaB//sufS//paaF//tdh//ydcS//wzb//thrS//rffM//grxA//moaE//rffG//argG//poxB//tpiA//entE//cysI//ttdB//sdhB//fbaA//lpxC//mhpF//fadM//leuB//fucO//fadI//ndh//garK//umuC//rtcB//frc//recD//nrfC//gcvH//fadB//hycF//truB//nrdE//
LsrR	phnJ//galK//pncB//entA//dmsC//
LysR	nemA//
MalI	malQ//trpE//
MalT	caiB//prpD//rpiB//nanM//bioF//waaZ//
MarA	hcaF//ung//gudD//tnaA//pgpC//mazG//betB//ygeA//recD//gadB//aspC//hycB//alkB//phnJ//dadX//accA//bioF//moaC//nrfC//gcvT//uxuB//glcE//glcB//katG//
MarR	
MatA	ilvA//
MazE	fbaB//
MazE-MazF	lhgO//
McbR	
MelR	fucI//rffG//
MetJ	murQ//citF//nrfD//leuA//sgbH//aspC//rutE//purD//purM//moaD//
MetR	uvrB//rhaD//cysH//ftnA//
MhpR	sdhC//dapB//srkA//mngB//sdhB//guaA//
Mlc	metH//mraY//entA//tadA//
MlrA	fucO//
MngR	speB//carB//
MntR	narI//rutD//
ModE	nrdD//phnG//mltF//purM//ssuD//caiA//hycG//metB//garK//galE//purM//puuD//tyrA//murG//cynS//argI//ssuE//
MprA	dhaL//ldtC//fbaB//
MqsA	lhgO//nagB//
MraZ	folE//idnD//rutA//dadA//phnN//allB//aspA//glcB//ubiC//tyrB//
MurR	wecE//glpK//metB//
Nac	moaA//fucA//nrfD//fadI//pgk//paaJ//rutB//araA//trpC//speB//rtcB//
NadR	malQ//glmU//atoB//rhaB//
NagC	srkA//gcl//ilvH//idnO//gor//ruvB//mpl//entB//acnA//yqjH//malP//gudD//trpC//uvrC//rhaD//argH//psd//tauD//nfsB//
NanR	poxB//asnB//leuC//bioC//tktB//puuA//
NarL	araD//napB//dapD//poxB//gatZ//caiA//trpB//rbsK//cdd//yedX//araB//serA//entC//yeaG//puuC//hemL//puuA//sdhB//allB//prpE//rpiB//rutB//udp//moeB//rhaD//ftsI//amn//yeaG//narH//frdD//glpD//aroG//mdh//nrdA//putA//fabA//polB//deoA//prpE//moaE//frdB//
NarP	hcp//citE//edd//ilvA//dhaL//gapA//galT//hcaC//phnI//ulaG//cysC//fadI//ascB//talA//sdhA//
NemR	ftnA//idnO//
NhaR	fucO//bioD//rnpB//ulaD//paaZ//
NikR	garK//
NimR	rutB//
NorR	fbaA//
NrdR	rnpB//metC//deoA//rtcA//
NsrR	phnN//dhaL//gltD//citC//ldtD//sgbU//fadD//fau//citD//xylB//putA//pgaC//xapA//adhE//ilvG_1//paaE//murG//pgaC//eda//ppc//srlD//uxaC//ftnA//lsrG//cueO//mazG//nagB//wzc//frdA//pncB//acnB//puuA//citF//adiA//rutD//cysK//yqjH//wzb//fumB//wzb//
NtrC	moaA//folE//ilvH//fbaB//phnI//mhpE//glpC//ilvE//fadB//malQ//tnaA//glmS//paaG//tdcD//carB//hcaF//argD//phoA//mhpA//metL//aldA//
OmpR	ftsI//hcaD//aceE//tdcG//pepD//entB//allD//tehB//
OxyR	rfe//trpE//paaA//pnp//deoA//glpX//ygeA//srkA//murE//mhpE//paaY//paaG//bacA//pgaD//bioA//murD//phnL//
PaaX	tdcG//gapA//ruvB//glsA//wzc//gloA//tauD//glmU//puuA//
PdeL	sbcC//
PdhR	aroF//ubiC//moeB//nadA//mpaA//aspC//ftnA//ilvC//wecC//sdhA//uxaB//tdcG//moaA//serA//ada//alkA//ilvA//rutE//gloA//waaH//phnJ//moeB//trpB//garR//yqhD//
PepA	gatD//ilvI//
PgrR	bioA//puuC//
PhoB	tyrA//ulaF//hcaD//accC//accC//rhaD//gcvH//grxA//acnA//ldtD//pgpC//narI//phr//metC//hycF//frc//glcF//gapA//cyoE//aspC//
PhoP	avtA//dgkA//argE//pepD//nemA//rsmH//nanM//nadA//acnA//dapB//gatZ//phr//metH//phnM//add//prpC//dacC//alaA//cyoE//rffC//nirD//pncB//hcaC//pagP//gdhA//umpH//frdD//aroF//cynS//hcaC//hemH//trpA//
PrpR	rutD//dhaL//ung//atoB//
PspF	cysN//
PurR	glxR//recF//pck//pykF//lsrG//entC//paaE//hcaB//hcaC//umuC//pagP//sbcC//fbaA//phnL//glnA//puuA//alsE//truB//mdh//malZ//ppiA//lsrG//ychF//dacC//hycD//hcaB//
