# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lhgO//folE//
Ada	lyxK//puuE//prpC//cysJ//
AdiY	wecB//ulaD//uxuA//nadB//
AgaR	gabD//
AidB	ssuD//
AlaS	nrdF//
AllR	mnmG//argE//ubiA//purH//argB//malP//
AllS	fdhF//ribA//sdhB//
AlsR	ycjG//puuC//paaG//
AppY	ynfG//malP//
AraC	entD//psd//hycC//avtA//metA//gltB//murF//tyrB//
ArgP	dhaM//mpaA//argC//nirB//glxR//recB//leuD//sodA//serA//
ArgR	patA//rhaD//rutC//glpC//glmU//ulaG//deoC//ada//fucI//murC//gutQ//paaH//paaZ//aspA//pnp//glsA//add//narH//citD//leuB//hycE//fadH//asnA//
ArsR	uxaB//phoA//
AscG	nrdF//fabD//
AsnC	pepD//nrfA//
AtoC	gltB//ung//fucI//
BCCP	argE//
BaeR	dmsC//sdhC//
BasR	talA//uxaB//cysE//
BetI	sdaA//eda//bioF//
BirA	aceE//wrbA//lysU//purA//cadA//
BluR	
BolA	uxaA//nanM//
BtsR	tyrB//
CadC	cyoE//dadA//lysC//
CaiF	fabZ//atoB//pncB//sgbU//pgaD//
Cbl	cdd//aceF//ulaE//aceF//yqhD//
CdaR	glsA//gcl//ilvA//carA//umuC//rffM//gltB//ndh//leuC//
CecR	lysA//
ChbR	atoB//astB//nrfA//
ComR	
CpxR	paaE//ftnA//lacZ//nirB//psd//mnmG//lpxA//hycD//pdeR//caiB//fadB//pyrC//cdd//hycG//rbsK//rsmH//sgbE//gapA//glmS//lpxA//phnP//
