# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	prpB//dinB//
Ada	pgaC//prpE//gabD//hyaB//
AdiY	waaZ//appA//sbcD//citG//
AgaR	gntK//
AidB	poxB//
AlaS	fau//
AllR	carB//entH//cysM//hyaB//pyrC//citX//
AllS	hypB//pagP//astE//
AlsR	rutC//mhpA//ulaE//
AppY	lsrK//dgcN//
AraC	fucO//sdaA//dhaL//pgm//dgkA//purM//mhpC//araB//
ArgP	zwf//hycF//chbF//entE//udp//asnA//araD//fucK//glnA//
ArgR	fabA//fabI//iscS//purE//fumB//tehB//ribA//lysA//leuB//hcp//purN//tehB//gltB//gltD//sdaA//allE//tdh//ilvD//sbcD//hyaB//nagA//uvrA//uxaA//
ArsR	paaC//glpC//
AscG	paaC//yiaK//
AsnC	araB//frdB//
AtoC	malY//uvrB//fbaB//
BCCP	frdB//
BaeR	cynT//uxaB//
BasR	pfkA//fabH//sodB//
BetI	moaD//araD//trpC//
BirA	deoC//mhpE//ubiC//lsrF//glpA//
BluR	
BolA	phnI//sucB//
BtsR	rutD//
CadC	gabD//napB//rnpB//
CaiF	ddlB//yedX//rnpB//nfsA//lyxK//
Cbl	hyi//puuC//nadA//lsrG//avtA//
CdaR	moeA//wrbA//ndh//rhaB//glnA//sdhB//fucU//araA//recB//
CecR	sufS//
ChbR	pgm//purK//sdhB//
ComR	
CpxR	napH//yfdE//yfdE//fadH//cysJ//icd//narG//trpB//sgbE//cueO//fucI//trpA//narH//tdh//yeaG//fadA//phnG//lpd//puuE//gcvT//waaZ//
Cra	eno//torC//dmsC//pyrD//purL//ynfG//dapD//dsdA//cysI//yfdE//nagB//napA//glcE//trpA//cyoE//lacZ//mhpA//cysM//pgaC//hmp//nanA//umuC//waaZ//fruK//bglB//metA//hemH//rtcB//accD//sodB//gutQ//edd//phnL//yedX//gltB//citE//hcaE//hemH//hypB//metB//pdeH//betB//recB//cysD//galE//tnaA//hycD//metH//ilvD//dmsC//pheT//uvrB//avtA//citE//rbsK//astC//nfsB//torA//tdcE//
CreB	phr//paaJ//
CsgD	dgcZ//hycE//fucU//aroL//lysC//
CsiR	rbsK//paaA//waaY//wzc//
CspA	umuC//
CueR	carB//udp//cynT//puuC//sgbE//
CusR	glgA//ubiX//glpX//nanM//
CynR	hypF//hycF//amn//
CysB	aceE//tktB//sbcC//rpiB//srkA//trpE//sbcD//astA//atoB//patD//yeaG//hyaB//ruvB//fabB//paaZ//ndh//aroG//
