# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pykF//ubiA//
Ada	citG//fruK//ilvI//nrdA//
AdiY	tauD//sdhC//phnN//pgi//
AgaR	lpxD//
AidB	glpA//
AlaS	ubiC//
AllR	feaB//malQ//mdh//prpD//glcB//xapA//
AllS	polB//lhgO//yfdE//
AlsR	dadX//astB//srkA//
AppY	kbl//hyi//
AraC	argE//aceF//sufS//thrS//lysA//frdD//hcaB//glsA//
ArgP	rhaA//uxaB//ynfG//phnL//lhgO//kbl//ychF//alaA//pgm//
ArgR	gabD//uvrC//pyrC//sufS//hemH//mngB//purE//astE//purK//bacA//serA//edd//lsrK//kbaZ//rhaA//torC//paaY//puuD//dkgA//codA//phnG//moaD//serC//
ArsR	fadE//folE//
AscG	idnD//grxA//
AsnC	folA//galK//
AtoC	glcE//ogt//phr//
BCCP	entC//
BaeR	dhaM//argA//
BasR	codA//moeA//katE//
BetI	katG//ilvG_1//lsrF//
BirA	sdhC//murG//ynfF//luxS//glpX//
BluR	
BolA	trpD//glpX//
BtsR	ilvM//
CadC	epd//lpxD//murF//
CaiF	hcaF//murC//astE//talA//puuA//
Cbl	leuB//gor//mtlD//idnO//cysD//
CdaR	prs//patD//nanA//betB//citF//feaB//paaB//pgaB//ruvB//
CecR	tdh//
ChbR	frdC//rimK//pdeR//
ComR	
CpxR	cysI//puuD//paaB//fdhF//garK//wecB//aroF//fdhF//dmsB//dhaL//phnI//dmsB//tadA//nrdF//fucK//hyi//epd//glpA//dadX//cysD//tam//
Cra	uxaC//murF//phnO//caiC//puuA//phnI//tktB//alaS//prpE//galK//gadB//betA//ampC//glmS//wrbA//metH//phnP//uxaB//leuB//hemH//nanA//entD//ilvH//ogt//malY//glpB//ccp//mazG//phnL//fbaB//glcE//mpaA//hemL//phnO//napA//pdeL//murD//ugpQ//malS//yqhD//cdd//trpA//phnL//patA//idnD//rpiB//glxK//rimK//hycD//ndh//epd//grxA//fabZ//hypF//hmp//malQ//betA//metK//fabI//
CreB	rtcB//sgbU//
CsgD	sdhC//lpxD//garR//uxuB//murE//
CsiR	yqjH//rutD//murQ//nadB//
CspA	folE//
CueR	glpQ//glcF//rbsK//gatY//torA//
CusR	amn//purC//bioA//rffM//
CynR	dhaK//bioA//purM//
CysB	fabI//gabD//yiaK//sdhB//paaB//tktB//adhE//pheT//astA//galT//entF//dadA//napH//ilvA//gatY//ulaG//nrfA//
CytR	paaG//hcaB//aroG//ruvA//tnaA//rhaB//moaA//ascB//napA//murE//
DcuR	lpd//slt//glgP//dadA//
DeoR	sdhB//glcB//mngB//purH//nanK//prpB//
DhaR	citF//
DicA	
DinJ-YafQ	glgC//
