# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	hycG//mngB//
Ada	ulaF//pflB//prpE//hycC//
AdiY	mdh//dapD//ascB//wzc//
AgaR	cdd//
AidB	cueO//
AlaS	putA//
AllR	dapB//gatD//eda//puuC//purE//arsC//
AllS	tadA//fadJ//dapD//
AlsR	phr//purE//tam//
AppY	pyrD//gnd//
AraC	rsmH//ugpQ//purC//bglB//torA//amn//fabD//napA//
ArgP	ampC//astD//gdhA//iscS//cysC//purN//aspC//citD//aspA//
ArgR	feaB//waaH//xylB//fadI//prpB//pykF//pgaB//lhgO//serC//ilvA//hycD//entB//glpC//glpC//pheT//tyrA//wecE//fucA//hycB//bglB//wzb//prpC//nrdF//
ArsR	phnH//argD//
AscG	cysJ//ubiX//
AsnC	bioB//sdhB//
AtoC	ccp//rhaD//guaA//
BCCP	hcp//
BaeR	aldA//folA//
BasR	phnM//phnP//folE//
BetI	paaJ//amn//bioC//
BirA	carB//thrS//truB//relA//frdB//
BluR	
BolA	paaA//hyaA//
BtsR	bglB//
CadC	fucK//aspC//narH//
CaiF	xylB//gapA//hycE//ung//talA//
Cbl	tdcG//paaY//nrdE//uxuB//speB//
CdaR	glpK//ynfG//eno//epd//cysN//nrdF//rfe//betA//metC//
CecR	prpD//
ChbR	ldtC//ppsA//ulaD//
ComR	
CpxR	tadA//oxc//lpxA//moaE//rffG//glk//tauD//betB//murG//purE//rutE//gutQ//hcaE//leuC//gloA//phoA//dmsC//lyxK//umuD//sucD//sodB//
Cra	sbcC//metE//purM//sbcC//serC//aspA//pgaB//yedX//lldD//phnM//pfkA//sodB//ribA//tdcG//sdhC//umpH//aroL//wzb//ftsI//aceA//rhaB//napG//trpD//hmp//ssuD//sbcD//betA//tdcB//umpH//ldtD//metA//puuE//cueO//malY//dapD//torA//gltD//mpl//mpaA//nrdF//tam//tdcB//mraY//ftsI//sgbU//ldtC//nrfA//atoB//phnN//entA//rsmH//pck//ruvB//rffC//murC//recF//hcaD//cysN//grxA//
CreB	gpmM//fabD//
CsgD	caiA//lysA//fdhF//ilvD//nagB//
CsiR	purC//ynfH//glpB//rfe//
CspA	pheT//
CueR	treC//rutE//iscS//nanE//ilvI//
CusR	gatD//uxaB//argE//yeaE//
CynR	cyoE//kbaZ//caiA//
CysB	ada//ssuE//gatZ//gcvH//ilvM//guaA//mngB//speA//hcaF//fucU//rutD//kbl//ndh//uvrC//adhE//gor//ftnA//
CytR	hycC//nemA//betA//mhpF//nrdE//dgkA//entB//sodA//argF//paaA//
DcuR	slt//torC//napA//mdh//
DeoR	fadA//trpD//citF//ychF//mpaA//fabI//
DhaR	accD//
DicA	
DinJ-YafQ	pagP//
DnaA	bacA//trpB//arsC//cynT//gor//entH//
DpiA	astB//sucB//wecE//pdeL//kbaY//
DsdC	fau//ynfE//
EbgR	
EnvR	talA//iscS//
EnvY	mtlD//ynfG//
EvgA	metC//phnJ//astD//ynfH//leuD//trpB//
ExuR	nadB//gatD//mpl//wzb//ynfH//atoA//
FabR	hemH//paaA//accD//
FadR	purM//paaG//uvrB//xapA//gcvH//nrfD//murI//codA//leuA//astA//rutE//acnB//alaS//feaB//prpE//hmp//fabB//prpE//nemA//
FeaR	hycD//ubiC//
FhlA	aroF//hemL//dhaM//nrfD//nanE//fabH//codA//deoD//
FlhDC	sbcD//alaS//ruvA//poxB//gadA//wrbA//ulaE//polA//hypB//rffH//bioA//accC//aspC//purE//
FliZ	waaH//dhaM//glmS//acnA//allC//
FucR	folA//garL//pgaB//nrdF//glcB//fadE//
Fur	pflB//napH//nrdD//appA//cysN//phnO//bioD//metF//glpQ//ruvA//fabH//ung//rtcB//aroA//pagP//paaE//murQ//torA//entF//ybjG//moaD//uxaB//mnmG//uxuA//acnB//ilvA//garD//aroH//recF//lhgO//trpD//pgpC//galK//entC//hcaC//purM//tdcE//purF//pagP//dmsA//hcaE//edd//hycB//aldA//bioF//yeaG//lldD//wzb//grxA//dapB//sbcD//truB//torA//ruvA//narH//paaA//fbaB//pyrC//polA//gatZ//galE//paaH//
GadE	deoC//dinB//purC//purB//moeA//tyrB//metE//dhaL//sbcC//phnN//
GadE-RcsB	eda//srlD//kbaY//paaB//paaG//
GadW	wecE//torC//pgi//pspE//
GadX	cysK//cysH//ascB//waaZ//sucD//alkB//leuD//citE//entF//cysK//ilvE//tnaA//glcE//
GalR	gltB//icd//gcvH//prpD//entE//allD//
GalS	caiB//putA//lysU//idnK//yeaG//rutE//
GatR	garL//tnaA//napB//
GcvA	dsdA//tam//udp//
GlcC	fucU//entA//cueO//
GlpR	cyoE//paaE//aceA//galK//ulaD//rbsD//alsE//
GlrR	
GntR	waaZ//xylB//phoA//rhaD//nfsB//fruK//metB//pflB//wecB//
GutM	paaY//purB//astD//
HU	hcaB//rfe//murQ//phnJ//sgbU//fabZ//phnH//
HcaR	paaZ//allA//
HdfR	
HigA	ybjG//
HigB-HigA	lysU//
HipAB	lysU//luxS//
HipB	ulaE//glgB//avtA//
HprR	narH//gcvH//paaY//mpl//
HyfR	citG//
HypT	fadA//cysE//rnpB//paaI//paaJ//xylB//nanK//
IclR	mhpD//napA//entD//
IdnR	moaC//dacC//paaB//pgpC//ilvD//rtcA//
IlvY	folE//
IscR	ddlB//tadA//torA//dkgB//slt//ulaE//mngB//glpC//
KdgR	yqhD//ilvI//
KdpE	hyaB//
LacI	fucU//ruvA//prpE//
LeuO	appA//leuC//metL//speA//murF//pykF//
LexA	lpxA//gloA//metB//sdhC//dadX//lysC//citG//sdaA//grxA//malY//sgbU//gdhA//fadB//alaC//katE//leuD//rhaA//bioF//araD//glcF//aspA//speA//bioB//
