# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	aroF//ilvH//
Ada	fabI//uxuA//wzc//luxS//
AdiY	pck//rnpB//pepD//pgpC//
AgaR	waaH//
AidB	astD//
AlaS	putA//
AllR	sucA//trpC//mhpF//allC//aldA//poxB//
AllS	fabI//uvrA//glsA//
AlsR	ulaG//trpC//deoD//
AppY	hypB//ftsI//
AraC	nrdA//kbaY//accA//mngB//mdh//ftsI//melA//lysC//
ArgP	hyaA//dmsB//rimK//acnA//phnL//dadA//rhaB//entB//citC//
ArgR	paaY//sgbU//galK//phnI//hycF//gltB//gabT//polA//recF//yqjH//kbaY//tam//umuC//glmU//speB//asnB//glcB//purN//kbaY//fadH//caiD//uxuB//aspA//
ArsR	tyrA//ogt//
AscG	lpxD//nagB//
AsnC	pdeH//paaJ//
AtoC	rffT//ynfF//murF//
BCCP	allC//
BaeR	narH//metA//
BasR	pflB//glxR//deoA//
BetI	pyrD//fadB//glpA//
BirA	xylB//argC//ilvC//lsrG//ubiX//
BluR	
BolA	sufS//talA//
BtsR	cyoE//
CadC	argB//glpB//ilvM//
CaiF	wecC//yfdE//purM//kbaZ//citX//
Cbl	wzb//metK//napG//chbF//pyrC//
CdaR	phnN//murE//luxS//entH//metF//tam//ccp//bioA//nagA//
CecR	caiD//
ChbR	caiB//mhpF//narG//
ComR	
CpxR	cysD//allB//fabH//ilvC//wzb//umpH//astC//murQ//cynT//hycB//chbG//purC//nanA//guaB//araB//gcvP//mdh//uxuA//alsE//rffH//allE//
Cra	nanM//malZ//alaA//ubiC//caiC//argC//waaZ//cysI//gatZ//entC//purC//betB//tdcD//pykF//paaJ//ilvG_1//glpA//pspE//recD//dkgA//fucI//allA//garK//araB//glcE//sbcC//sgbE//malZ//bioA//entF//narG//purM//entF//serA//araA//hcaB//yqjH//lysU//gadB//dgkA//purM//entD//gntK//argE//metE//entH//lacA//ilvA//sbcD//uxuA//moaE//pheT//glpX//recB//ycjG//ssuD//ldtB//wecE//rutA//
CreB	treC//polA//
CsgD	paaI//uidA//umuD//puuA//pdeR//
CsiR	uidA//hcaD//gadA//melA//
CspA	moeB//
CueR	rhaB//fucK//astC//garL//frdA//
CusR	purB//tnaA//cysE//purB//
CynR	trpE//hemH//nrdE//
CysB	gpmA//ilvE//ahpF//deoA//ilvH//malP//dhaL//accC//add//tdcE//aroH//atoB//pgm//gcl//entD//metH//malQ//
CytR	allA//talA//prpD//ascB//recF//nirD//tktB//atoA//cysH//glcD//
DcuR	tpiA//iscS//adhE//atoD//
DeoR	yqjH//srkA//nanM//yeaG//rffT//ynfE//
DhaR	purF//
DicA	
DinJ-YafQ	moaE//
DnaA	frc//nrfC//rimK//ilvM//phnG//rtcB//
DpiA	lsrK//metK//mazG//cysC//pyrD//
DsdC	aceB//glxK//
EbgR	
EnvR	uxaB//rsmH//
EnvY	appA//citC//
EvgA	gudD//mpaA//guaB//waaZ//ybjG//prpB//
ExuR	fadD//oxc//fucI//bioA//umpH//sodA//
FabR	pdeL//ldtB//wecB//
FadR	pgpC//glpC//nirB//pgi//fadB//dgcC//aceF//oxc//grxA//nanM//cysD//malP//rnpB//lsrG//cyoE//udp//gcvP//xylB//rutE//
FeaR	nfsB//caiB//
FhlA	fumC//uxaC//ndh//entC//phnG//wecE//dhaK//dgkA//
FlhDC	narH//metF//frdD//fabA//frdA//ilvG_1//atoD//tauD//melA//rhaD//sgbE//wecC//hcaB//nanM//
FliZ	pyrC//ychF//pdeL//nanM//galK//
FucR	ribA//gcvT//fumB//serA//rfe//ilvC//
Fur	gntK//pyrC//paaH//ydcS//aroG//entH//purE//lldD//appA//ampC//hycG//mhpD//citC//wecE//rtcA//ygeA//paaI//sdhC//pnp//zwf//pgi//napG//tdcG//gpmM//pnp//asnB//aceE//acnA//trpC//wecB//mpl//gnd//wecB//ilvG_1//ddlB//aspA//murF//aspA//fabH//phnM//rffG//udp//lpxC//trpE//entB//phnG//metH//argC//sdhD//cynS//aspA//ftsI//dinB//fadA//betB//feaB//glpA//alsE//rtcB//cysD//fabH//frdC//
GadE	nanE//waaH//betA//atoD//murG//serC//rbsD//gltD//nrfC//tyrA//
GadE-RcsB	treC//murQ//sucD//tauD//garK//
GadW	ccp//uxaB//oxc//chbF//
GadX	accC//pheS//araA//pgaD//lysC//allA//astB//bglB//puuD//metL//idnD//folA//pdeH//
GalR	nrdF//dgcN//moaD//napA//lysA//cynS//
GalS	acnA//araD//ssuE//asnB//sgbE//uvrC//
GatR	metK//sdhA//sodA//
