# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lysU//glcB//
Ada	metL//guaA//mtlD//lacA//
AdiY	yqhD//dkgA//tyrA//paaF//
AgaR	oxc//
AidB	ubiA//
AlaS	yedX//
AllR	gudD//lacZ//ogt//trpD//accA//cdd//
AllS	atoA//glxK//ldtD//
AlsR	bioB//caiB//ilvE//
AppY	uxaA//recB//
AraC	polA//prpD//rfe//fadE//chbG//yfdE//srlD//pncB//
ArgP	alkB//lysC//moaC//gabD//pepD//paaI//sgbH//phnG//torC//
ArgR	cdd//argC//tyrB//entF//galM//sucD//pyrC//purH//phnL//sucC//relA//ilvE//aspA//rutE//bioB//tyrA//adiA//citD//lpd//fabA//pdeR//zwf//polB//
ArsR	cynS//uvrA//
AscG	purK//phnG//
AsnC	ilvE//ppsA//
AtoC	frc//fucU//sgbU//
BCCP	hycD//
BaeR	nanM//hcaC//
BasR	leuD//glpB//glmU//
BetI	pspE//rutA//waaH//
BirA	truB//ruvA//mltF//srkA//napA//
BluR	
BolA	mhpB//ilvH//
BtsR	prs//
CadC	glgA//pflB//nanE//
CaiF	dadA//lhgO//pgaC//uxaC//dmsC//
Cbl	acnA//phnM//serA//ascB//hyaB//
CdaR	recB//pck//lysA//tdcE//puuB//mhpD//aroF//deoA//dkgA//
CecR	accC//
ChbR	zwf//glcB//nrfC//
ComR	
CpxR	dgcZ//pheT//sufS//moeB//lldD//napA//mhpA//ynfF//purH//tdh//waaZ//ilvG_1//gltB//glcF//ynfF//wecE//hmp//nagA//caiB//rhaA//glxK//
Cra	mpl//deoA//hycF//argI//tehB//glpX//malP//paaF//ftnA//entD//phnO//ilvC//dsdA//katE//pepD//fabG//mdh//lldD//ilvA//paaY//xapA//wzc//rbsK//hycD//pgpC//astE//gpmA//mpl//uxuB//guaB//folA//fumB//glpA//lpxC//aceA//wecB//fadJ//ung//sodA//moeB//fumC//rbsK//paaJ//glpD//sodB//lysU//ubiX//astB//betB//tktB//purM//nagB//rutD//metK//glyA//metL//rffG//garL//cysC//
CreB	fabZ//pgaC//
CsgD	rhaD//yqjH//waaH//hcaF//moeA//
CsiR	rffG//talA//umuD//gapA//
CspA	glgX//
CueR	nrdB//malQ//tktB//ilvM//fadJ//
CusR	hycF//feaB//napA//carA//
CynR	hycE//paaC//rutB//
CysB	hcaE//citX//lsrG//uvrA//fabG//treC//paaK//ftsI//tnaA//pagP//gcl//lyxK//dkgA//hypB//puuE//gadA//caiD//
CytR	citD//talA//bioA//gcvT//phnN//napG//rffH//edd//rnpB//ilvD//
DcuR	dapD//dgkA//srkA//glnA//
DeoR	guaB//recF//hemL//mazG//argF//araD//
DhaR	ogt//
DicA	
DinJ-YafQ	moaE//
DnaA	polB//katG//ahpF//xapA//argB//serC//
DpiA	galE//alkB//uxaA//fabI//atoA//
DsdC	xylB//hcaF//
EbgR	
EnvR	sucD//puuB//
EnvY	thrS//glcE//
EvgA	paaY//aceB//sgbH//speA//carA//ttdA//
ExuR	argB//araB//torC//epd//rfe//glcB//
FabR	cysE//uvrB//gpmA//
FadR	murG//tdcB//wzc//mhpC//yeaE//argB//murD//cysI//phnH//truB//galM//uvrB//tdcG//gloA//moaD//citE//pgi//glpC//eno//
FeaR	deoC//dmsC//
FhlA	nanA//argB//sodA//cysD//ynfF//tpiA//argD//hycE//
FlhDC	fadB//glpA//dkgA//entB//nemA//ulaF//tdh//yeaE//purK//cysM//garR//rbsK//rnpB//galT//
FliZ	glpQ//bioA//purL//gcl//rffH//
FucR	araA//uxuB//hypF//caiB//glcD//metE//
Fur	purL//gntK//lpxA//ilvE//ilvA//aroA//allD//aceE//fadD//nrdD//rffH//rtcA//sgbU//tam//trpC//appA//glpK//nrdD//ldtD//glxK//citG//fadD//polA//carA//pnp//phr//trpA//nrfA//aspC//sucD//uxaB//folE//ilvE//galK//entC//hycC//tehB//tdcG//murG//puuE//patD//glcD//aroH//nrfA//polA//sbcC//mhpE//phnM//ilvH//dsdA//ynfF//atoB//lpxA//rutC//gcvP//glgC//gcvH//mhpC//lhgO//tauD//glsA//mazG//
GadE	gadA//uvrB//aspC//purH//pyrC//putA//appA//rhaB//allA//galT//
GadE-RcsB	glyA//purD//mhpE//pgaB//entF//
GadW	cysE//epd//cysI//gatY//
