# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	serA//sodA//
Ada	purN//glgX//lpxD//nadA//
AdiY	tadA//mazG//tdh//thrS//
AgaR	argI//
AidB	nirB//
AlaS	acnA//
AllR	ulaE//phr//feaB//phnG//sodB//moaA//
AllS	astB//phoA//udp//
AlsR	ppsA//nrfD//citG//
AppY	dkgB//dhaK//
AraC	hycG//gcl//folE//sucC//fruK//glcD//uxaC//frdB//
ArgP	guaA//fucK//thrS//relA//phnO//fadI//atoA//ldtD//leuD//
ArgR	uidA//nrdE//tpiA//hycE//ldtD//hyaB//ilvM//metF//uxaA//malS//araB//hyaB//murD//caiA//ygeA//malP//ulaE//aceA//atoD//ilvA//metE//pgaB//nanA//
ArsR	idnO//pgk//
AscG	hycD//eda//
AsnC	prpD//gntK//
AtoC	umpH//phnM//mpaA//
BCCP	nanE//
BaeR	caiC//citF//
BasR	ruvB//serA//nrfC//
BetI	dinB//ugpQ//hycG//
BirA	dkgB//umpH//pgaC//dkgA//idnK//
BluR	
BolA	tdcD//ulaG//
BtsR	ruvA//
CadC	icd//wzb//garR//
CaiF	paaI//entB//malQ//purK//murF//
Cbl	guaA//cysH//ynfE//glpK//wecB//
CdaR	nfsB//hyaB//malZ//ndh//rbsK//idnO//entE//argC//ampC//
CecR	nrdF//
ChbR	garD//mnmG//ruvB//
ComR	
CpxR	truB//nagB//metK//hypB//lsrF//gabT//glyA//moeB//lysC//ilvE//pncB//sucD//hycF//leuC//cysG//murQ//torC//prpC//nrfC//hypB//glpD//
Cra	cynT//entB//uxaB//bioA//murD//uvrB//glgC//cynT//hcaC//patD//gadB//ndh//glk//dinB//lsrG//citG//hcp//glpK//glk//aldA//argH//prpD//purL//citG//kbaY//tehB//purB//sucC//rfe//ahpF//purH//icd//ppiA//sodB//glcB//waaH//deoD//phnN//metK//glpC//hyaC//hcaF//glpX//tam//lacA//rbsK//ydcS//lysU//nrfD//umuC//uxaA//fruK//rtcA//aceE//xapA//gudD//astB//paaH//hypF//
CreB	dsdA//fadB//
CsgD	gltD//galT//purF//napB//tdcD//
CsiR	pspE//uxaC//chbF//astC//
CspA	lysU//
CueR	frdA//glgB//ogt//araA//ycjG//
