# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	puuA//gapA//
Ada	pdeH//argA//deoC//garK//
AdiY	glcF//codA//fau//pheS//
AgaR	gatY//
AidB	fabH//
AlaS	kbl//
AllR	trpD//fabI//ftsI//entA//dgkA//ndh//
AllS	ilvA//paaH//gapA//
AlsR	glnA//murQ//astB//
AppY	alaC//gcl//
AraC	glgA//bioA//gatD//fucA//purH//paaH//carA//ssuD//
ArgP	sdhA//ychF//eda//glpD//fabA//fucA//moaC//glcF//frc//
ArgR	paaB//deoC//waaH//rffG//argB//citF//yeaG//nrfD//nanK//aroL//lsrK//cysJ//frdB//kbaZ//hypB//torA//ung//ahpC//phnN//uidA//glpQ//rpiB//paaC//
ArsR	leuA//alsE//
AscG	rsmH//rtcA//
AsnC	metK//garL//
AtoC	rhaD//malQ//cadA//
BCCP	hycC//
BaeR	mhpF//lysA//
BasR	tynA//psd//fadI//
BetI	frdA//phnN//mnmG//
BirA	murQ//adhE//phnN//murQ//paaK//
BluR	
BolA	uxaC//rutA//
BtsR	gcl//
CadC	kbl//sodB//moaD//
CaiF	pgaD//dgkA//add//aroH//ygeA//
Cbl	fabZ//metF//araB//araD//fucO//
CdaR	cysN//caiB//amn//glxK//rsmH//nrfA//mhpF//pfkA//katG//
CecR	fadH//
ChbR	xylA//rutD//fabZ//
ComR	
CpxR	mtlD//citX//uvrB//glmU//napG//caiB//dapB//cysD//purC//umuC//udp//tdcD//pheT//gcvP//glcD//rhaD//lysA//galE//murE//purH//talA//
Cra	nanK//phnO//glcF//dacC//rnpB//glpK//metK//garD//fucK//rffC//cueO//murE//avtA//pgi//trpD//ada//recB//zwf//alaC//gabT//uvrC//nanA//yeaE//paaY//fabB//rtcB//tynA//glpB//sdhB//murF//waaZ//dmsA//nanA//gloA//srkA//murQ//galE//folE//polA//ychF//ldtC//hyaA//nrdD//gadA//gdhA//fucA//treC//gcl//aldA//aceB//dmsB//bglB//icd//rhaD//fadH//pck//gnd//umpH//atoD//
CreB	waaZ//purD//
CsgD	dkgA//dacC//yfdE//malP//guaB//
CsiR	nrdE//astA//pheS//gcvT//
CspA	uvrA//
CueR	dinB//leuB//phr//umuD//glpB//
CusR	dhaK//rhaB//ldtD//napA//
CynR	deoB//gnd//slt//
CysB	murQ//eno//eno//ahpC//accD//tdcE//uxaC//sdhD//hcaC//katE//kbaZ//hycC//allB//sgbU//tyrA//nrfD//patA//
CytR	ilvH//metA//lldD//folA//alaS//ynfH//ruvA//nfsA//uidA//avtA//
DcuR	ppc//garR//hycG//leuD//
DeoR	ynfH//dgcC//glgP//ftnA//fabZ//murI//
DhaR	serA//
DicA	
DinJ-YafQ	hypB//
DnaA	citD//fdhF//tdcG//ygeA//pfkA//entC//
DpiA	udp//torC//moaE//mhpF//ldtD//
DsdC	asnA//rhaA//
EbgR	
EnvR	trpB//idnD//
EnvY	adiA//rimK//
EvgA	purH//rutA//fadJ//entF//dapB//argF//
ExuR	lysA//xylA//hcp//edd//aceF//gpmM//
FabR	ahpC//astE//fadA//
FadR	gpmA//bioB//phnM//fadJ//recD//atoD//yeaG//tnaA//kbaY//poxB//accC//fucO//dhaK//rhaB//purN//ribA//rbsD//ahpC//recD//
FeaR	gnd//malP//
FhlA	pgm//gatD//gnd//malY//glnA//rutC//lsrK//sdhA//
FlhDC	adiA//pgk//bglB//cysE//fucU//sgbH//paaB//dsdA//entF//deoB//cysN//metH//edd//caiA//
FliZ	pgi//pgaD//ccp//alsE//hmp//
FucR	accA//uxaB//codA//yqhD//purA//allE//
Fur	pdeL//allC//puuE//uvrC//paaB//wecE//rutC//lacA//gcl//lsrF//yqjH//yedX//fau//astB//cysI//idnD//rtcA//dmsC//ilvE//rffT//cysM//hycC//bioC//folE//lysU//ugpQ//avtA//idnD//udp//puuE//astC//cynT//ugpQ//yeaG//astB//adiA//fadI//ssuD//murE//cysE//fadI//sufS//patA//gadB//gatD//napA//poxB//citC//nirB//aldA//glpQ//alkB//fau//hcaC//mazG//atoB//cdd//uvrC//pgi//murI//asnA//ada//
GadE	glgA//putA//mhpB//tyrA//nrdA//rffM//nfsB//mraY//torA//hemL//
GadE-RcsB	bioC//avtA//cysC//add//ttdB//
GadW	acnB//astE//dhaM//argD//
GadX	yfdE//yiaK//lldD//aspC//araA//rhaD//fadA//argA//pheT//dkgA//fucI//idnO//hyi//
GalR	cysG//entF//tehB//amn//bglB//deoB//
GalS	ruvB//tdcD//fabZ//dapB//slt//dhaM//
GatR	dgkA//rutE//tpiA//
GcvA	rbsD//uxaC//tauD//
GlcC	guaB//dhaM//narG//
GlpR	idnK//argG//fabZ//ynfF//waaH//paaH//murG//
GlrR	
GntR	gltD//sucA//malS//alaA//dkgA//trpA//fadB//caiD//argE//
GutM	murD//grxA//iscS//
HU	rimK//nanK//gadB//phnH//fadE//cysD//glgC//
HcaR	nirB//aroF//
HdfR	
HigA	purD//
HigB-HigA	rbsD//
HipAB	entA//tdcE//
HipB	aroF//fadA//idnO//
HprR	accC//wecE//fadB//recD//
HyfR	lacA//
HypT	phnL//galM//allB//pdeH//tdcE//galT//allC//
IclR	ldtB//xylB//lsrG//
IdnR	araB//aceA//gdhA//rutC//sgbH//waaH//
IlvY	cysM//
IscR	fadI//gcvH//sgbU//garD//alaS//gpmA//murC//serC//
KdgR	cyoE//uxaC//
KdpE	glk//
LacI	uxuB//garD//psd//
LeuO	ilvG_1//metL//alkB//rtcA//uvrC//fumB//
LexA	gntK//gadB//epd//dhaM//alaS//aceB//malP//fbaA//pdeL//codA//gnd//nadB//pspE//waaH//gabT//lsrK//lpd//rfe//atoA//zwf//mtlD//lysU//glpX//
LldR	purK//recB//
LrhA	
Lrp	katG//fucO//patD//glpK//patA//purD//hycE//chbG//nrdA//fes//bioC//rimK//fadM//polB//tyrB//cysM//idnK//dhaK//aceF//ftsI//cyoE//serA//mhpE//srkA//glcF//wzc//serC//dgkA//glpB//ttdA//wzc//ilvG_1//entB//hyaC//kbaY//sufS//argG//ppiA//cysG//lsrK//
LsrR	hycE//moaE//gabT//moeB//sucC//
LysR	pgm//
MalI	glcD//metK//
MalT	frdD//gntK//nrdA//ftnA//aroA//ilvE//
MarA	fabB//recF//rsmH//lysA//torA//citF//thrS//murE//glpX//mazG//napB//entF//metC//nadA//phr//moaE//glpD//ychF//atoB//ulaG//mhpD//appA//rbsD//argI//
MarR	
MatA	tam//
MazE	fruK//
MazE-MazF	glcD//
McbR	
MelR	citD//allA//
MetJ	ftnA//trpA//puuA//uidA//mazG//malS//uvrC//fumB//glgP//srkA//
MetR	ppiA//uxuB//yfdE//dinB//
MhpR	fucK//alkA//waaY//treC//sgbH//nrdB//
Mlc	ygeA//yqhD//nirD//hcaD//
MlrA	caiD//
MngR	paaJ//pnp//
MntR	aldA//waaH//
ModE	aroG//ahpF//mtlD//mltF//gntK//purN//aroG//entF//ppsA//lpxD//rpiB//pyrD//murF//fadH//purF//tdh//deoC//
MprA	hypB//avtA//astC//
MqsA	accD//glmS//
MraZ	xylB//astA//aroF//hycG//ppiA//speB//lsrF//asnA//xylA//dgkA//
MurR	mngB//bglB//hypB//
Nac	fucU//napA//puuC//pyrC//aroF//uxaB//dmsC//garL//malQ//betB//sdaA//
NadR	hemL//poxB//rtcA//umuC//
NagC	fabZ//uidA//narI//allB//hypB//feaB//phnH//purA//gltD//garD//hycG//hemH//gdhA//carA//ugpQ//idnO//tdcB//wecE//paaK//
NanR	wecE//narH//paaE//wecC//wecE//lysU//
NarL	sbcD//glxR//astB//trpC//allD//sgbU//cyoE//chbF//gcvP//aldA//sdhD//napB//cadA//frdC//nrfA//paaH//entF//ubiA//ssuD//astB//dgkA//cysD//ruvB//trpE//dapB//trpB//glcD//cyoE//aroL//fadI//tktB//arsC//nrdD//ulaE//deoC//tdh//asnA//purB//puuB//ulaF//glcE//
NarP	rutC//deoB//slt//argD//sgbH//ybjG//lhgO//tdh//phoA//atoB//nrfA//fabG//uxaA//dinB//aceE//
NemR	puuD//ldtB//
NhaR	fadD//rutA//uxuA//citC//araB//
NikR	mtlD//
NimR	phnG//
NorR	fbaB//
NrdR	pck//phnI//pgi//gloA//
NsrR	nadB//hemL//mhpA//rffG//cysJ//tehB//talA//ubiC//wecB//cueO//srkA//lpxC//argF//puuD//fadD//phnJ//pgaC//phnI//astC//rbsD//mdh//fdhF//cynS//argC//acnB//paaH//metC//argD//dhaM//uvrC//pgk//aceE//hycG//bioA//sucD//ruvA//nanA//argE//wzc//mpaA//
NtrC	ruvB//argH//argE//nfsA//nanM//dhaK//kbaZ//ilvE//xylB//chbG//trpA//gabD//garK//asnA//ribA//trpA//hyaA//ttdB//nanM//cysK//garL//
OmpR	betB//uvrA//ddlB//sgbH//bioF//oxc//lpd//codA//
OxyR	sucC//malS//malP//fdhF//metA//trpD//purE//garK//garD//allA//hypB//sdhD//folE//fruK//idnD//ilvM//moaC//
PaaX	accC//pyrC//ydcS//citE//bioC//glpX//uxuA//hcaB//cadA//
PdeL	ftsI//
PdhR	napH//fabZ//garL//rbsK//phnI//hcaB//allB//fadD//citC//folA//glcD//galM//murD//tnaA//aroG//trpE//katE//recD//lacZ//yeaE//nanA//bglB//cadA//pykF//dinB//
PepA	hcaC//aroL//
PgrR	fabZ//wecC//
PhoB	glpC//puuA//atoB//yiaK//betA//fdhF//srkA//argD//trpC//narH//glgP//chbG//lacZ//bacA//glk//gatD//waaH//tdcG//garR//adhE//
PhoP	trpB//mngB//nanA//paaA//cynS//adiA//ilvH//uvrA//araD//glpA//hcaE//purD//rnpB//sdhC//cysN//ycjG//gcvP//fadJ//citE//fucU//frdC//metA//moaA//paaC//ndh//hemH//melA//hemL//ada//paaH//bioF//argB//
PrpR	cynT//allC//glpC//fadD//
PspF	patD//
PurR	purC//hypB//fucO//hycB//tdcB//fabH//narG//tadA//entC//ynfG//garR//bioC//murC//wecB//hyaB//serA//torA//ilvA//patA//srkA//napG//paaF//ndh//add//mazG//cysM//
PutA	guaA//mpl//
PuuR	lpd//glcD//uxaC//talA//murG//talA//
QseB	
RbsR	hyaB//hycF//pflB//mnmG//rsmH//umuD//
RcdA	nemA//
RclR	
RcnR	chbF//
RcsAB	entH//moaA//fbaB//
RcsB	aroL//waaZ//allD//nanE//
RcsB-BglJ	puuB//bioC//
RelB	cysH//
RelB-RelE	nemA//
RhaR	
RhaS	aroA//sodB//purA//gloA//
Rob	paaI//edd//ahpF//ssuD//fumB//uxaA//aldA//nanK//sbcC//moeA//lyxK//recD//chbF//phnN//tnaA//araB//phnO//glk//poxB//
RstA	deoB//fumB//metA//
RtcR	argC//hyaA//
RutR	fruK//pgm//iscS//paaY//astC//glpQ//fabG//sucA//murC//rffC//leuC//
SdiA	
SgrR	talA//nanM//xylA//
SlyA	hycF//galM//entF//cysJ//deoD//ppsA//iscS//rbsK//fucA//
SoxR	rhaA//
SoxS	phnP//arsC//frdD//gapA//frdC//nfsA//ppc//galT//dacC//moaD//lysA//wecC//sucB//citE//wzb//tdcB//argF//deoB//nrdE//paaK//leuA//ogt//paaF//torC//uidA//carA//
SrlR	fabB//ppiA//prpB//
StpA	prpE//ldtD//uxuB//
SutR	aceA//pyrD//
TdcA	umuD//pepD//cyoE//hcp//napA//
TdcR	sucD//mtlD//caiD//sodB//lysC//
TorR	mhpF//wecC//bioA//glyA//tnaA//
TreR	napB//sgbU//
TrpR	appA//mngB//purL//grxA//galM//tadA//tyrB//ttdA//alkA//
TtdR	nrfD//wecE//
TyrR	puuB//mdh//prs//gcvH//fadM//nfsA//dmsA//glpD//codA//
UhpA	treC//
UidR	glpX//speA//
UlaR	kbaZ//rffH//atoB//pspE//hemL//
UvrY	fes//lsrF//
