# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ilvC//ilvG_1//
Ada	malQ//hycF//hyaC//aroG//
AdiY	glmU//prs//bioA//gatZ//
AgaR	napH//
AidB	argI//
AlaS	bglB//
AllR	rutA//araD//rutC//hyaB//tktB//gabT//
AllS	tdh//garK//entB//
AlsR	fabZ//dkgB//rffG//
AppY	ilvG_1//pgk//
AraC	argC//rfe//ubiX//entD//entB//ygeA//eda//astD//
ArgP	aceF//aroH//idnO//lysA//entH//leuB//puuA//murC//ssuD//
ArgR	caiC//sufS//dgcN//nfsB//paaZ//purB//dsdA//araA//glgC//prpD//ruvB//grxA//phnI//treC//gpmA//tktB//murQ//wzc//ubiC//fruK//moeB//hmp//recF//
ArsR	srkA//ilvC//
AscG	nadB//cysH//
AsnC	pgk//purD//
AtoC	araD//trpC//atoB//
BCCP	iscS//
BaeR	grxA//murC//
BasR	cueO//mhpA//glcD//
BetI	aceB//frc//galM//
BirA	pgm//citC//moeB//gudD//phnM//
BluR	
BolA	sdhD//lacZ//
BtsR	puuD//
CadC	napG//citG//garL//
CaiF	pspE//argE//asnB//nanE//dhaL//
Cbl	rtcB//bioD//leuD//napB//garK//
CdaR	gcvP//ftnA//mnmG//paaG//truB//cysJ//lldD//fabB//wecC//
CecR	alaC//
ChbR	ftsI//fabH//lysU//
ComR	
CpxR	guaB//aceF//mhpE//napH//rtcA//luxS//metE//allC//dadX//paaE//aceE//melA//uxaA//glpQ//ilvH//nfsA//mhpA//ampC//deoB//paaZ//aroF//
Cra	sucB//mnmG//rnpB//aldA//gudD//prpB//caiC//ilvM//srlD//narH//chbG//gutQ//bioB//mltF//allD//metF//dadA//lpxC//tdcD//metB//amn//asnA//narG//pepD//ahpF//pyrC//fucO//zwf//ribA//paaF//bioC//lldD//yqjH//purH//purL//entD//adiA//yedX//aroF//dgcC//acnA//ynfG//ascB//allE//tdcD//ada//trpA//lysU//mngB//dmsC//mhpE//pncB//dgkA//katE//hycF//ascB//glgX//nadA//mnmG//
CreB	dacC//asnA//
CsgD	purL//pgk//epd//sucA//mraY//
CsiR	phnP//lldD//accA//purD//
CspA	mltF//
CueR	phnG//paaG//chbF//fadE//alkA//
CusR	iscS//gloA//entF//dadA//
CynR	phoA//aceA//glpC//
CysB	allB//frdB//udp//uidA//trpB//dadX//chbG//aroA//rffT//wecC//allB//allD//lysC//speB//adiA//pnp//glpB//
CytR	ilvA//garR//metF//entB//murF//cueO//fadM//glgX//purH//ulaD//
DcuR	uidA//pspE//sodA//mazG//
DeoR	pheT//rffG//fadA//glgA//tauD//pspE//
DhaR	napA//
DicA	
DinJ-YafQ	sgbH//
DnaA	ascB//metL//argI//murF//tdcE//ilvC//
DpiA	tyrA//sgbU//galT//napB//serA//
DsdC	luxS//uvrC//
EbgR	
EnvR	paaF//napH//
EnvY	ung//ruvA//
EvgA	metH//glyA//mhpB//argA//pgaD//dhaK//
ExuR	fabB//carB//eno//garD//nirD//rffC//
FabR	cdd//glpQ//epd//
FadR	puuA//wecB//metE//purL//hypB//bglB//pyrD//puuD//ygeA//garR//nadA//moaA//fucK//paaG//paaC//tdcE//carB//mhpD//wecE//
FeaR	hypB//caiB//
FhlA	polB//nadA//garL//ubiX//astA//cysM//pfkA//gadA//
FlhDC	ynfE//nrdF//relA//entC//ugpQ//paaJ//dhaK//nrdD//uxuA//mnmG//tdcG//putA//xylB//rsmH//
FliZ	frdD//paaA//ppiA//pyrC//lysC//
FucR	dmsB//ppsA//lpxD//gadB//hcaB//sgbU//
Fur	mtlD//kbaY//kbaY//astD//moeA//dgkA//rbsK//ynfG//mpaA//rtcB//hyaC//cysG//tdh//rhaA//paaF//metK//uvrA//ddlB//gnd//malQ//cysC//purD//poxB//glpK//malZ//purK//wecC//ampC//umuC//leuC//ahpC//ttdA//uxuB//araB//nrdA//ndh//ldtB//adiA//feaB//metA//dgcZ//dhaM//sucB//alaA//acnA//ynfG//entE//lpxC//fbaB//phnJ//patD//dapD//hcaD//uvrA//nirB//fabB//nrdE//idnK//fbaB//gadA//rutD//glgC//
GadE	puuA//allD//glgC//ubiC//wzb//yeaE//nfsA//frdA//aroH//dmsA//
GadE-RcsB	glyA//araD//mraY//kbl//ssuE//
GadW	ung//astB//mltF//glcF//
GadX	garD//cysD//paaH//fadH//hycB//deoD//paaI//aspA//gpmM//moaE//ulaF//hcaC//pgk//
GalR	gntK//hcaE//puuA//argA//ubiC//nagB//
GalS	glyA//leuB//idnD//polB//alaA//deoD//
GatR	wecB//gabT//rbsD//
GcvA	tam//alaS//rhaA//
GlcC	hypF//hcaD//paaA//
GlpR	sbcD//dgcZ//napG//lpxC//srkA//epd//ilvE//
GlrR	
GntR	trpD//purB//ftsI//napA//bacA//nanM//hcaC//mdh//glgX//
GutM	caiA//ttdA//bacA//
HU	wzb//cueO//mpaA//accD//sbcD//accA//serC//
HcaR	ascB//ugpQ//
HdfR	
HigA	nrdB//
HigB-HigA	dhaK//
HipAB	paaJ//gatY//
HipB	ampC//polB//gabT//
HprR	dhaK//metF//nfsB//fdhF//
HyfR	ilvI//
HypT	fabZ//paaH//folA//tdcG//gltB//ahpC//yeaE//
IclR	ubiA//uxaC//glpQ//
IdnR	galE//entE//mtlD//gltB//napG//leuC//
IlvY	amn//
IscR	sucC//mhpB//hyi//murF//fabH//argF//polA//cysJ//
KdgR	prs//trpD//
KdpE	rffC//
LacI	moaC//cysI//ilvC//
LeuO	bioF//carA//garL//wecE//nrdF//garR//
LexA	fumB//paaY//phoA//glcE//glgP//ldtC//ldtD//ulaF//hemH//pgpC//citE//mhpC//codA//pheT//fucK//frdD//sgbU//tktB//carA//adhE//pgaC//sgbU//glpQ//
LldR	torC//astE//
LrhA	
Lrp	malZ//adiA//ppiA//epd//malQ//malP//idnK//phnG//nrfC//hcaD//purC//ubiC//glpQ//lacA//glcE//ppc//ilvG_1//lysC//gcvP//cysG//hycB//wecB//codA//icd//rutC//nanK//paaC//pheS//yeaG//uxaA//prs//fadE//sucD//chbG//dapD//gcvH//purA//galM//gcvH//gabT//
LsrR	lacZ//fadE//rutB//tadA//entF//
LysR	atoA//
MalI	gltB//sdhC//
MalT	ftnA//alaS//nanA//rutA//waaH//idnD//
MarA	icd//araD//garR//gapA//alsE//idnK//pheS//gor//ndh//paaF//nemA//ppsA//xylB//ttdB//caiC//nrdA//tam//rpiB//nadA//ynfE//moaC//ssuE//rtcA//umuD//
MarR	
MatA	folA//
MazE	hcaF//
MazE-MazF	hcp//
McbR	
MelR	poxB//lysA//
MetJ	prpB//tam//rffH//puuA//uxuA//rffM//mpaA//folE//napB//fadI//
MetR	dadA//trpC//hycB//uxaC//
MhpR	dacC//citC//yiaK//fadI//adhE//chbG//
Mlc	trpC//entD//metC//ilvH//
MlrA	nirD//
MngR	umuD//glpD//
MntR	aceF//gatD//
ModE	garD//glpD//guaB//luxS//frdD//caiB//ilvA//rhaD//fabZ//ilvH//araA//deoA//trpD//fumC//fabG//caiB//wecC//
MprA	trpA//glcF//pagP//
MqsA	pfkA//idnK//
MraZ	purC//glmU//entA//guaB//phnL//patA//umpH//ynfH//tynA//ruvB//
MurR	umuC//glxK//hypB//
Nac	yeaG//trpE//paaB//nrdE//aroA//glgB//bioB//serC//purD//gabT//gudD//
NadR	ilvC//purK//napH//sdhB//
NagC	cysK//fdhF//bacA//prpC//dacC//uxuB//fabH//waaY//argF//phoA//trpC//galT//ahpC//mhpD//feaB//alaC//rhaD//fabB//allD//
NanR	aroF//sucC//luxS//entE//katG//pgaB//
