#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	ilvG_1//b0063//
Ada-Methylated_pos	b0722//b2068//b3831//b1672//
AlaS-L-alanine_neg	b3617//
AllS-allantoin_pos	b1597//b1421//b0344//
AraC-L-arabinose_neg	b0776//b3751//b1499//b3057//b0864//b1264//b2957//b3451//
AraC-L-arabinose_pos	b0312//b4321//b2674//b0033//b0957//b1683//b2706//b1132//b3071//b0118//
ArcA-Phosphorylated_neg	b0365//b2818//b4310//b1036//b4002//b4139//b3671//b0522//b3544//b0727//b1243//b1669//b0108//b3416//b3749//b2310//b4213//b2729//b0614//b2606//b3540//b0595//b2281//b1615//b0616//b0341//b4671//b2529//b1881//b3480//b1594//b2212//b0240//b3114//b3057//b3869//b2718//b3167//b1136//b0874//b0428//b1482//b0338//b4122//ilvG_2//b0880//b3026//b4006//b1718//b0350//b1846//b3709//b1719//b2204//b4319//b2231//b0192//b3413//b3161//b4317//b4669//b0311//b0953//b1616//b1016//b4392//b1297//b3609//b4320//b3035//b0064//b4309//b3438//b3708//b1857//b2756//b3359//b1321//ilvG_1//b2977//b0109//b3542//b1746//b3610//b0312//b3565//b2802//b0312//b2608//b0571//b1621//b4705//b0109//b2608//b0553//b0340//b4063//b2425//b4671//b0031//b0566//b2283//b4035//b0574//b3095//b3365//b3326//b3750//b1719//b2200//b4663//b1713//b4198//b0125//b2674//b2721//b3702//b2583//b0618//b1016//b3926//b1322//b3092//b3272//b2485//b1244//b0398//
ArcA-Phosphorylated_pos	b2153//b3425//b1814//b1010//b0110//b0819//b3455//b0461//b1531//b3224//b3127//b3170//b2666//b2205//b0781//b0565//b2723//b1901//b3960//b3265//b1683//b2675//b2799//b2107//b2570//b0959//b2373//b3756//b2370//b3926//b3164//b2710//b1385//b0337//b0340//b3859//b0183//b3424//b1210//b0203//b2702//b0039//b4120//b2079//b3429//b1296//b0240//b0178//b0880//b4160//b1516//b0296//b2705//b2482//b2723//b2852//b2147//b1335//
ArgP-L-arginine_neg	b2752//
ArgP-L-arginine_pos	b0953//b4111//b4476//b1671//b2371//b2725//b0812//b2240//b3169//b2617//b0430//b0934//b2904//b1518//b2709//
ArgR-L-arginine_neg	b3213//b2552//b4194//b3116//b2341//b4670//b0572//b0339//b3222//b0602//b2215//b2421//b2707//b1101//b0907//b2589//b0936//b0557//b3404//b4004//b4401//b4037//b4170//b0517//b0430//b1683//b1901//b3572//b1111//b4015//b3927//b2697//b2507//b0205//
ArgR-L-arginine_pos	b3327//b1397//b3207//b2751//b3688//
AtoC-phosphorylated_pos	b4397//b0110//b4100//b0106//
BaeR-Phosphorylated_pos	b2732//b3428//b4036//b0515//b3617//b0583//b0574//b0312//
BirA-bio-5-AMP_neg	b3318//b2980//b2465//b3117//b2369//
CRP-cAMP_neg	b3864//b4010//b2591//b0874//b3532//b3845//b2995//b4502//b0110//b0113//b2528//b1858//b1821//b3912//b0342//b2414//b1658//b3127//b3425//b3530//b0889//b2232//b4094//b4288//b3026//b3530//b0997//b3432//b0860//b2697//b1016//b3227//b1113//b0041//b0190//b4151//b2476//b3319//b4671//b1212//b2727//b4321//b1516//b0889//b2553//b2310//b3934//b3845//b4193//b0826//b1263//b1245//b0337//b0035//b1392//b4323//b1397//b3413//b2307//b0880//b2553//b0181//b2763//b2283//b4381//b4123//b1781//b2407//b3077//b0585//b4450//b0154//b0344//b0039//b0339//b1746//b2201//b3911//b3133//b1245//b0904//b1109//b3161//b0566//b1891//b3207//b3413//b1733//b0430//b2674//b1817//b0345//b2905//b0205//b3509//b1682//b2754//b2482//yegZ//b3567//b3261//b1515//b2711//b3531//b0616//b0036//b1714//b3405//b2671//b1535//b1008//b4670//b3599//b4013//b3242//b1537//b4074//b2425//b3481//b1683//b3752//b2068//b0334//b2373//b1641//b2991//b2609//b0403//b4417//b3806//b0587//b1714//b2309//
