#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yhdZ//lsrK//
AcrR_neg	pdeH//umuD//mraY//ccmB//ecpR//fadA//thiP//entA//hcaB//mltF//hcp//
Ada_neg	argO//rfe//
Ada_pos	hlyE//torA//flgB//glpK//
AdiY_pos	zinT//cysW//gltD//ptsH//yccJ//ycjF//lysR//ftsA//
AgaR_neg	umpH//aceF//torC//patD//yrbL//fliZ//nemR//adiC//caiE//lpxC//sbmC//
AidB_neg	xylF//
AlaS_neg	hipA//
AllR_neg	yfaE//phnP//trpE//astB//glnK//ybhR//dicB//pagP//fabD//
AllS_pos	torR//agaC//mazG//
AlsR_neg	spy//infC//yebG//yiaJ//aceK//gltK//
AppY_pos	ybhG//yccJ//cysD//nanE//fadH//ung//betI//patD//fhuB//phnE_1//
AraC_neg	lolA//sodA//ybbW//rnlB//leuB//gadA//ugpQ//symE//
AraC_pos	hslJ//rpmI//slt//dcuD//sutR//rplU//cynS//trpE//cynS//poxB//
ArgP_neg	sgbH//
ArgP_pos	tisB//marA//xylG//osmB//ugpQ//polA//phoU//borD//nikB//pstA//dinJ//tdcG//hybE//
ArgR_neg	pgi//adiC//yibQ//uof//prpB//csrB//pncB//yjbF//lsrG//yqjA//casB//ydfE//fur//pfkA//ssuE//rhaD//astA//lpd//gspI//rseB//uxuB//paaC//lrp//entF//araF//dsbG//hycC//ulaD//murD//infC//allA//yebG//nrdI//
ArgR_pos	gspJ//psd//frdA//potF//polA//
ArsR_neg	nusA//purA//rffM//
AscG_neg	citF//tauA//narX//rclC//argR//
AsnC_neg	hisJ//aceF//ttdR//
AsnC_pos	rutC//
AtoC_pos	nrdD//ychF//cysA//acrZ//
BaeR_pos	yafP//hydN//rpsO//pncB//mioC//lpxC//narJ//moaC//
BasR_neg	atoA//dhaL//
BasR_pos	feoC//rnlB//gltJ//dsbC//caiA//ttdT//entE//sucD//pspA//pstA//phnE_2//
BetI_neg	purL//inaA//yedX//rnlB//
BirA_neg	acrZ//ddpB//yjbF//gltJ//fabA//
BluR_neg	rpmA//cynT//fepE//dinQ//
BolA_neg	ydeI//lamB//
BolA_pos	ydcS//fucO//
CadC_pos	flgM//ydhU//ssuC//
CaiF_pos	icd//nrfD//ptsG//moeB//tnaB//purL//betT//sufB//nanE//fpr//
Cbl_pos	uvrC//cysN//hybA//yhiM//phoQ//flgE//insK//rhaT//fbaA//
CdaR_pos	hokD//hycF//entE//ccmA//osmC//bglF//ydcS//ftsZ//murC//glpK//
CecR_neg	pyrD//nadB//focB//flhC//fliE//
ChbR_neg	rstB//infB//araJ//artJ//glnK//hlyE//
ChbR_pos	accB//norV//prpB//wzyE//phr//fecI//
ComR_neg	fixX//
