#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fadM//yidL//
AcrR_neg	ulaD//ygiB//hemH//accB//agaR//flhB//rhaR//yccJ//arsB//sufE//mhpF//
Ada_neg	insK//ydiU//
Ada_pos	cysD//metC//ygeH//allS//
AdiY_pos	agaW//yegZ//fadI//glxR//dkgA//fixB//csgB//hns//
AgaR_neg	fliA//glcB//leuA//grxD//rhaA//fabD//fucO//fliT//thiQ//ttdA//yoaC//
AidB_neg	ybjC//
AlaS_neg	purK//
AllR_neg	gabT//fliG//alaS//yjiY//phnK//nemR//emrB//caiD//gor//
AllS_pos	ttdR//amtB//ulaG//
AlsR_neg	ybjC//ssuB//tomB//crl//osmB//dnaG//
AppY_pos	murQ//pstB//narH//fhlA//fruB//edd//gspG//recF//idnR//gspJ//
AraC_neg	accB//tdcG//uvrC//cysC//tam//metA//glpK//patD//
AraC_pos	ttdR//fbaA//cysA//dicC//napA//yccA//fhuD//pgk//cheW//gspO//
ArgP_neg	agaD//
ArgP_pos	ydfH//katG//ldtB//exbB//hypB//ygeA//mgtA//ulaG//idnK//zwf//fabD//yeiL//folE//
ArgR_neg	kbaY//lhgO//aceE//tauB//dgcZ//murF//araB//paaX//mhpF//insD//tyrB//fadH//cydB//aceA//fliF//copA//rpiR//rclA//omrA//focA//kbaZ//modC//chbB//ariR//moaA//aceF//ftnA//nagB//hycH//recC//yrbL//molR_1//betB//
ArgR_pos	nuoF//yjbG//nagA//paaH//tbpA//
ArsR_neg	ddpF//yegR//hcaC//
AscG_neg	nikA//purL//dmsD//fadA//dmsC//
AsnC_neg	fucU//sroA//slyB//
AsnC_pos	ftsK//
AtoC_pos	fepG//ycjY//mdtA//bglF//
BaeR_pos	fliF//dinD//aroL//phnJ//pstC//fixX//waaY//pykF//
BasR_neg	gadB//purK//
BasR_pos	iscA//uvrD//yjbH//ccmA//caiC//metK//sdhA//yciW//bluF//flgL//thiQ//
BetI_neg	lpxD//patA//aidB//kdpB//
BirA_neg	rutB//nuoH//osmY//entD//rhaR//
BluR_neg	nuoJ//ftnA//nemA//tcyP//
BolA_neg	rffC//appA//
BolA_pos	cysN//nagB//
CadC_pos	ftsQ//ygbA//zinT//
CaiF_pos	csgF//ilvC//ada//emrB//yfaE//rhaT//srlE//hybC//ydiU//uxaB//
Cbl_pos	ribA//yncE//sgrS//mpl//infB//entE//dinG//yjjZ//potI//
CdaR_pos	rutF//iraM//ybbW//alsB//trpL//moaE//xapA//sdhC//cysI//lsrC//
CecR_neg	mprA//cpxR//glpX//cysW//udp//
ChbR_neg	murE//umuC//hypC//lsrR//pagP//cadB//
ChbR_pos	ybfN//fepA//fhuD//malF//aldA//paaC//
ComR_neg	fiu//
CpxR_neg	ccmA//leuB//mdtA//ulaD//relE//grxA//phnF//cadA//gabP//hybD//kdpF//fliE//nfsB//ydhT//araE//lsrB//rhaS//napC//feoC//gcl//gcvP//cytR//nuoB//malF//
