#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ynfE//yfaE//
AcrR_neg	ubiC//gltF//puuB//pepA//betA//uidR//cyoC//yecR//fepC//cyoA//flhE//
Ada_neg	aceB//nfsB//
Ada_pos	ydfX//mnmG//pykF//ulaC//
AdiY_pos	trpD//paaJ//fadL//gspD//iscS//ycjG//safA//lysO//
AgaR_neg	ymgA//lexA//ecnB//ulaE//nimR//fliC//iscR//nadB//cspI//yfdV//flhE//
AidB_neg	rcnA//
AlaS_neg	rfe//
AllR_neg	kdpC//tsx//citE//gltI//norV//thiP//dmsD//fdhF//yiaO//
AllS_pos	sufB//rffM//edd//
AlsR_neg	glnL//flgL//glnK//argA//wcaB//nuoC//
AppY_pos	lpd//ubiX//ugpQ//oxyR//phnL//gcvP//ybbY//rffG//ydiU//gutM//
AraC_neg	phoP//allA//chbR//flhC//torR//yoaC//hybC//cysD//
AraC_pos	lamB//fliR//uhpT//nrfF//ampC//ynfF//nupG//glgP//guaA//yegH//
ArgP_neg	tehB//
ArgP_pos	hyaA//gspF//alsA//gltL//agaA//metK//srlA//araG//garP//lacZ//seqA//rcsA//lamB//
ArgR_neg	tsr//grxD//galK//ybhS//dgcC//ydcV//citG//caiE//nuoG//pspB//hmp//betB//tyrP//chbA//pstB//murQ//gfcA//napC//modB//artM//argA//ydfW//rimK//tdcA//csgG//mpaA//evgS//csiD//fepG//caiC//tktB//fliF//rpiB//
ArgR_pos	hipB//nimR//dcuB//pflB//ogt//
ArsR_neg	fucP//lrp//hdeD//
AscG_neg	ftsK//ddpX//tfaQ//ldtD//napC//
AsnC_neg	sbcD//acrR//casD//
AsnC_pos	znuB//
AtoC_pos	ppsA//uxaC//murD//nuoB//
BaeR_pos	arsC//tehB//paaY//hyfG//malI//sucA//rhaS//ybaS//
BasR_neg	rclC//fhuC//
BasR_pos	ygiZ//hycI//insD//flgD//ydiU//glmU//creB//glgA//glk//phnC//gltL//
BetI_neg	ompC//gntU//glnH//hns//
BirA_neg	ttdA//flgL//ecpR//ribA//glcC//
BluR_neg	ygbA//bacA//polA//lpxA//
BolA_neg	mgrR//hypD//
BolA_pos	higA//gutQ//
CadC_pos	cas2//cheW//rsmH//
CaiF_pos	trpA//ssuC//nrdA//rpoD//araF//psiF//mhpE//wecB//ccmA//focA//
Cbl_pos	nirC//hyfE//rstA//malG//citD//gltD//murQ//nanS//idnK//
CdaR_pos	hyi//lsrR//gadA//copA//ynbB//glnB//ymiA//lacA//malF//fabG//
CecR_neg	yhdW//hyaE//uvrD//nirD//cdd//
ChbR_neg	caiB//hybA//argP//hyi//mqsA//yefM//
ChbR_pos	rffC//phnE_2//gspC//tisB//deoA//gspJ//
ComR_neg	gntX//
CpxR_neg	argD//napF//ftsK//bamE//ogt//srlD//gutM//gfcA//ydeI//yiaN//glcG//hisQ//yhcH//yefM//melB//micF//bioC//hycE//galE//rdoA//phnP//yecT//fliJ//dgcC//
CpxR_pos	ttdR//insK//fiu//glmY//yncE//hycB//fliK//rhaR//hlyE//emrK//nimR//glpK//mqsA//yecT//glnK//exuR//arsC//nuoN//truB//malG//bioB//sgbU//arsB//tauD//idnK//yjhC//yhjA//pflB//aspA//rcsA//glnA//phoP//murD//sufC//kbaY//hyaC//ydfH//galT//rutD//pyrD//lsrK//csrB//deoD//fruB//polB//fur//
Cra_neg	lsrR//gntT//alsB//araH//soxR//fdhF//nfsB//lysR//ftsZ//nirB//cpxA//appC//sgbH//yebG//flgK//infB//ybiT//csrB//nimT//pgm//dmsD//ddpC//thiP//mzrA//yecR//ycjF//dsdC//mngB//hcaR//tehB//gspK//purM//katE//metY//tbpA//mpaA//hmp//cheW//lon//ydfH//fruA//dsrA//gltI//hyfJ//ccmD//glpB//recD//tolC//hipA//waaZ//lhgO//htpG//acrA//mngB//mscM//epd//gatA//tonB//yagK//
Cra_pos	rnlA//wza//yafP//xapA//chbF//metQ//rseA//higB//oxc//motB//treR//adhE//yidL//ldtB//chiP//yecT//gyrA//sufD//argI//bioF//araD//hybF//fliA//
CreB_neg	ugpA//mqsR//recN//
CreB_pos	galT//ynbB//
CsgD_neg	frdA//hyaD//yafQ//ydhY//sufE//glpF//ahpC//gudP//mtlA//rdoA//allC//napG//paaK//ftnB//acrA//
CsgD_pos	mzrA//yciE//yoaG//idnD//hycG//yciG//gspC//cysC//artJ//hyaF//cysB//prpB//fliC//
CsiR_neg	csiD//araG//cadC//hyfH//fhuB//
CspA_pos	hybF//rhaB//
CueR_neg	ttdR//nuoL//dacC//murG//fdnH//
CueR_pos	allC//gadX//
CusR_pos	glpT//chiP//nac//patA//glnD//ybhG//mhpE//hyfJ//wzb//trpB//pitB//mraZ//
CynR_neg	nrdF//
CynR_pos	napG//codB//hyaD//
CysB_neg	acnA//puuB//rclB//cueO//aceF//ptrA//creD//
CysB_pos	patD//ynfH//fixX//yjjZ//hyaC//cynX//sgrR//trxC//ccmC//citD//ssuA//mntS//hns//fhuA//ydcS//flhE//malI//uxaA//ydbD//nemA//acrA//umuC//norV//ppiA//yciX//
CytR_neg	hcaF//cysJ//cusB//ydiU//mgtL//ldtB//nuoM//nemR//agaA//ydcV//hycG//napD//rpiR//
Dan_pos	rclB//cysH//rpmI//lsrF//
DcuR_pos	rutC//marA//cspE//rffG//sfsB//fliD//ybbW//phoB//ebgA//
DeoR_neg	pdeR//dinD//pstB//lolA//copA//pitB//
DhaR_neg	alaS//
DhaR_pos	astD//caiD//pgpC//
DicA_neg	tauA//ftsK//mlrA//ptrA//tolC//acnA//astA//aceB//
DinJ-YafQ_neg	ygbA//nuoA//acrD//
DnaA_neg	nuoA//pitB//rutB//tyrR//ddpD//alsB//mglB//napG//chiP//fdhF//yneM//
DnaA_pos	ddpA//sucB//symE//nrfD//atoB//lysR//yhjA//
DpiA_neg	hisJ//
DpiA_pos	rclC//pqiB//hybF//ymgA//rpoH//spy//ulaD//recF//frdD//exuR//
DsdC_neg	narL//
DsdC_pos	atoB//relE//
EbgR_neg	glcG//hycF//
EnvR_neg	gadY//focB//
EnvY_pos	betI//fixB//
EvgA_pos	lsrA//fixB//fliC//mhpE//fliZ//malT//fecB//garR//tauD//erpA//mtlA//cas1//hyaC//moaD//hybO//fepA//betB//purM//nrdB//
ExuR_neg	ebgC//yoeB//dhaK//ynfK//cspI//glcB//rseB//cadC//nrdB//
FabR_neg	ybfE//yhdW//
FadR_neg	folE//nfsA//sodA//lacA//agaW//paaE//ydbD//kdpC//gadX//ydfN//sbcC//
FadR_pos	malQ//tam//cysI//ilvC//rclB//csgC//arsC//wzxE//mtlA//atoE//purE//dctR//
FeaR_pos	dapB//argE//
FhlA_pos	wrbA//fpr//garK//tsgA//caiF//umpH//casD//folE//yhhY//uvrY//flgJ//dmsB//gadY//araE//purD//rclC//trpD//metJ//ybiT//murF//rsmH//nirD//yoaC//ydhU//wcaA//nagE//acnA//uxaC//nuoB//phnN//
FlhDC_neg	argH//rclB//chbR//wrbA//
FlhDC_pos	serA//rybA//gspO//uxaC//cusF//gltI//cdd//aroL//yhdZ//lysC//pdeR//yeaR//potI//ftsL//metR//caiE//rpoH//nanK//dsdA//nfuA//paaI//sufC//sgbE//cdaR//fecA//bioF//ydhT//moaB//mraZ//hflD//tyrP//fepG//amtB//carB//uxaA//astA//mhpC//glnA//yhjA//gspK//rstA//aroF//nrfA//dinJ//alaC//glnG//ldtB//gspJ//aspC//ilvY//nemR//pepA//fliR//sufD//srlE//sgbU//fliN//artI//hlyE//yciE//bdcA//atoB//nfsA//csgE//yrbL//tdcE//ybbY//fdhF//fliC//cusC//nikA//xapA//sroD//yciX//alaC//tauD//leuC//yafN//
FliZ_neg	rcsA//ccmF//nagB//bioB//argA//intQ//sufD//fldB//lon//ygeA//codA//manY//crp//csiD//ydeO//yeaH//malY//atoA//dhaM//glpF//rpmI//
FucR_pos	torA//entH//entA//seqA//adhE//speA//borD//
Fur_neg	iscR//ppiA//casB//ssuA//fadL//hns//fhlA//manZ//gspM//emrB//zraP//dinB//wecB//ilvY//allS//ftsA//lsrB//wecC//feaB//pstA//ycjY//fucA//yhcH//hyfI//rdoA//modB//rffC//rseC//psd//napH//fhuC//fliM//argE//katE//yiaJ//tyrR//sufS//ygeA//fadB//gabD//bdcA//betT//garR//alaS//nagB//yqjI//talA//lacA//insD//malK//rffC//fdnI//pdeL//uvrB//nuoL//ybfN//yciX//nanT//ddpF//sufS//srlA//zraR//gcvP//purA//idnO//tyrB//dinD//cysB//ung//purC//pyrC//gdhA//ldtC//caiE//nhaA//phoE//alsC//ygdB//ogt//serA//yccT//hcaB//glpQ//nuoK//emrK//glcB//mlrA//nanS//hybB//ecpR//glnK//metA//argP//flhC//sroC//narG//deoC//yjbF//fadI//uxaB//nac//yegR//gatD//hyfC//glnD//insK//umuD//ftsL//ttdR//deoC//lpxD//cysB//nrdB//nikA//glnH//
Fur_pos	rpsU//glgA//lsrK//yeiB//csgG//flhB//rutE//ycgR//hybA//dcuR//tauA//prpR//citC//fes//fiu//dapD//rclB//yfdE//csgA//cdaR//murC//
GadE-RcsB_pos	yeaG//fdnH//glgB//ydeP//cbl//glgC//ygiB//gcvA//pgpC//
GadE_pos	appA//yeaG//fdnI//prpR//agaC//araB//glnK//argR//melR//ybhS//metR//gloA//casB//phnM//ygbA//trpR//melA//dmsC//rhaT//fldB//dicC//tsr//fepA//ssb//ygbA//mpaA//argG//tsgA//dsbA//
GadW_neg	ugpE//sdhD//oppC//aspC//alsC//cysW//napC//ssrS//metN//glgC//csgE//
GadW_pos	mazE//ybiT//aceA//rffT//norR//tomB//chbA//glcA//fucR//yafP//galS//
GadX_neg	alsE//ompF//acrB//accB//marB//metE//
GadX_pos	sucD//pgaA//ptsG//baeS//csgA//entS//gntU//fbaA//glxK//recF//chbG//dkgA//ung//pyrD//yneM//omrB//lrhA//cysH//serA//fes//pqiA//ybfN//nrfB//nuoA//pepD//yafQ//hycC//
GalR_neg	yiaN//lysA//pflB//tehA//gabD//dsrA//gatC//evgA//fliP//argD//
GalR_pos	isrC//araH//ryhB//copA//
GalS_neg	hycE//recA//pepD//yfdX//galM//yqhG//glyA//tauD//sgbU//acrZ//
GalS_pos	artP//rclC//frdD//pgaC//
GatR_neg	qseB//glgA//srlR//uspD//yoaC//yfdV//
GcvA_neg	aceB//rybA//mepH//ogt//
GcvA_pos	pdeL//prpE//rob//ugpQ//
GlcC_neg	lpxD//
GlcC_pos	glyA//gabT//aroM//marA//ttdT//citX//
GlpR_neg	rcnB//ahpC//csrC//hyfI//gntX//entC//dacC//glgB//aslB//
GlrR_pos	mntH//yjbE//tehB//lysO//rseC//
GntR_neg	dnaN//rcnA//sufE//nmpC//citF//sdhB//yiaK//yhdZ//yncE//gabD//emrA//hemL//
GutM_pos	ompC//ymjD//mdtF//gutQ//flhD//hypA//patD//
GutR_neg	glcA//nrfE//htpG//narJ//nanT//hdeD//tadA//
HU_neg	yjhC//lsrR//flgH//accB//sufC//dtpA//dsbA//puuA//
HU_pos	hypB//
HcaR_neg	creB//
HcaR_pos	nfsB//glgA//cytR//kdpA//bglB//
HdfR_neg	phnE_2//yiaM//
HdfR_pos	torA//wzyE//cynR//
HigA_neg	cadC//ftsA//
HigB-HigA_neg	crr//dcuD//
HipAB_neg	dinQ//yedX//atoA//dtpA//mgrR//
HipB_neg	fadL//slp//tdcA//ulaA//yjiY//hybD//
HyfR_pos	ymiA//yrbL//glyA//hycA//carA//gadC//rhaA//cysN//malG//csiD//acnB//ybbW//
HypT_neg	murQ//yqhD//rcsA//arsR//manX//
HypT_pos	rutE//pheM//paaA//uxaA//dcuA//lsrK//gcvH//tyrB//
IclR_neg	paaG//icd//carB//dapD//
IdnR_neg	pyrC//rhaR//
IdnR_pos	rclA//phnK//ynbD//rarA//alkB//
IlvY_neg	flhD//
IlvY_pos	yeaE//
IscR_neg	narX//rbsD//napD//argH//gpmA//safA//treB//frdD//fruA//glgB//rnlA//cyoB//ycgR//mcbA//nrfA//flhC//nhaA//ybjN//kdpF//hyaA//ybdZ//
