#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hybB//gnd//
AcrR_neg	cysH//dsbG//ascF//gspF//lacZ//pagP//potH//gspH//yqhG//fabG//fucA//
Ada_neg	ycgZ//gspG//
Ada_pos	argF//ugpC//prpB//araC//
AdiY_pos	iscR//nuoM//sgbE//rseA//mhpB//ykgM//gatA//oppC//
AgaR_neg	ydeM//trpR//hybO//gltF//yciE//ydhW//nuoA//pqiA//yfdX//fliD//dctR//
AidB_neg	yeaG//
AlaS_neg	dhaR//
AllR_neg	fumC//dcuB//nirD//deoC//argG//fadE//soxR//baeS//glnD//
AllS_pos	paaE//nemR//pqiA//
AlsR_neg	cusS//lrhA//ompN//nuoH//marR//yhhY//
AppY_pos	yidQ//hyfR//purF//puuD//zinT//sbmA//fes//gudD//rplT//rclA//
AraC_neg	murE//cysK//prpC//hycA//patA//ampC//leuO//hcaD//
AraC_pos	rdoA//pnuC//agaD//ftsI//dmsA//chbB//sucC//tsgA//tdcA//cynS//
ArgP_neg	lsrA//
ArgP_pos	lhgO//emrB//hyfH//guaB//amn//nirD//rcnA//symE//yjhC//dhaR//ppiD//rbsD//puuC//
ArgR_neg	gnd//cynS//pyrC//hydN//tsx//yhjA//hdeD//iscA//hycF//fecB//purM//purF//hyfC//fhuE//puuD//hokD//iscA//rpsU//hyaA//argA//aceF//rbsR//gadA//asnC//hcaC//isrC//gspD//dgkA//garK//ydcU//astC//yegH//ugpC//
ArgR_pos	ftnB//ybhL//mdtC//nuoL//gatB//
ArsR_neg	iscR//glnP//caiE//
AscG_neg	mepH//dsbG//mraZ//cas1//malP//
AsnC_neg	citD//mlrA//rstB//
AsnC_pos	efeU_2//
AtoC_pos	tdcG//sgbU//glcE//napF//
BaeR_pos	xylA//fucP//ydhU//fecI//trpE//nikE//hypB//mntH//
BasR_neg	cspI//gfcA//
BasR_pos	flhD//wcaB//iclR//spy//xylR//ssuB//speB//malY//erpA//sgrS//inaA//
BetI_neg	idnD//focA//phnJ//ynjI//
BirA_neg	aldA//ybiT//fliF//fhuC//pspE//
BluR_neg	yiaO//cysU//rarA//entH//
BolA_neg	osmY//citD//
BolA_pos	tcyP//allD//
CadC_pos	hcp//putP//fepD//
CaiF_pos	hyfA//tdcC//nanA//ymgC//ppiA//rffC//nuoN//nuoF//dsrA//paaB//
Cbl_pos	fimE//araD//pgi//mdh//murQ//cysA//galR//ugpB//lpd//
CdaR_pos	metQ//deoA//molR_1//nrfB//ppc//atoA//omrB//gdhA//dcuA//oxyR//
CecR_neg	mhpT//ptsG//lhgO//fdnG//prpD//
ChbR_neg	araF//aroL//fepG//gatA//cysA//sulA//
ChbR_pos	btuB//mscM//ymgC//talA//yeiL//atoE//
ComR_neg	gabD//
CpxR_neg	purM//accB//nuoB//hybO//flgI//fadD//mhpE//emrY//lpxD//tyrB//hycF//hha//garD//erpA//metE//glpC//csgG//htpG//grcA//ubiC//dpiA//wzyE//gspH//malK//
CpxR_pos	aceE//spy//mdtB//ygeH//ftsL//mraY//hcaF//cecR//puuR//nrfB//gadF//uxuA//zwf//zinT//asr//ybbW//csrC//mntH//ydbD//rseB//ynbC//fadA//acnA//gyrA//manZ//fucR//nfo//hyfF//ahpF//phnG//hcaR//cvpA//pspF//ydbK//uxuA//iscS//fabH//hypB//ttdB//idnR//alkB//purN//cra//xylH//ybaT//flhC//
Cra_neg	purN//insD//gltD//moaD//thrS//csgF//dgcN//ygiZ//cysU//fdnH//metJ//fadR//poxB//glk//gntK//ptrA//fau//phnH//trpE//dinI//puuA//ycdZ//yciF//ydhT//betA//frdD//mipA//efeU_1//oppD//narJ//ydeO//cbl//patD//rutC//ycgR//ompT//mglC//lpxA//cysJ//melB//hybC//rbsD//yjbE//cbl//flgE//mlrA//ndh//pgpC//pdhR//casE//acrR//ybfN//flhE//tauD//oppA//fliD//motA//citF//efeU_1//
Cra_pos	uidB//ulaC//napH//ybdN//rclA//dnaA//napC//mglA//paaB//crr//flgK//aroL//ndh//pstS//lsrD//prs//ydiV//wrbA//rtcB//metF//yciW//tolC//pflB//
CreB_neg	glgA//asnB//rutC//
CreB_pos	recD//ribA//
CsgD_neg	poxB//nuoH//lon//fadM//rpmA//argR//srlD//gudX//argF//mdtB//nfsB//cas2//rpsU//fabB//rutF//
CsgD_pos	amn//ymgA//hyfH//rcnA//yfdV//wecE//nuoF//gltF//adiC//mdtF//prs//csgC//hyaC//
CsiR_neg	argO//glpQ//uidA//napG//ftsA//
CspA_pos	rffC//entH//
CueR_neg	sgbH//nmpC//lpd//sdhB//cydA//
CueR_pos	prpE//gadW//
CusR_pos	tauC//sbcD//fliL//srlR//ygiA//pspC//gltB//iclR//metY//phnP//patD//fucO//
CynR_neg	tcyJ//
CynR_pos	qseB//fruB//argP//
CysB_neg	astD//osmY//phnC//yegH//slt//caiE//cirA//
CysB_pos	glpX//gabT//nuoF//fdnI//cbl//yccA//nfsB//dhaL//cadA//nikB//hybG//puuE//gadF//lyxK//appX//arsC//glpF//relA//phoB//citE//glnH//slyB//ecnB//btuB//gabT//
CytR_neg	hyfI//guaA//ybhR//thrS//moaC//nrdG//mazE//cspI//phnK//flgC//cyoC//znuB//ptsG//
Dan_pos	focA//cbl//grcA//ldtD//
DcuR_pos	amtB//ulaG//hmp//creD//glmU//glyA//hycF//cra//qseC//
DeoR_neg	rutB//efeU_1//fadR//dpiA//metI//nirC//
DhaR_neg	ydiV//
DhaR_pos	envC//mtlA//nhaA//
DicA_neg	yccT//phoP//fliN//acrA//ydcU//allC//fadM//ynfE//
DinJ-YafQ_neg	feaR//rcsA//malX//
DnaA_neg	prpC//gatB//recD//grxA//fecC//moaD//xylH//rutR//iscU//rsmH//yaiW//
DnaA_pos	yccJ//oxyR//araJ//hdeB//feaR//fepG//caiC//
DpiA_neg	wecE//
DpiA_pos	cysJ//fadA//mdh//sgbU//moeA//phnF//fecR//entE//ompN//paaC//
DsdC_neg	torC//
DsdC_pos	cyoB//yeaR//
EbgR_neg	nrdB//treR//
EnvR_neg	fabG//fimE//
EnvY_pos	bluF//napA//
EvgA_pos	argO//ydcS//degP//rarA//exuT//mipA//dacC//yiaL//patA//nimT//fhuC//ldtD//ldtC//pgaB//csgC//yjbF//csrC//yfbR//asnA//
ExuR_neg	ydhY//gspE//ldtC//hlyE//murF//lysP//rffM//mtlA//agaC//
FabR_neg	codB//ccmG//
FadR_neg	ygdB//glpB//tomB//glnD//nikA//cysE//cadB//ada//nirD//psiF//creC//
FadR_pos	mdtB//yrbL//phoA//puuA//mcbA//srlE//zraR//ycdZ//ebgC//nuoA//wzzE//edd//
FeaR_pos	purA//trpA//
FhlA_pos	glpC//rseB//allD//fpr//glnB//zntA//uidR//asnA//gltL//dinB//bioF//prpE//allD//fruB//oxc//tauA//rsmH//rsmH//yjbH//stpA//flhA//guaA//aidB//glcE//ydhU//wecE//phnO//zraP//umuD//hyfB//
FlhDC_neg	fbaA//bglG//nrdB//caiF//
FlhDC_pos	fldB//citX//tdcB//wzyE//glgP//exuR//sgbH//nikA//flgG//dapB//yqaE//zntA//yiaL//fldB//tadA//ybiT//melA//patD//hybF//rffT//add//yiiS//fepA//artP//uidA//yciX//efeU_1//rprA//hyfR//pgaA//lpd//narJ//nfsA//srlB//accD//mdh//gntU//acnA//acnB//aceE//phnL//gadC//insD//nhaA//yhbS//fliN//cyoD//fau//yidQ//flgD//dcuR//umpH//alaC//betA//araD//narK//ccmH//malS//nuoA//mioC//fbaA//cpxP//sbmC//mngB//pdeR//pyrC//mdtE//ptrA//ybjC//tyrR//gcvB//ybaT//nuoE//rclA//puuD//ccmG//nanA//mltF//
FliZ_neg	yefM//omrA//nagA//zraP//ppc//pspB//iraP//ompN//erpA//lgoR//yefM//nuoJ//uvrY//ycjF//fhuB//mraZ//ppiA//bglB//yiiS//zraR//caiA//
FucR_pos	cydA//udp//putP//napG//rbfA//sulA//gudP//
Fur_neg	insD//ydcV//malT//nrfD//murP//pgaA//cueO//iraM//bluF//uvrB//xapB//yaiA//mdtC//atoD//ygeH//ycjF//hcaD//sdhA//pyrC//yafP//phoB//nlpA//dinD//hcaC//molR_1//caiF//yciW//fliJ//pnp//cysM//rstA//glxK//paaA//ycdZ//ubiX//flgE//mscM//pqiB//rseB//recX//yciG//dapB//yecR//ygiC//cynT//dsbG//purN//udp//acnB//acrB//kdpF//murD//nfuA//ldtD//ydbD//sgbH//murF//aroF//yeaH//glcA//ynbB//ndh//hyfG//hisQ//ppc//rffT//dcuD//ssuC//speB//yccA//symE//dicC//casC//cysG//torA//thrS//phnD//guaB//yqaE//yiaM//ulaD//psiE//lrhA//sfsB//betB//rcnA//nuoG//casC//bglJ//kdpA//fimE//nanA//agaS//iscU//hemL//yidL//cra//ldtC//tdcD//rffT//alkA//nadB//fliN//mdtA//phnH//cusB//nanE//hcaD//yhbS//lsrG//deoA//astE//ruvB//yebG//mqsA//
Fur_pos	pepA//infB//nrdG//csgG//galM//tsx//uxuB//ddpA//fliJ//dgcC//rarA//ybiT//yneM//glxR//guaA//ybhR//araA//mntS//icd//glcC//trxC//
GadE-RcsB_pos	csgD//nfsB//glcA//lsrA//lsrC//allE//yciF//rffM//rutG//
GadE_pos	caiF//evgA//rutD//galS//putP//nrfD//fucK//lrhA//ilvC//ptsI//gspG//agaW//metR//narI//yaiW//chbC//ulaB//pheM//lsrR//adiC//potG//infB//cas1//ycgZ//yidL//sgrR//sgrR//argA//mioC//
GadW_neg	murI//polB//araA//oppC//purC//rpiR//norR//cysU//yedX//rbsA//mraY//
GadW_pos	ygbA//melR//hyi//sucB//oppF//cynR//cynS//rseC//trpA//mlc//allD//
GadX_neg	nanC//agaI//tyrB//flgA//ydbD//creA//
GadX_pos	flhB//gnd//ygiB//yhdZ//yqhD//pykF//rpmA//agaV//umuC//phnL//hdeB//yegR//fpr//moeB//seqA//yiiS//degP//cheA//yeaH//trxC//gfcA//lsrR//focA//uvrA//mngA//purM//yefM//
GalR_neg	tnaB//tdcB//rclB//tsr//pck//frdA//fumB//sbcC//glgX//acrR//
GalR_pos	glmS//paaY//prpE//gltB//
GalS_neg	gatC//yhbT//murG//pykF//phoB//nanK//aspC//dicC//mtlA//uof//
GalS_pos	pdeH//agaI//yafQ//fabB//
GatR_neg	nrdF//pgk//prpE//fucA//deoB//glgB//
GcvA_neg	tyrA//tyrP//flhD//iscA//
GcvA_pos	nanM//gatY//paaJ//pspD//
GlcC_neg	evgS//
GlcC_pos	insD//ynfK//potH//flgJ//malX//malM//
GlpR_neg	melA//cspE//fliQ//napG//rimP//fhuE//infC//pgaB//flgH//
GlrR_pos	fumC//gpmM//glnQ//gyrA//ldtD//
GntR_neg	setA//glpT//zntA//dgkA//fecR//waaY//yfiB//rpoH//tsx//wecE//gatY//fecA//
GutM_pos	hcp//ppdC//adiA//phoH//aidB//eda//grxA//
GutR_neg	betT//rtcB//fucU//wecE//exbB//nagB//leuB//
HU_neg	pqiB//acrA//purL//pfkA//gabD//fdnI//flhA//garK//
HU_pos	lpd//
HcaR_neg	ydhU//
HcaR_pos	puuA//nhaR//fdnI//ftnA//gadE//
HdfR_neg	cysG//rbsB//
HdfR_pos	dsdC//csgD//rcnA//
HigA_neg	napC//sucC//
HigB-HigA_neg	fliE//csgD//
