#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	malK//thiQ//
AcrR_neg	gntT//hypB//fliJ//glpB//wecE//tcyJ//manZ//appC//ibaG//tauA//casE//
Ada_neg	fimE//borD//
Ada_pos	moeA//fhuA//alaS//dcuS//
AdiY_pos	idnR//dgcN//ddpX//dcuR//gutQ//lpxA//nuoA//mhpA//
AgaR_neg	fabI//pstC//puuP//speA//yrbL//paaB//flhA//mazF//yjbF//nohA//glpX//
AidB_neg	adiC//
AlaS_neg	mcbA//
AllR_neg	pqiB//hyaE//mpl//araC//gatY//sdhB//murI//nrdA//rbfA//
AllS_pos	pstB//sroA//rimK//
AlsR_neg	rplU//glpT//hybG//thiQ//pyrD//narI//
AppY_pos	ssuE//moaE//frdB//rclB//yafN//leuB//ttdR//pgaD//fepA//chbC//
AraC_neg	hyfJ//speB//osmB//mazF//flgG//narK//hcaD//gntK//
AraC_pos	fixC//arsR//prs//aroH//atoD//glk//tomB//nuoB//allC//ahpF//
ArgP_neg	gdhA//
ArgP_pos	rbsB//xapA//dmsA//gltK//malQ//dmsC//sroA//purB//araF//puuB//slyB//ccmD//bioD//
ArgR_neg	yjbG//pyrD//hypA//hcaR//nuoF//prs//mprA//srlB//idnD//pspF//kdpB//astB//eda//ecpR//phnJ//argA//hycH//phnC//cdd//slp//baeR//mtlD//mraY//hycG//ompW//ssuA//oxyS//tsgA//nirC//galK//uvrC//yhiD//fixC//
ArgR_pos	ddpF//araA//yhjX//rutG//nrfA//
ArsR_neg	fliF//tbpA//adiC//
AscG_neg	hisJ//psiF//hycI//gltF//symE//
AsnC_neg	phnM//rstA//kbp//
AsnC_pos	galR//
AtoC_pos	murD//fldB//hokE//fau//
BaeR_pos	moeB//gcl//agaA//cecR//araE//cyoB//caiC//sulA//
BasR_neg	glnL//napA//
BasR_pos	ccmG//yedX//glcB//casE//ogt//yjhC//xylF//rutA//ryhB//garR//rstA//
BetI_neg	puuR//nuoN//poxB//hycH//
BirA_neg	umuD//safA//yegH//focB//ddlB//
BluR_neg	psd//fdnG//ddpX//nuoE//
BolA_neg	sulA//lsrK//
BolA_pos	gltD//aroH//
CadC_pos	hypD//leuD//lyxK//
CaiF_pos	rutE//rseA//artP//lsrC//puuC//fhuC//gspO//nanT//gudX//yjjQ//
Cbl_pos	purH//metQ//sdhA//iscR//mnmG//hyaD//ydeN//omrB//fabB//
CdaR_pos	oxyR//yfdE//gatC//fadA//appA//torR//ryhB//murI//ybhG//ulaB//
CecR_neg	gor//add//glnQ//xylG//trxC//
