#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rutB//araC//
AcrR_neg	caiA//ydhV//malG//wzc//cpxA//hyfC//rpsO//torR//ydjM//nikE//dpiA//
Ada_neg	putA//sgbU//
Ada_pos	recA//fdnG//pheS//skp//
AdiY_pos	chiP//yebG//hdeA//exbD//psiF//ddlB//asnA//phoP//
AgaR_neg	hokE//mgtA//rtcB//fliP//hypB//cynT//pspG//fliJ//aceA//fepB//nrdD//
AidB_neg	galP//
AlaS_neg	astE//
AllR_neg	lsrR//moeB//ompC//astE//yneM//paaD//ahpF//hcaE//sbcC//
AllS_pos	sulA//glxK//lyxK//
AlsR_neg	srlA//cysE//ddpA//ydhU//tcyP//fhuA//
AppY_pos	mpaA//ydhU//ydhX//phnE_2//metQ//hslJ//ompF//pspA//nhaR//rpsU//
AraC_neg	artJ//argC//phnO//lrhA//tauC//argT//yfdX//atoD//
AraC_pos	hybG//entS//prpR//ygiB//csgF//hyfF//torD//sroD//glnP//kdpB//
ArgP_neg	cpxR//
ArgP_pos	hypD//creD//nrfD//rpoH//dcuB//yccT//flgD//ppiA//trpB//flgM//ycjF//ynfE//ccmE//
ArgR_neg	uxuR//asr//bacA//udp//ftsW//hyfR//cpxQ//skp//fecI//emrB//phoH//pgaB//lhgO//yhbS//cpxP//tyrR//dhaL//appB//cysW//glcC//ecpR//lsrG//sodA//ydcS//envC//ydhY//dapB//pnp//oppF//astB//nanC//gcvB//fadJ//
ArgR_pos	nikA//ybdN//argI//nrfF//ydeP//
ArsR_neg	phnI//ybjG//ygeH//
AscG_neg	agaS//glgA//nagB//entA//fecC//
AsnC_neg	glnH//gnd//asnB//
AsnC_pos	potH//
AtoC_pos	ugpA//nirB//mdtF//mhpT//
BaeR_pos	uspA//rcnB//nuoB//sfsB//cysK//mnmG//caiF//nrfA//
BasR_neg	exbD//uspE//
BasR_pos	citF//gadB//garP//safA//cydC//katE//rffM//metK//ruvA//malI//nanM//
BetI_neg	hycE//ycjY//bglF//gabT//
BirA_neg	pdeR//cysA//nagC//uidB//artM//
BluR_neg	nanA//hyaB//pdeR//yciF//
BolA_neg	efeU_1//lysC//
BolA_pos	aceF//argT//
CadC_pos	qseC//phnM//xylB//
CaiF_pos	hdeB//gspM//pqiB//ddpB//borD//uidR//fucR//rnlA//gntP//acrA//
Cbl_pos	carA//marR//uvrB//efeU_1//csrB//yfdE//gadC//recF//ftsI//
CdaR_pos	lhgO//fliS//sgbE//tdcE//prs//rutC//tdcA//mhpF//uidR//ydeP//
CecR_neg	rclC//deoA//zinT//flhA//murP//
ChbR_neg	ddpX//yoeB//mcbA//dpiB//osmB//nuoG//
ChbR_pos	lrhA//ccmE//ybfN//symE//oppD//uidC//
ComR_neg	chbA//
CpxR_neg	gatB//trpC//hcaD//ydeI//csgA//prpB//cheW//hipA//murR//yafP//cynR//psiE//nusA//argE//glnG//mhpB//yjbF//frdD//cueO//ycjF//ulaB//yjhB//alkA//gatZ//
CpxR_pos	prpC//ydiU//idnK//murF//nrdB//pgk//hyfR//mltF//soxR//sucC//mhpD//mdtF//exbB//citX//nrdA//yhbS//csgC//insD//cecR//ynbA//mazG//csrC//rutG//guaB//acrA//hokE//paaB//fucI//rarA//psd//alkA//setA//ldtB//hyaD//chbC//paaG//rstB//yjjZ//nrfA//malY//sutR//pgaC//paaY//fiu//purH//nlpA//
Cra_neg	ydbD//rpiB//motA//ydcU//aspC//gudP//symE//araB//fucO//caiC//iscU//metR//leuB//ccmB//treB//paaZ//ycjY//phnP//srlE//phnE_1//phnN//bglJ//glpX//flgN//puuR//pyrC//ybjG//phnC//fadM//fadE//dapB//yidL//prpC//gcl//tbpA//paaB//hyaC//cyoD//wrbA//gadB//murE//fliD//hisP//deoD//kdpC//trpD//fdnH//yjjQ//wzyE//sdhA//sodB//malG//nagC//bdcA//umuD//emrA//yaiW//hipB//yoaC//
Cra_pos	yhbE//gadB//arsC//sulA//metH//lysA//ulaG//lrp//ftsK//hyfB//paaC//lysC//flgI//aroM//narJ//sdhD//hycI//sgrT//hycF//ymjC//ubiA//fhuC//yciG//
CreB_neg	waaH//frdD//baeS//
CreB_pos	yafQ//ydfD//
CsgD_neg	amtB//feoB//cysM//hyfJ//mdtC//wzb//yiaM//aroP//mtr//amn//dkgB//glgB//ebgA//fbaA//pnuC//
CsgD_pos	flhA//rhaB//mtlR//wzc//yafQ//adiA//fruK//atoE//aroF//fbaB//kbaY//crr//nrfG//
CsiR_neg	ydbK//dnaG//puuR//prs//pgaB//
CspA_pos	phnO//napG//
CueR_neg	motB//garK//dinJ//psd//osmB//
CueR_pos	galM//hybC//
CusR_pos	fliJ//paaD//gspD//mgrR//motA//exuT//cysI//rbsC//pspE//ycjX//ampC//yafO//
CynR_neg	glxR//
CynR_pos	prpB//citC//nuoM//
CysB_neg	citF//artQ//malE//relB//agaW//fixC//uvrC//
