#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	carA//metA//
AcrR_neg	galS//ppdA//modB//nagE//modB//glnG//hycB//uidA//ppdB//iscS//acrB//
Ada_neg	pheS//lsrA//
Ada_pos	pqiB//galM//ryhB//sufB//
AdiY_pos	fdnH//napF//argP//dctA//flgG//rbsC//uvrC//fruB//
AgaR_neg	hyfC//rffG//dcuR//rhaR//ycjG//cheW//rutA//ldtB//udp//argA//phnH//
AidB_neg	murC//
AlaS_neg	fepB//
AllR_neg	lgoR//bacA//ulaE//setA//nrfD//mraZ//mdtF//crl//uxaA//
AllS_pos	nuoI//mglC//leuC//
AlsR_neg	rpoD//ybaT//prpD//ydfH//rffC//tisB//
AppY_pos	mgrR//nanT//cyoE//gutM//yiaM//fliP//gspE//rseC//yiaL//ebgC//
AraC_neg	flgG//dsbG//narL//pgaD//mcbA//nupG//moaA//tehA//
AraC_pos	malK//ftsA//fecC//xylF//cysM//torC//fliR//gcvT//hycE//pncB//
ArgP_neg	agaR//
ArgP_pos	fepC//psiF//flhB//pspB//narG//bglB//soxR//gatZ//accD//nohA//fadR//lsrG//yegH//
ArgR_neg	purN//dinD//gudP//dinD//dsdA//omrA//ycdZ//ftnB//rhaD//nemR//ydfN//wzc//citX//flhE//putP//fbaA//sgrR//uxaA//rdoA//chbC//creB//fabG//paaX//ymjC//rprA//mzrA//treB//fadA//ascF//pspA//cspE//astC//mhpC//
ArgR_pos	ybjG//bdcA//appX//tdcG//frdD//
ArsR_neg	phnC//yhdZ//cysD//
AscG_neg	bdm//leuA//phoR//rpsO//modA//
AsnC_neg	mcbA//csgE//nuoM//
AsnC_pos	dnaN//
AtoC_pos	glnQ//bhsA//glmS//nrdD//
BaeR_pos	poxB//pnp//talA//ugpA//purH//yciW//alaS//sulA//
BasR_neg	modA//pgpC//
BasR_pos	prpB//argE//phoE//moaE//mglB//mglB//glgP//rpsO//purD//ompW//srlE//
BetI_neg	hlyE//hcaE//malE//nfuA//
BirA_neg	uhpT//mpl//add//metJ//tyrA//
BluR_neg	caiF//alkA//gatY//fucO//
BolA_neg	hisP//mngB//
BolA_pos	casA//pgpC//
CadC_pos	sgbE//serA//mdtE//
CaiF_pos	mepH//phoR//yhcH//gadB//rffH//paaC//purR//yecT//hslJ//cysH//
Cbl_pos	infB//gspL//cspD//manX//uxuB//glxR//malF//ydfW//mhpT//
CdaR_pos	ybhS//rhaA//fhuA//thiP//ydeN//fdnG//cpxA//puuC//rpoD//csgG//
CecR_neg	nusA//pgaA//sbcD//mzrA//edd//
ChbR_neg	ymiA//rffG//astD//yciW//focB//oxyR//
ChbR_pos	paaY//cpxR//acrB//ygeH//relE//pykF//
ComR_neg	phr//
CpxR_neg	caiA//csiD//dgcZ//rtcB//alsE//fhuC//cheA//malX//fimE//glcF//katG//ccmF//uidR//ecnB//bhsA//lexA//ilvC//dhaK//galP//lsrA//ygeH//adhE//ygiA//ydhW//
