#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yafQ//hypC//
AcrR_neg	soxS//ynfE//nlpA//hyfA//aroG//gcvA//nrdD//srlD//dmsC//yhiD//fadR//
Ada_neg	yoeB//malP//
Ada_pos	yoeB//btuB//tauA//cysN//
AdiY_pos	uvrY//lsrR//fecR//nuoC//hyaB//gltI//ldtB//yafN//
AgaR_neg	pck//artI//agaR//pstB//rbsC//rstB//mraY//dcuS//dinG//hipA//fabZ//
AidB_neg	hemL//
AlaS_neg	uxaB//
AllR_neg	feoC//idnO//cynT//gspD//slyB//tauC//asr//agaR//dsbA//
AllS_pos	caiB//fhlA//yoaG//
AlsR_neg	yfdX//phnG//thiP//polA//evgS//ydeN//
AppY_pos	iscR//srlR//hybC//uof//ycgZ//ibaG//manZ//yjiY//ydiU//flgI//
AraC_neg	rutA//katG//exuR//deoD//isrC//rpoH//hflD//rbsB//
AraC_pos	umpH//glgX//caiT//relE//yqjI//tynA//alsB//nanK//paaA//nfsA//
ArgP_neg	sufA//
ArgP_pos	flgG//glgP//trxC//waaZ//gltI//paaH//pdeR//artM//mazF//tdcB//yfdE//glgX//yfdE//
ArgR_neg	fur//ompC//cytR//moaE//cpxP//yfdX//hisQ//emrB//tcyJ//nikE//malE//ykgO//metC//tdcE//aroG//yrbL//xylA//araB//murG//lsrK//pepD//pdeH//cusF//ftnB//gcvP//hcaE//purF//dcuD//metE//wzzE//narL//phr//betI//
ArgR_pos	tbpA//mtlR//yiaM//acnA//hisJ//
ArsR_neg	pgaA//poxB//prpD//
AscG_neg	artM//bioD//lsrA//gatA//kbaZ//
AsnC_neg	sbmA//hyfI//yhdZ//
AsnC_pos	glcE//
AtoC_pos	sdhB//grxD//hycA//phnK//
BaeR_pos	metL//idnD//murC//gltL//osmB//gltF//glgP//lsrK//
BasR_neg	oxyS//tonB//
BasR_pos	btuB//nuoH//lacA//nagB//uxuB//dkgB//alkB//bioD//aroM//cydB//caiD//
BetI_neg	tdcF//ybhS//creA//manX//
BirA_neg	paaB//phnN//rutB//glmY//metA//
BluR_neg	cysC//accC//hcaE//yciE//
BolA_neg	cysH//aslB//
BolA_pos	recX//pspF//
CadC_pos	gadF//rffM//motA//
CaiF_pos	rpmI//bglF//nemR//alkA//galR//cpxR//yecR//nirD//ydhV//ampC//
Cbl_pos	yhdW//nuoH//gspK//speA//fliP//uidR//yhjX//fepD//sodB//
CdaR_pos	cspI//caiT//fepG//ppdA//ymgC//ydeM//mscM//rseB//bdcA//lysA//
CecR_neg	puuD//cysH//yciF//flgM//dmsA//
ChbR_neg	nhaR//yfdV//atoD//fiu//patD//cho//
ChbR_pos	intQ//ssuC//fliO//gspK//hcr//rsmH//
ComR_neg	yjhB//
CpxR_neg	recC//ytfE//cyoE//rhaR//ftsL//folE//fabH//prpR//gadC//thiQ//accB//yhiD//sufC//dhaL//flgE//yciF//malE//lysC//arsC//srlB//ftsI//nanK//ddpC//phoU//
CpxR_pos	creC//degP//purA//kdpB//nrdF//idnK//leuL//nuoA//torA//leuO//phnF//betA//hybG//entF//narG//nagC//asr//atoA//uxaC//rpiR//yciF//tnaB//ynfK//mngA//hybF//aroH//hycI//sbcC//ulaA//iscU//hokE//gltI//fecD//rfe//sucD//ydbK//rhaT//agaR//ttdT//fabD//katE//cydB//kbp//tauC//sgrT//fimB//
