#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	leuA//ydeI//
AcrR_neg	caiC//pgaD//glmY//argE//accC//insD//mhpA//nrfE//wecE//cyaR//ddpC//
Ada_neg	accA//malQ//
Ada_pos	aceK//yeaR//csgD//cysA//
AdiY_pos	srlE//hcaE//rsmH//guaB//csgB//yhiM//xylH//glmY//
AgaR_neg	sfsB//hycH//hybC//wcaA//pstA//rhaT//dnaG//rseB//fepD//mngB//fdnI//
AidB_neg	phnE_1//
AlaS_neg	entE//
AllR_neg	cusA//yiiS//tktB//nuoL//edd//hyaE//nuoA//pgaA//ilvY//
AllS_pos	gudX//frdA//tonB//
AlsR_neg	katE//ftsW//aspA//ynbC//dctR//flgH//
AppY_pos	iclR//fucI//ftsQ//mraZ//sufA//fes//aroF//psiE//pdeL//iscU//
AraC_neg	alaC//envC//allB//xylG//mgrB//hyfB//paaG//nuoE//
AraC_pos	rcnA//efeU_1//iraM//ybaS//gatZ//ulaC//aroL//ompW//ydhT//moaC//
ArgP_neg	hybC//
ArgP_pos	yaiW//gspM//modC//fabD//gadF//polB//rhaD//fhuF//hyaA//yfdV//melA//rpoH//marR//
ArgR_neg	lsrR//grxA//stpA//glpF//narH//fucK//hdeB//rbsR//gabD//ydeI//prpD//hemH//malS//fliN//mgtL//aroM//yibQ//moaC//cpxP//araH//erpA//nanC//fabA//tehA//dinQ//recD//ftsQ//ydeI//yciG//gntU//dpiA//yiaK//nikR//
ArgR_pos	mqsA//glpC//cysW//dicC//pgaC//
ArsR_neg	rbfA//agaB//fabG//
AscG_neg	yeiB//fecR//yrbL//glnP//trpE//
AsnC_neg	gudD//yjhB//caiC//
AsnC_pos	gpmA//
AtoC_pos	prpC//ompW//hybC//yaiA//
BaeR_pos	melR//srlA//mntS//treR//safA//rffT//argA//lsrA//
BasR_neg	aidB//phnE_2//
BasR_pos	fucP//dctA//inaA//patA//glnG//folA//glgC//hyaF//glcE//flhC//flhD//
BetI_neg	ppdA//bacA//znuB//araH//
BirA_neg	agaR//fldA//rstB//dnaN//slyB//
BluR_neg	manY//betB//dnaN//galS//
BolA_neg	hyfB//ynbB//
BolA_pos	yjbH//cynT//
CadC_pos	sdhB//flgG//rcnR//
CaiF_pos	glgB//oppB//yiaL//marB//manX//metH//nupC//relE//add//zinT//
Cbl_pos	nanK//purD//argO//flu//galT//omrA//grxA//flu//phoU//
CdaR_pos	cysN//rhaR//ssrS//rybA//yaiW//ydeM//lexA//sroC//nanC//bhsA//
CecR_neg	mzrA//gntU//aldA//sufE//uxaA//
ChbR_neg	fliS//ppsA//ugpQ//paaA//pgaA//garR//
ChbR_pos	fadE//dapB//cynX//ddpB//dhaK//aceK//
ComR_neg	hyfE//
CpxR_neg	zinT//paaH//qseB//feaR//thrS//entE//entB//hipA//dsdX//fliJ//uxaB//narH//paaA//yiaO//glxK//alaC//focB//ttdA//csgC//ssuC//ruvA//ydhX//ahpC//mglC//
CpxR_pos	lysO//ftsK//nuoH//uxaA//insD//ygiA//zraS//glgB//rpiR//nikA//iclR//metY//aceF//moeB//bglJ//glgP//mngA//nikB//efeU_2//accB//purD//hybC//omrB//puuA//fecD//wza//chbR//araB//ydhU//flgG//gdhA//pheS//phnH//yoeB//sufS//citG//rpmI//hcr//arsB//ssuB//gpmM//cbl//creA//rhaR//nuoL//ilvC//
Cra_neg	feaB//yhhY//hyfF//trpR//malY//gltB//rtcB//ompC//gltL//caiT//mazG//ppdB//ppdC//ycjX//ygdB//cynS//allC//ydiV//motA//lhgO//ubiX//hyfD//yccT//agaD//dapB//argR//dicC//fliJ//fepD//putP//xylB//oppD//appC//bioD//fadJ//metF//waaY//tnaB//fruB//fiu//lsrA//yjiY//rtcA//glnL//ynfG//mscM//srlE//argF//ihfA//ydhX//rseB//sdhC//gudX//adiA//ssuC//ynbD//ttdT//nohA//hdeA//
Cra_pos	lrp//tisB//fepE//yrbL//cbl//torD//phoQ//ycdZ//hyfJ//xapA//caiT//phnM//napH//chiP//glk//mhpT//setA//ydfD//nrdD//ydfX//hcaD//glyA//malF//
CreB_neg	malZ//gadX//appB//
CreB_pos	mscM//fumC//
CsgD_neg	waaZ//wzzE//fadL//idnD//narK//hybF//fepD//srlE//flgN//cvpA//casB//alsA//frdA//sucB//psiE//
CsgD_pos	patA//araG//aceK//yoaC//dsbG//mhpA//ribA//add//ccmF//yjbG//murD//cysH//nimT//
CsiR_neg	flgI//acnA//yoaG//ulaC//gspL//
CspA_pos	potF//paaE//
CueR_neg	gspJ//ybaT//paaH//torA//ugpA//
CueR_pos	sdhD//nuoF//
CusR_pos	wcaB//ydbK//gntP//fepA//flgK//rpmI//glnG//galP//lysO//fhuA//kdpA//ilvY//
CynR_neg	nuoK//
CynR_pos	hcr//potG//nuoJ//
CysB_neg	lldR//alaS//tnaA//osmY//tpiA//pgm//appY//
CysB_pos	artP//ccmH//uidC//creB//hokD//dinB//yncE//phnO//hycB//norV//csrC//flgH//nanE//phnK//ampC//ygaC//ruvA//rseC//ddpF//trpC//fecI//fliC//yebE//ybdZ//prpC//
CytR_neg	ybhG//recC//mraZ//araC//ydhW//dinF//recX//trpC//narJ//flgG//fliL//flu//ftsK//
Dan_pos	pyrC//soxS//cysH//glpQ//
DcuR_pos	yegZ//cas2//ppdB//ruvA//feoA//flgN//malZ//prs//hyaA//
DeoR_neg	yoeB//acnA//csrB//atoB//fabA//betB//
DhaR_neg	nuoE//
DhaR_pos	lacA//caiT//trpB//
DicA_neg	deoA//appB//trpA//hybF//betB//cysJ//bglJ//fbaB//
DinJ-YafQ_neg	rcnB//gdhA//ydhW//
DnaA_neg	ydeM//rcnR//fadD//mglB//pyrC//dapD//potH//ldtB//paaI//phnG//dmsD//
DnaA_pos	wza//cra//dctR//rffG//grcA//deoB//waaZ//
DpiA_neg	guaA//
DpiA_pos	yeiL//chbA//ftsA//galK//fepA//torR//betT//nimT//pqiB//gpmA//
DsdC_neg	bluF//
DsdC_pos	yeaE//fliA//
EbgR_neg	lyxK//psiF//
EnvR_neg	paaJ//yjiY//
EnvY_pos	fucK//gcvH//
EvgA_pos	uvrC//sroA//hcr//insK//wza//moaA//hcaR//yeaG//malY//dinF//ynbB//fumC//flgJ//rstA//ecnB//manZ//nusA//chbB//zraR//
ExuR_neg	appC//lsrD//rffH//tauB//rcnB//cysA//yjhC//rffM//fliO//
FabR_neg	melR//argD//
FadR_neg	phoR//osmB//entS//rhaA//ssuC//cspD//glxK//flgE//mazE//galT//kdpB//
FadR_pos	glcG//argG//nfo//lysC//fliO//cra//codB//dgkA//sroA//ykiA//ygbK//lysA//
FeaR_pos	arsR//focB//
FhlA_pos	artP//fliD//pgaD//fucO//murC//csrC//ydfN//metJ//hybC//glcE//fadJ//yfiB//ccmA//acnA//rtcB//rutC//serA//evgS//kbp//cysW//ygbK//nrfG//ymgA//hycC//rcnA//lysA//hokE//xapB//fliC//acnA//
FlhDC_neg	ibaG//agaW//rutA//agaW//
FlhDC_pos	adiA//rclB//sucB//dctA//codB//yiaK//gltI//nmpC//gadF//glcD//cysP//sfsB//leuD//ruvA//xylR//yneM//rclB//nagB//sroA//ddpC//uhpT//pdhR//murG//ybfN//prs//gcvB//mdtA//ynfF//hyaE//katG//ycgR//paaE//yjhB//gspM//leuO//yhdZ//dmsC//ybbY//flgH//bluF//ymjD//marB//fabD//potI//rseC//nrfE//fecD//murE//leuL//ynjI//yeiL//katG//argC//ampC//hypD//wzxE//sdhC//glmY//moaA//oppC//nusA//gor//rutA//bioF//casE//hybB//ydeN//yqhG//glpF//ydeM//wecC//galS//yjbF//aceF//sgrT//hemL//exuT//dinJ//
FliZ_neg	lsrC//metF//isrC//phnI//umpH//hyfH//cusC//creA//ppdC//cysG//aroL//cadA//uvrY//intQ//codB//nemA//rpoE//ycdZ//treR//yiiS//hmp//
FucR_pos	mprA//metN//yafP//allE//carB//yeaR//rybB//
Fur_neg	agaD//nanT//ymgA//mdtB//pspA//narJ//hyfH//oppD//yncE//murF//cyoD//fepE//nikB//astB//idnD//sodB//glnD//nrdD//fiu//leuB//paaZ//fadA//fecD//gltI//sgrR//yciE//pgaA//flgK//lpd//glnK//exbD//sgbE//ygiC//glmS//entE//napD//phnJ//malY//yiaL//phoH//cdd//glk//nirC//ebgA//ihfA//yafN//sodA//cusS//yccA//mazG//ftsA//ssuC//purL//pgaB//nirC//lsrB//atoD//rffC//hycA//zraP//uvrA//ugpA//wecE//nfsB//sgrT//hcaR//paaK//uspE//tdcD//symE//ydbD//ydhX//agaB//folA//sulA//gcvA//agaC//fhuA//fhlA//tsr//entB//manX//rcnA//nmpC//rhaT//gabT//glmY//yjeV//alsB//mpl//treC//ulaC//ybbY//gdhA//ymiA//rybB//yecT//dmsB//idnT//xylH//galM//uvrC//agaA//ykgM//ugpE//ydiU//puuE//ubiA//dinJ//fliD//ybfE//ydiU//gspC//artI//feoA//
Fur_pos	epd//ahpC//dinJ//bolA//rplU//gyrA//mhpA//gntU//yiaJ//sgrS//metL//lsrD//oppC//hybF//gspF//mhpF//pstC//cysN//argH//pgk//skp//
GadE-RcsB_pos	dkgB//ilvC//uidA//puuC//pqiA//gcvA//dinI//pdeR//narX//
GadE_pos	asnB//ybbW//gspK//ssb//ndh//pgaB//yecR//gatZ//ygdB//pstA//pqiA//rutE//ynbD//nirD//pgaB//rffH//yfaE//torR//marR//tdcF//nimT//cbl//lhgO//uspE//yiaK//caiT//torC//cdd//deoC//
GadW_neg	yhjC//nac//fepD//borD//paaK//cysC//ompW//lpd//hyaD//caiC//fimB//
GadW_pos	fabZ//agaC//cynT//ybaS//guaB//ybhL//cra//pdhR//cpxP//recF//nuoG//
GadX_neg	hns//ymgA//yeaE//mgrR//fldA//araJ//
GadX_pos	bglB//flgI//paaG//puuA//frdC//lamB//uspE//gyrA//araF//napC//csgG//ruvB//tsgA//tynA//flgC//yhcH//torD//phoE//wecB//araC//lpxC//fadE//gor//murQ//murG//sgrS//luxS//
GalR_neg	yjhB//citX//tyrA//paaC//alsB//paaK//fruA//norR//ydhY//sgrS//
GalR_pos	ruvB//lldR//argH//paaJ//
GalS_neg	nanS//ycgR//crp//lacZ//cysU//marA//cysK//pgm//gfcA//pykF//
GalS_pos	ytfE//cynS//emrY//ydbD//
GatR_neg	nrdI//higA//hybO//argE//fucR//paaK//
GcvA_neg	phr//cysI//uxaB//cysG//
GcvA_pos	focB//waaH//rpiR//moaC//
GlcC_neg	nanT//
GlcC_pos	caiE//ptsI//cpxP//potH//argH//ygiZ//
GlpR_neg	ddpX//hycI//argD//dsrA//deoB//agaS//safA//kbaY//ompW//
GlrR_pos	lpd//ulaD//cytR//nimR//alaC//
GntR_neg	cheW//ykgO//wzc//waaZ//mgrB//gntK//ugpE//napD//gcvA//hyi//fliJ//gatY//
GutM_pos	fliQ//malK//cysU//purL//glpD//appY//rcnR//
GutR_neg	amtB//fliS//symE//ybaT//ttdB//prpB//nrfD//
HU_neg	glcA//flhA//dhaR//nemR//waaZ//yecT//bglB//ddpB//
HU_pos	csgE//
HcaR_neg	hha//
HcaR_pos	lon//dpiB//ybbY//yidQ//mglB//
HdfR_neg	glgX//ydeN//
HdfR_pos	hydN//yhiM//yagK//
HigA_neg	mtlA//sodA//
HigB-HigA_neg	gspO//prpB//
HipAB_neg	murQ//slt//astE//purM//higA//
HipB_neg	glgP//nuoC//gspF//dcuB//rfe//ybfN//
HyfR_pos	gutQ//malX//citG//srlA//dmsA//moaD//lsrD//yfaE//glmU//hyfJ//yafO//srlA//
HypT_neg	relE//metN//hokE//lacZ//ulaC//
HypT_pos	mltF//mdtD//gudD//rffT//nrfE//ftnB//tyrP//napC//
IclR_neg	flgC//ydfH//accD//caiE//
IdnR_neg	fixC//sfsB//
IdnR_pos	lpd//manX//gspL//gspL//nlpA//
IlvY_neg	uvrY//
IlvY_pos	treB//
IscR_neg	murD//casB//nirB//puuA//fadB//flgD//ccmA//xylG//nuoK//purB//ykiA//ycjF//ybiT//citC//crl//hybC//garD//aroM//folE//yjbH//xylR//
IscR_pos	yidQ//tadA//nanT//creD//xylA//cynT//hisJ//hyfG//dsbC//ygeH//cyoB//
KdgR_neg	tfaQ//nuoF//
KdpE_pos	udp//cpxP//znuA//ydfW//
LacI_neg	iscS//aspA//putP//
LeuO_neg	uvrB//evgS//rcsA//
LeuO_pos	ogt//zraR//cynX//glcG//betI//hyaA//yeaR//gnd//hypB//hyfR//acrD//nrdF//ssb//aroP//pgaD//gadX//mhpE//nhaA//
LexA_neg	nirD//tadA//cyaR//purF//yoaG//zinT//fabG//cysB//iraM//paaF//flgL//moaE//amtB//leuB//yccT//rpoH//guaB//pspF//melB//rutA//fliK//ygeA//ymgA//phnD//mprA//rplU//yiaN//sufC//aroM//tnaA//cspD//setA//nanC//hipA//fepA//ddpC//entB//trpL//csgD//hisP//gloA//glcB//oppA//ycjG//rpiR//fruA//recB//rpmI//ybjN//sufS//cho//uxaC//cpxP//dhaR//aspA//aroF//norV//uhpT//uspD//
LldR_neg	ttdB//mqsA//malQ//
LldR_pos	ssuE//rpoH//rplU//
LrhA_neg	yhbT//deoB//
LrhA_pos	aslB//ybaT//
LsrR_neg	tsr//tsgA//uvrY//argH//puuC//pspE//glgX//ybjG//phnG//
LysR_neg	rtcA//
LysR_pos	gspE//
MalI_neg	ptsH//betA//tehA//
MalT_pos	metC//dicC//galS//rutA//yjhC//cysW//ydeP//ebgC//atoD//fau//
MarA_neg	fliS//puuB//rutD//fepE//dicC//serA//ptsH//
