#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uidR//arsR//
AcrR_neg	moaE//cho//fruK//artQ//accC//pgm//puuD//lysR//ecpA//gntT//ykiA//
Ada_neg	nemA//glnP//
Ada_pos	metE//infB//yfdV//fadR//
AdiY_pos	yoeB//nrdD//nuoM//sucC//umuC//obgE//fhuA//fur//
AgaR_neg	cbl//nanK//yedX//leuD//bioB//mtr//cra//pdhR//mhpE//mtr//cpxQ//
AidB_neg	soxR//
AlaS_neg	phnP//
AllR_neg	hyaE//nuoE//frdB//tolC//accB//nfo//fhuC//nikC//cysA//
AllS_pos	metB//flgN//nupC//
AlsR_neg	acrD//creB//gcl//cdd//araA//yjjZ//
AppY_pos	ddpA//yciW//dkgA//narJ//yeaH//hyfA//lamB//srlR//gltI//murQ//
AraC_neg	entS//flgK//uvrC//ddpA//paaC//fepA//murP//glpK//
AraC_pos	cas2//gdhA//sufA//yqjA//caiE//fadI//pfkA//gatC//guaB//narK//
ArgP_neg	argB//
ArgP_pos	yqhG//purD//bioA//puuC//narK//gntK//murC//kdpF//paaZ//hybF//nanA//rutF//hypA//
ArgR_neg	glmS//prpC//ppdC//waaH//folA//astD//metQ//fepG//malQ//tdcG//yfiB//ascB//fepB//mdtD//mntS//glpC//rffH//mgrB//nrfG//lrhA//entF//kbaZ//tauD//fabI//sucD//hyfF//nanK//caiD//fecR//degP//metB//yeaE//hypB//
ArgR_pos	allS//folA//glpQ//fadA//ebgC//
ArsR_neg	oxc//hslJ//gspK//
AscG_neg	rseC//gntP//zraP//nirD//pspG//
AsnC_neg	gspO//dinQ//casE//
AsnC_pos	cynX//
AtoC_pos	recN//evgA//napB//yeiL//
BaeR_pos	pspF//yecT//mtlR//ydhV//mtlD//rffH//ygaC//yjeV//
BasR_neg	betI//trpA//
BasR_pos	yccJ//csrB//fixA//yiiS//dinB//dsdA//lsrK//xapA//nrdF//fixX//mhpD//
BetI_neg	ydhX//arsB//sroC//sgrT//
BirA_neg	malF//metB//cydA//ariR//nimT//
BluR_neg	ybfN//artM//yjbH//sufE//
BolA_neg	hdeA//entB//
BolA_pos	rhaA//mcbA//
CadC_pos	motB//mdtE//arsR//
CaiF_pos	uxaB//oppA//grxD//ubiC//hyaA//yciG//higA//nanA//nuoB//sutR//
Cbl_pos	fabH//tdcG//araB//gatB//phnP//yhdX//gyrA//yidL//bdm//
CdaR_pos	pgk//grxD//deoA//mhpC//serA//zntA//dmsA//fnr//cynR//allD//
CecR_neg	murR//yidQ//cdaR//agaW//pncB//
ChbR_neg	nusA//flhE//appY//mdtA//yjhB//fepB//
ChbR_pos	hypC//ydhY//bdm//ribA//sroC//metN//
ComR_neg	fliQ//
CpxR_neg	adiC//yciX//osmB//flgL//ydcV//paaC//wecE//rutA//aroP//hycC//ndh//manX//iscS//hns//waaH//bioA//gatZ//manZ//argO//gabP//ptsG//glnG//betB//ccmA//
