#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	bioA//lsrR//
AcrR_neg	omrA//fdhF//hyfI//mlc//yafP//ddpB//sdhB//hybF//ptsG//slyB//chbF//
Ada_neg	cydC//lldD//
Ada_pos	yefM//xapB//eno//csrC//
AdiY_pos	yiiS//symE//idnR//nikB//evgA//yegH//chbR//yafP//
AgaR_neg	exbD//ynfF//mntH//murR//glpF//araC//yjiY//phoB//sgbE//sbcD//fhuB//
AidB_neg	atoB//
AlaS_neg	pdeR//
AllR_neg	cysB//dtpA//fepB//cusR//tam//oppB//xylG//glxR//araE//
AllS_pos	purR//ydcT//pheT//
AlsR_neg	glnP//yegH//lldR//wcaA//araB//gudP//
AppY_pos	galM//norV//gspJ//lpxA//melB//malK//citG//pepA//malG//dsdX//
AraC_neg	mtlD//obgE//malM//tdcD//rhaS//recX//cbl//guaB//
AraC_pos	alsB//glnP//trpB//fruK//ldtC//artI//nrdI//bacA//cysB//dkgB//
ArgP_neg	cysA//
ArgP_pos	rpiB//micF//hypC//csgF//metQ//sufB//focA//uspD//yiaN//rffH//lgoR//decR//dsrA//
ArgR_neg	cspD//znuB//lsrK//gntP//nikC//allA//glmY//glnP//ulaB//moaA//fucK//phnJ//paaK//grcA//psiF//rcsA//murD//ydbK//oppC//ddpX//edd//insD//puuP//phnI//sutR//flgG//nfuA//gloA//fhlA//cynS//xapA//sroD//alaS//
ArgR_pos	sufS//rutG//atoA//nirB//gabT//
ArsR_neg	lrhA//dhaL//ppdC//
AscG_neg	mdtA//aspA//rnlA//thiP//nimR//
AsnC_neg	fucA//ddpD//lpd//
AsnC_pos	yhdY//
AtoC_pos	dtpA//xapB//tsr//pdeR//
BaeR_pos	fabI//pheS//agaV//pspB//nrdA//ssb//lldD//aldA//
BasR_neg	melB//fadH//
BasR_pos	yfiR//ubiA//rutF//truB//csgB//rtcA//rpmA//xylG//rpsU//araA//ptsG//
BetI_neg	glcD//ompC//pspC//acrA//
BirA_neg	omrB//aceA//rbsA//ftnA//chiP//
BluR_neg	flgB//rutE//murP//hyfR//
BolA_neg	fhuF//gadY//
BolA_pos	dnaA//hyfR//
CadC_pos	mtlA//rseB//moaC//
CaiF_pos	phnM//chbF//lpxC//nrfE//rpiR//phoB//iscR//fhuB//ulaD//rutF//
Cbl_pos	yfbR//allB//bdm//narI//malF//galK//cyoB//atoE//gfcA//
CdaR_pos	gltK//gadA//tsr//polB//yjhC//ybhF//yqjA//ogt//sucD//mhpB//
CecR_neg	hybD//yhdW//ccmD//aroP//metQ//
ChbR_neg	fldB//cyaR//intQ//phnK//eno//lysC//
ChbR_pos	melR//gloA//paaG//hcaC//mzrA//argG//
ComR_neg	deoB//
CpxR_neg	ebgC//mgrR//ykgO//phoB//bdcA//yegH//uxaA//ampC//nmpC//nuoC//nanT//emrK//rplU//iclR//nrdA//efeU_2//umuC//chiP//gspG//gatB//cpxQ//ssuE//sdhC//garD//
CpxR_pos	napD//focB//moaB//ygeA//nfsB//fliG//phnH//atoB//yeaD//hyfB//puuP//cusR//treC//nagC//purE//sgrT//nagB//trpA//yciG//rtcA//arsB//phnO//ttdT//nanE//hycG//ubiX//hokE//nirD//ydhT//sroC//gutM//glcC//cusF//mhpT//truB//gatA//fucR//yeaE//yfdX//ompF//cyoA//yhiD//creA//hflD//frc//glpX//
Cra_neg	fliC//astE//fbaA//thiQ//cysA//fecD//acnA//nemR//aspC//fliJ//thiP//carA//wzxE//asnA//cpxQ//csgG//marB//yhjX//cydD//narL//grcA//glgB//tisB//fliN//csiD//tam//dsbA//alsA//metJ//metL//atoD//fadR//rpiR//icd//nhaR//slyB//artQ//tfaQ//purM//aceB//yedX//nrfC//araH//csiD//hyfB//exuT//ddpB//nemR//fliM//rseC//uxaB//cydA//flgC//fixC//idnT//gadE//deoA//mazG//infC//
Cra_pos	entD//gspE//ynbA//nfsA//dctR//lhgO//betB//lysC//cyoD//gltB//yncE//ptsG//rutR//znuA//csgA//cecR//rutA//ftsW//tdcE//tnaB//sufS//csrC//pgi//
CreB_neg	polB//sgrS//purF//
CreB_pos	metI//nrdB//
CsgD_neg	bamE//pstS//nuoN//marA//fbaA//acrA//srlD//ykiA//ynfG//nirC//recX//pgi//yedX//yjhB//oppB//
CsgD_pos	ulaF//purM//yjiY//leuD//evgA//recX//ariR//pykF//tehA//hyfE//lldR//tynA//puuR//
CsiR_neg	pykF//tomB//fixC//srlD//bioC//
CspA_pos	pspG//feaR//
CueR_neg	hokD//recN//ynbD//mhpF//motA//
CueR_pos	fecE//mgtL//
CusR_pos	ygaC//zinT//alsA//rutA//purH//nuoB//creC//glnH//lysO//narH//argG//dinD//
CynR_neg	polA//
CynR_pos	norV//gatY//nrfD//
CysB_neg	rutF//fur//tehB//pepD//hypE//lysR//nuoE//
CysB_pos	yaiA//degP//gudP//srlB//tam//amtB//fruB//bioA//glnB//pnp//ydhT//mazF//hyaD//puuA//nuoH//glnP//garR//yafP//trpL//insD//rutF//ppiD//cydA//phoH//hemL//
CytR_neg	tbpA//tyrP//malT//chiP//ybiT//trpE//znuB//cydD//rhaA//phnK//gatA//baeR//acrA//
Dan_pos	dicB//tauA//recC//nupG//
DcuR_pos	fliI//dsrA//garP//rbsB//ilvC//caiT//aceF//xapA//tnaC//
DeoR_neg	fldA//hypA//manX//gspJ//mqsA//hisQ//
DhaR_neg	narG//
DhaR_pos	fucK//ascF//uxaC//
DicA_neg	sufD//emrA//ydcS//uvrD//agaS//ycjY//fruK//mglC//
DinJ-YafQ_neg	fucU//tsx//amtB//
DnaA_neg	cysE//chbB//pykF//udp//nanC//ddpA//gltD//hybF//phnI//dicB//ybfE//
DnaA_pos	ppdB//fucI//yhdY//yedX//recA//ybfE//phnE_1//
DpiA_neg	dcuS//
DpiA_pos	ulaD//creA//metK//mipA//gadY//dapD//garP//gpmM//mglC//rcnA//
DsdC_neg	speB//
DsdC_pos	ompF//mntS//
EbgR_neg	potH//dcuS//
EnvR_neg	yegZ//cdd//
EnvY_pos	ldtC//ssrS//
EvgA_pos	cynX//entC//gspL//potI//pitB//alsB//oxyR//nmpC//hcaE//ddpC//ydfW//aroL//gadY//yaiA//ttdB//emrA//dgkA//rybA//mpaA//
ExuR_neg	rbfA//glgX//gadW//sucC//lldP//yjiY//metB//atoE//rtcB//
FabR_neg	yagK//mzrA//
FadR_neg	narI//acrR//fucU//gatC//rpoD//lysA//fliE//cydB//nadA//rutD//chbB//
FadR_pos	cdd//thiP//putP//malF//murI//ecpA//pstS//murP//mipA//napB//fhuE//ynfF//
FeaR_pos	ruvB//pnp//
FhlA_pos	hycI//fabI//yccA//ribA//ssrS//ydhV//guaB//araE//malX//cysB//rhaT//accD//manZ//baeR//fhlA//pspF//iscU//micF//lgoR//recN//phoQ//yqaE//sufB//fucI//yoaC//malK//cysE//gspE//nrdG//insK//
FlhDC_neg	torA//arsB//rhaB//alkA//
FlhDC_pos	fadD//araE//csgF//gspF//glgB//ydeO//pdeH//mdtC//yfdX//fabZ//wzb//uxaA//paaZ//glgA//waaZ//nadB//glgX//rpiB//hycB//dsbG//purF//yhhY//creD//tyrA//nimR//cynT//rffT//glpD//wzzE//malQ//ssuA//idnD//fliF//csgC//nanC//nanA//nrdH//yjhC//cecR//aspC//pqiA//adiC//entB//cusF//sutR//yhdZ//malQ//dcuR//ptsG//dps//tonB//polA//ompW//phoQ//motA//polB//gntK//ybjG//astD//yfiB//yfbR//purA//glnH//gltB//phnI//frdB//ppdC//trxC//rhaT//fepA//tktB//rimP//umuC//hcaC//waaY//phnC//adiC//waaY//
FliZ_neg	tynA//motB//mhpA//cysN//osmB//potH//gcvP//yegH//arsR//alsB//ydcV//ycjG//gspF//malT//yoeB//narX//yecR//hcaB//recA//hycG//umuD//
FucR_pos	moaD//fucU//znuC//yoeB//araG//relA//hyaB//
Fur_neg	ptrA//fliG//xapA//artM//pepD//ada//iscS//rseB//ecpA//purA//csiD//wecE//ydhU//cheA//ydeO//nadA//ung//mtlD//rimK//acnA//relB//thiP//pstB//puuE//yfdE//gltL//yecR//fabD//cusC//cysB//glgP//rfe//hybC//cueO//murD//glnH//osmB//tsgA//carA//cdd//cusF//narX//agaI//yccA//artP//omrA//ddpC//cydB//yjhB//ynfF//araD//puuR//fruB//amtB//cytR//folE//glpF//nhaA//slt//truB//pgm//sroD//nikE//fliN//tsr//gyrA//dctR//purE//cysA//flgH//araA//fadR//zinT//adhE//sufS//nrfC//lsrA//hybC//uxuR//iscA//fhuB//fadL//alsC//amn//xylR//crr//cyoC//tomB//fepB//malZ//fliN//sutR//nuoA//murP//hyfI//purF//napA//mdtB//ompF//trpL//fadJ//murD//mzrA//zraR//gltK//pagP//cusR//soxS//ulaB//ddpC//patD//lsrB//efeU_1//yaiW//astA//
Fur_pos	pheS//yeaG//araB//dinI//flgJ//hybA//appY//sgbU//pstB//argH//idnK//psiE//prpD//yciE//uidC//glcF//glmU//ugpA//hdeD//gatA//hyi//
GadE-RcsB_pos	rfe//metK//yiaJ//bacA//galS//fucU//rbsC//idnT//ddpC//
GadE_pos	narG//dapD//gltI//ycjF//narI//dinQ//ssuC//cyoD//cysB//agaR//cra//yhbE//ibaG//srlR//rhaD//hipA//appA//dacC//cysE//aroG//astE//gspE//citF//fau//trpB//ycjX//lysP//ulaF//luxS//
GadW_neg	cheW//dapD//ppiD//yneM//yiaL//gspK//ynbC//hyi//cadA//moaD//degP//
GadW_pos	artP//ynjI//alsA//talA//ttdA//fliK//csrB//yebE//tfaQ//sucC//idnK//
GadX_neg	feaR//glgC//ydhX//nuoG//araC//idnT//
GadX_pos	wcaB//tdcD//yeaH//pstB//allA//slt//asnB//entC//ulaE//puuR//nuoM//agaI//nrfC//murR//nhaA//fabI//kdpB//cysG//mhpT//hybF//appC//katG//cydA//modB//cheW//nmpC//uof//
GalR_neg	norV//appB//speB//nrdE//dcuS//glmS//yjbG//motA//purM//bglJ//
GalR_pos	crp//rbsC//csrC//sodA//
GalS_neg	cysE//metN//sodB//tehB//nikD//fucP//mdtD//mhpT//aroH//phnH//
GalS_pos	rffG//rutC//aceE//purF//
GatR_neg	ybfN//treB//osmY//purN//aroM//idnK//
GcvA_neg	rtcA//thiQ//frdA//wzc//
GcvA_pos	luxS//ttdB//oxc//sulA//
GlcC_neg	ccmA//
GlcC_pos	malI//chbR//uxaB//ccmH//yjbF//lhgO//
GlpR_neg	rbsB//argA//lsrD//kdpB//lsrB//glk//micF//pspD//yiaN//
GlrR_pos	codA//fadB//glmY//yaiA//potI//
GntR_neg	yafO//argO//borD//pspC//pncB//dinJ//degP//ascF//ygiB//cyoE//lsrK//nagB//
GutM_pos	hypB//betA//yqjI//recX//lysR//feoB//nadA//
GutR_neg	agaR//artM//ampC//metA//mhpB//ybaT//wzc//
HU_neg	citC//nimR//purR//exbB//glpD//ydcT//hdeA//csgE//
HU_pos	creD//
HcaR_neg	tyrA//
HcaR_pos	nanT//frc//uspD//alsE//phr//
HdfR_neg	nagA//ynfK//
HdfR_pos	lgoR//csgB//yhjX//
HigA_neg	isrC//trpL//
HigB-HigA_neg	pdeL//ybjC//
HipAB_neg	fruA//nikE//mtlA//artI//rpoD//
HipB_neg	uvrB//glnP//lpd//tadA//metQ//yidQ//
HyfR_pos	glpF//exbB//prs//malI//aceA//nagA//sgrS//mntS//lolA//pspF//fur//accD//
HypT_neg	amtB//glnH//ydhW//cas2//yhbE//
HypT_pos	pqiB//kdpF//isrC//mraY//fecR//bamE//malK//phoB//
IclR_neg	fepB//ydhW//ahpC//phoU//
IdnR_neg	ftnA//ybaS//
IdnR_pos	nagC//symE//dapB//gltI//ttdA//
IlvY_neg	casA//
IlvY_pos	ascF//
