#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	metQ//pspA//
AcrR_neg	agaC//ompF//feoB//metQ//rclA//sgrR//atoE//fliT//omrA//yfdX//oxyR//
Ada_neg	paaD//cpxR//
Ada_pos	mngR//nanK//dinI//higB//
AdiY_pos	purD//glpC//recN//xapB//ynfF//gcvA//aceA//ppdA//
AgaR_neg	gadY//fumB//efeU_2//cydB//ydiU//ompC//cspE//appC//yciX//glpK//ykiA//
AidB_neg	entD//
AlaS_neg	phoA//
AllR_neg	hdeB//fldB//mhpB//fecA//hflD//hyfI//lysA//ydeI//xapA//
AllS_pos	araA//nikE//ybiT//
AlsR_neg	phr//ascB//araH//aroL//yeiB//gntU//
AppY_pos	purL//csrB//nrfE//artM//gpmM//ariR//lpxD//ppdA//araC//puuA//
AraC_neg	dinF//nuoG//ppiA//umuD//bioB//srlE//gltJ//trpE//
AraC_pos	xylR//ybjC//thiP//rhaT//feoB//araJ//lolA//nhaA//umuD//csiD//
ArgP_neg	gcvA//
ArgP_pos	cusC//ulaG//entD//mioC//nagB//metH//hipB//trpA//yeiL//rbfA//asnB//dcuA//rhaB//
ArgR_neg	hyfJ//yegZ//gadY//flgA//nupG//dapD//adiC//relA//pstS//tyrR//amn//ycjX//trpR//ybjG//gudP//yafQ//ybaS//efeU_1//fhuA//ulaG//dkgA//dsrA//rplT//bamE//ccmD//nanA//aslB//nrdI//acnB//rtcB//zraP//oxyR//metI//
ArgR_pos	rcnB//creB//aslB//allS//malZ//
ArsR_neg	puuP//mntS//tauB//
AscG_neg	tsgA//cysB//fruK//glpK//ycjY//
AsnC_neg	fepB//mpl//dnaG//
AsnC_pos	ynfH//
AtoC_pos	pspA//paaB//wzyE//hybC//
BaeR_pos	murR//puuR//mglC//rnpB//nagC//aroH//glpB//lsrC//
BasR_neg	hypE//nagB//
BasR_pos	flhC//soxS//nuoF//rbsR//yeaR//mdtF//cysG//patA//tfaQ//kdpF//ybaT//
BetI_neg	rhaD//relE//lpxC//oppF//
BirA_neg	creA//glnG//fixX//artP//ahpC//
BluR_neg	gnd//oxyR//ynfH//lhgO//
BolA_neg	ybhG//lhgO//
BolA_pos	argE//glpQ//
CadC_pos	hybE//setA//ccmB//
CaiF_pos	ycgR//ariR//metJ//ecpA//ssb//paaG//bhsA//glpD//gadY//lpxD//
Cbl_pos	pagP//flgG//caiC//flgL//acnA//gabD//lsrG//ycjF//yhdZ//
CdaR_pos	ftsA//malI//flgI//ulaD//fliZ//malP//garP//nuoE//gapA//molR_1//
CecR_neg	mhpD//fumC//casC//wrbA//wza//
ChbR_neg	dsbA//hyfF//cysP//lsrD//efeU_2//nrfC//
ChbR_pos	iscS//insD//rbsB//yhiD//ydiU//yjeV//
ComR_neg	cueO//
CpxR_neg	bhsA//ybhR//xylB//frdA//ynfK//ybjC//paaX//napH//cysA//ssb//uvrD//intQ//metN//nuoK//dpiA//hycA//yiiS//hdeA//pykF//gcl//tyrB//manZ//ascB//modB//
CpxR_pos	glnK//purD//ybhL//talA//rplU//bacA//pheS//gltB//lacY//mdtF//ymjD//yfiR//flgL//nirD//sufB//fruK//truB//cysC//ycjY//rpiB//hypF//artQ//exbB//cysC//dsbG//ydiU//yfdX//ydhY//nuoI//uidB//cydB//aslB//rbfA//cynR//lhgO//dinQ//gspI//puuD//potI//cysD//wza//mdtE//chbF//lsrG//mntP//caiD//
