#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycjG//argP//
AcrR_neg	flhD//cas2//osmC//dhaM//gatA//frc//mqsR//fucU//fliL//hemL//srlD//
Ada_neg	garD//argP//
Ada_pos	rffM//rbfA//hyaB//acrB//
AdiY_pos	phnG//tyrP//manZ//rsmH//hyfG//lhgO//tdcB//phnL//
AgaR_neg	sodA//yneM//bioD//nuoN//lsrA//ybhG//uspA//hemH//obgE//accD//polB//
AidB_neg	aceE//
AlaS_neg	ftsQ//
AllR_neg	yciF//paaD//yqaE//cdd//sodB//infC//yhdY//cueO//nuoF//
AllS_pos	adiC//yqjA//yneM//
AlsR_neg	melA//hyaE//sufS//yhbS//uxaA//cusS//
AppY_pos	xylR//gspL//hyfH//fepC//phnC//pdeR//metF//citD//fadJ//oppF//
AraC_neg	yhiM//lexA//ycjF//ulaB//hcaE//tktB//cpxQ//phnM//
AraC_pos	yafP//torD//frc//cra//pitB//pstB//rstA//gadW//oppC//ydcV//
ArgP_neg	ycgZ//
ArgP_pos	citG//qseB//cynR//napH//rseC//ydcV//paaD//ascB//ldtD//hyfJ//ygeH//zwf//glcG//
ArgR_neg	trpC//ytfE//yjbE//purB//gspI//mdh//rimP//tehB//rimP//frc//nemA//icd//hypF//mscM//napA//rarA//iclR//argB//ygiC//bioF//rclA//focB//gspM//yecR//yefM//araE//ybdZ//cynT//ybhR//umuD//puuA//tsr//gspJ//
ArgR_pos	acrR//patD//envC//ygdB//mtlD//
ArsR_neg	pgaA//zwf//metY//
AscG_neg	nuoM//ddlB//rpsU//gapA//chbA//
AsnC_neg	dgcC//hokE//fpr//
AsnC_pos	fhlA//
AtoC_pos	tauB//moaA//fliO//ygiZ//
BaeR_pos	ydeN//fucR//trpA//exuT//fecI//aceB//napB//citG//
BasR_neg	argI//rtcB//
BasR_pos	melB//yeaD//phnN//relB//cadA//trpE//galM//cyoE//fucR//entD//sucB//
BetI_neg	prpE//garK//baeS//carB//
BirA_neg	pnp//gfcA//bacA//yecR//psiE//
BluR_neg	yjbH//allD//ybbY//adiC//
BolA_neg	purM//galK//
BolA_pos	mhpC//cydD//
CadC_pos	phnE_1//glxK//fepA//
CaiF_pos	gntU//rtcB//paaI//betI//rcnA//kbaY//aceK//ydhV//casA//nrfG//
Cbl_pos	ppiD//sra//amn//norW//torR//hyfR//puuC//tomB//metQ//
CdaR_pos	ydiV//agaC//hisM//yecR//accD//agaR//puuE//fimB//phnD//uspE//
CecR_neg	malI//hypC//rybB//gadE//murG//
ChbR_neg	dmsD//lpd//ykgO//astC//fpr//ynbA//
ChbR_pos	gspD//yegZ//moaD//hyaF//paaX//metK//
ComR_neg	yciF//
CpxR_neg	recC//ubiA//norV//nrdF//artQ//yhdW//ynfH//hemL//yhjA//kbaY//yqhG//serA//gapA//soxS//cysW//prpC//srlB//rbsK//metQ//rbsR//citD//rybA//hyaC//astC//
CpxR_pos	potH//malQ//ygeA//hycA//rhaD//yaiA//tbpA//slt//cadA//zraS//sgrS//cbl//adhE//emrB//sgrT//mngB//rclA//seqA//alaS//yjjQ//casA//oppF//infB//degP//glk//sgrS//infC//ymgA//ssuA//arsC//lsrK//gudP//sdhC//paaK//pheT//modB//pqiA//yjeV//hybB//rseB//ssuD//ampC//nadB//ugpE//srlA//iraM//
Cra_neg	fepC//murE//omrB//fepA//pdeL//cpxR//xylA//nagE//nanE//creA//norW//fhuC//fecB//hslJ//fecD//ydhX//yidQ//nrdD//ssuC//dcuA//cusR//entA//sutR//manY//mtlD//phnN//puuC//fhuD//cecR//gabT//nrdG//modB//mhpC//guaA//malG//gspG//fumB//fabZ//glcD//psiF//murD//potI//hycD//cpxP//ftsL//ydeN//ccmA//cysI//aroL//caiA//gcvA//rybA//phnL//sgrT//trpL//mazF//pepA//fliT//rseA//
Cra_pos	sroA//ymgA//flgC//csgA//phnD//araD//umuC//rclB//nikR//potI//yiaK//glnP//betB//fecR//carB//aldA//mngB//rstA//fumB//argH//cynT//ydeM//patD//
CreB_neg	fdnG//malY//erpA//
CreB_pos	ftsZ//aroG//
CsgD_neg	metA//evgA//dsrA//rnlA//dmsB//wrbA//gcvP//wzc//hyfG//emrB//nrdA//moaB//ptsG//agaB//ddpB//
CsgD_pos	gdhA//potF//frdA//efeU_1//phnG//gatA//grxA//fhuF//metQ//glcB//uxaC//rstA//cspE//
CsiR_neg	mazG//yafN//cyaR//sra//ahpC//
CspA_pos	norV//fliQ//
CueR_neg	tadA//wza//hipB//paaC//sutR//
CueR_pos	csgE//metA//
CusR_pos	pgpC//mngR//caiA//mpaA//fepG//ydhT//paaI//recF//marA//gudX//artJ//pgpC//
CynR_neg	yegR//
CynR_pos	allB//purD//gatA//
CysB_neg	uxuB//caiC//fliG//ynfH//yiaO//leuO//sulA//
CysB_pos	mdtA//iraP//yqaE//fadJ//arsR//lpd//acrB//molR_1//ddpF//yhiM//ynfH//xylH//yciW//metE//hybD//oppF//evgA//pspC//gspF//ybhR//fixB//ampC//argC//fhuC//yhjX//
